Autor;GND;Geschlecht;Titel;Jahreszahl;Jahreszahl_Statistik;Gattung;Modul_Zeit_vor_17.Jh.;Modul_Sprache_(international);Modul_KJL;LA Aachen;Aachen;Augsburg;Berlin;Bochum;Braunschweig;Dortmund;Mannheim;Eichstätt-Ingolstadt;Frankfurt a.M.;Gießen;Göttingen;Graz;Heidelberg;Hildesheim;Innsbruck;Innsbruck 2023;Jena;Karlsruhe;Koblenz;Köln Fundamentum;Lausanne;Leipzig;Lüneburg;Luxemburg;Magdeburg;München;Oldenburg;Osnabrück;Passau;Potsdam;Saarland;Salzburg;Stuttgart;Stuttgart 2022;Trier;Tübingen;Wien;Wuppertal;Würzburg;Würzburg_2019;Zürich
$Bahr, Ehrhard (Hg.);https://d-nb.info/gnd/130674966;;Was ist Aufklärung? Thesen und Definitionen;1974;1974;Poetik / Essayistik;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
$Beers, Anna (Hg.);https://d-nb.info/gnd/1023005093;;Frauen / Lyrik. Gedichte in deutscher Sprache ;2020;2020;Lyrik;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
$Behrens, Katja (Hg.);https://d-nb.info/gnd/124718124;;Frauenbriefe der Romantik;1982;1982;Sonstiges;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
$Bender, Hans (Hg.);https://d-nb.info/gnd/118508849;;Deutsche Gedichte: 1930-1960;1983;1983;Lyrik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
$Best, Otto F. (Hg.);https://d-nb.info/gnd/116155086;;Theorie des Expressionismus;1986;1986;Poetik / Essayistik;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;
$Best, Otto F. (Hg.);https://d-nb.info/gnd/116155086;;Deutsche Literatur. Ein Abriss in Text und Darstellung. Bd. 5;1748;1748;Sonstiges;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;
$Best, Otto F. (Hg.);https://d-nb.info/gnd/116155086;;Deutsche Literatur. Ein Abriss in Text und Darstellung. Bd. 14;1918;1918;Sonstiges;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
$Bode, Dietrich (Hg.);https://d-nb.info/gnd/116215305;;Deutsche Gedichte. Eine Anthologie;2010;2010;Lyrik;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;
$Bohnen, Klaus (Hg.);https://d-nb.info/gnd/105602671;;Gedichte des 18. Jahrhunderts, etwa: Deutsche Gedichte des 18. Jahrhunderts. Hg. von Klaus Bohnen. Stuttgart 2987.;;;Lyrik;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
$Brode, Hanspeter (Hg.);https://d-nb.info/gnd/171990870;;Deutsche Lyrik. Eine Anthologie.;1990;1990;Lyrik;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
