GND,GND_Autor,GND_Gender,GND_Geburtsjahr,GND_Sterbejahr,GND_Laender,GND_Berufe,GND_deutsch,GND_Schriftsteller
https://d-nb.info/gnd/118500015,"Aal, Johannes",male,1500.0,1551.0,Deutschland (XA-DE) + Schweiz (XA-CH),Dramatiker + Dramatiker + Dramatiker + Priester,True,True
https://d-nb.info/gnd/1025555295,"Aamand, Kristina",female,1972.0,,Dänemark (XA-DK),Krankenschwester + Schriftstellerin + Sozialarbeiterin,False,True
https://d-nb.info/gnd/118500074,"Abbt, Thomas",male,1738.0,1766.0,Deutschland (XA-DE),Historiker + Hochschullehrer + Mathematiker + Philosoph + Regierungsrat + Schriftsteller + Schriftsteller,True,True
https://d-nb.info/gnd/116001097,"Abeken, Bernhard Rudolf",male,1780.0,1866.0,Deutschland (XA-DE),Lehrer + Literarhistoriker + Pfarrer + Philologe + Pädagoge + Schriftsteller,True,True
https://d-nb.info/gnd/119270285,"Abel, Jakob Friedrich von",male,1751.0,1829.0,Deutschland (XA-DE),Philosoph + Prälat + Psychologe + Pädagoge + Theologe,True,False
https://d-nb.info/gnd/138861986,"Abel, Julia",female,1975.0,,Deutschland (XA-DE),Philologin,True,False
https://d-nb.info/gnd/116001739,"Abel, Kaspar",male,1676.0,1763.0,Deutschland (XA-DE),Evangelischer Theologe + Gymnasiallehrer + Historiker + Pfarrer + Philologe + Schriftsteller,True,True
https://d-nb.info/gnd/129105910,"Abel, Michael",male,1540.0,1593.0,Deutschland (XA-DE),Gymnasiallehrer + Lyriker + Rektor + Schriftsteller,True,True
https://d-nb.info/gnd/118500147,"Abele von und zu Lilienberg, Matthias",male,1618.0,1677.0,Österreich (XA-AT),Beamter + Jurist + Schriftsteller + Schriftsteller,True,True
https://d-nb.info/gnd/102520879,"Abelinus, Johann Philipp",male,1600.0,1634.0,Deutschland (XA-DE),Historiker + Schriftsteller + Übersetzer,True,True
https://d-nb.info/gnd/118106929,"Abels, Heinz",male,1943.0,,Deutschland (XA-DE),Hochschullehrer + Soziologe,True,False
https://d-nb.info/gnd/128716932,"Abraham, Ulf",male,1954.0,,Deutschland (XA-DE),Germanist + Hochschullehrer,True,False
https://d-nb.info/gnd/11850021X,"Abraham, a Sancta Clara",male,1644.0,1709.0,Österreich (XA-AT),Katholischer Theologe + Librettist + Mönch + Prediger + Schriftsteller,True,True
https://d-nb.info/gnd/118500279,"Abschatz, Hans Assmann von",male,1646.0,1699.0,Deutschland (XA-DE),Lyriker + Schriftsteller,True,True
https://d-nb.info/gnd/119200384,"Abse, Dannie",male,1923.0,2014.0,Großbritannien (XA-GB),Arzt + Schriftsteller,False,True
https://d-nb.info/gnd/11850035X,"Abusch, Alexander",male,1902.0,1982.0,Deutschland (XA-DE) + Frankreich (XA-FR) + Mexiko (XD-MX) + Tschechoslowakei (XA-CSHH),Journalist + Politiker + Politiker + Politiker + Publizist + Schriftsteller,True,True
https://d-nb.info/gnd/118646680,"Achebe, Chinua",male,1930.0,2013.0,Nigeria (XC-NG),Drehbuchautor + Drehbuchautor + Drehbuchautor + Drehbuchautor + Hochschullehrer + Journalist + Schriftsteller + Schriftsteller + Schriftsteller + Schriftsteller,False,True
https://d-nb.info/gnd/116005327,"Achleitner, Arthur",male,1858.0,1927.0,Deutschland (XA-DE),Redakteur + Schriftsteller,True,True
https://d-nb.info/gnd/119369125,"Achleitner, Friedrich",male,1930.0,2019.0,Österreich (XA-AT),Architekt + Schriftsteller,True,True
https://d-nb.info/gnd/118637584,"Achmatova, Anna",female,1889.0,1966.0,Russland (XA-RU) + Ukraine (XA-UA),Librettistin + Lyrikerin + Schriftstellerin,False,True
https://d-nb.info/gnd/118500422,"Achternbusch, Herbert",male,1938.0,2022.0,Deutschland (XA-DE),Drehbuchautor + Drehbuchautor + Filmproduzent + Filmproduzent + Filmregisseur + Maler + Regisseur + Regisseur + Regisseur + Schauspieler + Schauspieler + Schauspieler + Schriftsteller + Schriftsteller + Schriftsteller,True,True
https://d-nb.info/gnd/124438482,"Acidalius, Valens",notKnown,1567.0,1595.0,Deutschland (XA-DE),Humanist + Kritiker + Philologe + Schriftsteller,True,True
https://d-nb.info/gnd/119373610,"Acker, Kathy",female,1947.0,1997.0,USA (XD-US),Drehbuchautorin + Schriftstellerin,False,True
https://d-nb.info/gnd/138348375,"Ackermann, Ernst Wilhelm",male,1821.0,1846.0,Deutschland (XA-DE) + Italien (XA-IT),Schriftsteller + Theologe,True,True
https://d-nb.info/gnd/1110188102,"Ackermann, Werner",notKnown,,,Frankreich (XA-FR),Soziologe,False,False
https://d-nb.info/gnd/121602117,"Acklin, Jürg",male,1945.0,,Schweiz (XA-CH),Psychoanalytiker + Pädagoge + Redakteur + Schriftsteller + Sozialwissenschaftler,True,True
https://d-nb.info/gnd/116006188,"Acontius, Melchior",male,1515.0,1569.0,Deutschland (XA-DE),Humanist + Schriftsteller,True,True
https://d-nb.info/gnd/122079566,"Acxtelmeier, Stanislaus Reinhard",notKnown,1649.0,,Deutschland (XA-DE),Historiker,True,False
https://d-nb.info/gnd/1034669966,"Adam, Andreas",male,1578.0,1624.0,Deutschland (XA-DE),Leibarzt,True,False
https://d-nb.info/gnd/12005860X,"Adam, Melchior",notKnown,1575.0,1622.0,Deutschland (XA-DE),Historiker + Lexikograf + Pädagoge,True,False
https://d-nb.info/gnd/129399639,"Adam, Olivier",male,1974.0,,Frankreich (XA-FR),Schriftsteller,False,True
https://d-nb.info/gnd/11929348X,"Adami, Giuseppe",male,1878.0,1946.0,Italien (XA-IT),Dramatiker + Drehbuchautor + Journalist + Librettist + Librettist + Musikkritiker + Schriftsteller,False,True
https://d-nb.info/gnd/123438675,"Adami, Johann Samuel",notKnown,1638.0,1713.0,Deutschland (XA-DE),Evangelischer Theologe + Kirchenlieddichter + Pfarrer + Schriftsteller,True,True
https://d-nb.info/gnd/122420217,"Adami, Tobias",male,1581.0,1643.0,Deutschland (XA-DE),Fürstlicher sächsischer Hofrat in Weimar,True,False
