;gndIdentifier;GND_name;GND_occupation;GND_gender;GND_country;placeOfBirth;GND_birth;GND_death;periodOfActivity
0;1084026554;Kuti, Michaela;Sängerin, Musikerin, Gesangslehrerin, Liedermacherin, Komponistin;Weiblich;Deutschland;Sindelfingen;1978.0;;
1;1106279247;Rabhansl, Karin;Musikerin, Sängerin, Gitarristin, Komponistin, Autorin, Liedermacherin;Weiblich;Deutschland;Hutthurm;1986.0;;
2;1148348581;Kükenshöner, Bärbel;Musiktherapeutin, Liedermacherin;Weiblich;Deutschland;;1974.0;;
3;118004034;Wegner, Bettina;Liedermacherin, Komponistin, Musikerin, Sängerin, Sängerin;Weiblich;Deutschland;Berlin-Lichterfelde;1947.0;;
4;132979055;Schwab, Stefanie;Pädagogin, Liedermacherin, Sängerin;Weiblich;Deutschland;;1963.0;;
5;132101815;Kalien, Eva;Liedermacherin, Malerin, Komponistin, Musikerin;Weiblich;Deutschland;Witten;1974.0;;
6;122265319;Becker, Anni;Komponistin, Musikerin, Volkssängerin, Liedermacherin, Schriftstellerin, Lehrerin, Arrangeurin, Herausgeberin;Weiblich;Deutschland;Kaiserslautern;1926.0;2009.0;
7;1140787713;Ami;Musikerin, Liedermacherin, Sängerin, Gitarristin;Weiblich;Deutschland;München;1996.0;;
8;1130349926;Lesch, Sarah;Sängerin, Liedermacherin, Erzieherin;Weiblich;Deutschland;Altenburg (Thüringen);1986.0;;
9;12398825X;Scarlett O', Sängerin;Sängerin, Liedermacherin, Musikerin;Weiblich;Deutschland;;1957.0;;
10;122544765;Thalheim, Barbara;Musikerin, Sängerin, Komponistin, Liedermacherin;Weiblich;Deutschland;Leipzig;1951.0;;
11;135101434X;Kurth, Hannelore;Liedermacherin, Journalistin, Biologin;Weiblich;Deutschland;Ueckermünde;1950.0;;
12;1190113929;Lato, Laura;Popmusikerin, Sängerin, Liedermacherin;Weiblich;Deutschland;;1994.0;;
13;1329398831;Vormann, Eva;Liedermacherin, Autorin;Weiblich;Deutschland;Detmold;1959.0;;
14;1333653573;McSweeny, Linda;Grafikerin, Liedermacherin;Weiblich;Deutschland;;1982.0;;
15;124580054X;Seeboldt, Scarlett;Sängerin, Liedermacherin;Weiblich;Deutschland;;1957.0;;
16;1290217505;Lilja, Leonore;Künstlerin, Liedermacherin, Pianistin, Autorin;Weiblich;Deutschland;;2005.0;;
17;1323874240;Liebetrau-Rudmann, Jeanette;Musiktherapeutin, Kindheitspädagogin, Liedermacherin;Unbekannt;Deutschland;Bensheim;1976.0;;
18;1371822166;Otte, Sandra;Liedermacherin, Sängerin, Gitarristin, Synchronsprecherin, Komponistin, Autorin;Weiblich;Deutschland;Bremen;1976.0;;
19;1223408523;Leis, Ulla;Künstlerin, Keramikerin, Malerin, Fotografin, Liedermacherin;Weiblich;Deutschland;Frankfurt am Main;1940.0;2020.0;
20;105859176;Jehn, Margarete;Arrangeurin, Herausgeberin, Schriftstellerin, Komponistin, Liedermacherin, Musikerin, Musiklehrerin, Librettistin;Weiblich;Deutschland;Bremen;1935.0;2021.0;
21;130454842;Schaffner, Karin;Erzieherin, Autorin, Liedermacherin;Weiblich;Deutschland;;1940.0;;
22;124170196;Brandt, Susanne;Bibliothekarin, Schriftstellerin, Liedermacherin, Komponistin, Herausgeberin, Librettistin, Autorin;Weiblich;Deutschland;Hamburg;1964.0;;
23;13031689X;Krüger, Sabine;Musikerin, Liedermacherin, Autorin, Fotografin;Weiblich;Deutschland;Berlin;1956.0;;
24;135496748;Ayọ, Musikerin;Musikerin, Liedermacherin, Komponistin, Schauspielerin;Weiblich;Deutschland;Frechen;1980.0;;
25;129799211;Bill, Maria;Sängerin, Liedermacherin, Musikerin, Sprecherin, Schauspielerin, Komponistin, Schauspielerin;Weiblich;Deutschland, Schweiz;Moosseedorf;1948.0;;
26;135127122;Dietzsch, Melanie;Liedermacherin, Sängerin, Musikerin;Weiblich;Deutschland;;1981.0;;
27;135478405;Schönleber, Dagmar;Kabarettistin, Sozialarbeiterin, Liedermacherin, Autorin, Musikerin;Weiblich;Deutschland;;1973.0;;
28;135496195;Dota, Sängerin;Sängerin, Komponistin, Liedermacherin, Ärztin, Kinderbuchautorin;Weiblich;Deutschland;Berlin;1979.0;;
29;134995473;Brauckmann, Carolina;Liedermacherin, Historikerin, Germanistin, Anglistin, Moderatorin, Aktivistin, Komponistin, Musikerin;Weiblich;Deutschland;Lüdenscheid;1954.0;;
