	GND_name	canonicity_score_rank	canonicity_score_scaled
0	Goethe, Johann Wolfgang von	1	1000
1	Schiller, Friedrich	2	617
2	Brecht, Bertolt	3	491
3	Kleist, Heinrich von	4	436
4	Kafka, Franz	5	399
5	Mann, Thomas	6	374
6	Lessing, Gotthold Ephraim	7	371
7	Hoffmann, E. T. A.	8	343
8	Heine, Heinrich	9	316
9	Fontane, Theodor	10	288
10	Hofmannsthal, Hugo von	11	264
11	Schnitzler, Arthur	12	242
12	Büchner, Georg	13	237
13	Rilke, Rainer Maria	14	235
14	Nietzsche, Friedrich	15	227
15	Hölderlin, Friedrich	16	225
16	Benjamin, Walter	17	211
17	Grass, Günter	18	197
18	Stifter, Adalbert	19	194
19	Hauptmann, Gerhart	20	193
20	Eichendorff, Joseph von	21	190
21	Wieland, Christoph Martin	22	188
22	Gryphius, Andreas	23	184
23	Musil, Robert	24	181
24	Tieck, Ludwig	25	178
25	Keller, Gottfried	26	178
26	Benn, Gottfried	27	175
27	Handke, Peter	28	173
28	Herder, Johann Gottfried von	29	170
29	Jelinek, Elfriede	30	169
30	Kant, Immanuel	31	168
31	Bachmann, Ingeborg	32	164
32	Storm, Theodor	33	160
33	Freud, Sigmund	34	154
34	Jean Paul	35	153
35	Mann, Heinrich	36	153
36	Wolf, Christa	37	151
37	Döblin, Alfred	38	151
38	Novalis	39	137
39	Wagner, Richard	40	135
40	Bernhard, Thomas	41	134
41	Adorno, Theodor W.	42	127
42	Roth, Joseph	43	127
43	Seghers, Anna	44	125
44	Grimmelshausen, Hans Jakob Christoffel von	45	125
45	Brentano, Clemens	46	123
46	Moritz, Karl Philipp	47	123
47	Grillparzer, Franz	48	120
48	Celan, Paul	49	119
49	Schlegel, Friedrich von	50	117
50	Hebbel, Friedrich	51	116
51	Droste-Hülshoff, Annette von	52	115
52	Klopstock, Friedrich Gottlieb	53	115
53	Nestroy, Johann	54	115
54	Raabe, Wilhelm	55	113
55	Gottsched, Johann Christoph	56	113
56	Böll, Heinrich	57	112
57	Wedekind, Frank	58	112
58	Opitz, Martin	59	111
59	Zweig, Stefan	60	111
60	Lenz, Jakob Michael Reinhold	61	108
61	Mörike, Eduard	62	107
62	Pelster, Theodor	63	106
63	Schmidt, Arno	64	105
64	Hesse, Hermann	65	103
65	Dürrenmatt, Friedrich	66	102
66	Müller, Heiner	67	101
67	Weiss, Peter	68	101
68	Jünger, Ernst	69	100
69	Marx, Karl	70	98
70	Busch, Wilhelm	71	95
71	Frisch, Max	72	95
72	Kraus, Karl	73	95
73	George, Stefan	74	93
74	Horváth, Ödön von	75	91
75	Arnim, Achim von	76	90
76	Rousseau, Jean-Jacques	77	88
77	Johnson, Uwe	78	86
78	Lasker-Schüler, Else	79	85
79	May, Karl	80	84
80	Walser, Robert	81	82
81	Walser, Martin	82	82
82	Meyer, Conrad Ferdinand	83	80
83	Kästner, Erich	84	79
84	Feuchtwanger, Lion	85	79
85	Sebald, W. G.	86	78
86	Grimm, Jacob	87	77
87	Lohenstein, Daniel Casper von	88	76
88	Müller, Herta	89	74
89	Andersch, Alfred	90	72
90	Humboldt, Wilhelm von	91	71
91	Canetti, Elias	92	71
92	Fleißer, Marieluise	93	69
93	Strauß, Botho	94	69
94	Jandl, Ernst	95	68
95	Trakl, Georg	96	68
96	Thomasius, Christian	97	68
97	Grimm, Wilhelm	98	68
98	Enzensberger, Hans Magnus	99	68
99	Becher, Johannes Robert	100	68
100	Toller, Ernst	101	67
101	Koeppen, Wolfgang	102	67
102	La Roche, Sophie von	103	67
103	Gellert, Christian Fürchtegott	104	67
104	Mann, Klaus	105	66
105	Mayröcker, Friederike	106	66
106	Broch, Hermann	107	65
107	Schelling, Friedrich Wilhelm Joseph von	108	64
108	Tucholsky, Kurt	109	63
109	Timm, Uwe	110	61
110	Werfel, Franz	111	61
111	Holz, Arno	112	61
112	Braun, Volker	113	60
113	Kracht, Christian	114	59
114	Gotthelf, Jeremias	115	59
115	Lenz, Siegfried	116	59
116	Ebner-Eschenbach, Marie von	117	59
117	Remarque, Erich Maria	118	58
118	Borchert, Wolfgang	119	57
119	Hauff, Wilhelm	120	57
120	Eich, Günter	121	57
121	Doderer, Heimito von	122	56
122	Grabbe, Christian Dietrich	123	56
123	Gutzkow, Karl	124	56
124	Fichte, Johann Gottlieb	125	55
125	Freytag, Gustav	126	55
126	Weerth, Georg	127	55
127	Arnim, Bettina von	128	55
128	Chamisso, Adelbert von	129	55
129	Keun, Irmgard	130	54
130	Gottsched, Luise Adelgunde Victorie	131	54
131	Humboldt, Alexander von	132	53
132	Brockes, Barthold Heinrich	133	52
133	Haller, Albrecht von	134	52
134	Arendt, Hannah	135	52
135	Zeh, Juli	136	51
136	Heym, Georg	137	51
137	Birken, Sigmund von	138	51
138	Raimund, Ferdinand	139	51
139	Aichinger, Ilse	140	50
140	Schlegel, August Wilhelm von	141	50
141	Gernhardt, Robert	142	49
142	Wolf, Friedrich	143	48
143	Lichtenberg, Georg Christoph	144	48
144	Brinkmann, Rolf Dieter	145	48
145	Schnabel, Johann Gottfried	146	48
146	Huchel, Peter	147	48
147	Günderode, Karoline von	148	47
148	Forster, Georg	149	47
149	Uhland, Ludwig	150	47
150	Hebel, Johann Peter	151	47
151	Kaiser, Georg	152	46
152	Klüger, Ruth	153	46
153	Grünbein, Durs	154	45
154	Fouqué, Friedrich de La Motte-	155	45
155	Engels, Friedrich	156	45
156	Kehlmann, Daniel	157	45
157	Hein, Christoph	158	45
158	Fleming, Paul	159	44
159	Kracauer, Siegfried	160	44
160	Kunert, Günter	161	44
161	Fallada, Hans	162	43
162	Maron, Monika	163	43
163	Wackenroder, Wilhelm Heinrich	164	43
164	Ransmayr, Christoph	165	43
165	Rühmkorf, Peter	166	43
166	Čechov, Anton Pavlovič	167	43
167	Zweig, Arnold	168	43
168	Kirsch, Sarah	169	43
169	Langgässer, Elisabeth	170	42
170	Hofmann von Hofmannswaldau, Christian	171	42
171	Voß, Johann Heinrich	172	42
172	Becker, Jurek	173	42
173	Harsdörffer, Georg Philipp	174	41
174	Hacks, Peter	175	41
175	Heyse, Paul	176	41
176	Klinger, Friedrich Maximilian von	177	41
177	Biermann, Wolf	178	40
178	Hoffmann, Heinrich	179	40
179	Bidermann, Jakob	180	40
180	Herwegh, Georg	181	40
181	Hasenclever, Walter	182	40
182	Spee, Friedrich von	183	39
183	Voltaire	184	39
184	Freiligrath, Ferdinand	185	39
185	Hochhuth, Rolf	186	38
186	Morgenstern, Christian	187	38
187	Schlaf, Johannes	188	38
188	Greiffenberg, Catharina Regina von	189	38
189	Kluge, Alexander	190	38
190	Fühmann, Franz	191	37
191	Sachs, Nelly	192	37
192	Bürger, Gottfried August	193	37
193	Kempowski, Walter	194	37
194	Beyer, Marcel	195	37
195	Zuckmayer, Carl	196	37
196	Börne, Ludwig	197	37
197	Pastior, Oskar	198	36
198	Bergengruen, Werner	199	36
199	Grimm, Hans	200	36
200	Huch, Ricarda	201	35
201	Campe, Joachim Heinrich	202	35
202	Graf, Oskar Maria	203	35
203	Thoma, Ludwig	204	35
204	Reuter, Christian	205	35
205	Röggla, Kathrin	206	35
206	Bodmer, Johann Jakob	207	34
207	Bobrowski, Johannes	208	34
208	Kronauer, Brigitte	209	34
209	Ball, Hugo	210	34
210	Bahr, Hermann	211	34
211	Plenzdorf, Ulrich	212	34
212	Özdamar, Emine Sevgi	213	34
213	Saar, Ferdinand von	214	34
214	Hamann, Johann Georg	215	34
215	Rückert, Friedrich	216	34
