canonicity_score_rank;canonicity_score_scaled;GND;GND_name;GND_birth;GND_death;GND_occupation;rausschmeißen? (AH);rausschmeißen? (MK);Konsens (JE);;;;;;;;;;;;;;;
1;1000;118540238;Goethe, Johann Wolfgang von;1749.0;1832.0;Schriftsteller + Publizist + Politiker + Jurist + Naturwissenschaftler + Theaterintendant + Maler + Zeichner;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
2;619;118607626;Schiller, Friedrich;1759.0;1805.0;Schriftsteller + Dramatiker + Erzähler + Lyriker + Librettist + Historiker + Hochschullehrer + Arzt;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
3;487;118514768;Brecht, Bertolt;1898.0;1956.0;Schriftsteller + Theaterintendant + Theaterregisseur + Dramatiker + Schauspieler + Lyriker + Regisseur + Drehbuchautor + Musiker + Librettist;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
4;437;118563076;Kleist, Heinrich von;1777.0;1811.0;Schriftsteller + Librettist + Lyriker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
5;398;118559230;Kafka, Franz;1883.0;1924.0;Schriftsteller + Jurist + Librettist + Schriftsteller + Lyriker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
6;371;118577166;Mann, Thomas;1875.0;1955.0;Schriftsteller + Intellektueller + Musiker + Lyriker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
7;371;118572121;Lessing, Gotthold Ephraim;1729.0;1781.0;Schriftsteller + Kritiker + Philosoph + Bibliothekar + Lyriker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
8;345;118552465;Hoffmann, E. T. A.;1776.0;1822.0;Schriftsteller + Komponist + Kapellmeister + Zeichner + Jurist + Dirigent + Lyriker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
9;317;118548018;Heine, Heinrich;1797.0;1856.0;Schriftsteller + Lyriker + Dramatiker + Journalist + Kaufmann + Jurist + Komponist + Librettist + Theaterkritiker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
10;290;118534262;Fontane, Theodor;1819.0;1898.0;Schriftsteller + Übersetzer + Schriftsteller + Kabarettist + Journalist + Kritiker + Theaterkritiker + Kriegsberichterstatter + Apotheker + Librettist + Historiker + Romancier;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
11;265;118552759;Hofmannsthal, Hugo von;1874.0;1929.0;Schriftsteller + Dramatiker + Lyriker + Librettist + Essayist + Philologe + Lyriker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
12;246;118609807;Schnitzler, Arthur;1862.0;1931.0;Schriftsteller + Dramatiker + Arzt + Schriftsteller + Lyriker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
13;238;118516906;Büchner, Georg;1813.0;1837.0;Schriftsteller + Dramatiker + Übersetzer + Arzt;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
14;234;118601024;Rilke, Rainer Maria;1875.0;1926.0;Schriftsteller + Lyriker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
15;228;118587943;Nietzsche, Friedrich;1844.0;1900.0;Philosoph + Klassischer Philologe + Schriftsteller + Dramatiker + Komponist;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;
