ID;Bundesland;Nachname_original;Nachname;GND;Geschlecht;Titel;Erscheinungsjahr;Erscheinungsjahr_k;Lit.preis_Name;Lit.preis_Autor_in_Name;Jug.literatur
2508;Baden-Württemberg;Äsop;Äsop;https://d-nb.info/gnd/118647180;männlich;Fabeln;unbekannt;unbekannt;;;nein
2447;Sachsen-Anhalt;Äsop;Äsop;https://d-nb.info/gnd/118647180;männlich;Fabeln;unbekannt;unbekannt;;;nein
1778;Baden-Württemberg;Achebe;Achebe;https://d-nb.info/gnd/118646680;männlich;Okonkwo oder Das Alte stürzt;1959;1958;;;nein
297;Hessen;Ade;Ade;https://d-nb.info/gnd/138053669;weiblich;Toni Erdmann (Film);2016;2017;(mehrere Filmpreise, siehe Wikipedia);;ja
3;Hamburg;Ade;Ade;https://d-nb.info/gnd/138053669;weiblich;Toni Erdmann (Film);2016;2016;(mehrere Filmpreise, siehe Wikipedia);;ja
1069;Niedersachsen;Adorno;Adorno;https://d-nb.info/gnd/118500775;männlich;Rede über Lyrik und Gesellschaft;1951;1951;;;nein
645;Niedersachsen;Aichinger;Aichinger;https://d-nb.info/gnd/118501232;weiblich;Das Fenster-Theater (In: Der Gefesselte);1953;1949;;;nein
2687;Rheinland-Pfalz;Aischylos;Aischylos;https://d-nb.info/gnd/118500856;männlich;Orestie;-458;-458;;;nein
2444;Sachsen-Anhalt;Aitmatow;Aitmatow;https://d-nb.info/gnd/118501259;männlich;Djamila;1960;1958;;;nein
705;Niedersachsen;Aitmatow;Aitmatow;https://d-nb.info/gnd/118501259;männlich;Djamila;1960;1958;;;nein
2502;Baden-Württemberg;Aitmatow;Aitmatow;https://d-nb.info/gnd/118501259;männlich;Dshamilja [auch: Djamila];1960;1960;;;nein
2605;Bayern;Aitmatow;Aitmatow;https://d-nb.info/gnd/118501259;männlich;Dshamilja [auch: Djamila];1960;1960;;;nein
171;Hessen;Albee;Albee;https://d-nb.info/gnd/118501380;männlich;Wer hat Angst vor Virginia Woolf?;1963;1962;;;nein
922;Niedersachsen;Albee;Albee;https://d-nb.info/gnd/118501380;männlich;Zoogeschichte;1959;1958;;;nein
2445;Sachsen-Anhalt;Allende;Allende;https://d-nb.info/gnd/118869159;weiblich;Das Geisterhaus;1984;1982;;;nein
2012;Sachsen;Almond;Almond;https://d-nb.info/gnd/123526183;männlich;Feuerschlucker;2005;2003;;;ja
2667;Bayern;Amery;Amery;https://d-nb.info/gnd/118937197;männlich;Der Untergang der Stadt Passau;1975;1975;;;nein
707;Niedersachsen;Andersch;Andersch;https://d-nb.info/gnd/118502786;männlich;Der Vater eines Mörders;1980;1980;;;nein
2155;Sachsen-Anhalt;Andersch;Andersch;https://d-nb.info/gnd/118502786;männlich;Der Vater eines Mörders;1980;1980;;;nein
2592;Bayern;Andersch;Andersch;https://d-nb.info/gnd/118502786;männlich;Der Vater eines Mörders;1980;1980;;;nein
2628;Bayern;Andersch;Andersch;https://d-nb.info/gnd/118502786;männlich;Sansibar oder Der letzte Grund;1957;1957;Deutscher Kritikerpreis (1958);;nein
2154;Sachsen-Anhalt;Andersch;Andersch;https://d-nb.info/gnd/118502786;männlich;Sansibar oder Der letzte Grund;1957;1957;Deutscher Kritikerpreis (1958);;nein
2688;Rheinland-Pfalz;Andersch;Andersch;https://d-nb.info/gnd/118502786;männlich;Sansibar oder Der letzte Grund;1957;1957;Deutscher Kritikerpreis (1958);;nein
