GND,GND_Autor,BDSL_BehandeltePerson_ab1985_Summe,BDSL_Freitext_ab1985_Summe,BDSL_Freitext_ab2000_Summe,BDSL_BehandeltePerson_ab2000_Summe
https://d-nb.info/gnd/118500015,"Aal, Johannes",0.0,2.0,2.0,0.0
https://d-nb.info/gnd/1025555295,"Aamand, Kristina",0.0,0.0,0.0,0.0
https://d-nb.info/gnd/118500074,"Abbt, Thomas",13.0,13.0,8.0,8.0
https://d-nb.info/gnd/116001097,"Abeken, Bernhard Rudolf",2.0,3.0,3.0,2.0
https://d-nb.info/gnd/119270285,"Abel, Jakob Friedrich von",0.0,9.0,7.0,0.0
https://d-nb.info/gnd/138861986,"Abel, Julia",0.0,17.0,17.0,0.0
https://d-nb.info/gnd/116001739,"Abel, Kaspar",0.0,0.0,0.0,0.0
https://d-nb.info/gnd/129105910,"Abel, Michael",1.0,5.0,3.0,0.0
https://d-nb.info/gnd/118500147,"Abele von und zu Lilienberg, Matthias",3.0,3.0,2.0,2.0
https://d-nb.info/gnd/102520879,"Abelinus, Johann Philipp",0.0,0.0,0.0,0.0
https://d-nb.info/gnd/118106929,"Abels, Heinz",0.0,0.0,0.0,0.0
https://d-nb.info/gnd/128716932,"Abraham, Ulf",0.0,104.0,83.0,0.0
https://d-nb.info/gnd/11850021X,"Abraham, a Sancta Clara",38.0,49.0,19.0,19.0
https://d-nb.info/gnd/118500279,"Abschatz, Hans Assmann von",2.0,2.0,2.0,2.0
https://d-nb.info/gnd/119200384,"Abse, Dannie",0.0,0.0,,
https://d-nb.info/gnd/11850035X,"Abusch, Alexander",4.0,4.0,1.0,1.0
https://d-nb.info/gnd/118646680,"Achebe, Chinua",0.0,5.0,5.0,0.0
https://d-nb.info/gnd/116005327,"Achleitner, Arthur",1.0,1.0,1.0,1.0
https://d-nb.info/gnd/119369125,"Achleitner, Friedrich",31.0,34.0,20.0,18.0
https://d-nb.info/gnd/118637584,"Achmatova, Anna",0.0,0.0,,
https://d-nb.info/gnd/118500422,"Achternbusch, Herbert",75.0,82.0,34.0,34.0
https://d-nb.info/gnd/124438482,"Acidalius, Valens",0.0,0.0,0.0,0.0
https://d-nb.info/gnd/119373610,"Acker, Kathy",0.0,0.0,0.0,0.0
https://d-nb.info/gnd/138348375,"Ackermann, Ernst Wilhelm",0.0,1.0,1.0,0.0
https://d-nb.info/gnd/1110188102,"Ackermann, Werner",0.0,4.0,4.0,0.0
https://d-nb.info/gnd/121602117,"Acklin, Jürg",4.0,5.0,4.0,3.0
https://d-nb.info/gnd/116006188,"Acontius, Melchior",0.0,0.0,0.0,0.0
https://d-nb.info/gnd/122079566,"Acxtelmeier, Stanislaus Reinhard",0.0,0.0,0.0,0.0
https://d-nb.info/gnd/1034669966,"Adam, Andreas",1.0,3.0,1.0,0.0
https://d-nb.info/gnd/12005860X,"Adam, Melchior",1.0,5.0,4.0,1.0
https://d-nb.info/gnd/129399639,"Adam, Olivier",0.0,0.0,0.0,0.0
https://d-nb.info/gnd/11929348X,"Adami, Giuseppe",0.0,0.0,,
https://d-nb.info/gnd/123438675,"Adami, Johann Samuel",0.0,0.0,0.0,0.0
https://d-nb.info/gnd/122420217,"Adami, Tobias",0.0,0.0,0.0,0.0
https://d-nb.info/gnd/142801763,"Adamowsky, Natascha",0.0,2.0,2.0,0.0
https://d-nb.info/gnd/119033364,"Adams, Douglas",0.0,0.0,0.0,0.0
https://d-nb.info/gnd/118646931,"Adams, Henry",0.0,0.0,0.0,0.0
https://d-nb.info/gnd/118500619,"Addison, Joseph",,,5.0,0.0
https://d-nb.info/gnd/137377754,"Addonia, Sulaiman S. M. Y.",0.0,0.0,0.0,0.0
https://d-nb.info/gnd/138053669,"Ade, Maren",0.0,1.0,1.0,0.0
https://d-nb.info/gnd/119272385,"Adelmann von Adelmannsfelden, Bernhard",0.0,0.0,0.0,0.0
https://d-nb.info/gnd/118500643,"Adelphus, Johannes",10.0,11.0,8.0,8.0
https://d-nb.info/gnd/118500651,"Adelung, Johann Christoph",63.0,73.0,27.0,22.0
https://d-nb.info/gnd/124853668,"Adersbach, Andreas",0.0,0.0,0.0,0.0
https://d-nb.info/gnd/12975479X,"Adichie, Chimamanda Ngozi",0.0,1.0,1.0,0.0
