GND,Reclam_Autor,Reclam_tokens_Summe,Reclam_types_Summe,Reclam_UBs
https://d-nb.info/gnd/129399639,"Adam, Olivier ",1.0,1.0,UB 19723
https://d-nb.info/gnd/119033364,"Adams, Douglas ",1.0,1.0,UB 19744
https://d-nb.info/gnd/118500856,Aeschylus ,7.0,7.0,UB 508 + UB 510 + UB 19434 + UB 19467 + UB 988 + UB 19535 + UB 14034
https://d-nb.info/gnd/118647180,Aesopus ,3.0,1.0,UB 18297 + UB 18297 + UB 18297
https://d-nb.info/gnd/132708884,"Agus, Milena ",1.0,1.0,UB 19820
https://d-nb.info/gnd/123064945,"Aiolli, Valerio ",1.0,1.0,UB 20055
https://d-nb.info/gnd/118501380,"Albee, Edward ",1.0,1.0,UB 9073
https://d-nb.info/gnd/118869159,"Allende, Isabel ",1.0,1.0,UB 9131
https://d-nb.info/gnd/119278472,"Almodóvar, Pedro ",2.0,1.0,UB 9135 + UB 9135
https://d-nb.info/gnd/123176166,"Alt, Sabine ",3.0,3.0,UB 20003 + UB 20026 + UB 20058
https://d-nb.info/gnd/120825074,"Ammaniti, Niccolò ",3.0,2.0,UB 19736 + UB 19736 + UB 19844
https://d-nb.info/gnd/118502786,"Andersch, Alfred ",1.0,1.0,UB 9892
https://d-nb.info/gnd/118502794,"Andersen, Hans Christian ",4.0,4.0,UB 690 + UB 14207 + UB 14178 + UB 14421
https://d-nb.info/gnd/1307416098,"Andkohiy, Asin ",1.0,1.0,UB 14458
https://d-nb.info/gnd/118502921,"Andreas-Salomé, Lou ",1.0,1.0,UB 14374
https://d-nb.info/gnd/118503111,"Angelus, Silesius ",1.0,1.0,UB 8006
https://d-nb.info/gnd/118503251,"Anouilh, Jean ",1.0,1.0,UB 9126
https://d-nb.info/gnd/118503677,"Apollonius, Rhodius ",3.0,1.0,UB 18231 + UB 18231 + UB 18231
https://d-nb.info/gnd/11850374X,"Apuleius, Madaurensis ",2.0,1.0,UB 486 + UB 486
https://d-nb.info/gnd/118503855,Archilochus ,1.0,1.0,UB 14168
https://d-nb.info/gnd/118503987,Aristophanes ,12.0,9.0,UB 18305 + UB 18664 + UB 18928 + UB 18791 + UB 19005 + UB 19130 + UB 19263 + UB 19263 + UB 19356 + UB 18664 + UB 19480 + UB 19130
https://d-nb.info/gnd/118504177,"Arnim, Achim von ",1.0,1.0,UB 8894
https://d-nb.info/gnd/118829211,"Ausländer, Rose ",1.0,1.0,UB 8959
https://d-nb.info/gnd/118505165,"Ausonius, Decimus Magnus ",2.0,2.0,UB 18027 + UB 19183
https://d-nb.info/gnd/118505173,"Austen, Jane ",12.0,10.0,UB 9871 + UB 1730 + UB 1729 + UB 20008 + UB 20054 + UB 20036 + UB 20061 + UB 18516 + UB 18856 + UB 9871 + UB 9871 + UB 14345
https://d-nb.info/gnd/11910251X,"Auster, Paul ",2.0,2.0,UB 9083 + UB 9078
https://d-nb.info/gnd/118651293,"Aymé, Marcel ",1.0,1.0,UB 9179
https://d-nb.info/gnd/11850553X,"Bach, Johann Sebastian ",1.0,1.0,UB 18063
https://d-nb.info/gnd/118505696,"Bacon, Francis ",3.0,1.0,UB 6645 + UB 6645 + UB 6645
https://d-nb.info/gnd/1324565837,"Bah, Ibrahim ",1.0,1.0,UB 14517
https://d-nb.info/gnd/118506358,"Balzac, Honoré de ",3.0,2.0,UB 9159 + UB 9159 + UB 19093
https://d-nb.info/gnd/115743030,"Baricco, Alessandro ",3.0,2.0,UB 19734 + UB 19842 + UB 19734
https://d-nb.info/gnd/118507184,"Baudelaire, Charles ",5.0,4.0,UB 18556 + UB 5076 + UB 19217 + UB 14090 + UB 14090
https://d-nb.info/gnd/119196476,"Baum, L. Frank ",1.0,1.0,UB 9001
