GND,Lovelybooks_Status,Lovelybooks_Autor,Lovelybooks_Stars,Lovelybooks_Bewertungen,Lovelybooks_Bibliotheken,Lovelybooks_Merkzettel,Lovelybooks_aktuell_gelesen,Lovelybooks_gefolgt,GND_Autor
https://d-nb.info/gnd/118500015,page_not_found,,,,,,,,"Aal, Johannes"
https://d-nb.info/gnd/118500074,page_not_found,,,,,,,,"Abbt, Thomas"
https://d-nb.info/gnd/116001097,page_not_found,,,,,,,,"Abeken, Bernhard Rudolf"
https://d-nb.info/gnd/119270285,page_not_found,,,,,,,,"Abel, Jakob Friedrich von"
https://d-nb.info/gnd/116001739,page_not_found,,,,,,,,"Abel, Kaspar"
https://d-nb.info/gnd/129105910,page_not_found,,,,,,,,"Abel, Michael"
https://d-nb.info/gnd/118500147,page_not_found,,,,,,,,"Abele von und zu Lilienberg, Matthias"
https://d-nb.info/gnd/102520879,page_not_found,,,,,,,,"Abelinus, Johann Philipp"
https://d-nb.info/gnd/11850021X,page_not_found,,,,,,,,"Abraham, a Sancta Clara"
https://d-nb.info/gnd/118500279,page_not_found,,,,,,,,"Abschatz, Hans Assmann von"
https://d-nb.info/gnd/11850035X,page_found,Alexander Abusch,,,,,,,"Abusch, Alexander"
https://d-nb.info/gnd/118646680,page_found,Chinua Achebe,3.9,104.0,197.0,44.0,2.0,4.0,"Achebe, Chinua"
https://d-nb.info/gnd/116005327,page_found,Arthur Achleitner,,,,1.0,,,"Achleitner, Arthur"
https://d-nb.info/gnd/119369125,page_found,Friedrich Achleitner,3.9,16.0,16.0,4.0,,,"Achleitner, Friedrich"
https://d-nb.info/gnd/118500422,page_found,Herbert Achternbusch,2.9,11.0,17.0,,,,"Achternbusch, Herbert"
https://d-nb.info/gnd/124438482,page_not_found,,,,,,,,"Acidalius, Valens"
https://d-nb.info/gnd/138348375,page_not_found,,,,,,,,"Ackermann, Ernst Wilhelm"
https://d-nb.info/gnd/1110188102,page_not_found,,,,,,,,"Ackermann, Werner"
https://d-nb.info/gnd/121602117,page_found,Jürg Acklin,3.8,5.0,11.0,2.0,,,"Acklin, Jürg"
https://d-nb.info/gnd/116006188,page_not_found,,,,,,,,"Acontius, Melchior"
https://d-nb.info/gnd/122079566,page_not_found,,,,,,,,"Acxtelmeier, Stanislaus Reinhard"
https://d-nb.info/gnd/1034669966,page_not_found,,,,,,,,"Adam, Andreas"
https://d-nb.info/gnd/12005860X,page_not_found,,,,,,,,"Adam, Melchior"
https://d-nb.info/gnd/129399639,page_found,Olivier Adam,3.9,138.0,212.0,37.0,3.0,1.0,"Adam, Olivier"
https://d-nb.info/gnd/123438675,page_not_found,,,,,,,,"Adami, Johann Samuel"
https://d-nb.info/gnd/122420217,page_not_found,,,,,,,,"Adami, Tobias"
https://d-nb.info/gnd/119033364,page_found,Douglas Adams,4.2,6664.0,5384.0,345.0,108.0,144.0,"Adams, Douglas"
https://d-nb.info/gnd/138053669,page_not_found,,,,,,,,"Ade, Maren"
https://d-nb.info/gnd/119272385,page_not_found,,,,,,,,"Adelmann von Adelmannsfelden, Bernhard"
https://d-nb.info/gnd/118500643,page_not_found,,,,,,,,"Adelphus, Johannes"
https://d-nb.info/gnd/118500651,page_found,Johann Christoph Adelung,,,,,,,"Adelung, Johann Christoph"
https://d-nb.info/gnd/124853668,page_not_found,,,,,,,,"Adersbach, Andreas"
https://d-nb.info/gnd/1131171683,page_not_found,,,,,,,,"Adler, Bruno"
https://d-nb.info/gnd/116008040,page_not_found,,,,,,,,"Adler, Friedrich"
https://d-nb.info/gnd/118500708,page_found,H. G. Adler,4.0,2.0,,1.0,,,"Adler, H. G."
https://d-nb.info/gnd/118647059,page_found,Paul Adler,,,,,,,"Adler, Paul"
https://d-nb.info/gnd/116008512,page_not_found,,,,,,,,"Adlersfeld-Ballestrem, Eufemia von"
https://d-nb.info/gnd/119052733,page_not_found,,,,,,,,"Adolfi Neocorus, Johann"
https://d-nb.info/gnd/119127806,page_not_found,,,,,,,,"Adolph, Johann Baptist"
https://d-nb.info/gnd/123217687,page_not_found,,,,,,,,"Adolph, Karl"
https://d-nb.info/gnd/118500775,page_found,Theodor W. Adorno,4.2,141.0,226.0,19.0,19.0,2.0,"Adorno, Theodor W."
https://d-nb.info/gnd/119299798,page_not_found,,,,,,,,"Adrian, Marc"
https://d-nb.info/gnd/121612767,page_found,Kurt Aebli,4.6,5.0,,,,,"Aebli, Kurt"
https://d-nb.info/gnd/104070404,page_not_found,,,,,,,,"Aemilie Juliane, Schwarzburg-Rudolstadt, Gräfin"
https://d-nb.info/gnd/131420127,page_not_found,,,,,,,,"Aemilius, Georg"
https://d-nb.info/gnd/118500856,page_found,Aeschylus,3.5,2.0,,,,,Aeschylus
https://d-nb.info/gnd/118647180,page_found,Äsop,4.6,17.0,25.0,6.0,1.0,,Aesopus
https://d-nb.info/gnd/100076386,page_not_found,,,,,,,,"Aesticampianus, Johannes"
https://d-nb.info/gnd/119293439,page_found,Giorgio Agamben,4.0,27.0,36.0,6.0,7.0,,"Agamben, Giorgio"
https://d-nb.info/gnd/118501062,page_found,Georg Agricola,4.0,2.0,,,,,"Agricola, Georg"
https://d-nb.info/gnd/118501070,page_not_found,,,,,,,,"Agricola, Johannes"
