GND,author,mentions
120013428,Kracht,1
119520621,Köppen,1
118599631,Remarque,1
118559427,Kaiser,1
118520040,Chamisso,1
118637479,Zweig,1
118531395,Euripides,1
11904157X,Widmer,1
118722123,Keun,1
118555286,Ibsen,1
120526107,Ingo Schulze,1
120448041,Judith Hermann,1
119204290,Kertész,1
119071738,Klüger,1
118744070,Reimann,1
118512676,Böll,1
115698027,Vanderbeke,1
118630539,Weiss,1
11894293X,Gstrein,1
118547445,Hebbel,1
118619047,Strauß,1
118617958,Sternheim,1
118619322,Strittmatter,1
118584162,Moritz,1
119053071,Herta Müller,1
118584944,Heiner Müller,1
118546619,Hasenclever,1
118512161,Bobrowski,1
118542192,Grillparzer,1
124054579,Kumpfmüller,1
122397061,Tellkamp,1
12053715X,Zaimoglu,1
118509861,Thomas Bernhard,1
118529390,Eichendorff,2
118553739,Horváth,2
118571680,Lenz,2
115673784,Schlink,2
11855817X,Johnson,2
118924389,Delius,2
118746693,Heinrich,2
118839276,Timm,2
118552759,Hofmannsthal,2
118618725,Storm,2
11856109X,G. Keller,3
118585916,R. Musil,3
118603140,J. Roth,3
12989432X,L. Tieck,3
115812431,D. Kehlmann,4
118548018,H. Heine,4
120821044,P. Stamm,4
11855042X,H. Hesse,4
118840991,Ch. Hein,5
118534556,F. de la Motte Fouqué,5
123120802,J. Zeh,5
118564471,W. Koeppen,6
118546937,G. Hauptmann,7
118536109,M. Frisch,7
118503251,J. Anouilh,7
118885006,P. Süskind,8
118609807,A. Schnitzler,8
118829742,J. Becker,8
118551736,R. Hochhuth,8
118613723,W. Shakespeare,9
118615688,Sophokles,10
118541579,G. Grass,11
118634666,Ch. Wolf,14
118572121,G. E. Lessing,15
118527908,F. Dürrenmatt,22
118577166,Th. Mann,25
118552465,E.T.A. Hoffmann,27
118514768,B. Brecht,29
118516906,G. Büchner,33
118534262,Th. Fontane,33
118563076,H. v. Kleist,37
118607626,F. Schiller,41
118559230,F. Kafka,47
118540238,J. W. v. Goethe,48
