,GND,searchphrase,BDSL_hits_2000_all
0,100010350,Johann Altenstaig,0.0
1,100010423,Andreas Althamer,0.0
2,100011780,Landgräfin  Hessen-Darmstadt Anna Sophie,0.0
3,100013945,Paul Bachmann,128.0
4,100017045,Ignaz Ferdinand Arnold,5.0
5,100018335,Johann Habermann,1.0
6,100018858,von Dillingen Athanasius,0.0
7,100019382,Niccolò Avancini,5.0
8,100019668,Johann Aurpach,1.0
9,100020666,Friedrich Dominik Ring,0.0
10,100020739,Georg Ludwig von Bar,2.0
11,100027385,Johann Bauhin,1.0
12,100029973,Burkhard Gotthelf Struve,0.0
13,10003392X,Amand Berghofer,1.0
14,100041213,Ludwig Franz von Bilderbeck,3.0
15,100043119,Johann Heinrich Bisterfeld,0.0
16,100051960,Friedrich Heinrich Bothe,0.0
17,100053904,Johann Alexander Brassicanus,0.0
18,100053912,Johann Ludwig Brassicanus,0.0
19,100054315,Johann Gottfried Dyck,1.0
20,100056660,Christian Wilhelm Kindleben,1.0
21,100057136,Johann David Hartmann,2.0
22,100057233,Johann Traugott Plant,0.0
23,100062067,Johann Gabriel Bernhard Büschel,0.0
24,100069983,Nikolaus Reusner,2.0
25,100070043,Georg Pictorius,0.0
26,100076386,Johannes Aesticampianus,0.0
27,100082505,Bernhard Joseph Docen,4.0
28,100084168,Johannes Clajus,2.0
29,100085296,Étienne Clavière,0.0
30,10008723X,Johann Coler,4.0
31,100092381,Antonius Corvinus,0.0
32,100099459,Johann Albert Fabricius,5.0
33,100101844,Johann Friedrich Degen,1.0
34,100110274,Augustin Dornblüth,0.0
35,10011153X,von Passau Donatus,0.0
36,100116523,Johann Arnold Ebert,25.0
37,100120393,Christian Ulrich Detlev von Eggers,0.0
38,100120458,Johann Friedrich Eisenhart,0.0
39,100123406,Leopold Enk von der Burg,0.0
40,100124844,Markgräfin  Brandenburg-Bayreuth Erdmuthe Sophia,0.0
41,100125077,Heinrich Gottfried von Bretschneider,1.0
42,100131603,Caspar Wolf,28.0
43,100132936,Gottlob Nathanael Fischer,0.0
44,10013498X,Johann Michael Fleischer,1.0
45,100135846,Karl Friedrich Flögel,1.0
46,10014568X,Johann Grob,0.0
47,100155324,Johann Gottfried Lukas Hagemeister,0.0
48,100157947,Karl Hammerdörfer,0.0
49,100165206,Ludwig von Hess,9.0
50,100166326,Karl Herloßsohn,6.0
51,100166962,Karl Heinrich Heydenreich,5.0
52,100170307,Gautier de Coste de La Calprenède,0.0
53,100178405,Carl Friedrich Cramer,18.0
54,100188826,Johannes Leunclavius,1.0
55,100190014,Hinrich Lichtenstein,2.0
56,100191290,Maurus Lindemayr,5.0
57,100191592,Johann Gotthelf Lindner,7.0
58,100200710,Christoph von Hellwig,2.0
59,100202055,Christian Gottfried Krause,3.0
60,100202640,Karl Friedrich Kretschmann,0.0
61,100205828,Jakob Martini,0.0
62,100206611,Hector Gottfried Masius,0.0
63,100209874,Christoph Heinrich Korn,0.0
64,100211542,Johann Basilius Küchelbecker,0.0
65,100217281,Ernst Hermann Joseph Münch,0.0
66,100223354,Johann Murmellius,3.0
67,100225799,Johann Carl Niedermayer,0.0
68,100226078,Friedrich Petri,0.0
69,100227627,Leonhard Meister,2.0
70,100230792,Johann Ludwig Prasch,6.0
71,100231144,Joseph Emil Nürnberger,1.0
72,100238238,Vincentius Opsopoeus,0.0
73,100243819,Johann Christoph Rasche,0.0
74,10024503X,Johann Rautenstrauch,2.0
75,10024775X,Bernard Georges Penot,0.0
76,100248896,Hieronymus Osius,0.0
77,100250769,Jacobus Pontanus,3.0
78,100261299,Karl von Rottmanner,0.0
79,100261779,Johann Baptist Rousseau,1.0
80,100265219,Hermann Schottenius,2.0
81,10026705X,Klamer Eberhard Karl Schmidt,0.0
82,100267904,Carl Schnaase,2.0
83,100268021,Gotthilf Heinrich Schnee,0.0
84,100268579,Johann Matthias Schneuber,1.0
85,100272053,Franz Karl Leopold von Seckendorf-Aberdar,7.0
86,100272568,Joachim Meichel,0.0
87,100276318,Karl Friedrich Stäudlin,0.0
88,100277608,Johann Christoph Sturm,6.0
89,100277764,Johann Ernst Stutz,0.0
90,100286062,Ludwig Giesebrecht,1.0
91,100286208,Johannes Gigas,1.0
92,100290132,Alexander Hegius,0.0
93,100290191,Peter Hehel,0.0
94,100295886,Aegidius Hunnius,0.0
95,100300359,Maximilian Leopold Langenschwarz,1.0
96,100303501,Anton Klein,7.0
97,100303935,Christian Gottlob Klemm,0.0
98,100308023,August Gottlieb Meißner,18.0
99,100308309,Sigismundus Meisterlin,5.0
100,100309038,Johann Georg Meusel,0.0
101,10030981X,Petrus Michaelis,0.0
102,100310281,Jakob Micyllus,2.0
103,100316794,Carl Ignaz Geiger,1.0
104,100317278,Johann Jacob Reiske,0.0
105,100318347,Georg Remus,0.0
106,100328547,Georg Schaz,0.0
107,100328989,Johann Rudolf Schinz,0.0
108,100329578,Friedrich Christian Schlenkert,1.0
109,100331351,Christian Ludwig Scheidt,0.0
110,100343686,Georg Tobias Pistorius,0.0
111,100348157,Monacensis Geminianus,0.0
112,100349129,Johann Winter,21.0
113,100352952,August Adolf von Haugwitz,4.0
114,100358896,Johann Adolf Hoffmann,1.0
115,100360483,Johannes von Cuba,2.0
116,100363105,Christian Gottlieb Jöcher,0.0
117,100364608,von Wasserburg Jordan,0.0
118,100369235,Gottlieb von Leon,6.0
119,100370381,Johann Wilhelm Loebell,1.0
120,10037784X,Heinrich Ferdinand Möller,1.0
121,100381472,Hedwig L. de Pernet,0.0
122,100383610,Peter Paganus,0.0
123,10038384X,Johann Gottfried von Pahl,1.0
124,100385702,Joseph Friedrich zu Racknitz,0.0
125,10039535X,Karl Reinhard,15.0
126,100400159,Alois Wilhelm Schreiber,4.0
127,100400930,Martin Schrot,5.0
128,10041267X,Heinrich Arnold Stockfleth,0.0
129,100412807,Leonhard Stöckel,1.0
130,10041463X,Johann Baptist von Albertini,0.0
131,100422004,Max Karl Baldamus,0.0
132,100428428,Hinrich Borkenstein,0.0
133,100428665,Christian Friedrich von Bonin,0.0
