,GND,GND_name,GND_gender,GND_birth,GND_death,GND_occupation,GND_country
0,100010350,"Altenstaig, Johann",Männlich,1480,1523,Humanist + Humanist + Theologe + Priester,Deutschland
1,100010423,"Althamer, Andreas",Männlich,1500,1539,Evangelischer Theologe + Reformator + Humanist + Pfarrer + Klassischer Philologe + Lehrer,Deutschland
2,100011780,"Anna Sophie, Hessen-Darmstadt, Landgräfin",Weiblich,1638,1683,Äbtissin,Deutschland
3,100013945,"Bachmann, Paul",Unbekannt,,1538,Mönch + Abt,Deutschland
4,100017045,"Arnold, Ignaz Ferdinand",Männlich,1774-04-04,1812-10-13,Schriftsteller + Jurist + Musikwissenschaftler + Organist + Privatdozent + Rechtsanwalt + Schriftsteller,Deutschland
5,100018335,"Habermann, Johann",Unbekannt,1516-08-10,1590-12-05,Theologe + Evangelischer Theologe + Hebraist + Pfarrer + Hochschullehrer + Superintendent + Schriftsteller,Deutschland
6,100018858,"Athanasius, von Dillingen",Unbekannt,1635,1714-12-07,Prediger + Prediger + Dekan <Kirche>,Deutschland
7,100019382,"Avancini, Niccolò",Männlich,1611-12-01,1686-12-06,Philosoph + Katholischer Theologe + Hochschullehrer + Schriftsteller + Mönch + Dramatiker,Österreich + Italien
8,100019668,"Aurpach, Johann",Männlich,1531,1582,Lyriker + Jurist,Deutschland
9,100020666,"Ring, Friedrich Dominik",Männlich,1726-05-24,1809-02-08,Schriftsteller + Literarhistoriker + Hofrat,Deutschland
10,100020739,"Bar, Georg Ludwig von",Männlich,1701-01-06,1767-08-06,Schriftsteller + Domkapitular + Propst + Übersetzer,Deutschland
11,100027385,"Bauhin, Johann",Männlich,1541-02-12,1613-10-27,Arzt + Botaniker,Deutschland + Frankreich + Schweiz
12,100029973,"Struve, Burkhard Gotthelf",Männlich,1671,1738,Historiker + Jurist + Polyhistor + Hochschullehrer + Bibliothekar + Hofrat,Deutschland
13,10003392X,"Berghofer, Amand",Männlich,1745-12-02,1825-02-07,Schriftsteller + Pädagoge + Philosoph,Deutschland
14,100041213,"Bilderbeck, Ludwig Franz von",Männlich,1764,1833,Schriftsteller + Hofbeamter,Frankreich + Deutschland
15,100043119,"Bisterfeld, Johann Heinrich",Männlich,1605,1655,Theologe + Philosoph + Hochschullehrer,Rumänien + Deutschland
16,100051960,"Bothe, Friedrich Heinrich",Männlich,1771,1855-06-09,Schriftsteller + Klassischer Philologe + Übersetzer + Schriftsteller,Deutschland
17,100053904,"Brassicanus, Johann Alexander",Männlich,1500,1539-11-27,Jurist + Schriftsteller + Humanist,Deutschland + Österreich
18,100053912,"Brassicanus, Johann Ludwig",Männlich,1509,1549-06-03,Jurist + Schriftsteller,Deutschland
19,100054315,"Dyck, Johann Gottfried",Männlich,1750,1815,Verleger + Buchhändler,Deutschland
20,100056660,"Kindleben, Christian Wilhelm",Männlich,1748-10-04,1785,Theologe + Prediger + Schriftsteller + Publizist + Übersetzer + Verleger,Deutschland
