GND,author,title,points,list_type
118540238,Goethe,Faust I,918,Erzähltexte und Dramen
118572121,Lessing,Nathan der Weise,817,Erzähltexte und Dramen
118516906,Buechner,Woyzeck,800,Erzähltexte und Dramen
118559230,Kafka,Der Prozess,799,Erzähltexte und Dramen
118548018,Heine,Deutschland Ein Wintermaerchen,779,Erzähltexte und Dramen
118559230,Kafka,Die Verwandlung,772,Erzähltexte und Dramen
118540238,Goethe,Die Leiden des jungen Werthers,769,Erzähltexte und Dramen
118577166,Mann,Buddenbrooks,741,Erzähltexte und Dramen
118534262,Fontane,Effi Briest,739,Erzähltexte und Dramen
118577166,"Mann, Thomas",Der Zauberberg,734,Erzähltexte und Dramen
,NN,Nibelungenlied,724,Erzähltexte und Dramen
118585916,Musil,Der Mann ohne Eigenschaften,721,Erzähltexte und Dramen
118607626,Schiller,Die Raeuber,719,Erzähltexte und Dramen
118526200,Doeblin,Berlin Alexanderplatz,716,Erzähltexte und Dramen
118527908,Duerrenmatt,Die Physiker,714,Erzähltexte und Dramen
118516906,Buechner,Lenz,709,Erzähltexte und Dramen
118559230,Kafka,Das Urteil,708,Erzähltexte und Dramen
118563076,Kleist,Michael Kohlhaas,705,Erzähltexte und Dramen
118536109,Frisch,Homo faber,701,Erzähltexte und Dramen
118541579,Grass,Die Blechtrommel,698,Erzähltexte und Dramen
118514768,Brecht,Leben des Gallilei,697,Erzähltexte und Dramen
118516906,Buechner,Dantons Tod,696,Erzähltexte und Dramen
118514768,Brecht,Mutter Courage,695,Erzähltexte und Dramen
118577166,"Mann, Thomas",Der Tod in Venedig,692,Erzähltexte und Dramen
118577131,"Mann, Heinrich",Der Untertan,691,Erzähltexte und Dramen
118559230,Kafka,Das Schloss,690,Erzähltexte und Dramen
118527908,Duerrenmatt,Der Besuch der alten Dame,689,Erzähltexte und Dramen
118563076,Kleist,Der zerbrochene Krug,687,Erzähltexte und Dramen
118618725,Storm,Der Schimmelreiter,684,Erzähltexte und Dramen
118634933,Eschenbach,Parzival,682,Erzähltexte und Dramen
118536109,Frisch,Stiller,681,Erzähltexte und Dramen
118513451,Borchert,Draussen vor der Tuer,679,Erzähltexte und Dramen
118542273,Grimmelshausen,Simplicissimus,677,Erzähltexte und Dramen
118552465,Hoffmann,Der Sandmann,674,Erzähltexte und Dramen
118516906,Buechner,Leonce und Lena,671,Erzähltexte und Dramen
118577166,Mann,Doktor Faustus,671,Erzähltexte und Dramen
11855042X,Hesse,Steppenwolf,670,Erzähltexte und Dramen
118637479,Zweig,Schachnovelle,669,Erzähltexte und Dramen
118563076,Kleist,Die Marquise von O,666,Erzähltexte und Dramen
118529390,Eichendorff,Aus dem Leben eines Taugenichts,662,Erzähltexte und Dramen
118546937,Hauptmann,Die Weber,656,Erzähltexte und Dramen
118512676,Boell,Ansichten eines Clowns,655,Erzähltexte und Dramen
118829742,Becker,Jakob der Luegner,654,Erzähltexte und Dramen
118601024,Rilke,Die Aufzeichnungen des Malte Laurids Brigge,652,Erzähltexte und Dramen
118607626,Schiller,Kabale und Liebe,652,Erzähltexte und Dramen
118612743,Seghers,Das siebte Kreuz,652,Erzähltexte und Dramen
118540238,Goethe,Die Wahlverwandtschaften,648,Erzähltexte und Dramen
118563076,Kleist,Das Erdbeben in Chili,648,Erzähltexte und Dramen
11856109X,Keller,Der gruene Heinrich,645,Erzähltexte und Dramen
