GND;VDBO_source;author_full;author_simple;length
118500015;Killy_1;Aal, Al, All, Johannes, latinisiert Joannes Anguilla bzw. Olus;Aal, Johannes;583.0
118500074;Killy_1;Abbt, Thomas;Abbt, Thomas;1917.0
116001097;Killy_1;Abeken, Bernhard Rudolf;Abeken, Bernhard Rudolf;511.0
119270285;Killy_1;Abel, Jakob Friedrich (von?);Abel, Jakob Friedrich von;826.0
116001739;Killy_1;Abel, Kaspar, Caspar;Abel, Caspar;562.0
129105910;Killy_1;Abel, Michael;Abel, Michael;640.0
118500147;Killy_1;Abele von und zu Lilienberg, Matthias;Abele von und zu Lilienberg, Matthias;532.0
102520879;Killy_1;Abelinus, Johann Philipp, eigentl.: J. P. Abele, auch: Philippus Arlanibaeus;Abelinus, Johann Philipp;536.0
11850021X;Killy_1;Abraham a Sancta Clara (Ordensname), auch: Gaudentius Hilarion, Hilarius von Freudberg, Theophilus Mariophilus, bürgerlich: Johann Ulrich Megerle;Abraham a Sancta Clara;2287.0
;Killy_1;;‘Abrogans’ (‘Abrogans deutsch’);522.0
118500279;Killy_1;Abschatz, Hans Aßmann Frhr. von, auch: Johann Eraßmus, Hannß A. von A.;Abschatz, Hans Aßmann von;1218.0
11850035X;Killy_1;Abusch, Alexander;Abusch, Alexander;457.0
116005327;Killy_1;Achleitner, Arthur;Achleitner, Arthur;259.0
119369125;Killy_1;Achleitner, Friedrich;Achleitner, Friedrich;825.0
118500422;Killy_1;Achternbusch, Herbert, eigentl.: Herbert Schild;Achternbusch, Herbert;1424.0
124438482;Killy_1;Acidalius, Valens, eigentl.: Valtin Havekenthal;Acidalius, Valens;651.0
138348375;Killy_1;Ackermann, Ernst Wilhelm;Ackermann, Ernst Wilhelm;300.0
1110188102;Killy_1;Ackermann, Werner, auch: Robert Landmann, Rico Gala, W. A. Fieldmann;Ackermann, Werner;266.0
121602117;Killy_1;Acklin, Jürg, auch: Jörg;Acklin, Jürg;610.0
116006188;Killy_1;Acontius, Melchior, eigentl.: Volz, Folst, Foltz(e);Acontius, Melchior;512.0
1034669966;Killy_1;Adam, Adamus, Johannes;Adam, Johannes;662.0
12005860X;Killy_1;Adam, Melchior;Adam, Melchior;421.0
123438675;Killy_1;Adami, Johann Samuel, auch: Misander;Adami, Johann Samuel;467.0
122420217;Killy_1;Adami, Tobias;Adami, Tobias;751.0
119272385;Killy_1;Adelmann von Adelmannsfelden, Bernhard;Adelmann von Adelmannsfelden, Bernhard;1237.0
118500651;Killy_1;Adelung, Johann Christoph;Adelung, Johann Christoph;2112.0
124853668;Killy_1;Adersbach, Andreas, auch: Barchedas;Adersbach, Andreas;316.0
1131171683;Killy_1;Adler, Bruno, auch: Urban Roedl;Adler, Bruno;388.0
116008040;Killy_1;Adler, Friedrich;Adler, Friedrich;382.0
118500708;Killy_1;Adler, H(ans) G(ünther);Adler, H. G.;1163.0
118647059;Killy_1;Adler, Paul;Adler, Paul;381.0
116008512;Killy_1;Adlersfeld-Ballestrem, Eufemia von;Adlersfeld-Ballestrem, Eufemia von;295.0
;Killy_1;;‘Admonter Passionsspiel’;469.0
119127806;Killy_1;Adolph, Adolff, Johann Baptist;Adolph, Johann Baptist;610.0
123217687;Killy_1;Adolph, Karl;Adolph, Karl;231.0
118500775;Killy_1;Adorno, Theodor W(iesengrund);Adorno, Theodor W.;3012.0
119299798;Killy_1;Adrian, Marc;Adrian, Marc;249.0
121612767;Killy_1;Aebli, Kurt;Aebli, Kurt;352.0
104070404;Killy_1;Aemilia Juliane, Aemilie J., Gräfin zu Schwarzburg-Rudolstadt, geb. Gräfin zu Barby;Aemilia Juliane, Gräfin zu Schwarzburg-Rudolstadt;398.0
131420127;Killy_1;Aemilius, Georg, eigentl.: Oemler, Omler, Öhmler;Aemilius, Georg;398.0
118501062;Killy_1;Agricola, Georgius, eigentl.: Georg Pawer;Agricola, Georgius;1712.0
118501070;Killy_1;Agricola, Johannes, auch: Islebius, Eisleben, eigentl.: Johannes Schneider, Spottname: Grikkel;Agricola, Johannes;567.0
118501089;Killy_1;Agricola, Rodolphus A. Phrisius, eigentl.: Roelof Huisman;Agricola, Rodolphus A. Phrisius;1672.0
118647377;Killy_1;Agrippa von Nettesheim, eigentl.: Heinrich Cornelius;Agrippa von Nettesheim;1629.0
118962590;Killy_1;Ahlefeld, Ahlefeldt, Charlotte Elisabeth von, geb. C. Sophie Louise Wilhelmine von Seebach, auch: Elise Selbig, Ernestine, Natalie;Ahlefeld, Charlotte von;346.0
118644092;Killy_1;Ahlsen, Leopold, eigentl.: Helmut Alzmann;Ahlsen, Leopold;450.0
116257431;Killy_1;Ahlwardt, Christian Wilhelm August;Ahlwardt, Christian Wilhelm August;334.0
1092199446;Killy_1;Ahrends, Martin;Ahrends, Martin;387.0
120453479;Killy_1;Ahrens, Henning;Ahrens, Henning;380.0
124578225;Killy_1;Aicher, Otto;Aicher, Otto;461.0
