;ID;GND-Nummer;Eintrag;Seiten;Eintragsart;Anzahl_Seiten;Kommentar;Anzahl_Seiten_neu
0;beutin_per0001;11850021X;Abraham a Sancta Clara;139;Autor;1;;1
1;beutin_per0002;11850035X;Abusch, Alexander;526, 528, 539,484;Autor;4;;4
2;beutin_per0003;118500422;Achternbusch, Herbert;650, 654, 663–665;Autor;4;;5
3;beutin_per0004;118818260;Ackermann, Johann;94;Autor;1;;1
4;beutin_per0005;118500619;Addison, Joseph;164;Autor;1;;1
5;beutin_per0006;118500775;Adorno, Theodor W.;183, 239, 412, 414, 504,558, 564, 593, 599, 600, 558, 564, 593, 599, 600, 558, 564, 593, 599, 600, 602, 666, 675, 696, 708,108;Autor;26;;26
6;beutin_per0007;118647180;Aesop;179–181;Autor;2;;3
7;beutin_per0008;118644092;Ahlsen, Leopold;616;Autor;1;;1
8;beutin_per0009;118501232;Aichinger, Ilse;601, 613;Autor;2;;2
9;beutin_per0010;118500856;Aischylos;549, 696;Autor;2;;2
10;beutin_per0011;118501259;Aitmatow, Tschingis;563;Autor;1;;1
11;beutin_per0012;116009926;Alberti, Conrad;346;Autor;1;;1
12;beutin_per0013;118501518;Albertinus, Aegidius;139;Autor;1;;1
13;beutin_per0014;118501593;Albrant;55;Autor;1;;1
14;beutin_per0015;116010010;Albrecht, Sophie von;212 f.;Autor;1;;2
15;beutin_per0016;118644378;Albrecht von Eyb;63;Autor;1;;1
16;beutin_per0017;118501623;Albrecht von Halberstadt;24;Autor;1;;1
17;beutin_per0018;118501631;Albrecht von Johansdorf;21, 37;Autor;2;;2
18;beutin_per0019;118501771;AlemÃ¡n, Mateo;142, 147,118, 139;Autor;4;;4
19;beutin_per0020;118648071;Alexis, Willibald;287 , 337,281;Autor;3;;3
20;beutin_per0021;118502026;Alkuin;4, 13–15;Autor;3;;4
21;beutin_per0022;118945661;Allert-Wybranietz, Kristiane;645;Autor;1;;1
22;beutin_per0023;119260514;Aloni, Jenni;459;Autor;1;;1
23;beutin_per0024;118502255;Altenberg, Peter;368,362, 366;Autor;3;;3
24;beutin_per0025;118502549;Améry, Jean;453;Autor;1;;1
25;beutin_per0026;118502786;Andersch, Alfred;484–486, 492, 495, 603, 606 , 611, 667 ,238;Autor;9;;10
26;beutin_per0027;118502751;Anders, Günther;714;Autor;1;;1
27;beutin_per0028;118502794;Andersen, Hans-Christian;227, 282;Autor;2;;2
28;beutin_per0029;119111365;Anderson, Sascha;580, 582, 675 ,521;Autor;4;;4
