;GND-Nummer;Eintrag;Seiten;Anzahl_Seiten_neu
0;118500775;Adorno, Theodor W. 1903 1969;112, 302;2
1;118501038;Agnon, Samuel Joseph eigentl. Czaczkes 1888 1970;275;1
2;118647377;Agrippa von Nettesheim, Heinrich Cornelius 1486 1535;13 f., 33;3
3;118501232;Aichinger, Ilse *1921;297, 305;2
4;118501402;Albers, Hans 1892 1960;260;1
5;119111349;Albrecht III. der Fromme 1401 1460;9;1
6;11850178X;Alembert, Jean Le Ronde d’ 1717 1783;58;1
7;118648071;Alexis, Willibald eigentl. Georg Wilhelm Heinrich Häring 1798 1871;178, 183;2
8;116303050;Anacker, Heinrich 1901 1971;262 f.;2
9;118649035;Anakreon um 530 495 v. u. Z.;;0
10;118502786;Andersch, Alfred 1914 1980;292 f., 297 f., 307, 322, 328 f.;8
11;119111365;Anderson, Sascha *1953;340 f.;2
12;118503006;Andrian zu Werburg, Leopold Freiherr Ferdinand von 1875 1951;205 f.;2
13;118502956;Andres, Stefan 1906 1970;267, 270;2
14;118503111;Angelus Silesius eigentl. Johann Scheffler 1624 1677;33;1
15;1325000744;Anna Amalia, Herzogin von Sachsen-Weimar-Eisenach 1739 1807;101 f.,117;3
16;118503243;Annunzio, Gabriele d’ 1863 1938;205, 269;2
17;118503472;Anton Ulrich, Herzog von Braunschweig-Wolfenbüttel 1633 1714;45;1
18;11850357X;Anzengruber, Ludwig 1839 1889;187, 263;2
19;118829637;Apitz, Bruno 1900 1979;297;1
20;118503634;Apollinaire, Guillaume eigentl. Wilhelm Apollinaris de Kostrowitski 1880 1918;218;1
21;11850391X;Arendt, Hannah 1906 1975;272, 315;2
22;118650130;Aristoteles 384/3 322/1 v. u. Z.;8,16, 81;3
23;118504118;Arndt, Ernst Moritz 1769 1860;141 f., 165;3
24;118504177;Arnim, Achim von 1781 1831;127, 130;2
25;118504185;Arnim, Bettine eigentl. Elisabeth von 1785 1859;127, 146;2
