DNB_dataset,title,UB,year,GND_person,person,GND_author,author,sachgruppen
580054632,Uriel Acosta : Trauerspiel in 5 Aufz. / Karl Gutzkow. Mit e. Einl. von Rudolf von Gottschall,UB 5051,1847.0,118543830 + 127615369,"Gutzkow, Karl (Verfasser) + Gotschall, Rudolf von (Mitwirkender)",118543830,"Gutzkow, Karl ",
580118908,Gyges und sein Ring : eine Tragödie in 5 Akten / Friedrich Hebbel,UB 3199,1856.0,118547445,"Hebbel, Friedrich (Verfasser)",118547445,"Hebbel, Friedrich ",
362744289,Trutz-Nachtigal : Lieder aus d. dt. Walde / August Silberstein,UB 263,1870.0,11738464X,"Silberstein, August (Verfasser)",11738464X,"Silberstein, August ",
573762244,"Ghaselen, alte und neue / von Franz Hermann von Hermannsthal",UB 371,1872.0,116743980,"Hermann von Hermannsthal, Franz (Verfasser)",116743980,"Hermann von Hermannsthal, Franz ",
578851466,Beovulf (Bärwelf) : das älteste deutsche Heldengedicht ; aus d. Angelsächsischen / v. Hans von Wolzogen,UB 430,1872.0,119498235,"Wolzogen, Hans von (Mitwirkender)",,,
362676275,Studenten und Lutzower : Ein Zeitb. aus d. dt. Freiheitskriege v. 1813 ; Vaterländ. Schausp. in 4 Aufz. / Wilhelm Schröder,UB 541,1874.0,,"Schröder, Wilhelm (Verfasser)",,"Schröder, Wilhelm ",
1066460426,"Oberon : romantische Oper in drei Aufzügen / von C. M. von Weber. Dichtung von James Robinson Planché (Theodor Hell). Vollst. Buch, durchgearb. u. hrsg. von Carl Friedr. Wittmann",UB 2774,1876.0,118629662 + 117427284 + 12115873X,"Weber, Carl Maria von (Verfasser) + Wittmann, Carl Friedrich (Herausgeber) + Planché, James R. (Texter)",118629662,"Weber, Carl Maria von ",
362563225,Die guten Freunde : Lustspiel in 4 Aufz. / Victorien Sardou. Für d. dt. Bühne bearb. von Heinrich Laube,UB 708,1876.0,118794566 + 118570080,"Sardou, Victorien (Verfasser) + Laube, Heinrich (Mitwirkender)",118794566,"Sardou, Victorien ",
1017474931,Ueber den Umgang mit Menschen / von Adolph Freiherrn Knigge,UB 1138,1878.0,11856370X,"Knigge, Adolph, Freiherr (Verfasser)",11856370X,"Knigge, Adolph, Freiherr ","390 Bräuche, Etikette, Folklore"
999426540,Götterlehre der Griechen und Römer : mit 62 Ill. in Holzschn. / von Karl Philipp Moritz. In neuer Bearb. hrsg. v. Max Oberbreyer,UB 1081,1878.0,118584162 + 117073164,"Moritz, Karl Philipp (Verfasser) + Oberbreyer, Max (Mitwirkender)",118584162,"Moritz, Karl Philipp ",
361961146,Mozart / Von Ludwig Nohl,UB 1121,1879.0,117039926,"Nohl, Ludwig (Verfasser)",117039926,"Nohl, Ludwig ",
1200935357,Beethoven : Biographie / von Ludwig Nohl,UB 1181,1879.0,,"Nohl, Ludwig (Verfasser)",,"Nohl, Ludwig ",
997932937,Penthesilea : ein Trauersp. / v. Heinrich von Kleist,UB 1305,1880.0,118563076,"Kleist, Heinrich von (Verfasser)",118563076,"Kleist, Heinrich von ",
363026908,Alter schützt vor Thorheit nicht : Lustsp. in 1 Aufz. / Feodor Wehl,UB 1105,1880.0,117220264,"Wehl, Feodor (Verfasser)",117220264,"Wehl, Feodor ",
580333949,Von der Macht des Gemüts durch den blossen Vorsatz seiner krankhaften Gefühle Meister zu sein / Immanuel Kant. Hrsg. u. mit Anm. vers. v. C. W. Hufeland,UB 1130,1882.0,118559796 + 118554514,"Kant, Immanuel (Verfasser) + Hufeland, Christoph Wilhelm von (Mitwirkender)",118559796,"Kant, Immanuel ",
578880776,Malati und Madhava : Ein ind. Drama / Bhavabhuti. Zum 1. Male u. metrisch aus d. Orig. ins Dt. übers. v. Ludwig Fritze,UB 1844,1883.0,119349914 + 116826169,"Bhavabhūti (Verfasser) + Fritze, Ludwig (Mitwirkender)",119349914,Bhavabhūti ,
578973847,Lexikon der deutschen Dichter und Prosaisten von den ältesten Zeiten bis zum Ende des 18. Jahrhunderts / Bearb. Franz Brümmer,UB 1941,1884.0,116751460,"Brümmer, Franz (Verfasser)",116751460,"Brümmer, Franz ",
