GND,author,title,year,state,ID_orig
118647180,Äsop,Fabeln,,Baden-Württemberg,2508
118647180,Äsop,Fabeln,,Sachsen-Anhalt,2447
118646680,Achebe,Okonkwo oder Das Alte stürzt,1959,Baden-Württemberg,1778
138053669,Ade,Toni Erdmann (Film),2016,Hessen,297
138053669,Ade,Toni Erdmann (Film),2016,Hamburg,3
118500775,Adorno,Rede über Lyrik und Gesellschaft,1951,Niedersachsen,1069
118501232,Aichinger,Das Fenster-Theater (In: Der Gefesselte),1953,Niedersachsen,645
118500856,Aischylos,Orestie,-458,Rheinland-Pfalz,2687
118501259,Aitmatow,Djamila,1960,Sachsen-Anhalt,2444
118501259,Aitmatow,Djamila,1960,Niedersachsen,705
118501259,Aitmatow,Dshamilja [auch: Djamila],1960,Baden-Württemberg,2502
118501259,Aitmatow,Dshamilja [auch: Djamila],1960,Bayern,2605
118501380,Albee,Wer hat Angst vor Virginia Woolf?,1963,Hessen,171
118501380,Albee,Zoogeschichte,1959,Niedersachsen,922
118869159,Allende,Das Geisterhaus,1984,Sachsen-Anhalt,2445
123526183,Almond,Feuerschlucker,2005,Sachsen,2012
118937197,Amery,Der Untergang der Stadt Passau,1975,Bayern,2667
118502786,Andersch,Der Vater eines Mörders,1980,Niedersachsen,707
118502786,Andersch,Der Vater eines Mörders,1980,Sachsen-Anhalt,2155
118502786,Andersch,Der Vater eines Mörders,1980,Bayern,2592
118502786,Andersch,Sansibar oder Der letzte Grund,1957,Bayern,2628
118502786,Andersch,Sansibar oder Der letzte Grund,1957,Sachsen-Anhalt,2154
118502786,Andersch,Sansibar oder Der letzte Grund,1957,Rheinland-Pfalz,2688
118502786,Andersch,Sansibar oder Der letzte Grund,1957,Baden-Württemberg,1582
118502786,Andersch,Sansibar oder Der letzte Grund,1957,Niedersachsen,706
118502786,Andersch,Sansibar oder Der letzte Grund,1957,Hessen,156
118502786,Andersch,Sansibar oder Der letzte Grund,1957,Saarland,2996
118502794,Andersen,Märchensammlung,,Niedersachsen,805
120315106,Ani,Wie Licht schmeckt,2002,Niedersachsen,646
118503251,Anouilh,Antigone,1944,Baden-Württemberg,1736
118503251,Anouilh,Antigone,1944,Sachsen-Anhalt,2446
118503251,Anouilh,Antigone,1944,Hessen,137
118503251,Anouilh,unbekannt,,Bayern,1214
118735969,Ōe,Eine persönliche Erfahrung,1964,Baden-Württemberg,1800
11850374X,Apuleius,Der goldene Esel,,Baden-Württemberg,1751
118650130,Aristoteles,unbekannt,,Mecklenburg-Vorpommern,345
118184555,Arjouni,Magic Hoffmann,1996,Niedersachsen,708
118184555,Arjouni,unbekannt,,Bayern,1221
118504398,Arp,unbekannt,,Rheinland-Pfalz,2689
11850441X,Arrabal,Picknick im Felde,1959,Niedersachsen,816
118646168,Atwood,Katzenauge,1990,Baden-Württemberg,2497
118829211,Ausländer,Kindheit I,1965,Niedersachsen,978
118829211,Ausländer,Mit giftblauem Feuer,1942,Niedersachsen,1058
118829211,Ausländer,Nachtzauber,1965,Niedersachsen,1016
118829211,Ausländer,unbekannt,,Baden-Württemberg,1695
118829211,Ausländer,unbekannt,,Bayern,1254
118505173,Austen,Emma,1815,Baden-Württemberg,1804
118505173,Austen,Stolz und Vorurteil,1830,Baden-Württemberg,1805
11910251X,Auster,Mond über Manhattan,1989,Baden-Württemberg,2480
11910251X,Auster,unbekannt,,Bayern,1245
119406586,Özdamar,Das Leben ist eine Karawanserei,1992,Niedersachsen,771
119406586,Özdamar,Die Brücke vom Goldenen Horn,1998,Niedersachsen,1087
