GND,author,title,year,state,ID_orig
118516906,Büchner,Lenz,1839,Bremen,1363
118516906,Büchner,Woyzeck,1879,Bremen,1364
118510789,Biermann,unbekannt,,Bremen,1345
11852884X,Eco,unbekannt,,Bremen,1352
118530534,Enzensberger,unbekannt,,Bremen,1344
118703145,Fried,unbekannt,,Bremen,1346
118541579,Grass,unbekannt,,Bremen,1339
118548018,Heine,unbekannt,,Bremen,1343
118914480,Iser,unbekannt,,Bremen,1360
118557149,Jauß,unbekannt,,Bremen,1361
118559796,Kant,unbekannt,,Bremen,1340
11856109X,Keller,Romeo und Julia auf dem Dorfe,1855,Bremen,1369
118572121,Lessing,"Briefe, die neueste Literatur betreffend",1759,Bremen,3067
118572121,Lessing,Hamburgische Dramaturgie,1767,Bremen,1370
118577166,Mann,unbekannt,,Bremen,1347
124008100,Marthaler,unbekannt,,Bremen,1348
12239089X,Menasse,unbekannt,,Bremen,1354
118585916,Musil,unbekannt,,Bremen,1337
118595024,Plenzdorf,Die neuen Leiden des jungen W.,1972,Bremen,1368
118607626,Schiller,unbekannt,,Bremen,1341
118608312,Schlöndorff,unbekannt,,Bremen,1338
118758675,Schneider,Lenz,1973,Bremen,1367
118613723,Shakespeare,Romeo und Julia,1597,Bremen,1366
118751506,Sontag,unbekannt,,Bremen,1353
,,Historia von D. Johann Fausten [auch: Volksbuch],1587,Bremen,3066
118540238,von Goethe,Die Leiden des jungen Werthers,1774,Bremen,1365
118540238,von Goethe,Faust I,1808,Bremen,1362
118540238,von Goethe,unbekannt,,Bremen,1342
118563076,von Kleist,unbekannt,,Bremen,1350
118629549,Watzlawick,unbekannt,,Bremen,1351
11811946X,Zimmer,unbekannt,,Bremen,1349
