GND,author,title,year,state,ID_orig
118500775,Adorno,Rede über Lyrik und Gesellschaft,1951,Niedersachsen,1069
118501232,Aichinger,Das Fenster-Theater (In: Der Gefesselte),1953,Niedersachsen,645
118501259,Aitmatow,Djamila,1960,Niedersachsen,705
118501380,Albee,Zoogeschichte,1959,Niedersachsen,922
118502786,Andersch,Der Vater eines Mörders,1980,Niedersachsen,707
118502786,Andersch,Sansibar oder Der letzte Grund,1957,Niedersachsen,706
118502794,Andersen,Märchensammlung,,Niedersachsen,805
120315106,Ani,Wie Licht schmeckt,2002,Niedersachsen,646
118184555,Arjouni,Magic Hoffmann,1996,Niedersachsen,708
11850441X,Arrabal,Picknick im Felde,1959,Niedersachsen,816
118829211,Ausländer,Kindheit I,1965,Niedersachsen,978
118829211,Ausländer,Mit giftblauem Feuer,1942,Niedersachsen,1058
118829211,Ausländer,Nachtzauber,1965,Niedersachsen,1016
119406586,Özdamar,Das Leben ist eine Karawanserei,1992,Niedersachsen,771
119406586,Özdamar,Die Brücke vom Goldenen Horn,1998,Niedersachsen,1087
118512676,Böll,Ansichten eines Clowns,1963,Niedersachsen,1125
118512676,Böll,Billard um halbzehn,1959,Niedersachsen,1089
118512676,Böll,Die verlorene Ehre der Katharina Blum,1974,Niedersachsen,716
118512676,Böll,Die Waage der Baleks,1953,Niedersachsen,649
118512676,Böll,Doktor Murkes gesammeltes Schweigen und andere Satiren,1958,Niedersachsen,715
118512676,Böll,"Wanderer, kommst du nach Spa…",1950,Niedersachsen,714
118516906,Büchner,Dantons Tod,1835,Niedersachsen,876
118516906,Büchner,Lenz,1839,Niedersachsen,874
118516906,Büchner,Leonce und Lena,1836,Niedersachsen,909
118516906,Büchner,Woyzeck,1879,Niedersachsen,875
118517104,Bürger,Des Pfarrers Tochter von Taubenhain,1781,Niedersachsen,845
118517104,Bürger,Wunderbare Reisen zu Wasser und zu Lande – Feldzüge und lustige Abenteuer des Freiherrn von Münchhausen,1786,Niedersachsen,653
12493272X,Bach,Jetzt ist hier,2007,Niedersachsen,709
118505602,Bachmann,"Erklär mir, Liebe",1956,Niedersachsen,999
118505602,Bachmann,Unter Mördern und Irren,1961,Niedersachsen,1091
118505955,Bahr,Die Überwindung des Naturalismus,1891,Niedersachsen,931
133528650,Bauer,Nennt mich nicht Ismael,2008,Niedersachsen,647
128366974,Bauersima,norway.today,2000,Niedersachsen,817
118829742,Becker,Bronsteins Kinder,1986,Niedersachsen,1074
118829742,Becker,Jakob der Lügner,1969,Niedersachsen,710
118508172,Beckett,Warten auf Godot,1953,Niedersachsen,921
115371915,Begley,Lügen in Zeiten des Krieges,1994,Niedersachsen,1092
118509039,Benjamin,Berliner Kindheit um 1900,1950,Niedersachsen,711
118509047,Benn,Astern,1936,Niedersachsen,1014
118509047,Benn,Nachtcafé,1912,Niedersachsen,1024
124742823,Berg,Ein paar Leute suchen das Glück und lachen sich tot,1997,Niedersachsen,1086
124742823,Berg,Hauptsache weit (In: Das Unerfreuliche zuerst),2001,Niedersachsen,576
118509861,Bernhard,Claus Peymann kauft sich eine Hose und geht mit mir essen (Dramolette),1990,Niedersachsen,929
118509861,Bernhard,Ein Kind,1982,Niedersachsen,1126
124932479,Bessing,Tristesse Royale,1999,Niedersachsen,1151
11548048X,Beyer,Flughunde,1995,Niedersachsen,1093
11548048X,Beyer,Verklirrter Herbst,1997,Niedersachsen,1022
118510649,Bichsel,Die Tochter (in: Eigentlich möchte Frau Blum den Milchmann kennenlernen),1964,Niedersachsen,713
118510649,Bichsel,Eigentlich möchte Frau Blum den Milchmann kennenlernen,1964,Niedersachsen,648
118510754,Bienek,Gedicht von Zeit und Erinnerung III,1965,Niedersachsen,1065
118510789,Biermann,Berlin,1965,Niedersachsen,1034
136059201,Bjerg,Auerhaus,2015,Niedersachsen,1163
118512161,Bobrowski,Holunderblüte,,Niedersachsen,1062
118661175,Boldt,Auf der Terrasse des Café Josty,1912,Niedersachsen,1032
118513451,Borchert,Draußen vor der Tür,1947,Niedersachsen,818
118513451,Borchert,Kurzgeschichten,,Niedersachsen,717
118513451,Borchert,Nachts schlafen die Ratten doch,1947,Niedersachsen,650
133252922,Boyne,Der Junge im gestreiften Pyjama,2006,Niedersachsen,651
119422999,Brambach,Paul,,Niedersachsen,1051
118514644,Braun,Unvollendete Geschichte,1977,Niedersachsen,1083
118514768,Brecht,An die Nachgeborenen,1939,Niedersachsen,1015
118514768,Brecht,Baal,1922,Niedersachsen,903
118514768,Brecht,Der aufhaltsame Aufstieg des Arturo Ui,1958,Niedersachsen,907
118514768,Brecht,Der gute Mensch von Sezuan,1943,Niedersachsen,883
118514768,Brecht,Der Jasager und der Neinsager,1930,Niedersachsen,807
118514768,Brecht,Der kaukasische Kreidekreis,1948,Niedersachsen,821
118514768,Brecht,Die Dreigroschenoper,1928,Niedersachsen,819
118514768,Brecht,Die heilige Johanna der Schlachthöfe,1931,Niedersachsen,889
118514768,Brecht,Die Kleinbürgerhochzeit,1919,Niedersachsen,912
118514768,Brecht,Die Legende vom toten Soldaten,1922,Niedersachsen,1047
118514768,Brecht,Die Liebenden,1927,Niedersachsen,997
118514768,Brecht,Die Maßnahme,1930,Niedersachsen,905
118514768,Brecht,Furcht und Elend des Dritten Reiches,1938,Niedersachsen,906
118514768,Brecht,Gedanken über die Dauer des Exils,,Niedersachsen,1053
118514768,Brecht,Geschichten vom Herrn Keuner,1948,Niedersachsen,718
118514768,Brecht,Herr Puntila und sein Knecht Matti,1948,Niedersachsen,908
118514768,Brecht,Kalendergeschichten,1949,Niedersachsen,719
118514768,Brecht,Leben des Galilei,1943,Niedersachsen,892
