GND,author,title,year,state,ID_orig
118502786,Andersch,Sansibar oder Der letzte Grund,1957,Saarland,2996
118512676,Böll,Die verlorene Ehre der Katharina Blum,1974,Saarland,2999
118516906,Büchner,Leonce und Lena,1836,Saarland,3036
118829742,Becker,Jakob der Lügner,1969,Saarland,2997
11548048X,Beyer,Flughunde,1995,Saarland,2998
118513451,Borchert,Draußen vor der Tür,1947,Saarland,3032
118514768,Brecht,Der gute Mensch von Sezuan,1943,Saarland,3033
118514768,Brecht,Der kaukasische Kreidekreis,1948,Saarland,3034
118514768,Brecht,Mutter Courage und ihre Kinder,1941,Saarland,3035
119491028,Brussig,Am kürzeren Ende der Sonnenallee,1999,Saarland,3000
118527908,Dürrenmatt,Das Versprechen,1958,Saarland,3003
118527908,Dürrenmatt,Der Besuch der alten Dame,1956,Saarland,3037
118527908,Dürrenmatt,Die Physiker,1962,Saarland,3038
118527908,Dürrenmatt,Romulus der Große,1949,Saarland,3039
118631551,der Gartenaere,Meier Helmbrecht,1250,Saarland,3060
118619284,Der Stricker,Fabeln und Erzählungen,1220,Saarland,3054
123706017,Eugenides,Die Selbstmord-Schwestern,1993,Saarland,3005
118054104,Franz,Ins Nordlicht blicken,2012,Saarland,3006
118536109,Frisch,Andorra,1961,Saarland,3040
118536109,Frisch,Biedermann und die Brandstifter,1958,Saarland,3041
118536109,Frisch,Wilhelm Tell für die Schule,1971,Saarland,3042
118541579,Grass,Katz und Maus,1961,Saarland,3008
118543032,Gryphius,Leo Armenius,1650,Saarland,3065
119328860,Hackl,Abschied von Sidonie,1989,Saarland,3009
118701606,Harig,"Weh dem, der aus  der Reihe tanzt",1990,Saarland,2993
118546864,Hauff,Das kalte Herz,1827,Saarland,3010
118546937,Hauptmann,Bahnwärter Thiel,1888,Saarland,3011
118546937,Hauptmann,Der Biberpelz,1893,Saarland,3043
118546937,Hauptmann,Die Weber,1892,Saarland,3044
11855042X,Hesse,Demian. Die Geschichte von Emil Sinclairs Jugend,1919,Saarland,3013
11855042X,Hesse,Der Steppenwolf,1927,Saarland,3015
11855042X,Hesse,Siddhartha,1922,Saarland,3014
11855042X,Hesse,Unterm Rad,1906,Saarland,3012
118552465,Hoffmann,Der goldene Topf,1814,Saarland,3016
118559230,Kafka,Die Verwandlung,1915,Saarland,3017
118559230,Kafka,unbekannt,,Saarland,2991
11856109X,Keller,Romeo und Julia auf dem Dorfe,1855,Saarland,3018
118722123,Keun,Das kunstseidene Mädchen,1932,Saarland,3019
118572121,Lessing,Nathan der Weise,1779,Saarland,2994
119393271,Loher,Tätowierung,1992,Saarland,3048
118577166,Mann,Mario und der Zauberer,1930,Saarland,3020
118641182,Moscherosch,Wunderliche und Wahrhafftige Gesichte Philanders von Sittewald,1640,Saarland,3063
119282437,Nadolny,Die Entdeckung der Langsamkeit,1983,Saarland,3021
120578069,Pehnt,Mobbing,2007,Saarland,3022
118749544,Rollenhagen,Froschmeuseler,1595,Saarland,3062
118885006,Süskind,Das Parfum,1985,Saarland,3026
118607626,Schiller,Die Räuber,1781,Saarland,3049
118607626,Schiller,Kabale und Liebe,1784,Saarland,3050
118607626,Schiller,Maria Stuart,1800,Saarland,3051
118607626,Schiller,Wilhelm Tell,1804,Saarland,3052
115673784,Schlink,Der Vorleser,1995,Saarland,3023
118609807,Schnitzler,Fräulein Else,1924,Saarland,3024
120526107,Schulze,Simple Storys,1998,Saarland,3025
118618725,Storm,Der Schimmelreiter,1888,Saarland,3027
118839276,Timm,Die Entdeckung der Currywurst,1993,Saarland,3028
,,Gespräch über Bäume,1966,Saarland,2995
,,Nibelungenlied,,Saarland,3059
115698027,Vanderbeke,Das Muschelessen,1990,Saarland,3029
1026450284,Vermes,Er ist wieder da,2012,Saarland,3030
118546228,von Aue,Erec,1180,Saarland,3055
118546228,von Aue,Iwein,1200,Saarland,3056
118520040,von Chamisso,Peter Schlemihls wundersame Geschichte,1814,Saarland,3001
118527533,von Droste-Hülshoff,Die Judenbuche,1842,Saarland,3002
118529390,von Eichendorff,Aus dem Leben eines Taugenichts,1826,Saarland,3004
118634933,von Eschenbach,Parzival,1200,Saarland,3057
118540238,von Goethe,Die Leiden des jungen Werthers,1774,Saarland,3007
118540238,von Goethe,Faust I,1808,Saarland,2989
118540238,von Goethe,Faust II,1832,Saarland,2990
118542273,von Grimmelshausen,Simplicius Simplicissimus,1669,Saarland,3064
118552759,von Hofmannsthal,Jedermann. Das Spiel vom Sterben des reichen Mannes,1911,Saarland,3045
118553739,von Horváth,Kasimir und Karoline,1932,Saarland,3046
118563076,von Kleist,Der zerbrochene Krug,1808,Saarland,3047
118819313,von Lothringen Gräfin von Nassau-Saarbrücken,Herpin (auch: Herzog Herpin),1437,Saarland,3061
138992215,von Schirach,Terror,2015,Saarland,3069
118540947,von Straßburg,Tristan,1210,Saarland,3058
118629867,Wedekind,Frühlings Erwachen,1891,Saarland,2992
123120802,Zeh,Corpus Delicti: Ein Prozess,2009,Saarland,3068
118637304,Zuckmayer,Des Teufels General,1946,Saarland,3053
118637479,Zweig,Die Schachnovelle,1942,Saarland,3031
