GND,author,title,year,state,ID_orig
118647180,Äsop,Fabeln,,Sachsen-Anhalt,2447
118501259,Aitmatow,Djamila,1960,Sachsen-Anhalt,2444
118869159,Allende,Das Geisterhaus,1984,Sachsen-Anhalt,2445
118502786,Andersch,Der Vater eines Mörders,1980,Sachsen-Anhalt,2155
118502786,Andersch,Sansibar oder Der letzte Grund,1957,Sachsen-Anhalt,2154
118503251,Anouilh,Antigone,1944,Sachsen-Anhalt,2446
118512676,Böll,Ansichten eines Clowns,1963,Sachsen-Anhalt,2233
118512676,Böll,Billard um halbzehn,1959,Sachsen-Anhalt,2232
118512676,Böll,Die verlorene Ehre der Katharina Blum,1974,Sachsen-Anhalt,2160
118516906,Büchner,Dantons Tod,1835,Sachsen-Anhalt,2412
118516906,Büchner,Lenz,1839,Sachsen-Anhalt,2240
118516906,Büchner,Leonce und Lena,1836,Sachsen-Anhalt,2414
118516906,Büchner,Woyzeck,1879,Sachsen-Anhalt,2413
118517104,Bürger,Abenteuer des Freiherrn von Münchhausen,1786,Sachsen-Anhalt,2128
12493272X,Bach,Jetzt ist hier,2007,Sachsen-Anhalt,2156
118505602,Bachmann,Ihr glücklichen Augen (In: Simultan),1972,Sachsen-Anhalt,2228
118505602,Bachmann,Undine geht,1961,Sachsen-Anhalt,2227
118505602,Bachmann,Unter Mördern und Irren,1961,Sachsen-Anhalt,2226
133528650,Bauer,Nennt mich nicht Ismael,2008,Sachsen-Anhalt,2126
1016386486,Baum,"Vollkommen leblos, bestenfalls tot",2011,Sachsen-Anhalt,2229
118829742,Becker,Jakob der Lügner,1969,Sachsen-Anhalt,2157
118508172,Beckett,Warten auf Godot,1953,Sachsen-Anhalt,2448
120555573,Bekker,Herrschaft der Alten,2011,Sachsen-Anhalt,2127
118509039,Benjamin,Berliner Kindheit um 1900,1950,Sachsen-Anhalt,2158
124742823,Berg,Ein paar Leute suchen das Glück und lachen sich tot,1997,Sachsen-Anhalt,2230
124742823,Berg,Hauptsache weit,2001,Sachsen-Anhalt,2159
118512161,Bobrowski,Levins Mühle. 34 Sätze über meinen Großvater,1964,Sachsen-Anhalt,2231
118513451,Borchert,Draußen vor der Tür,1947,Sachsen-Anhalt,2204
118513532,Borges,Die Bibliothek von Babel,1941,Sachsen-Anhalt,2449
133252922,Boyne,Der Junge im gestreiften Pyjama,2006,Sachsen-Anhalt,2142
118514644,Braun,Hinze-Kunze-Roman. Berichte von Hinze und Kunze,1985,Sachsen-Anhalt,2234
118514644,Braun,Unvollendete Geschichte,1977,Sachsen-Anhalt,2161
118514768,Brecht,Baal,1922,Sachsen-Anhalt,2408
118514768,Brecht,Der gute Mensch von Sezuan,1943,Sachsen-Anhalt,2406
118514768,Brecht,Der kaukasische Kreidekreis,1948,Sachsen-Anhalt,2205
118514768,Brecht,Die Dreigroschenoper,1928,Sachsen-Anhalt,2410
118514768,Brecht,Die heilige Johanna der Schlachthöfe,1931,Sachsen-Anhalt,2407
118514768,Brecht,Furcht und Elend des Dritten Reiches,1938,Sachsen-Anhalt,2411
118514768,Brecht,Leben des Galilei,1943,Sachsen-Anhalt,2405
118514768,Brecht,Mutter Courage und ihre Kinder,1941,Sachsen-Anhalt,2404
118514768,Brecht,Trommeln in der Nacht,1922,Sachsen-Anhalt,2409
118515055,Brentano,Geschichte vom braven Kasperl und dem schönen Annerl,1817,Sachsen-Anhalt,2235
119491028,Brussig,Am kürzeren Ende der Sonnenallee,1999,Sachsen-Anhalt,2162
119491028,Brussig,Helden wie wir,1995,Sachsen-Anhalt,2236
119491028,Brussig,Wasserfarben,1991,Sachsen-Anhalt,2238
119491028,Brussig,Wie es leuchtet,2004,Sachsen-Anhalt,2237
118518739,Camus,Die Pest,1949,Sachsen-Anhalt,2450
11851928X,Carroll,Alice im Wunderland,1865,Sachsen-Anhalt,2114
124045324,Colfer,Artemis Fowl (Reihe),2001,Sachsen-Anhalt,2115
130042161,Collins,Die Tribute von Panem (Buchreihe),2009,Sachsen-Anhalt,2144
118521861,Conrad,Der Taifun,1902,Sachsen-Anhalt,2218
118521861,Conrad,Ein Vorposten des Fortschritts,1896,Sachsen-Anhalt,2219
108082652,Craighead George,Julie von den Wölfen,1972,Sachsen-Anhalt,2146
118526200,Döblin,Berlin Alexanderplatz,1929,Sachsen-Anhalt,2244
118527908,Dürrenmatt,Der Besuch der alten Dame,1956,Sachsen-Anhalt,2207
118527908,Dürrenmatt,Der Richter und sein Henker,1950,Sachsen-Anhalt,2167
118527908,Dürrenmatt,Der Verdacht,1951,Sachsen-Anhalt,2166
118527908,Dürrenmatt,Die Physiker,1962,Sachsen-Anhalt,2416
118527908,Dürrenmatt,Romulus der Große,1949,Sachsen-Anhalt,2206
118630962,Dahl,Matilda,1988,Sachsen-Anhalt,2116
121550656,Damm,Cornelia Goethe,1987,Sachsen-Anhalt,2243
121550656,Damm,"Vögel, die verkünden Land. Das Leben des Jakob Michael Rheinhold Lenz",1985,Sachsen-Anhalt,2242
118516388,de Bruyn,Buridas Esel,1971,Sachsen-Anhalt,2239
11851993X,de Cervantes Saavedra,Don Quijote,1648,Sachsen-Anhalt,2143
118604902,de Saint-Exupéry,Der kleine Prinz,1950,Sachsen-Anhalt,2222
119040581,de Zanger,Dann eben mit Gewalt,1987,Sachsen-Anhalt,2223
118924389,Delius,"Der Sonntag, an dem ich Weltmeister wurde",1994,Sachsen-Anhalt,2164
118924389,Delius,Die Birnen von Ribbeck,1991,Sachsen-Anhalt,2163
118525239,Dickens,Oliver Twist,1838,Sachsen-Anhalt,2145
118526952,Dorst,Herr Paul,1994,Sachsen-Anhalt,2415
115673776,Duve,Keine Ahnung,1999,Sachsen-Anhalt,2168
123172047,Einzmann,An manchen Tagen (In: Da kann ich nicht nein sagen: Geschichten von der Liebe),2001,Sachsen-Anhalt,2170
123172047,Einzmann,Etwas zu erzählen?,,Sachsen-Anhalt,2171
118530259,Ende,Die unendliche Geschichte,1979,Sachsen-Anhalt,2129
118530259,Ende,Momo,1973,Sachsen-Anhalt,2093
118530534,Enzensberger,Requiem für eine romantische Frau,1988,Sachsen-Anhalt,2246
118883720,Fährmann,Der überaus starke Willibald,1983,Sachsen-Anhalt,2095
118536672,Fühmann,Das Ohr des Dionysios,,Sachsen-Anhalt,2257
118536672,Fühmann,König Ödipus,,Sachsen-Anhalt,2258
118536672,Fühmann,Marsyas,,Sachsen-Anhalt,2256
118536672,Fühmann,Saiäns-Fiktschen,1987,Sachsen-Anhalt,2259
118531905,Fallada,Kleiner Mann - was nun?,1932,Sachsen-Anhalt,2172
118534262,Fontane,Effi Briest,1894,Sachsen-Anhalt,2249
118534262,Fontane,Irrungen und Wirrungen,1887,Sachsen-Anhalt,2248
118534262,Fontane,Mathilde Möhring,1906,Sachsen-Anhalt,2250
118534262,Fontane,Unterm Birnbaum,1885,Sachsen-Anhalt,2173
118692720,Frank,Die Räuberbande,1914,Sachsen-Anhalt,2251
118703145,Fried,Meine Puppe in Auschwitz,,Sachsen-Anhalt,2252
118703145,Fried,Schneibarkeit (In: Fast alles Mögliche),1975,Sachsen-Anhalt,2253
118536109,Frisch,Andorra,1961,Sachsen-Anhalt,2208
118536109,Frisch,Biedermann und die Brandstifter,1958,Sachsen-Anhalt,2417
118536109,Frisch,Der andorranische Jude (In: Tagebuch 1946-1949),1947,Sachsen-Anhalt,2174
118536109,Frisch,Homo Faber,1957,Sachsen-Anhalt,2255
118693727,Frischmuth,Die Klosterschule,1968,Sachsen-Anhalt,2254
119523604,Funke,Herr der Diebe,2000,Sachsen-Anhalt,2094
119523604,Funke,Igraine Ohnefurcht,1998,Sachsen-Anhalt,2100
119523604,Funke,Reckless – Lebendige Schatten,2012,Sachsen-Anhalt,2131
119523604,Funke,Reckless – Steinernes Fleisch,2010,Sachsen-Anhalt,2130
118537164,Gaiser,Schlussball,1958,Sachsen-Anhalt,2260
115612815,Geiger,Es geht uns gut,2005,Sachsen-Anhalt,2175
115577297,Glattauer,Gut gegen Nordwind,2006,Sachsen-Anhalt,2261
118541579,Grass,Beim Häuten der Zwiebel,2006,Sachsen-Anhalt,2263
118541579,Grass,Das Treffen in Telgte,1979,Sachsen-Anhalt,2266
118541579,Grass,Die Blechtrommel,1959,Sachsen-Anhalt,2264
118541579,Grass,Ein weites Feld,1995,Sachsen-Anhalt,2267
118541579,Grass,Im Krebsgang,2002,Sachsen-Anhalt,2268
118541579,Grass,Katz und Maus,1961,Sachsen-Anhalt,2265
118541765,Green,Eine wie Alaska,2007,Sachsen-Anhalt,2220
118544551,Härtling,Hoffmann oder die vielfältige Liebee,2001,Sachsen-Anhalt,2271
118544551,Härtling,Hölderlin. Ein Roman,1976,Sachsen-Anhalt,2270
122230019,Hacker,Die Habenichtse,2006,Sachsen-Anhalt,2269
119328860,Hackl,Abschied von Sidonie,1989,Sachsen-Anhalt,2176
118545574,Handke,Publikumsbeschimpfungen,1966,Sachsen-Anhalt,2421
118546937,Hauptmann,Bahnwärter Thiel,1888,Sachsen-Anhalt,2272
118546937,Hauptmann,Der Biberpelz,1893,Sachsen-Anhalt,2424
118546937,Hauptmann,Die Ratten,1911,Sachsen-Anhalt,2422
118546937,Hauptmann,Die Weber,1892,Sachsen-Anhalt,2423
118546937,Hauptmann,Vor Sonnenaufgang,1889,Sachsen-Anhalt,2425
118811134,Haushofer,Die Wand,1963,Sachsen-Anhalt,2273
118547445,Hebbel,Maria Magdalena,1844,Sachsen-Anhalt,2426
118840991,Hein,Der fremde Freund / Drachenblut,1982,Sachsen-Anhalt,2274
118840991,Hein,Der Tangospieler,1989,Sachsen-Anhalt,2275
118840991,Hein,Die Ritter der Tafelrunde,1989,Sachsen-Anhalt,2428
118840991,Hein,Die wahre Geschichte des Ah Q (Bühnenstück nach dem Roman von Lu Xun),1983,Sachsen-Anhalt,2427
118840991,Hein,Herr Jensen steigt aus,2006,Sachsen-Anhalt,2280
118840991,Hein,Horns Ende,1985,Sachsen-Anhalt,2276
118840991,Hein,In seiner frühen Kindheit ein Garten,2005,Sachsen-Anhalt,2277
118840991,Hein,Von allem Anfang an,1997,Sachsen-Anhalt,2278
