GND,author,title,year,state,ID_orig
118647180,Äsop,Fabeln,,Baden-Württemberg,2508
118646680,Achebe,Okonkwo oder Das Alte stürzt,1959,Baden-Württemberg,1778
118501259,Aitmatow,Dshamilja [auch: Djamila],1960,Baden-Württemberg,2502
118502786,Andersch,Sansibar oder Der letzte Grund,1957,Baden-Württemberg,1582
118503251,Anouilh,Antigone,1944,Baden-Württemberg,1736
118735969,Ōe,Eine persönliche Erfahrung,1964,Baden-Württemberg,1800
11850374X,Apuleius,Der goldene Esel,,Baden-Württemberg,1751
118646168,Atwood,Katzenauge,1990,Baden-Württemberg,2497
118829211,Ausländer,unbekannt,,Baden-Württemberg,1695
118505173,Austen,Emma,1815,Baden-Württemberg,1804
118505173,Austen,Stolz und Vorurteil,1830,Baden-Württemberg,1805
11910251X,Auster,Mond über Manhattan,1989,Baden-Württemberg,2480
118512676,Böll,Die verlorene Ehre der Katharina Blum,1974,Baden-Württemberg,1514
118512676,Böll,Geschichten,,Baden-Württemberg,2537
118516906,Büchner,Dantons Tod,1835,Baden-Württemberg,1610
118516906,Büchner,Lenz,1839,Baden-Württemberg,1555
118516906,Büchner,Leonce und Lena,1836,Baden-Württemberg,1592
118516906,Büchner,Woyzeck,1879,Baden-Württemberg,1512
118505602,Bachmann,Erzählungen,,Baden-Württemberg,2531
118505602,Bachmann,unbekannt,,Baden-Württemberg,1696
118829742,Becker,Jakob der Lügner,1969,Baden-Württemberg,1583
118508172,Beckett,Warten auf Godot,1953,Baden-Württemberg,2526
115371915,Begley,Lügen in Zeiten des Krieges,1994,Baden-Württemberg,1770
118509047,Benn,unbekannt,,Baden-Württemberg,1697
118509861,Bernhard,Der Stimmenimitator,1978,Baden-Württemberg,1430
118509861,Bernhard,Heldenplatz,1988,Baden-Württemberg,1667
11548048X,Beyer,Flughunde,1995,Baden-Württemberg,1571
118510649,Bichsel,unbekannt,,Baden-Württemberg,1672
118510789,Biermann,unbekannt,,Baden-Württemberg,1698
118512161,Bobrowski,Geschichten,,Baden-Württemberg,2538
11851217X,Boccaccio,Falkennovelle (In: Das Dekameron),1470,Baden-Württemberg,2509
118513451,Borchert,Draußen vor der Tür,1947,Baden-Württemberg,1587
118513532,Borges,Die Bibliothek von Babel,1941,Baden-Württemberg,1761
119520478,Boyle,World’s End,1989,Baden-Württemberg,1792
118514644,Braun,unbekannt,,Baden-Württemberg,1699
118514644,Braun,Unvollendete Geschichte,1977,Baden-Württemberg,1616
118514768,Brecht,Der gute Mensch von Sezuan,1943,Baden-Württemberg,1544
118514768,Brecht,Furcht und Elend des Dritten Reiches,1938,Baden-Württemberg,1589
118514768,Brecht,Leben des Galilei,1943,Baden-Württemberg,1572
118514768,Brecht,Mutter Courage und ihre Kinder,1941,Baden-Württemberg,1612
118514768,Brecht,unbekannt,,Baden-Württemberg,1673
118515055,Brentano,unbekannt,,Baden-Württemberg,1683
118515470,Brinkmann,unbekannt,,Baden-Württemberg,1700
118638017,Brontë,Sturmhöhe,1847,Baden-Württemberg,2486
119491028,Brussig,Am kürzeren Ende der Sonnenallee,1999,Baden-Württemberg,1617
118517376,Bulgakov,Der Meister und Margarita,1968,Baden-Württemberg,1762
118518542,Calvino,Der Baron auf den Bäumen,1960,Baden-Württemberg,1763
118518739,Camus,Der Fremde,1942,Baden-Württemberg,2490
118518739,Camus,Die Pest,1949,Baden-Württemberg,2471
118181505,Capus,Fast ein bisschen Frühling,2002,Baden-Württemberg,1664
118519859,Celan,unbekannt,,Baden-Württemberg,1701
118521098,Claudius,unbekannt,,Baden-Württemberg,1680
118521349,Coetzee,Schande,2000,Baden-Württemberg,1793
118521861,Conrad,Herz der Finsternis,1899,Baden-Württemberg,1737
118526200,Döblin,Berlin Alexanderplatz,1929,Baden-Württemberg,1665
118527908,Dürrenmatt,Der Besuch der alten Dame,1956,Baden-Württemberg,1515
118527908,Dürrenmatt,Der Richter und sein Henker,1950,Baden-Württemberg,1516
118527908,Dürrenmatt,Die Physiker,1962,Baden-Württemberg,1573
118506358,de Balzac,Eugenie Grandet,1835,Baden-Württemberg,1806
118506358,de Balzac,Vater Goriot,1834,Baden-Württemberg,1790
11851993X,de Cervantes Saavedra,Don Quijote,1648,Baden-Württemberg,1752
11856868X,de La Fontaine,Fabeln,,Baden-Württemberg,2511
118579207,de Maupassant,Novellen,,Baden-Württemberg,2512
118604902,de Saint-Exupéry,Der kleine Prinz,1950,Baden-Württemberg,1767
119491834,de Winter,Der Himmel von Hollywood,1997,Baden-Württemberg,1768
118524275,Defoe,Robinson Crusoe,1719,Baden-Württemberg,2467
118525239,Dickens,David Copperfield,1848,Baden-Württemberg,2475
118525239,Dickens,Oliver Twist,1838,Baden-Württemberg,2476
119151200,Djebar,Die Frauen von Algier,1999,Baden-Württemberg,2498
118526634,Domin,unbekannt,,Baden-Württemberg,1702
119123754,Dorfman,Der Tod und das Mädchen,1992,Baden-Württemberg,1744
118527053,Dostojewski,Der Großinquisitor,1880,Baden-Württemberg,1776
118527053,Dostojewski,Schuld und Sühne,1866,Baden-Württemberg,2487
118528068,Dumas,Der Graf von Monte Christo,1844,Baden-Württemberg,2477
11852884X,Eco,Der Name der Rose,1982,Baden-Württemberg,1435
118529374,Eich,unbekannt,,Baden-Württemberg,1703
118530534,Enzensberger,unbekannt,,Baden-Württemberg,1704
118533754,Flaubert,Madame Bovary [auch: Frau Bovary],1857,Baden-Württemberg,2493
118533908,Fleming,unbekannt,,Baden-Württemberg,1677
118534262,Fontane,Effi Briest,1894,Baden-Württemberg,1541
118534262,Fontane,Frau Jenny Treibel,1892,Baden-Württemberg,1632
118534262,Fontane,unbekannt,,Baden-Württemberg,1690
118534262,Fontane,Unterm Birnbaum,1885,Baden-Württemberg,1663
