GND,author,title,year,state,ID_orig
118501259,Aitmatow,Dshamilja [auch: Djamila],1960,Bayern,2605
118937197,Amery,Der Untergang der Stadt Passau,1975,Bayern,2667
118502786,Andersch,Der Vater eines Mörders,1980,Bayern,2592
118502786,Andersch,Sansibar oder Der letzte Grund,1957,Bayern,2628
118503251,Anouilh,unbekannt,,Bayern,1214
118184555,Arjouni,unbekannt,,Bayern,1221
118829211,Ausländer,unbekannt,,Bayern,1254
11910251X,Auster,unbekannt,,Bayern,1245
118512676,Böll,unbekannt,,Bayern,1223
118512676,Böll,"Wo warst du, Adam?",1951,Bayern,2638
118516906,Büchner,Woyzeck,1879,Bayern,2556
118505602,Bachmann,unbekannt,,Bayern,2543
115743030,Baricco,Seide,1996,Bayern,2606
118829742,Becker,Jakob der Lügner,1969,Bayern,2629
118508091,Becker,unbekannt,,Bayern,1222
118508172,Beckett,unbekannt,,Bayern,1215
118509047,Benn,unbekannt,,Bayern,2540
118509861,Bernhard,unbekannt,,Bayern,1204
118513451,Borchert,Draußen vor der Tür,1947,Bayern,2630
118513451,Borchert,unbekannt,,Bayern,1203
118659723,Bradbury,Fahrenheit 451,1955,Bayern,2668
118514644,Braun,unbekannt,,Bayern,1256
118514768,Brecht,Furcht und Elend des Dritten Reiches,1938,Bayern,2639
118514768,Brecht,unbekannt,,Bayern,1164
118515055,Brentano,unbekannt,,Bayern,2551
118518739,Camus,unbekannt,,Bayern,1246
118519859,Celan,unbekannt,,Bayern,1257
118520555,Christ,Erinnerungen einer Überflüssigen,1912,Bayern,2593
118526200,Döblin,unbekannt,,Bayern,1168
118527908,Dürrenmatt,Das Unternehmen Wega,1954,Bayern,2670
118527908,Dürrenmatt,Der Besuch der alten Dame,1956,Bayern,2598
118527908,Dürrenmatt,Der Richter und sein Henker,1950,Bayern,2648
118527908,Dürrenmatt,Die Panne,1956,Bayern,2649
118527908,Dürrenmatt,Die Physiker,1962,Bayern,2624
118527908,Dürrenmatt,unbekannt,,Bayern,1205
118506358,de Balzac,unbekannt,,Bayern,2568
118924389,Delius,"Der Sonntag, an dem ich Weltmeister wurde",1994,Bayern,2618
118924389,Delius,unbekannt,,Bayern,1224
118525239,Dickens,unbekannt,,Bayern,2572
118527053,Dostojewski,Der Spieler,1866,Bayern,2619
118527053,Dostojewski,unbekannt,,Bayern,2571
11852884X,Eco,unbekannt,,Bayern,1247
118529374,Eich,Die Mädchen aus Viterbo,1953,Bayern,2640
118529374,Eich,unbekannt,,Bayern,1258
118529846,Eliot,unbekannt,,Bayern,1216
118530534,Enzensberger,unbekannt,,Bayern,1259
118536672,Fühmann,Das Judenauto,1962,Bayern,2643
118532715,Feuchtwanger,unbekannt,,Bayern,1169
118533754,Flaubert,unbekannt,,Bayern,2569
118534262,Fontane,Effi Briest,1894,Bayern,2560
118534262,Fontane,Unterm Birnbaum,1885,Bayern,2650
118534734,Frank,Das Tagebuch der Anne Frank,1950,Bayern,2641
118692720,Frank,"Der Junge, der seinen Geburtstag vergaß",1931,Bayern,2642
124075746,Franzen,unbekannt,,Bayern,1248
118703145,Fried,unbekannt,,Bayern,1260
118536109,Frisch,Andorra,1961,Bayern,2599
118536109,Frisch,Biedermann und die Brandstifter,1958,Bayern,2651
118536109,Frisch,unbekannt,,Bayern,1206
118537601,García Márquez,unbekannt,,Bayern,1249
11941208X,Genazino,unbekannt,,Bayern,1225
