GND,author,title,year,state,ID_orig
118516906,Büchner,Woyzeck,1879,Brandenburg,2685
120841916,Babendererde,Indigosommer,2009,Brandenburg,1321
133528650,Bauer,Nennt mich nicht Ismael,2008,Brandenburg,1319
133565777,Berkenheger,Zeit für die Bombe,1997,Brandenburg,1325
129239321,Brooks,Martyn Pig,2002,Brandenburg,1322
118526200,Döblin,Berlin Alexanderplatz,1929,Brandenburg,1332
115577297,Glattauer,Gut gegen Nordwind,2006,Brandenburg,1326
118559230,Kafka,Die Verwandlung,1915,Brandenburg,1324
118559230,Kafka,Vor dem Gesetz,1915,Brandenburg,1333
115812431,Kehlmann,Ruhm,2009,Brandenburg,1327
118572121,Lessing,Emilia Galotti,1772,Brandenburg,1334
119238691,Orlev,"Lauf, Junge, lauf",2004,Brandenburg,1318
119290650,Pressler,Malka Mai,2001,Brandenburg,1317
119290650,Pressler,Nathan und seine Kinder,2009,Brandenburg,1323
124480659,Rammstedt,Morgen mehr,2016,Brandenburg,1329
118885006,Süskind,Das Parfum,1985,Brandenburg,1331
118607626,Schiller,Die Räuber,1781,Brandenburg,1336
118607626,Schiller,Kabale und Liebe,1784,Brandenburg,1335
118607626,Schiller,Maria Stuart,1800,Brandenburg,2682
118609807,Schnitzler,Traumnovelle,1925,Brandenburg,1330
136932878,Valentine,Kaputte Suppe,2008,Brandenburg,1320
118529390,von Eichendorff,Das Marmorbild,1819,Brandenburg,2684
118529390,von Eichendorff,Das Schloß Dürande,1836,Brandenburg,2683
118540238,von Goethe,Iphigenie auf Tauris,1787,Brandenburg,2681
123120802,Zeh,Corpus Delicti: Ein Prozess,2009,Brandenburg,2686
123120802,Zeh,Unterleuten,2016,Brandenburg,1328
