GND,author,title,year,state,ID_orig
138053669,Ade,Toni Erdmann (Film),2016,Hessen,297
118501380,Albee,Wer hat Angst vor Virginia Woolf?,1963,Hessen,171
118502786,Andersch,Sansibar oder Der letzte Grund,1957,Hessen,156
118503251,Anouilh,Antigone,1944,Hessen,137
118512676,Böll,Ansichten eines Clowns,1963,Hessen,177
118512676,Böll,"Wanderer, kommst du nach Spa…",1950,Hessen,147
118516906,Büchner,Brief an die Eltern,1835,Hessen,52
118516906,Büchner,Dantons Tod,1835,Hessen,51
118516906,Büchner,Hessischer Landbote,1834,Hessen,50
118516906,Büchner,Lenz,1839,Hessen,55
118516906,Büchner,Leonce und Lena,1836,Hessen,54
118516906,Büchner,Woyzeck,1879,Hessen,67
118505602,Bachmann,Das dreißigste Jahr,1961,Hessen,168
118505602,Bachmann,Der gute Gott von Manhattan,1958,Hessen,175
118829742,Becker,Bronsteins Kinder,1986,Hessen,234
118829742,Becker,Jakob der Lügner,1969,Hessen,185
118509047,Benn,Ein Wort (In: Statische Gedichte),1948,Hessen,132
118509047,Benn,Morgue und andere Gedichte,1912,Hessen,94
118509861,Bernhard,Ereignisse,1969,Hessen,240
118509861,Bernhard,Heldenplatz,1988,Hessen,242
118513451,Borchert,Draußen vor der Tür,1947,Hessen,142
11851363X,Born,Die Fälschung,1979,Hessen,214
11851587X,Brückner,"Wenn du geredet hättest, Desdemona",1983,Hessen,225
118514768,Brecht,Aufstieg und Fall der Stadt Mahagonny,1930,Hessen,120
118514768,Brecht,Baal,1922,Hessen,101
118514768,Brecht,Der aufhaltsame Aufstieg des Arturo Ui,1958,Hessen,160
118514768,Brecht,Der gute Mensch von Sezuan,1943,Hessen,134
118514768,Brecht,Der kaukasische Kreidekreis,1948,Hessen,144
118514768,Brecht,Die Dreigroschenoper,1928,Hessen,115
118514768,Brecht,Die heilige Johanna der Schlachthöfe,1931,Hessen,162
118514768,Brecht,Flüchtlingsgespräche,1956,Hessen,155
118514768,Brecht,Furcht und Elend des Dritten Reiches,1938,Hessen,129
118514768,Brecht,Geschichten vom Herrn Keuner,1948,Hessen,292
118514768,Brecht,Leben des Galilei,1943,Hessen,136
118514768,Brecht,Mutter Courage und ihre Kinder,1941,Hessen,130
118515055,Brentano,Die Geschichte vom braven Kasperl und dem schönen Annerl,1817,Hessen,40
118515470,Brinkmann,"Rom, Blicke",1979,Hessen,213
118518739,Camus,Prometheus in der Hölle,1946,Hessen,140
118519859,Celan,Todesfuge,1948,Hessen,145
118526200,Döblin,Berlin Alexanderplatz,1929,Hessen,117
118527908,Dürrenmatt,Der Besuch der alten Dame,1956,Hessen,154
118527908,Dürrenmatt,Der Tunnel (In: Die Stadt. Prosa I – IV),1952,Hessen,149
118527908,Dürrenmatt,Die Physiker,1962,Hessen,172
118527908,Dürrenmatt,Romulus der Große,1949,Hessen,146
118924389,Delius,Amerikahaus und der Tanz um die Frauen,1997,Hessen,263
121373940,Demirkan,Die Frau mit Bart,1994,Hessen,255
121373940,Demirkan,Schwarzer Tee mit drei Stück Zucker,1991,Hessen,249
118631551,der Gartenaere,Meier Helmbrecht,1250,Hessen,285
11852741X,Drewitz,Gestern war heute: Hundert Jahre Gegenwart,1978,Hessen,212
118528777,Eckermann,Gespräche mit Goethe in den letzten Jahren seines Lebens,1836,Hessen,44
11852884X,Eco,Der Name der Rose,1982,Hessen,220
123291453,Erpenbeck,Geschichte vom alten Kind,1999,Hessen,272
118536672,Fühmann,Das Judenauto,1962,Hessen,174
118536672,Fühmann,Prometheus. Die Zeugung.,1974,Hessen,196
118534262,Fontane,Effi Briest,1894,Hessen,75
118534262,Fontane,Frau Jenny Treibel,1892,Hessen,74
118534262,Fontane,Irrungen und Wirrungen,1887,Hessen,70
118534262,Fontane,Stine,1889,Hessen,73
118534416,Forster,Ansichten vom Niederrhein,1790,Hessen,17
118534416,Forster,Maurice,1971,Hessen,187
118536109,Frisch,Homo Faber,1957,Hessen,157
118536109,Frisch,Stiller,1954,Hessen,152
118541102,Grabbe,Don Juan und Faust,1829,Hessen,46
118541102,Grabbe,Napoleon oder Die hundert Tage,1831,Hessen,47
118541579,Grass,Aus dem Tagebuch einer Schnecke,1972,Hessen,190
118541579,Grass,Die Blechtrommel,1959,Hessen,163
118541579,Grass,Hundejahre,1963,Hessen,176
118541579,Grass,Katz und Maus,1961,Hessen,167
118541579,Grass,Örtlich betäubt,1969,Hessen,186
118544551,Härtling,Nachgetragene Liebe,1980,Hessen,217
122381556,Hübner,Creeps,2000,Hessen,274
122381556,Hübner,Das Herz eines Boxers,1996,Hessen,260
122381556,Hübner,Scratch!,2003,Hessen,278
122230019,Hacker,Eine Art Liebe,2003,Hessen,279
119328860,Hackl,Abschied von Sidonie,1989,Hessen,245
119328860,Hackl,Auroras Anlaß,1987,Hessen,237
119328860,Hackl,Der Entwurf einer Liebe auf den ersten Blick,1999,Hessen,269
118545574,Handke,Kaspar,1967,Hessen,182
118545574,Handke,Wunschloses Unglück,1972,Hessen,189
118546937,Hauptmann,Die Insel der großen Mutter,1924,Hessen,108
118546937,Hauptmann,Die Ratten,1911,Hessen,90
118547046,Hauser,Gigant Hirn,1958,Hessen,161
118811134,Haushofer,Die Wand,1963,Hessen,178
118547445,Hebbel,Maria Magdalena,1844,Hessen,296
118547453,Hebel,Unverhofftes Wiedersehen,1811,Hessen,35
120666553,Heidenreich,Die Nacht der Händler,1995,Hessen,259
118840991,Hein,Der fremde Freund / Drachenblut,1982,Hessen,223
118840991,Hein,Horns Ende,1985,Hessen,233
118840991,Hein,In seiner frühen Kindheit ein Garten,2005,Hessen,280
118548018,Heine,An einen politischen Dichter,1841,Hessen,57
118548018,Heine,Deutschland. Ein Wintermärchen,1844,Hessen,60
11855042X,Hesse,Das Glasperlenspiel,1943,Hessen,135
11855042X,Hesse,Der Steppenwolf,1927,Hessen,113
11855042X,Hesse,Ein Abend bei Doktor Faustus,1927,Hessen,112
11855042X,Hesse,Narziß und Goldmund,1930,Hessen,119
11855042X,Hesse,Siddhartha,1922,Hessen,106
11855042X,Hesse,Unterm Rad,1906,Hessen,85
118550683,Heym,Columbus,1911,Hessen,89
118551736,Hochhuth,Die Berliner Antigone,1963,Hessen,219
118552465,Hoffmann,Das Fräulein von Scuderi,1819,Hessen,290
118552465,Hoffmann,Der goldene Topf,1814,Hessen,38
118552465,Hoffmann,Die Elixiere des Teufels,1815,Hessen,39
118552465,Hoffmann,Lebensansichten des Katers Murr,1819,Hessen,42
118828681,Hofmann,Auf dem Turm,1982,Hessen,222
118553216 + 118607871,Holz / Schlaf,Papa Hamlet,1889,Hessen,72
11855333X,Homer,Odyssee,-800,Hessen,294
118555286,Ibsen,Ein Volksfeind,1883,Hessen,69
118555286,Ibsen,Nora oder Ein Puppenheim,1880,Hessen,68
118558587,Jünger,In Stahlgewittern,1920,Hessen,103
119001802,Jelinek,Die Klavierspielerin,1983,Hessen,226
119001802,Jelinek,Die Liebhaberinnen,1975,Hessen,200
119001802,Jelinek,Raststätte,1994,Hessen,256
119001802,Jelinek,"Was geschah, nachdem Nora ihren Mann verlassen hatte",1977,Hessen,221
115633286,Jenny,Das Blütenstaubzimmer,1997,Hessen,266
11855817X,Johnson,Das dritte Buch über Achim,1961,Hessen,173
11855817X,Johnson,Mutmaßungen über Jakob,1959,Hessen,164
119200317 + 119200309 + 119200295,König / Straube / Taylan,Oya. Fremde Heimat Türkei,1988,Hessen,243
118559230,Kafka,Der Geier,1920,Hessen,104
118559230,Kafka,Der Verschollene,1927,Hessen,114
118559230,Kafka,Die Verwandlung,1915,Hessen,98
118559230,Kafka,Ein Hungerkünstler,1922,Hessen,107
118559230,Kafka,Heimkehr,1936,Hessen,127
118559230,Kafka,In der Strafkolonie,1919,Hessen,97
118559230,Kafka,Parabeln,,Hessen,291
118559230,Kafka,Prometheus,1931,Hessen,102
119199912,Kapuściński,Imperium,1993,Hessen,253
119199912,Kapuściński,König der Könige,1984,Hessen,229
118560395,Kaschnitz,Zu Hause,,Hessen,165
115812431,Kehlmann,Die Vermessung der Welt,2005,Hessen,281
11856109X,Keller,Romeo und Julia auf dem Dorfe,1855,Hessen,63
118722123,Keun,Das kunstseidene Mädchen,1932,Hessen,123
118562002,Kierkegaard,Entweder - Oder,1843,Hessen,59
118562312,Kipphardt,In der Sache J. Robert Oppenheimer,1964,Hessen,180
118564471,Koeppen,Das Treibhaus,1953,Hessen,150
118564471,Koeppen,Tauben im Gras,1951,Hessen,148
118564471,Koeppen,Tod in Rom,1954,Hessen,151
118842609,Korschunow,Das Spiegelbild,1992,Hessen,124
120013428,Kracht,Faserland,1995,Hessen,258
118566962,Kroetz,Maria Magdalena,1973,Hessen,261
118566962,Kroetz,Oberösterreich,1972,Hessen,248
118566962,Kroetz,Stallerhof,1971,Hessen,192
118566997,Krolow,Robinson,,Hessen,170
118568051,Kunert,Unterwegs nach Utopia,1977,Hessen,205
120849607,Lebert,Crazy,1999,Hessen,271
118571680,Lenz,Der Tintenfisch in der Garage,1977,Hessen,208
118571680,Lenz,Die Deutschstunde,1968,Hessen,183
118571680,Lenz,Heimatmuseum,1978,Hessen,210
118571834,Leopardi,Die Wette des Prometheus,1842,Hessen,58
118572121,Lessing,Emilia Galotti,1772,Hessen,295
118572121,Lessing,Fabeln. Drey Bücher: Nebst Abhandlungen mit dieser Dichtungsart verwandten Inhalts.,1759,Hessen,6
118572121,Lessing,Nathan der Weise,1779,Hessen,10
118583107,Mörike,Maler Nolten,1832,Hessen,48
118583107,Mörike,Mozart auf der Reise nach Prag,1855,Hessen,62
118584944,Müller,Befreiung des Prometheus (In: Zement),1973,Hessen,194
118584944,Müller,Die Hamletmaschine,1979,Hessen,206
118577166,Mann,Buddenbrooks,1901,Hessen,79
118577166,Mann,Das Wunderkind,1903,Hessen,83
118577166,Mann,Der kleine Herr Friedemann,1897,Hessen,76
118577166,Mann,Der Tod in Venedig,1912,Hessen,95
118577166,Mann,Der Zauberberg,1924,Hessen,110
118577166,Mann,Doktor Faustus,1947,Hessen,143
118577166,Mann,Mario und der Zauberer,1930,Hessen,118
118577158,Mann,Mephisto. Roman einer Karriere,1936,Hessen,126
118577166,Mann,Tonio Kröger,1903,Hessen,82
118782797,Mechtel,"Wir sind arm, wir sind reich",1977,Hessen,209
118579819,Meckel,Suchbild. Über meinen Vater,1980,Hessen,218
118582046,Meyrink,Der Golem,1913,Hessen,99
118817663,Morgner,Die wundersamen Reisen Gustavs des Weltfahrers,1972,Hessen,193
118584162,Moritz,Anton Reiser,1785,Hessen,16
118585894,Muschg,Albissers Grund,1974,Hessen,197
118585916,Musil,Die Verwirrungen des Zöglings Törleß,1906,Hessen,86
119282437,Nadolny,Die Entdeckung der Langsamkeit,1983,Hessen,224
122086228,Oberender,Nachtschwärmer,2000,Hessen,273
118557211,Paul,Siebenkäs,1796,Hessen,287
119137542,Plessen,Kohlhaas,1997,Hessen,215
123591813,Powers,Schattenflucht,2002,Hessen,275
118956299,Ransmayr,Die letzte Welt,1988,Hessen,241
118599194,Reich-Ranicki,Mein Leben,1999,Hessen,270
118744070,Reimann,Ankunft im Alltag,1961,Hessen,169
118744070,Reimann,Franziska Linkerhand,1974,Hessen,198
