GND,author,title,year,state,ID_orig
118650130,Aristoteles,unbekannt,,Mecklenburg-Vorpommern,345
118512676,Böll,unbekannt,,Mecklenburg-Vorpommern,363
118516906,Büchner,unbekannt,,Mecklenburg-Vorpommern,337
12493272X,Bach,Vierzehn,2016,Mecklenburg-Vorpommern,316
118505602,Bachmann,unbekannt,,Mecklenburg-Vorpommern,369
118507931,Becher,unbekannt,,Mecklenburg-Vorpommern,370
129738387,Bertram,Der Pfad,2017,Mecklenburg-Vorpommern,304
118513451,Borchert,unbekannt,,Mecklenburg-Vorpommern,362
118514768,Brecht,unbekannt,,Mecklenburg-Vorpommern,371
118515470,Brinckman,unbekannt,,Mecklenburg-Vorpommern,352
1051036887,Engelmann,"Eines Tages, Baby",2014,Mecklenburg-Vorpommern,314
118530534,Enzensberger,unbekannt,,Mecklenburg-Vorpommern,367
http://d-nb.info/gnd/1216435863,Erdmann,CyberWorld (Buchreihe),2016,Mecklenburg-Vorpommern,329
123291453,Erpenbeck,"Gehen, ging, gegangen",2015,Mecklenburg-Vorpommern,319
118531905,Fallada,unbekannt,,Mecklenburg-Vorpommern,374
118534262,Fontane,unbekannt,,Mecklenburg-Vorpommern,340
115651470,Franck,Rücken an Rücken,2011,Mecklenburg-Vorpommern,312
118703145,Fried,unbekannt,,Mecklenburg-Vorpommern,368
130347221,Fuchs,Mädchenmeute,2015,Mecklenburg-Vorpommern,317
132551985,Gabathuler,Hundert Lügen,2017,Mecklenburg-Vorpommern,321
12889282X,Gier,Wolkenschloss,2017,Mecklenburg-Vorpommern,322
129399744,Gorelik,Mehr Schwarz als Lila,2017,Mecklenburg-Vorpommern,323
118541579,Grass,unbekannt,,Mecklenburg-Vorpommern,366
1047318857,Guhr,Die Verbesserung unserer Träume,2017,Mecklenburg-Vorpommern,308
1067530649,Höfler,Mein Sommer mit Mucks,2015,Mecklenburg-Vorpommern,320
118546937,Hauptmann,unbekannt,,Mecklenburg-Vorpommern,350
118547739,Hegel,unbekannt,,Mecklenburg-Vorpommern,349
118548018,Heine,unbekannt,,Mecklenburg-Vorpommern,336
113559113X,Herwig,Bis die Sterne zittern,2017,Mecklenburg-Vorpommern,305
118550683,Heym,unbekannt,,Mecklenburg-Vorpommern,344
118552465,Hoffmann,unbekannt,,Mecklenburg-Vorpommern,335
11855817X,Johnson,unbekannt,,Mecklenburg-Vorpommern,372
118559230,Kafka,Heimkehr,1936,Mecklenburg-Vorpommern,355
118559230,Kafka,unbekannt,,Mecklenburg-Vorpommern,341
118776592,Kaléko,unbekannt,,Mecklenburg-Vorpommern,361
118559796,Kant,unbekannt,,Mecklenburg-Vorpommern,348
11856109X,Keller,Die Fragwürdigen,2017,Mecklenburg-Vorpommern,325
11856109X,Keller,unbekannt,,Mecklenburg-Vorpommern,339
118561359,Kempowski,unbekannt,,Mecklenburg-Vorpommern,376
118564471,Koeppen,unbekannt,,Mecklenburg-Vorpommern,373
133753573,Kreller,Schneeriese,2015,Mecklenburg-Vorpommern,318
143757598,Kupfer,Drei Steine für Betty,2018,Mecklenburg-Vorpommern,328
118569880,Lasker-Schüler,unbekannt,,Mecklenburg-Vorpommern,342
118571680,Lenz,unbekannt,,Mecklenburg-Vorpommern,365
118572121,Lessing,unbekannt,,Mecklenburg-Vorpommern,346
118577166,Mann,unbekannt,,Mecklenburg-Vorpommern,358
118577166,Mann,unbekannt,,Mecklenburg-Vorpommern,360
1069316873,Martin,Sommer unter schwarzen Flügeln,2015,Mecklenburg-Vorpommern,303
121686876,Moers,Prinzessin Insomnia und der alptraumfarbene Nachtmahr,2017,Mecklenburg-Vorpommern,306
118588893,Novalis,unbekannt,,Mecklenburg-Vorpommern,334
124804489,Poznanski,Erebos,2010,Mecklenburg-Vorpommern,311
129469041,Präkels,Als ich mit Hitler Schnapskirschen aß,2017,Mecklenburg-Vorpommern,324
118744070,Reimann,unbekannt,,Mecklenburg-Vorpommern,375
118599631,Remarque,unbekannt,,Mecklenburg-Vorpommern,356
118599976,Reuter,unbekannt,,Mecklenburg-Vorpommern,351
1051283361,Rietzschel,Die Handschrift des Legionärs Franz Eckstein,2017,Mecklenburg-Vorpommern,309
118603140,Roth,unbekannt,,Mecklenburg-Vorpommern,357
123295432,Schäuble,Endland,2017,Mecklenburg-Vorpommern,307
121411826,Scheer,Machandel,2014,Mecklenburg-Vorpommern,315
120253100,Schwarz,Klippenmond,1995,Mecklenburg-Vorpommern,310
118612743,Seghers,unbekannt,,Mecklenburg-Vorpommern,359
118613723,Shakespeare,Romeo und Julia,1597,Mecklenburg-Vorpommern,477
118615688,Sophokles,Antigone,-442,Mecklenburg-Vorpommern,379
118615688,Sophokles,unbekannt,,Mecklenburg-Vorpommern,347
110626095,Stach,Ist das Kafka? 99 Fundstücke,2012,Mecklenburg-Vorpommern,300
132082179,Stanišić,Vor dem Fest,2014,Mecklenburg-Vorpommern,302
118150693,Steinhöfel,Anders,2014,Mecklenburg-Vorpommern,301
118618725,Storm,unbekannt,,Mecklenburg-Vorpommern,338
118753932,Tarnow,unbekannt,,Mecklenburg-Vorpommern,353
118623575,Trakl,unbekannt,,Mecklenburg-Vorpommern,343
118504185,von Arnim,unbekannt,,Mecklenburg-Vorpommern,330
118527533,von Droste-Hülshoff,unbekannt,,Mecklenburg-Vorpommern,332
118529390,von Eichendorff,unbekannt,,Mecklenburg-Vorpommern,333
118543202,von Günderrode,unbekannt,,Mecklenburg-Vorpommern,331
118540238,von Goethe,Faust I,1808,Mecklenburg-Vorpommern,378
124454453,Wildner,Königin des Sprungturms,2013,Mecklenburg-Vorpommern,313
123609240,Wodin,Sie kam aus Mariupol,2017,Mecklenburg-Vorpommern,326
118634666,Wolf,unbekannt,,Mecklenburg-Vorpommern,364
119371340,Wossidlo,unbekannt,,Mecklenburg-Vorpommern,354
123120802,Zeh,Leere Herzen,2017,Mecklenburg-Vorpommern,327
