GND,author,title,year,state,ID_orig
123526183,Almond,Feuerschlucker,2005,Sachsen,2012
12493272X,Bach,Busfahrt mit Kuhn,2004,Sachsen,2075
124462316,Bauer,"Der Angst hat, bist doch du",1993,Sachsen,2058
118829742,Becker,Jakob der Lügner,1969,Sachsen,2090
118510754,Bieniek,Svenja hat's erwischt,1998,Sachsen,2017
111492167X,Bleidiek,Safe (Theaterstück),1999,Sachsen,2036
133252922,Boyne,Der Junge im gestreiften Pyjama,2006,Sachsen,2030
118514768,Brecht,Der gute Mensch von Sezuan,1943,Sachsen,2037
129239321,Brooks,Lucas,2005,Sachsen,2021
11811848X,Burgess,Junk,1999,Sachsen,2031
124045324,Colfer,Artemis Fowl (Reihe),2001,Sachsen,2019
129728934,Cottrell Boyce,Meisterwerk,2006,Sachsen,2018
118527908,Dürrenmatt,Der Besuch der alten Dame,1956,Sachsen,2081
118527908,Dürrenmatt,Die Physiker,1962,Sachsen,2082
118527908,Dürrenmatt,Romulus der Große,1949,Sachsen,2038
118534556,de la Motte Fouqué,Undine,1811,Sachsen,2084
131915975,Dowd,"Der Junge, der sich in Luft auflöste",2009,Sachsen,2061
118531395,Euripides,Medea,-431,Sachsen,2085
115688595 + 124898254,Fried / Probst,Taco und Kaninchen (Buchreihe),2003,Sachsen,2062
118536109,Frisch,Andorra,1961,Sachsen,2039
119523604,Funke,Herr der Diebe,2000,Sachsen,2063
118540963,Gotthelf,Die schwarze Spinne,1842,Sachsen,2026
118541765,Green,Eine wie Alaska,2007,Sachsen,2032
118840991,Hein,Die Ritter der Tafelrunde,1989,Sachsen,2040
118840991,Hein,In seiner frühen Kindheit ein Garten,2005,Sachsen,2079
118840991,Hein,Landannahme,2004,Sachsen,2080
119232634,Hensel,Klamms Krieg (Theaterstück),2000,Sachsen,2041
123239001,Hermann,Engel und Joe. Nach einer  wahren Geschichte,2001,Sachsen,2022
118551736,Hochhuth,Die Berliner Antigone,1963,Sachsen,2087
120078007,Hornby,Slam,2007,Sachsen,2050
115851321,Hotakainen,Ohne Hemd,2003,Sachsen,2051
118555707,Ionesco,Die Nashörner,1959,Sachsen,2042
124616496,Küchen,Song für einen Schmetterling,2000,Sachsen,2066
118559230,Kafka,Der Proceß,1925,Sachsen,2077
118559230,Kafka,In der Strafkolonie,1919,Sachsen,2076
11856109X,Keller,Romeo und Julia auf dem Dorfe,1855,Sachsen,2027
119522659,Kerner,Blueprint – Blaupause,1999,Sachsen,2072
119303353,Kuijer,Das Buch von allen Dingen,2004,Sachsen,2013
113794053,Lüddemann,50 Hertz gegen Stalin,2007,Sachsen,2023
118571680,Lenz,Zerbin oder die neuere Philosophie,1776,Sachsen,2052
121382893,McCarten,Superhero (Roman),2007,Sachsen,2053
115548246,McKay,Vier verrückte Schwestern,1991,Sachsen,2059
131369180,Meyer,Als wir träumten,2006,Sachsen,2054
118582496,Miller,Tod eines Handlungsreisenden,1949,Sachsen,2043
132029006,Morrison,Der Windzähmer,2006,Sachsen,2060
118158821,Murail,Simpel,2004,Sachsen,2067
118585916,Musil,Die Verwirrungen des Zöglings Törleß,1906,Sachsen,2034
121674738,Nelson,Paranoid Park,2006,Sachsen,2020
120887657,Nesbø,Doktor Proktors  Pupspulver,2007,Sachsen,2007
130014516,Nicholls,Ewig Zweiter,2006,Sachsen,2055
130014516,Nicholls,Wie man unsterblich wird – Jede Minute zählt,2008,Sachsen,2064
118589121,Oates,Nach dem Unglück schwang ich mich auf breitete meine Flügel aus und flog davon,2008,Sachsen,2073
118589121,Oates,Unter Verdacht: Die Geschichte von Big Mouth & Ugly Girl,2003,Sachsen,2074
140920854,Peters,Luna,2004,Sachsen,2068
118599631,Remarque,Im Westen nichts Neues,1928,Sachsen,2035
118880993,Rhue,Boot Camp,2006,Sachsen,2024
118880993,Rhue,Ich knall euch ab!,2002,Sachsen,2025
118601024,Rilke,unbekannt,,Sachsen,2089
,Romer,Crash Kids,1995,Sachsen,2044
130200328,Rosoff,Was wäre wenn,2007,Sachsen,2065
118607626,Schiller,Kabale und Liebe,1784,Sachsen,2056
118607626,Schiller,Maria Stuart,1800,Sachsen,2078
115794247,Schlüter,Heiße Spur auf leisen Sohlen,2007,Sachsen,2009
115794247,Schlüter,Level 4 - Stadt der Kinder,1994,Sachsen,2008
118613723,Shakespeare,Hamlet,1603,Sachsen,2083
118642375,Shaw,Pygmalion,1913,Sachsen,2045
118615688,Sophokles,Antigone,-442,Sachsen,2086
121221229,Spinelli,Crash - Das Leben ist Football,2003,Sachsen,2014
118150693,Steinhöfel,Die Mitte der Welt,1998,Sachsen,2011
118150693,Steinhöfel,"Rico, Oskar und die Tieferschatten",2008,Sachsen,2010
120134497,Till,Ausgeflogen,2007,Sachsen,2016
120134497,Till,Fette Ferien,2004,Sachsen,2015
118638289,Tschechow,Drei Schwestern,1901,Sachsen,2046
120243520,Tuckermann,"Mano. Der Junge, der nicht  wusste, wo er war",2005,Sachsen,2070
120243520,Tuckermann,Weggemobbt,2005,Sachsen,2069
118527533,von Droste-Hülshoff,Die Judenbuche,1842,Sachsen,2071
118540238,von Goethe,Die Leiden des jungen Werthers,1774,Sachsen,2049
118540238,von Goethe,unbekannt,,Sachsen,2088
118553739,von Horváth,Jugend ohne Gott,1937,Sachsen,2033
118563076,von Kleist,Das Erdbeben in Chili,1807,Sachsen,2028
118632817,Wilder,Unsere kleine Stadt,1945,Sachsen,2047
118633333,Williams,Die Glasmenagerie,1946,Sachsen,2048
118634666,Wolf,Medea. Stimmen,1996,Sachsen,2092
123120802,Zeh,Corpus Delicti: Ein Prozess,2009,Sachsen,2091
123286050,Zusak,Die Bücherdiebin,2008,Sachsen,2057
118637479,Zweig,Die unsichtbare Sammlung,1927,Sachsen,2029
