heading_1;heading_2;heading_3;author_name;title;type;GND
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Textsammlungen zum Gesamtzeitraum;;Helmut de Boor;Mittelalter;ANTH;11866168X
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Textsammlungen zum Gesamtzeitraum;;Michael Curschmann/Ingeborg Glier;Deutsche Dichtung des Mittelalters;ANTH;121467791 + 1057562572
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Textsammlungen zum Gesamtzeitraum;Thematische Textsammlungen;Ulrich Müller;Kreuzzugsdichtung;ANTH;122296885
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Textsammlungen zum Gesamtzeitraum;Thematische Textsammlungen;Jörg Arentzen/Uwe Ruberg;Die Ritteridee in der deutschen Literatur des Mittelalters. Eine kommentierte Anthologie;ANTH;1048645258 + 12421648X
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Textsammlungen zum Gesamtzeitraum;Thematische Textsammlungen;Günther Schweikle;Dichter über Dichter in mittelhochdeutscher Literatur;ANTH;118845551
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Neuntes bis elftes Jahrhundert. Althochdeutsche Literatur;Textsammlungen;Wilhelm Braune/Karl Helm/Ernst A. Ebbinghaus;Althochdeutsches Lesebuch;ANTH;104105100 + 118773860 + 12839823X
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Neuntes bis elftes Jahrhundert. Althochdeutsche Literatur;Textsammlungen;Walter Haug/Benedikt Konrad Vollmann;Frühe deutsche Literatur und lateinische Literatur in Deutschland 800–1150;ANTH;12917310X + 122231368
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Neuntes bis elftes Jahrhundert. Althochdeutsche Literatur;Textsammlungen;Karl A. Wipf;Althochdeutsche poetische Texte;ANTH;122961137
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Neuntes bis elftes Jahrhundert. Althochdeutsche Literatur;Einzelwerke;;Das Hildebrandslied;;
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Neuntes bis elftes Jahrhundert. Althochdeutsche Literatur;Einzelwerke;;Das Wessobrunner Gebet;;
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Neuntes bis elftes Jahrhundert. Althochdeutsche Literatur;Einzelwerke;;Das Muspilli;;
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Neuntes bis elftes Jahrhundert. Althochdeutsche Literatur;Einzelwerke;;Die Merseburger Zaubersprüche;;
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Neuntes bis elftes Jahrhundert. Althochdeutsche Literatur;Einzelwerke;Otfried von Weißenburg;Evangelienbuch;;118590669
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Elftes bis Mitte zwölftes Jahrhundert. Frühmittelhochdeutsche Literatur;Textsammlungen;Albert Waag/Werner Schröder;Kleinere deutsche Gedichte des 11. und 12. Jahrhunderts;ANTH;11707554X + 118761897
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Elftes bis Mitte zwölftes Jahrhundert. Frühmittelhochdeutsche Literatur;Textsammlungen;Gisela Vollmann-Profe;Frühmittelhochdeutsche Literatur;ANTH;13705887X
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Elftes bis Mitte zwölftes Jahrhundert. Frühmittelhochdeutsche Literatur;Textsammlungen;Walter Haug/Benedikt Konrad Vollmann;Frühe deutsche Literatur und lateinische Literatur in Deutschland 800–1150;ANTH;12917310X + 122231368
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Elftes bis Mitte zwölftes Jahrhundert. Frühmittelhochdeutsche Literatur;Einzelwerke;;Das Ezzolied;;
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Elftes bis Mitte zwölftes Jahrhundert. Frühmittelhochdeutsche Literatur;Einzelwerke;;Das Annolied;;
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Elftes bis Mitte zwölftes Jahrhundert. Frühmittelhochdeutsche Literatur;Einzelwerke;Notker;Memento Mori;;13697306X
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Elftes bis Mitte zwölftes Jahrhundert. Frühmittelhochdeutsche Literatur;Einzelwerke;Heinrich von Melk;Von des todes gehugde;;118548409
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Elftes bis Mitte zwölftes Jahrhundert. Frühmittelhochdeutsche Literatur;Einzelwerke;Heinrich von Melk;Die Kaiserchronik;;118548409
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Elftes bis Mitte zwölftes Jahrhundert. Frühmittelhochdeutsche Literatur;Einzelwerke;Heinrich von Melk;König Rother;;118548409
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Elftes bis Mitte zwölftes Jahrhundert. Frühmittelhochdeutsche Literatur;Einzelwerke;Heinrich von Melk;Herzog Ernst;;118548409
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Elftes bis Mitte zwölftes Jahrhundert. Frühmittelhochdeutsche Literatur;Einzelwerke;Pfaffe Lamprecht;Alexander;;118640305
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Elftes bis Mitte zwölftes Jahrhundert. Frühmittelhochdeutsche Literatur;Einzelwerke;Pfaffe Konrad;Das Rolandslied;;118565060
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Elftes bis Mitte zwölftes Jahrhundert. Frühmittelhochdeutsche Literatur;Einzelwerke;Heinrich der Glichesaere;Reinhart Fuchs;;118709747
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Zweite Hälfte des zwölften Jahrhunderts bis ca. 1230. „Höfische Klassik“;Textsammlungen;Hugo Moser/Helmut Tervooren;Des Minnesangs Frühling;;118584405 + 122600436
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Zweite Hälfte des zwölften Jahrhunderts bis ca. 1230. „Höfische Klassik“;Textsammlungen;Günther Schweikle;Mittelhochdeutsche Minnelyrik;;118845551
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Zweite Hälfte des zwölften Jahrhunderts bis ca. 1230. „Höfische Klassik“;Textsammlungen;Ingrid Kasten/Margherita Kuhn;Deutsche Lyrik des frühen und hohen Mittelalters;;136788815 + 1053246811
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Zweite Hälfte des zwölften Jahrhunderts bis ca. 1230. „Höfische Klassik“;Einzelwerke nach Gattungen;Der Kürenberger;[Donauländischer Minnesang];;118567756
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Zweite Hälfte des zwölften Jahrhunderts bis ca. 1230. „Höfische Klassik“;Einzelwerke nach Gattungen;Meinloh von Sevelingen;[Donauländischer Minnesang];;100964648
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Zweite Hälfte des zwölften Jahrhunderts bis ca. 1230. „Höfische Klassik“;Einzelwerke nach Gattungen;Dietmar von Aist;[Donauländischer Minnesang];;11867191X
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Zweite Hälfte des zwölften Jahrhunderts bis ca. 1230. „Höfische Klassik“;Einzelwerke nach Gattungen;Friedrich von Hausen;[Rheinischer Minnesang];;118693549
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Zweite Hälfte des zwölften Jahrhunderts bis ca. 1230. „Höfische Klassik“;Einzelwerke nach Gattungen;Hartmann von Aue;[Rheinischer Minnesang];;118546228
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Zweite Hälfte des zwölften Jahrhunderts bis ca. 1230. „Höfische Klassik“;Einzelwerke nach Gattungen;Reinmar (der Alte);[Klassische Autoren-Oeuvres];;11859950X
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Zweite Hälfte des zwölften Jahrhunderts bis ca. 1230. „Höfische Klassik“;Einzelwerke nach Gattungen;Heinrich von Morungen;[Klassische Autoren-Oeuvres];;118709836
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Zweite Hälfte des zwölften Jahrhunderts bis ca. 1230. „Höfische Klassik“;Einzelwerke nach Gattungen;Walther von der Vogelweide;Minnelieder und Sangsprüche;;118628976
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Zweite Hälfte des zwölften Jahrhunderts bis ca. 1230. „Höfische Klassik“;Einzelwerke nach Gattungen;Wolfram von Eschenbach;Tagelieder;;118634933
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Zweite Hälfte des zwölften Jahrhunderts bis ca. 1230. „Höfische Klassik“;Einzelwerke nach Gattungen;Heinrich von Veldeke;Eneas;;11854845X
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Zweite Hälfte des zwölften Jahrhunderts bis ca. 1230. „Höfische Klassik“;Einzelwerke nach Gattungen;Hartmann von Aue;Erec;;118546228
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Zweite Hälfte des zwölften Jahrhunderts bis ca. 1230. „Höfische Klassik“;Einzelwerke nach Gattungen;Hartmann von Aue;Iwein;;118546228
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Zweite Hälfte des zwölften Jahrhunderts bis ca. 1230. „Höfische Klassik“;Einzelwerke nach Gattungen;Ulrich von Zatzikhoven;Lanzelet;;118625349
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Zweite Hälfte des zwölften Jahrhunderts bis ca. 1230. „Höfische Klassik“;Einzelwerke nach Gattungen;Eilhart von Oberge;Tristrant;;118529528
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Zweite Hälfte des zwölften Jahrhunderts bis ca. 1230. „Höfische Klassik“;Einzelwerke nach Gattungen;Gottfried von Straßburg;Tristan;;118540947
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Zweite Hälfte des zwölften Jahrhunderts bis ca. 1230. „Höfische Klassik“;Einzelwerke nach Gattungen;Wolfram von Eschenbach;Parzival;;118634933
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Zweite Hälfte des zwölften Jahrhunderts bis ca. 1230. „Höfische Klassik“;Einzelwerke nach Gattungen;Wolfram von Eschenbach;Titurel-Fragmente;;118634933
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Zweite Hälfte des zwölften Jahrhunderts bis ca. 1230. „Höfische Klassik“;Einzelwerke nach Gattungen;Wolfram von Eschenbach;Willehalm;;118634933
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Zweite Hälfte des zwölften Jahrhunderts bis ca. 1230. „Höfische Klassik“;Einzelwerke nach Gattungen;Hartmann von Aue;Gregorius;;118546228
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Zweite Hälfte des zwölften Jahrhunderts bis ca. 1230. „Höfische Klassik“;Einzelwerke nach Gattungen;Hartmann von Aue;Der Arme Heinrich;;118546228
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Zweite Hälfte des zwölften Jahrhunderts bis ca. 1230. „Höfische Klassik“;Einzelwerke nach Gattungen;;Das Nibelungenlied;;
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Zweite Hälfte des zwölften Jahrhunderts bis ca. 1230. „Höfische Klassik“;Einzelwerke nach Gattungen;;Der Lucidiarius;;
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Dreizehntes Jahrhundert. „Nachklassik“;Einzelwerke nach Gattungen;Burghart Wachinger;Deutsche Lyrik des späten Mittelalters;ANTH;105633437
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Dreizehntes Jahrhundert. „Nachklassik“;Einzelwerke nach Gattungen;Neidhart von Reuental;Sommer- und Winterlieder;;118586874
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Dreizehntes Jahrhundert. „Nachklassik“;Einzelwerke nach Gattungen;Burkhart von Hohenfels;[Nachklassischer Minnesang];;118665308
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Dreizehntes Jahrhundert. „Nachklassik“;Einzelwerke nach Gattungen;Gottfried von Neifen;[Nachklassischer Minnesang];;118696696
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Dreizehntes Jahrhundert. „Nachklassik“;Einzelwerke nach Gattungen;Ulrich von Lichtenstein;[Nachklassischer Minnesang];;118625306
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Dreizehntes Jahrhundert. „Nachklassik“;Einzelwerke nach Gattungen;Konrad von Würzburg;[Nachklassischer Minnesang];;118565133
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Dreizehntes Jahrhundert. „Nachklassik“;Einzelwerke nach Gattungen;Reinmar von Zweter;[Sangspruch];;118599518
I. Ältere deutsche Literatur: 9. bis 14. Jahrhundert;Dreizehntes Jahrhundert. „Nachklassik“;Einzelwerke nach Gattungen;Der Marner;[Sangspruch];;118782010
