GND,author,title,year,prob_to_read
129328472,"$Grubmüller, Klaus (Hg.)",Novellistik des Mittelalters,2010.0,0.33
,"$Lanczkowski, Johanna (Hg.)","Erhebe dich, meine Seele. Mystische Texte des Mittelalters",1988.0,0.25
121186865,"$Müller, Stephan","Althochdeutsche Literatur. Eine kommentierte Anthologie, Althochdeutsch/Neuhochdeutsch, Altniederdeutsch/Neuhochdeutsch",2017.0,1.0
122296885 + 121469417,"$Müller, Ullrich/Weiss, Gerlinde (Hg.)",Deutsche Gedichte des Mittelalters. Mhd./Nhd.,2009.0,1.0
118740776,"$Pfeiffer, Franz (Hg.)",Konrad von Megenburg: Das Buch der Natur,1861.0,1.0
1047953870,"$Schulz-Grobert, Jürgen (Hg.)",Kleinere mittelhochdeutsche Verserzählungen,2006.0,1.0
118945505,"$Windfuhr, Manfred (Hg.)",Christian Hofmann von Hofmannswaldau. Gedichte,1964.0,0.167
11889286X,"$Wuttke, Dieter (Hg.)",Fastnachtsspiele des 15. und 16. Jahrhunderts,,0.33
129396532,"Abonji, Melinda Nadj",Tauben fliegen auf,2010.0,0.037
118500775,"Adorno, Theodor W.",Der Essay als Form,1958.0,0.0714285714
118500775,"Adorno, Theodor W.",Kulturkritik und Gesellschaft,1951.0,0.0714285714
119604108,"Alciato, Andra",Emblematum liber,1531.0,0.33
1256774294,"Alighiere, Dante",La Divina Commedia,1307.0,0.167
118502786,"Andersch, Alfred",Deutsche Literatur in der Entscheidung,1948.0,0.0714285714
118502786,"Andersch, Alfred",Fahrerflucht,1965.0,0.05
118502786,"Andersch, Alfred",Sansibar oder der letzte Grund,1957.0,0.0434782609
118503111,"Angelus, Silesius",Gedichte,1651.0,0.167
118504177,"Arnim, Achim von",Isabella von Ägypten ,1812.0,0.0454545455
118504177 + 118515055,"Arnim, Achim von/ Brentano, Clemens (Hg.)",Des Knaben Wunderhorn. Alte deutsche Lieder,1806.0,0.25
118504185,"Arnim, Bettine von",Die Günderode,1840.0,0.0769230769
118504533,"Artmann, Hans Carl",Gedichte,1961.0,0.066
119025698,Ava,Geistliche Dichtungen,1110.0,0.25
118505602,"Bachmann, Ingeborg",Der gute Gott von Manhattan,1958.0,0.05
118505602,"Bachmann, Ingeborg",Gedichte,1950.0,0.066
118505602,"Bachmann, Ingeborg",Malina,1971.0,0.0434782609
118505955,"Bahr, Hermann",Der Krampus,1902.0,0.0714285714
118505955,"Bahr, Hermann",Die Überwindung des Naturalismus,1891.0,0.0625
118506234,"Ball, Hugo",Gedichte,1907.0,0.167
12405692X,"Bank, Zsuzsa",Der Schwimmer,2002.0,0.037
118507184,"Baudelaire, Charles",Les Fleurs du Mal,1861.0,0.1428571429
118507605,"Baumgarten, Alexander Gottlieb",Philosophische Betrachtungen über einige Bedingungen des Gedichts,1735.0,0.2
118829742,"Becker, Jurek",Bronsteins Kinder,1986.0,0.0434782609
118508172,"Beckett, Samuel",Warten auf Godot,1952.0,0.1428571429
118509039,"Benjamin, Walter",Berliner Kindheit um neunzehnhundert,1938.0,0.1
118509039,"Benjamin, Walter",Das Kunstwerk im Zeitalter seiner technischen Reproduzierbarkeit,1936.0,0.0625
118509039,"Benjamin, Walter",Einbahnstraße,1928.0,0.1
118509039,"Benjamin, Walter",Franz Kafka. Zur zehnten Wiederkehr seines Todestages,1934.0,0.0625
118509047,"Benn, Gottfried",Gedichte,1921.0,0.066
118509047,"Benn, Gottfried",Morgue,1912.0,0.1428571429
118509047,"Benn, Gottfried",Probleme der Lyrik,1951.0,0.0714285714
118509047,"Benn, Gottfried",Rönne-Novellen,1914.0,0.11
118509861,"Bernhard, Thomas",Frost,1963.0,0.0434782609
118509861,"Bernhard, Thomas",Heldenplatz,1989.0,0.05
11548048X,"Beyer, Marcel",Flughunde,1995.0,0.037
12126582X,"Biller, Maxim",Land der Väter und Verräter,1994.0,0.037
11851217X,"Boccaccio, Giovanni",Il Decamerone,1348.0,0.167
12363816X,"Bodrožić, Marica","Sterne erben, Sterne färben",2007.0,0.037
118512676,"Böll, Heinrich",Billard um halbzehn,1959.0,0.0434782609
118513451,"Borchert, Wolfgang",Draußen vor der Tür,1947.0,0.05
118513532,"Borges, Jorge Luis","Tlön, Uqbar, Orbis tertius",1940.0,0.1428571429
118514768,"Brecht, Bertolt",Bertolt Brechts Hauspostille,1927.0,0.1428571429
118514768,"Brecht, Bertolt",Die Dreigroschenoper,1928.0,0.0714285714
118514768,"Brecht, Bertolt",Die Maßnahme,1931.0,0.0714285714
118514768,"Brecht, Bertolt",Gedichte,1927.0,0.066
118514768,"Brecht, Bertolt",Mutter Courage und ihre Kinder,1938.0,0.0714285714
118514768,"Brecht, Bertolt",Svendborger Gedichte,1939.0,0.1428571429
118514768,"Brecht, Bertolt",Über reimlose Lyrik,1939.0,0.0625
118514768,"Brecht, Bertolt",Vergnügungstheater oder Lehrtheater,1936.0,0.0625
118515586,"Brockes, Barthold Heinrich",Gedichte,1714.0,0.2
119491028,"Brussig, Thomas",Helden wie wir,1995.0,0.037
118516906,"Büchner, Georg",Dantons Tod,1835.0,0.1
118516906,"Büchner, Georg",Lenz,1839.0,0.0769230769
118516906,"Büchner, Georg",Leonce und Lena,1836.0,0.1
118516906,"Büchner, Georg",Woyzeck,1836.0,0.1
118517600,"Burger, Hermann",Schilten. Schulbericht zuhanden der Inspektorenkonferenz,1976.0,0.0434782609
118518399,"Calderón de la Barca, Pedro",El gran teatro del mundo,1655.0,0.2
118518542,"Calvino, Italo",Il castello dei destini incrociati,1973.0,1.0
118518542,"Calvino, Italo",Le città invisibili,1972.0,1.0
118518739,"Camus, Albert",L'Étranger,1942.0,0.1
118518801,"Canetti, Elias",Die Blendung,1935.0,0.066
118519859,"Celan, Paul",Der Meridian,1960.0,0.0714285714
118519859,"Celan, Paul",Gedichte,1959.0,0.066
11851993X,"Cervantes Saavedra, Miguel de",El ingenioso hidalgo Don Quixote de la Mancha,1605.0,0.167
118520040,"Chamisso, Adelbert von",Peter Schlemihls wundersame Geschichte,1812.0,0.0454545455
118521098,"Claudius, Matthias",Gedichte,1778.0,0.2
118676369,"Claus, Carlfriedrich",Gedichte,1964.0,0.066
118895117,"Coetzee, J.M.",Waiting for the Barbarians,1980.0,0.1
132957078,"Cotten, Ann",Gedichte,2007.0,0.11
118526200,"Döblin, Alfred",Berlin Alexanderplatz,1929.0,0.066
118527533,"Droste-Hülshoff, Annette von",Die Judenbuche. Sittengemälde aus dem gebirgichten Westfalen,1842.0,1.0
118527533,"Droste-Hülshoff, Annette von","Gedichte, Balladen",1844.0,0.11
118528254,"Duras, Marguerite",Moderato cantabile,1958.0,0.1
118527908,"Dürrenmatt, Friedrich",Der Besuch der alten Dame,1956.0,0.05
118527908,"Dürrenmatt, Friedrich",Die Panne. Eine noch mögliche Geschichte,1956.0,0.0434782609
115673776,"Duve, Karen",Regenroman,1999.0,0.037
118528661,"Ebner-Eschenbach, Marie v.",Das Gemeindekind,1887.0,0.0769230769
118528661,"Ebner-Eschenbach, Marie v.",Es laßt die Hand küssen,1886.0,0.0769230769
118529374,"Eich, Günter",Träume,1951.0,0.05
118529390,"Eichendorff, Joseph von",Aus dem Leben eines Taugenichts,1826.0,0.0454545455
118529390,"Eichendorff, Joseph von",Das Marmorbild,1819.0,0.0454545455
118530534,"Enzensberger, Hans Magnus",Gedichte,1976.0,0.066
118530534,"Enzensberger, Hans Magnus","Gemeinplätze, die Neueste Literatur betreffend",1968.0,0.0714285714
118552589,"Fallersleben, August Heinrich Hoffmann von",Gedichte,1836.0,0.11
118532022,"Faßbinder, Rainer Werner",Katzelmacher,1968.0,0.05
118532715,"Feuchtwanger, Lion",Jud Süß,1925.0,0.066
118532839,"Fichte, Hubert",Versuch über die Pubertät,1974.0,0.0434782609
118533754,"Flaubert, Gustave",Madame Bovary,1857.0,0.1
118533886,"Fleißer, Marieluise",Fegefeuer in Ingolstadt,1929.0,0.0714285714
118534262,"Fontane, Theodor",Effi Briest,1896.0,0.0769230769
118534262,"Fontane, Theodor","Irrungen, Wirrungen",1887.0,0.0769230769
118534416,"Forster, Georg",Frische Teuschte Liedlein,1539.0,1.0
118692275,"Forte, Dieter",Martin Luther & Thomas Münzer,1970.0,0.05
118535196,"Freiligrath, Ferdinand",Gedichte,1843.0,0.11
118535315,"Freud, Sigmund",Das Unbehagen in der Kultur,1930.0,0.0625
118535455,"Freytag, Gustav",Soll und Haben,1855.0,0.0769230769
118536109,"Frisch, Max",Biedermann und die Brandstifter,1958.0,0.05
118536109,"Frisch, Max",Homo faber,1957.0,0.0434782609
