GND,author,title,year,prob_to_read
118501232,"Aichinger, Ilse",Spiegelgeschichte,1952.0,1.0
118505602,"Bachmann, Ingeborg",Undine geht,1961.0,1.0
118509047,"Benn, Gottfried",Gehirne,1916.0,1.0
118509861,"Bernhard, Thomas",Heldenplatz,1989.0,1.0
118512676,"Böll, Heinrich",Wanderer kommst du  nach Spa…,1950.0,1.0
118513451,"Borchert, Wolfgang",Draußen vor der Tür,1947.0,1.0
118514768,"Brecht, Bertolt",Die Dreigroschenoper,1928.0,1.0
118514768,"Brecht, Bertolt",Mutter Courage und ihre Kinder,1938.0,1.0
118515055,"Brentano, Clemens",Briefwechsel,1819.0,1.0
118516906,"Büchner, Georg",Lenz,1839.0,1.0
118516906,"Büchner, Georg",Woyzeck,1836.0,1.0
118518658,"Campe, Joachim Heinrich",Robinson der Jüngere,1779.0,1.0
119074087,"Canetti, Veza",Der Oger,1934.0,1.0
118526200,"Döblin, Alfred",Die Ermordung einer Butterblume,1913.0,1.0
11852643X,"Dohm, Hedwig",Der Seelenretter,1876.0,1.0
118527533,"Droste-Hülshoff, Annette von",Die Judenbuche. Sittengemälde aus dem gebirgichten Westfalen,1842.0,1.0
118527908,"Dürrenmatt, Friedrich",Die Physiker,1962.0,1.0
118529390,"Eichendorff, Joseph von",Das Marmorbild,1819.0,1.0
118626175,"Ense, Rahel Varnhangen von",Die fünf Träume,1812.0,1.0
118533886,"Fleißer, Marieluise",Pioniere in Ingolstadt,1928.0,1.0
118534262,"Fontane, Theodor","Irrungen, Wirrungen",1887.0,1.0
118538322,"Gellert, Christian Fürchtegott",Das Pferd und die Bremse,1746.0,1.0
118538322,"Gellert, Christian Fürchtegott",Der Tanzbär,1746.0,1.0
118538322,"Gellert, Christian Fürchtegott",Die Nachtigall und die Lerche,1746.0,1.0
118538322,"Gellert, Christian Fürchtegott",Die zärtlichen Schwestern,1747.0,1.0
118540238,"Goethe, Johann Wolfgang",Die Leiden des jungen Werthers ,1774.0,1.0
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie erster Teil ,1808.0,1.0
118540238,"Goethe, Johann Wolfgang",Götz von Berlichingen,1773.0,1.0
118540238,"Goethe, Johann Wolfgang",Iphigenie auf Tauris,1787.0,1.0
118540238,"Goethe, Johann Wolfgang",Torquato Tasso ,1790.0,1.0
118540238,"Goethe, Johann Wolfgang",Unterhaltungen deutscher Ausgewanderten,1795.0,1.0
