GND,author,title,year,prob_to_read
118565060,(Pfaffe Konrad),Rolandslied,1172.0,0.4545454545454545
115683070,"$Frühwald, Wolfgang (Hg.)","Lyrik der Romantik, etwa: Gedichte der Romantik. Hg. von Wolfgang Frühwald. Stuttgart 1984.",,0.238095238095238
11855199X,"$Höllerer, Walter (Hg.)",Transit. Lyrikbuch der Jahrhundertmitte,1956.0,0.2777777777777778
172242894 + 123263018,"$Maché, Ulrich/Meid, Volker (Hg.)",Gedichte des Barock,1980.0,0.4545454545454545
118501232,"Aichinger, Ilse",Spiegelgeschichte,1952.0,0.2777777777777778
118502786,"Andersch, Alfred",Sansibar oder der letzte Grund,1957.0,0.2777777777777778
118502794,"Andersen, Hans Christian",Märchen ,1840.0,0.4545454545454545
118504177,"Arnim, Achim von",Der tolle Invalide auf dem Fort Ratonneau,1818.0,0.238095238095238
118504177 + 118515055,"Arnim, Achim von/ Brentano, Clemens (Hg.)",Des Knaben Wunderhorn. Alte deutsche Lieder,1806.0,0.4545454545454545
118504185,"Arnim, Bettine von",Goethes Briefwechsel mit einem Kinde,1835.0,0.238095238095238
118505602,"Bachmann, Ingeborg",Das dreißigste Jahr,1961.0,0.2777777777777778
118505602,"Bachmann, Ingeborg",Die gestundete Zeit,1953.0,0.2777777777777778
118505602,"Bachmann, Ingeborg",Malina,1971.0,0.2777777777777778
118505602,"Bachmann, Ingeborg",Simultan,1972.0,0.2777777777777778
118829742,"Becker, Jurek",Jakob der Lügner,1969.0,0.2777777777777778
118509039,"Benjamin, Walter",Berliner Kindheit um neunzehnhundert,1938.0,0.15625
118509047,"Benn, Gottfried",Der Ptolemäer,1949.0,0.15625
118509047,"Benn, Gottfried",Morgue,1912.0,0.15625
118509047,"Benn, Gottfried",Probleme der Lyrik,1951.0,0.15625
118509047,"Benn, Gottfried",Statische Gedichte,1948.0,0.15625
118509861,"Bernhard, Thomas",Alte Meister,1985.0,0.2777777777777778
118509861,"Bernhard, Thomas",Der Theatermacher,1984.0,0.2777777777777778
118509861,"Bernhard, Thomas",Der Untergeher,1983.0,0.2777777777777778
118512161,"Bobrowski, Johannes",Levins Mühle,1964.0,0.2777777777777778
118512676,"Böll, Heinrich",Ansichten eines Clowns,1963.0,0.2777777777777778
118512676,"Böll, Heinrich",Wanderer kommst du  nach Spa…,1950.0,0.2777777777777778
118513451,"Borchert, Wolfgang",Draußen vor der Tür,1947.0,0.2777777777777778
118513451,"Borchert, Wolfgang",Kurzgeschichten,1946.0,0.2777777777777778
118513931,"Bote, Hermann",Till Eulenspiegel,1510.0,0.4545454545454545
118514768,"Brecht, Bertolt",Baal,1922.0,0.15625
118514768,"Brecht, Bertolt",Gedichte,1927.0,0.15625
118514768,"Brecht, Bertolt",Leben des Galilei,1939.0,0.15625
118514768,"Brecht, Bertolt",Mutter Courage und ihre Kinder,1938.0,0.15625
118514768,"Brecht, Bertolt",Trommeln in der Nacht,1922.0,0.15625
118515055,"Brentano, Clemens",Die Chronika des fahrenden Schülers,1818.0,0.238095238095238
118515055,"Brentano, Clemens",Geschichte vom braven Kasperl und dem schönen Annerl,1817.0,0.238095238095238
118515551,"Broch, Hermann",Die Schlafwandler,1931.0,0.15625
118516906,"Büchner, Georg",Lenz,1839.0,0.238095238095238
118516906,"Büchner, Georg",Woyzeck,1836.0,0.238095238095238
118517880,"Busch, Wilhelm",Max und Moritz,1865.0,0.4545454545454545
118518801,"Canetti, Elias",Die Blendung,1935.0,0.15625
118519182,"Carossa, Hans",Rumänisches Tagebuch,1924.0,0.15625
11851928X,"Carroll, Lewis",Alice im Wunderland,1865.0,0.4545454545454545
118519859,"Celan, Paul",Der Meridian,1960.0,0.2777777777777778
118519859,"Celan, Paul",Gedichte,1959.0,0.2777777777777778
118669788,"Collodi, Carlo",Pinocchios Abenteuer,1881.0,0.4545454545454545
118524275,"Defoe, Daniel",Robinson Crusoe,1719.0,0.4545454545454545
118526200,"Döblin, Alfred",Berlin Alexanderplatz,1929.0,0.15625
118526162,"Doderer, Heimito von",Die Wasserfälle von Slunj,1963.0,0.2777777777777778
118527533,"Droste-Hülshoff, Annette von",Die Judenbuche. Sittengemälde aus dem gebirgichten Westfalen,1842.0,0.238095238095238
118527908,"Dürrenmatt, Friedrich",Der Besuch der alten Dame,1956.0,0.2777777777777778
118527908,"Dürrenmatt, Friedrich",Die Physiker,1962.0,0.2777777777777778
128923865,"Durzak, Manfred (Hg.)",Erzählte Zeit. 50 deutsche Kurzgeschichten der Gegenwart,1980.0,0.2777777777777778
118529374,"Eich, Günter",Träume,1951.0,0.2777777777777778
118529390,"Eichendorff, Joseph von",Aus dem Leben eines Taugenichts,1826.0,0.238095238095238
118530259,"Ende, Michael",Die unendliche Geschichte,1979.0,0.4545454545454545
