GND,author,title,year,prob_to_read
11927745X,"$Riha, Karl (Hg.)","Dada Zürich. Texte, Manifeste, Dokumente",1992.0,1.0
118504185,"Arnim, Bettine von",Goethes Briefwechsel mit einem Kinde,1835.0,1.0
118505602,"Bachmann, Ingeborg",Gedichte,1950.0,1.0
118509047,"Benn, Gottfried",Gedichte,1921.0,1.0
118509047,"Benn, Gottfried",Gehirne,1916.0,1.0
118509861,"Bernhard, Thomas",Der Keller,1976.0,1.0
118509861,"Bernhard, Thomas",Der Theatermacher,1984.0,0.4
118509861,"Bernhard, Thomas",Die Jagdgesellschaft,1974.0,0.4
118509861,"Bernhard, Thomas",Die Ursache,1976.0,1.0
118509861,"Bernhard, Thomas",Heldenplatz,1989.0,0.4
118509861,"Bernhard, Thomas",Minetti,1978.0,0.4
118509861,"Bernhard, Thomas",Vor dem Ruhestand,1979.0,0.4
11548048X,"Beyer, Marcel",Flughunde,1995.0,1.0
118878484,"Böhlau, Helene",Der Rangierbahnhof,1896.0,0.5
118878484,"Böhlau, Helene",Halbtier,1899.0,0.5
118512676,"Böll, Heinrich",Ansichten eines Clowns,1963.0,1.0
118514768,"Brecht, Bertolt",Gedichte,1927.0,1.0
118514768,"Brecht, Bertolt",Leben des Galilei,1939.0,1.0
118514768,"Brecht, Bertolt",Mutter Courage und ihre Kinder,1938.0,1.0
118515055,"Brentano, Clemens",Gedichte,1810.0,1.0
118515055,"Brentano, Clemens",Geschichte vom braven Kasperl und dem schönen Annerl,1817.0,1.0
118515551,"Broch, Hermann",Der Tod des Vergil,1945.0,1.0
118515586,"Brockes, Barthold Heinrich",Irdisches Vergnügen in Gott,1721.0,1.0
118516906,"Büchner, Georg",Dantons Tod,1835.0,0.6666666666666666
118516906,"Büchner, Georg",Lenz,1839.0,0.6666666666666666
118516906,"Büchner, Georg",Woyzeck,1836.0,0.6666666666666666
118518801,"Canetti, Elias",Die Blendung,1935.0,1.0
118518801,"Canetti, Elias",Die gerettete Zunge. Geschichte einer Jugend,1977.0,1.0
118519859,"Celan, Paul",Die Niemandsrose,1963.0,1.0
118519859,"Celan, Paul",Sprachgitter,1959.0,1.0
118520040,"Chamisso, Adelbert von",Peter Schlemihls wundersame Geschichte,1812.0,0.6666666666666666
118526200,"Döblin, Alfred",Berlin Alexanderplatz,1929.0,1.0
118526162,"Doderer, Heimito von","Ein Mord, den jeder begeht",1938.0,1.0
118527533,"Droste-Hülshoff, Annette von",Die Judenbuche. Sittengemälde aus dem gebirgichten Westfalen,1842.0,0.5
118527908,"Dürrenmatt, Friedrich",Der Besuch der alten Dame,1956.0,1.0
118527908,"Dürrenmatt, Friedrich",Die Physiker,1962.0,1.0
118529374,"Eich, Günter",Die Mädchen aus Viterbo,1960.0,1.0
118529374,"Eich, Günter",Träume,1951.0,1.0
118529390,"Eichendorff, Joseph von",Aus dem Leben eines Taugenichts,1826.0,0.5
118529390,"Eichendorff, Joseph von",Das Marmorbild,1819.0,0.5
118529390,"Eichendorff, Joseph von",Gedichte,1823.0,1.0
118530534,"Enzensberger, Hans Magnus",Gedichte,1976.0,1.0
118534262,"Fontane, Theodor",Der Stechlin,1897.0,0.3333333333333333
118534262,"Fontane, Theodor",Effi Briest,1896.0,0.3333333333333333
118534262,"Fontane, Theodor",Frau Jenny Treibel,1892.0,0.3333333333333333
118703145,"Fried, Erich",Lyrik,1955.0,1.0
118536109,"Frisch, Max",Homo faber,1957.0,0.5
118536109,"Frisch, Max",Stiller,1954.0,0.5
118538322,"Gellert, Christian Fürchtegott",Das Leben der schwedischen Gräfin von G***,1748.0,1.0
11853856X,"George, Stefan",Gedichte,1901.0,1.0
118690949,"Gerstenberg, Heinrich Wilhelm von",Ugolino,1768.0,1.0
118540238,"Goethe, Johann Wolfgang",Aus meinem Leben. Dichtung und Wahrheit,1811.0,1.0
118540238,"Goethe, Johann Wolfgang",Die Leiden des jungen Werthers ,1774.0,1.0
118540238,"Goethe, Johann Wolfgang",Die Wahlverwandtschaften,1809.0,0.3333333333333333
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie erster Teil ,1808.0,0.5
118540238,"Goethe, Johann Wolfgang",Gedichte (aus allen Hauptphasen),1791.0,1.0
118540238,"Goethe, Johann Wolfgang",Götz von Berlichingen,1773.0,0.5
118540238,"Goethe, Johann Wolfgang",Iphigenie auf Tauris,1787.0,0.5
118540238,"Goethe, Johann Wolfgang",Wilhelm Meisters Lehrjahre,1795.0,0.3333333333333333
118540238,"Goethe, Johann Wolfgang",Wilhelm Meisters Wanderjahre,1821.0,0.3333333333333333
118540947,Gottfried von Straßburg,Tristan,1210.0,1.0
118540963,"Gotthelf, Jeremias",Die schwarze Spinne,1847.0,0.5
118541579,"Grass, Günter",Die Blechtrommel,1959.0,1.0
118542192,"Grillparzer, Franz",Das goldene Vließ,1821.0,1.0
118542192,"Grillparzer, Franz",Der arme Spielmann,1848.0,0.5
118542257 + 118542265,"Grimm, Jacob und Wilhelm",Kinder- und Hausmärchen,1812.0,1.0
118542273,"Grimmelshausen, Johann Jakob Christoph von",Der Abentheuerliche Simplicissimus Teutsch,1668.0,1.0
119371391,"Grünbein, Durs",Schädelbasislektionen,1991.0,1.0
118543032,"Gryphius, Andreas",Carolus Stuardus,1657.0,0.3333333333333333
118543032,"Gryphius, Andreas",Gedichte,1640.0,1.0
118543032,"Gryphius, Andreas",Leo Armenius,1650.0,0.3333333333333333
118543032,"Gryphius, Andreas",Peter Squentz,1658.0,0.3333333333333333
118543830,"Gutzkow, Karl","Wally, die Zweiflerin",1835.0,1.0
118545574,"Handke, Peter",Der kurze Brief zum langen Abschied,1972.0,0.3333333333333333
118545574,"Handke, Peter",Die Angst des Tormanns beim Elfmeter,1970.0,0.3333333333333333
118545574,"Handke, Peter",Die Lehre der Sainte-Victoire,1984.0,0.3333333333333333
118545574,"Handke, Peter",Kaspar,1968.0,1.0
118545574,"Handke, Peter",Mein Jahr in der Niemandsbucht ,1994.0,1.0
