GND,author,title,year,prob_to_read
121156192,"$Paefgen, Elisabeth (Hg.)",Echtermeyer: Deutsche Gedichte. Von den Anfängen bs zur Gegenwart,2010.0,1.0
118501232,"Aichinger, Ilse",Die größere Hoffnung,1948.0,1.0
118509047,"Benn, Gottfried",Gehirne,1916.0,1.0
118512676,"Böll, Heinrich",Der Mann mit den Messern,1948.0,1.0
118512676,"Böll, Heinrich",Kurzgeschichten / Erzählungen,1951.0,1.0
118514768,"Brecht, Bertolt",Der Augsburger Kreidekreis,1941.0,1.0
118514768,"Brecht, Bertolt",Im Dickicht der Städte,1927.0,1.0
118514768,"Brecht, Bertolt",Mutter Courage und ihre Kinder,1938.0,1.0
118515055,"Brentano, Clemens",Geschichte vom braven Kasperl und dem schönen Annerl,1817.0,1.0
118516906,"Büchner, Georg",Dantons Tod,1835.0,1.0
118516906,"Büchner, Georg",Lenz,1839.0,1.0
118516906,"Büchner, Georg",Woyzeck,1836.0,1.0
118526200,"Döblin, Alfred",Berlin Alexanderplatz,1929.0,1.0
118527533,"Droste-Hülshoff, Annette von",Die Judenbuche. Sittengemälde aus dem gebirgichten Westfalen,1842.0,1.0
118527908,"Dürrenmatt, Friedrich",Die Physiker,1962.0,1.0
118529390,"Eichendorff, Joseph von",Das Marmorbild,1819.0,1.0
118533886,"Fleißer, Marieluise",Ein Pfund Orangen,1926.0,1.0
118534262,"Fontane, Theodor",Effi Briest,1896.0,1.0
118538969,"Geßner, Salomon",Idyllen,1756.0,1.0
118540238,"Goethe, Johann Wolfgang",Die Leiden des jungen Werthers ,1774.0,1.0
118540238,"Goethe, Johann Wolfgang",Die Wahlverwandtschaften,1809.0,1.0
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie erster Teil ,1808.0,1.0
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie zweiter Teil ,1832.0,1.0
118540238,"Goethe, Johann Wolfgang",Götz von Berlichingen,1773.0,1.0
118540238,"Goethe, Johann Wolfgang",Iphigenie auf Tauris,1787.0,1.0
118540238,"Goethe, Johann Wolfgang",Novelle,1828.0,1.0
118540238,"Goethe, Johann Wolfgang",Wilhelm Meisters Lehrjahre,1795.0,1.0
118540963,"Gotthelf, Jeremias",Die schwarze Spinne,1847.0,1.0
118541013,"Gottsched, Johann Christoph",Der sterbende Cato,1732.0,1.0
118542192,"Grillparzer, Franz",Ein Bruderzwist in Habsburg,1848.0,1.0
118542257 + 118542265,"Grimm, Jacob und Wilhelm",Kinder- und Hausmärchen,1812.0,1.0
118542273,"Grimmelshausen, Johann Jakob Christoph von",Der Abentheuerliche Simplicissimus Teutsch,1668.0,1.0
118543032,"Gryphius, Andreas",Catharina von Georgien,1657.0,1.0
118546937,"Hauptmann, Gerhart",Die Weber,1892.0,1.0
118546937,"Hauptmann, Gerhart",Vor Sonnenaufgang,1889.0,1.0
118547453,"Hebel, Johann Peter",Unverhofftes Wiedersehen,1811.0,1.0
118548018,"Heine, Heinrich",Deutschland. Ein Wintermärchen*,1844.0,1.0
118552465,"Hoffmann, E.T.A.",Der goldne Topf,1814.0,1.0
118552465,"Hoffmann, E.T.A.",Der Sandmann,1816.0,1.0
118552759,"Hofmannsthal, Hugo von",Der Tor und der Tod,1894.0,1.0
118552759,"Hofmannsthal, Hugo von",Ein Brief (Chandosbrief),1902.0,1.0
118552759,"Hofmannsthal, Hugo von",Elektra,1903.0,1.0
118552759,"Hofmannsthal, Hugo von",Reitergeschichte,1898.0,1.0
118553216,"Holz, Arno",Papa Hamlet,1889.0,1.0
118553739,"Horvath, Ödon von",Geschichten aus dem Wienerwald,1931.0,1.0
118557211,Jean Paul,Flegeljahre,1804.0,1.0
11855817X,"Johnson, Uwe",Mutmaßungen über Jakob,1959.0,1.0
118559230,"Kafka, Franz",Das Urteil,1912.0,1.0
118559230,"Kafka, Franz",Der Prozess,1925.0,1.0
118559230,"Kafka, Franz",Die Verwandlung,1912.0,1.0
118559230,"Kafka, Franz",In der Strafkolonie,1919.0,1.0
118559427,"Kaiser, Georg",Gas I,1918.0,1.0
11856109X,"Keller, Gottfried",Der grüne Heinrich,1854.0,1.0
11856109X,"Keller, Gottfried",Kleider machen Leute,1874.0,1.0
11856109X,"Keller, Gottfried",Romeo und Julia auf dem Dorfe,1856.0,1.0
118563076,"Kleist, Heinrich von",Das Erdbeben in Chili ,1807.0,1.0
118563076,"Kleist, Heinrich von",Der zerbrochene Krug,1806.0,1.0
118563076,"Kleist, Heinrich von",Die Marquise von O…,1808.0,1.0
118563076,"Kleist, Heinrich von",Michael Kohlhaas,1810.0,1.0
118563076,"Kleist, Heinrich von",Penthesilea,1808.0,1.0
118563076,"Kleist, Heinrich von",Prinz Friedrich von Homburg,1810.0,1.0
118563076,"Kleist, Heinrich von",Über das Marionettentheater,1810.0,1.0
118564471,"Koeppen, Wolfgang",Ein Kaffeehaus,1965.0,1.0
118571656,"Lenz, Jakob Michael Reinhold",Der Hofmeister,1774.0,1.0
