GND,author,title,year,prob_to_read
172242894 + 123263018,"$Maché, Ulrich/Meid, Volker (Hg.)",Gedichte des Barock,1980.0,0.1666666666666666
118501232,"Aichinger, Ilse",Die größere Hoffnung,1948.0,0.0129870129870129
118501232,"Aichinger, Ilse",Erzählungen,1969.0,0.0129870129870129
118502786,"Andersch, Alfred",Sansibar oder der letzte Grund,1957.0,0.0129870129870129
118504177,"Arnim, Achim von",Die Kronenwächter,1817.0,0.032258064516129
118504177,"Arnim, Achim von",Erzählungen/Novellen,1806.0,0.032258064516129
118504185,"Arnim, Bettine von",Dies Buch gehört dem König,1843.0,0.032258064516129
118504185,"Arnim, Bettine von",Goethes Briefwechsel mit einem Kinde,1835.0,0.032258064516129
118829211,"Ausländer, Rose",Blinder Sommer,1965.0,0.04
118505602,"Bachmann, Ingeborg",Anrufung des Großen Bären,1956.0,0.04
118505602,"Bachmann, Ingeborg",Die gestundete Zeit,1953.0,0.04
118505602,"Bachmann, Ingeborg",Erzählungen,1950.0,0.0129870129870129
118505602,"Bachmann, Ingeborg",Malina,1971.0,0.0129870129870129
118829742,"Becker, Jurek",Jakob der Lügner,1969.0,0.0129870129870129
118509039,"Benjamin, Walter",Berliner Kindheit um neunzehnhundert,1938.0,0.0277777777777777
118509047,"Benn, Gottfried",Morgue,1912.0,0.0666666666666666
118509047,"Benn, Gottfried",Rönne-Novellen,1914.0,0.0277777777777777
118509047,"Benn, Gottfried",Statische Gedichte,1948.0,0.04
118509861,"Bernhard, Thomas",Auslöschung,1986.0,0.0129870129870129
118509861,"Bernhard, Thomas",Das Kalkwerk,1970.0,0.0129870129870129
118509861,"Bernhard, Thomas",Der Ignorant und der Wahnsinnige,1972.0,0.0588235294117647
118509861,"Bernhard, Thomas",Die Macht der Gewohnheit,1974.0,0.0588235294117647
11548048X,"Beyer, Marcel",Flughunde,1995.0,0.0129870129870129
118512161,"Bobrowski, Johannes",Sarmatische Zeit,1961.0,0.04
118512676,"Böll, Heinrich",Billard um halbzehn,1959.0,0.0129870129870129
118512676,"Böll, Heinrich",Kurzgeschichten / Erzählungen,1951.0,0.0129870129870129
11851363X,"Born, Nicolas",Das Auge des Entdeckers,1972.0,0.04
118514768,"Brecht, Bertolt",Baal,1922.0,0.0666666666666666
118514768,"Brecht, Bertolt",Bertolt Brechts Hauspostille,1927.0,0.0666666666666666
118514768,"Brecht, Bertolt",Buckower Elegien,1953.0,0.04
118514768,"Brecht, Bertolt",Der Kaukasische Kreidekreis,1949.0,0.0588235294117647
118514768,"Brecht, Bertolt",Der Ozeanflug,1929.0,0.0666666666666666
118514768,"Brecht, Bertolt",Die Heilige Johanna der Schlachthöfe,1929.0,0.0666666666666666
118514768,"Brecht, Bertolt",Im Dickicht der Städte,1927.0,0.0666666666666666
118514768,"Brecht, Bertolt",Leben des Galilei,1939.0,0.0666666666666666
118514768,"Brecht, Bertolt",Prosa,1927.0,0.0277777777777777
118514768,"Brecht, Bertolt",Svendborger Gedichte,1939.0,0.0666666666666666
118515055,"Brentano, Clemens",Erzählungen/Novellen,1817.0,0.032258064516129
118515055,"Brentano, Clemens",Godwi oder Das steinerne Bild der Mutter,1800.0,0.032258064516129
118515470,"Brinkmann, Rolf Dieter",Westwärts 1 & 2,1975.0,0.04
118515551,"Broch, Hermann",Die Schlafwandler,1931.0,0.0277777777777777
118515586,"Brockes, Barthold Heinrich",Irdisches Vergnügen in Gott,1721.0,0.1111111111111111
118516906,"Büchner, Georg",Dantons Tod,1835.0,0.0625
118516906,"Büchner, Georg",Lenz,1839.0,0.032258064516129
118516906,"Büchner, Georg",Leonce und Lena,1836.0,0.0625
118516906,"Büchner, Georg",Woyzeck,1836.0,0.0625
118519859,"Celan, Paul",Mohn und Gedächtnis,1952.0,0.04
118520040,"Chamisso, Adelbert von",Peter Schlemihls wundersame Geschichte,1812.0,0.032258064516129
12263621X,"Dath, Dietmar",Dirac,2006.0,0.0129870129870129
12263621X,"Dath, Dietmar",Romane,2008.0,0.0129870129870129
118526200,"Döblin, Alfred",Berlin Alexanderplatz,1929.0,0.0277777777777777
118526200,"Döblin, Alfred",Erzählungen,1918.0,0.0277777777777777
115834087,"Draesner, Ulrike",gedächtnisschleifen,1995.0,0.04
115834087,"Draesner, Ulrike",Spiele,2005.0,0.0129870129870129
118527533,"Droste-Hülshoff, Annette von",Das geistliche Jahr,1851.0,0.0666666666666666
118527533,"Droste-Hülshoff, Annette von",Die Judenbuche. Sittengemälde aus dem gebirgichten Westfalen,1842.0,0.032258064516129
118527533,"Droste-Hülshoff, Annette von","Gedichte, Balladen",1844.0,0.0666666666666666
118922335,"Duden, Anne",Hingegend,1999.0,0.04
118922335,"Duden, Anne",Prosa,1982.0,0.0129870129870129
118922335,"Duden, Anne",Wimpertier,1995.0,0.0129870129870129
118527908,"Dürrenmatt, Friedrich",Die Physiker,1962.0,0.0588235294117647
118529374,"Eich, Günter",Botschaften des Regens,1955.0,0.04
