GND,author,title,year,prob_to_read
1023005093,"$Beers, Anna (Hg.)",Frauen / Lyrik. Gedichte in deutscher Sprache ,2020.0,1.0
120309297,"$Detering, Heinrich (Hg.)",Reclams großes Buch der deutschen Gedichte,2007.0,1.0
118504177,"Arnim, Achim von",Der tolle Invalide auf dem Fort Ratonneau,1818.0,1.0
118504185,"Arnim, Bettine von",Goethes Briefwechsel mit einem Kinde,1835.0,1.0
118829211,"Ausländer, Rose",Gedichte,1945.0,1.0
118505602,"Bachmann, Ingeborg",Gedichte,1950.0,1.0
123991226,"Bärfuss, Lukas",Die sexuellen Neurosen unserer Eltern,2005.0,1.0
118508253,"Beer, Johann",Narren-Spital,1681.0,1.0
118509047,"Benn, Gottfried",Gehirne,1916.0,1.0
118509861,"Bernhard, Thomas",Heldenplatz,1989.0,1.0
11548048X,"Beyer, Marcel",Flughunde,1995.0,1.0
118510665,"Bidermann, Jakob",Cenodoxus,1602.0,1.0
118512161,"Bobrowski, Johannes",Levins Mühle,1964.0,1.0
118512676,"Böll, Heinrich",Die verlorene Ehre der Katharina Blum ,1974.0,1.0
118513451,"Borchert, Wolfgang",Draußen vor der Tür,1947.0,1.0
118512749,"Börne, Ludwig",Briefe aus Paris,1832.0,1.0
118514512,"Brasch, Thomas",Vor den Vätern sterben die Söhne ,1977.0,1.0
118514644,"Braun, Volker",Übergangsgesellschaft,1982.0,1.0
118514644,"Braun, Volker",Unvollendete Geschichte,1975.0,1.0
116385782,"Bräuning, Werner",Rummelplatz ,1965.0,1.0
118514768,"Brecht, Bertolt",Gedichte,1927.0,1.0
118514768,"Brecht, Bertolt",Leben des Galilei,1939.0,1.0
118515055,"Brentano, Clemens",Geschichte vom braven Kasperl und dem schönen Annerl,1817.0,1.0
118515055,"Brentano, Clemens",Godwi oder Das steinerne Bild der Mutter,1800.0,1.0
118515470,"Brinkmann, Rolf Dieter",Keiner weiß mehr,1968.0,1.0
118515586,"Brockes, Barthold Heinrich",Irdisches Vergnügen in Gott,1721.0,1.0
119491028,"Brussig, Thomas",Helden wie wir,1995.0,1.0
118516906,"Büchner, Georg",Lenz,1839.0,1.0
118516906,"Büchner, Georg",Leonce und Lena,1836.0,1.0
118516906,"Büchner, Georg",Woyzeck,1836.0,1.0
118519859,"Celan, Paul",Der Meridian,1960.0,1.0
118519859,"Celan, Paul",Gedichte,1959.0,1.0
118516388,"De Bruyn, Günter",Preisverleihung,1972.0,1.0
118671251,"Dedekind, Friedrich",Grobianus,1549.0,1.0
118526200,"Döblin, Alfred",Berlin Alexanderplatz,1929.0,1.0
118527533,"Droste-Hülshoff, Annette von",Die Judenbuche. Sittengemälde aus dem gebirgichten Westfalen,1842.0,1.0
118527533,"Droste-Hülshoff, Annette von","Gedichte, Balladen",1844.0,1.0
121063984,"Dückers, Tanja",Himmelkörper,2003.0,1.0
118527908,"Dürrenmatt, Friedrich",Der Richter und sein Henker,1950.0,1.0
118529390,"Eichendorff, Joseph von",Aus dem Leben eines Taugenichts,1826.0,1.0
118529390,"Eichendorff, Joseph von",Gedichte,1823.0,1.0
118529587,"Einstein, Carl",Bebuquin,1912.0,1.0
118530534,"Enzensberger, Hans Magnus",Gedichte,1976.0,1.0
118533185,"Fischart, Johann",Geschichtklitterung,1590.0,1.0
118533908,"Fleming, Paul","Gedichte (Poetische Wälder, Oden, Sonette)",1642.0,1.0
118534262,"Fontane, Theodor",Der Stechlin,1897.0,1.0
118534262,"Fontane, Theodor",Effi Briest,1896.0,1.0
118536109,"Frisch, Max",Mein Name sei Gantenbein,1964.0,1.0
118536672,"Fühmann, Franz",Kameraden ,1955.0,1.0
118538322,"Gellert, Christian Fürchtegott",Das Leben der schwedischen Gräfin von G***,1748.0,1.0
11853856X,"George, Stefan",Gedichte,1901.0,1.0
118538659,"Gerhardt, Paul",Gedichte/ Lieder,1642.0,1.0
11884556X,"Gernhardt, Robert",Gedichte,1972.0,1.0
118538969,"Geßner, Salomon",Idyllen,1756.0,1.0
118540238,"Goethe, Johann Wolfgang",Die Leiden des jungen Werthers ,1774.0,1.0
118540238,"Goethe, Johann Wolfgang",Die Wahlverwandtschaften,1809.0,1.0
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie erster Teil ,1808.0,1.0
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie zweiter Teil ,1832.0,1.0
118540238,"Goethe, Johann Wolfgang",Gedichte (aus allen Hauptphasen),1791.0,1.0
118540238,"Goethe, Johann Wolfgang",Wilhelm Meisters Lehrjahre,1795.0,1.0
118541013,"Gottsched, Johann Christoph",Versuch einer Critischen Dichtkunst,1730.0,1.0
118696734,"Gottsched, Luise Adelgunde Victorie",Die Pietisterey im Fischbein-Rocke,1736.0,1.0
118541102,"Grabbe, Christian Dietrich","Scherz, Satire, Ironie und tiefere Bedeutung",1827.0,1.0
118541358,"Graf, Oskar Maria",Der Abgrund,1936.0,1.0
118541579,"Grass, Günter",Die Blechtrommel,1959.0,1.0
