GND,author,title,year,prob_to_read
120309297,"$Detering, Heinrich (Hg.)",Reclams großes Buch der deutschen Gedichte,2007.0,1.0
118505602,"Bachmann, Ingeborg",Undine geht,1961.0,1.0
118509861,"Bernhard, Thomas",Heldenplatz,1989.0,1.0
118514768,"Brecht, Bertolt",Die Dreigroschenoper,1928.0,0.5
118514768,"Brecht, Bertolt",Mutter Courage und ihre Kinder,1938.0,0.5
118516906,"Büchner, Georg",Dantons Tod,1835.0,1.0
118516906,"Büchner, Georg",Woyzeck,1836.0,1.0
118526200,"Döblin, Alfred",Berlin Alexanderplatz,1929.0,1.0
118527533,"Droste-Hülshoff, Annette von",Die Judenbuche. Sittengemälde aus dem gebirgichten Westfalen,1842.0,1.0
118527908,"Dürrenmatt, Friedrich",Die Physiker,1962.0,1.0
118534262,"Fontane, Theodor",Effi Briest,1896.0,1.0
118536109,"Frisch, Max",Homo faber,1957.0,1.0
118538322,"Gellert, Christian Fürchtegott",Die zärtlichen Schwestern,1747.0,1.0
118690949,"Gerstenberg, Heinrich Wilhelm von",Ugolino,1768.0,0.3333333333333333
118540238,"Goethe, Johann Wolfgang",Die Leiden des jungen Werthers ,1774.0,1.0
118540238,"Goethe, Johann Wolfgang",Die Wahlverwandtschaften,1809.0,0.5
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie erster Teil ,1808.0,1.0
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie zweiter Teil ,1832.0,1.0
118540238,"Goethe, Johann Wolfgang",Götz von Berlichingen,1773.0,1.0
118540238,"Goethe, Johann Wolfgang",Iphigenie auf Tauris,1787.0,1.0
118540238,"Goethe, Johann Wolfgang",Wilhelm Meisters Lehrjahre,1795.0,0.5
118541102,"Grabbe, Christian Dietrich","Scherz, Satire, Ironie und tiefere Bedeutung",1827.0,1.0
118541579,"Grass, Günter",Die Blechtrommel,1959.0,1.0
118542192,"Grillparzer, Franz",Der arme Spielmann,1848.0,1.0
118542273,"Grimmelshausen, Johann Jakob Christoph von",Der Abentheuerliche Simplicissimus Teutsch,1668.0,1.0
118543032,"Gryphius, Andreas",Catharina von Georgien,1657.0,1.0
118545574,"Handke, Peter",Publikumsbeschimpfung,1966.0,0.5
118545574,"Handke, Peter",Versuch über die Müdigkeit,1989.0,0.5
118546937,"Hauptmann, Gerhart",Bahnwärter Thiel,1888.0,0.5
118546937,"Hauptmann, Gerhart",Die Weber,1892.0,0.5
118546937,"Hauptmann, Gerhart",Vor Sonnenaufgang,1889.0,0.5
118547445,"Hebbel, Friedrich",Maria Magdalena,1844.0,1.0
118548018,"Heine, Heinrich",Deutschland. Ein Wintermärchen*,1844.0,0.5
118548018,"Heine, Heinrich",Die Harzreise,1825.0,0.5
118552465,"Hoffmann, E.T.A.",Der Sandmann,1816.0,1.0
118552759,"Hofmannsthal, Hugo von",Ein Brief (Chandosbrief),1902.0,1.0
118553216,"Holz, Arno",Papa Hamlet,1889.0,0.5
119001802,"Jelinek, Elfriede",Die Klavierspielerin,1983.0,1.0
11855817X,"Johnson, Uwe",Mutmaßungen über Jakob,1959.0,1.0
118558587,"Jünger, Ernst",In Stahlgewittern,1920.0,1.0
118559230,"Kafka, Franz",Der Prozess,1925.0,1.0
118559230,"Kafka, Franz",Die Verwandlung,1912.0,1.0
11856109X,"Keller, Gottfried",Die Leute von Seldwyla,1856.0,1.0
118722123,"Keun, Irmgard",Das kunstseidene Mädchen,1932.0,1.0
118563076,"Kleist, Heinrich von",Das Käthchen von Heilbronn,1810.0,1.0
118563076,"Kleist, Heinrich von",Erzählungen,1794.0,1.0
118563076,"Kleist, Heinrich von",Penthesilea,1808.0,1.0
118563300,"Klingemann, Ernst August Friedrich",Nachtwachen. Von Bonaventura,1804.0,1.0
119071738,"Klüger, Ruth",weiter leben,1992.0,1.0
118564471,"Koeppen, Wolfgang",Tauben im Gras,1951.0,1.0
118571656,"Lenz, Jakob Michael Reinhold",Die Soldaten,1776.0,0.3333333333333333
118572121,"Lessing, Gotthold Ephraim",Emilia Galotti,1772.0,1.0
