GND,author,title,year,prob_to_read
105602671,"$Bohnen, Klaus (Hg.)","Gedichte des 18. Jahrhunderts, etwa: Deutsche Gedichte des 18. Jahrhunderts. Hg. von Klaus Bohnen. Stuttgart 2987.",,0.75
115683070,"$Frühwald, Wolfgang (Hg.)","Lyrik der Romantik, etwa: Gedichte der Romantik. Hg. von Wolfgang Frühwald. Stuttgart 1984.",,0.75
118603957,"$Rühmkorf, Peter (Hg.)","Expressionistische Lyrik, etwa: Expressionistische Gedichte. Hg. von Peter Rühmkorf. Berlin 1993.",,0.3
118502786,"Andersch, Alfred",Die Kirschen der Freiheit,1952.0,0.1428571428571428
118504177,"Arnim, Achim von",Isabella von Ägypten ,1812.0,0.5882352941176471
118505602,"Bachmann, Ingeborg",Gedichte,1950.0,0.3
118505602,"Bachmann, Ingeborg",Malina,1971.0,0.1428571428571428
118509047,"Benn, Gottfried",Gedichte,1921.0,0.3
118509861,"Bernhard, Thomas",Auslöschung,1986.0,0.1428571428571428
118509861,"Bernhard, Thomas",Das Kalkwerk,1970.0,0.1428571428571428
118509861,"Bernhard, Thomas",Die Macht der Gewohnheit,1974.0,0.4761904761904761
118512676,"Böll, Heinrich",Ansichten eines Clowns,1963.0,0.1428571428571428
118512676,"Böll, Heinrich",Die verlorene Ehre der Katharina Blum ,1974.0,0.4545454545454545
118514768,"Brecht, Bertolt",Der gute Mensch von Sezuan,1953.0,0.4761904761904761
118514768,"Brecht, Bertolt",Gedichte,1927.0,0.3
118514768,"Brecht, Bertolt",Leben des Galilei,1939.0,0.4761904761904761
118514768,"Brecht, Bertolt",Mutter Courage und ihre Kinder,1938.0,0.4761904761904761
118515470,"Brinkmann, Rolf Dieter",Gedichte,1958.0,0.3
118516906,"Büchner, Georg",Lenz,1839.0,0.5882352941176471
118516906,"Büchner, Georg",Woyzeck,1836.0,1.0
118519859,"Celan, Paul",Gedichte,1959.0,0.3
118520040,"Chamisso, Adelbert von",Peter Schlemihls wundersame Geschichte,1812.0,0.5882352941176471
