GND,author,title,year,prob_to_read
171990870,"$Brode, Hanspeter (Hg.)",Deutsche Lyrik. Eine Anthologie.,1990.0,0.1265822785
115851755,"$Conrady, Karl Otto (Hg.)",Der Neue Conrady,2000.0,0.1265822785
106773801 + http://d-nb.info/gnd/120072106,"$Hay, Gerhard / v. Steinsdorff, Sibylle (Hg.)",Deutsche Lyrik vom Barock bis zur Gegenwart. Hg. von Gerhard Hay und Sibylle von Steinsdorff. München 1992.,,0.1265822785
116171650,"$Killy, Walther (Hg.)",Deutsche Lyrik von den Anfängen bis zur Gegenwart. ,2001.0,0.1265822785
118945505,"$Windfuhr, Manfred (Hg.)",Christian Hofmann von Hofmannswaldau. Gedichte,1964.0,0.1265822785
118500775,"Adorno, Theodor W.",Minima Moralia. Reflexionen aus dem beschädigten Leben,1951.0,0.1265822785
118500775,"Adorno, Theodor W.",Noten zur Literatur,1958.0,0.1265822785
118500856,Aischylos,Der gefesselte Prometheus,-470.0,0.1265822785
118500856,Aischylos,Orestie,-458.0,0.1265822785
1256774294,"Alighiere, Dante",La Divina Commedia,1307.0,0.1265822785
118502786,"Andersch, Alfred",Sansibar oder der letzte Grund,1957.0,0.1265822785
118502794,"Andersen, Hans Christian",Märchen ,1840.0,0.1265822785
118650130,Aristoteles,Poetik,-335.0,1.0
118184555,"Arjouni, Jakob",Chez Max,2006.0,0.1265822785
118184555,"Arjouni, Jakob",Fünf Märchen,2003.0,0.1265822785
118504177 + 118515055,"Arnim, Achim von/ Brentano, Clemens (Hg.)",Des Knaben Wunderhorn. Alte deutsche Lieder,1806.0,0.1265822785
115699635,"Augstburger, Urs",Graatzug,2007.0,0.1265822785
118829211,"Ausländer, Rose",Im Atemhaus wohnen,1981.0,0.1265822785
118505602,"Bachmann, Ingeborg",Anrufung des Großen Bären,1956.0,0.1265822785
118505602,"Bachmann, Ingeborg",Das dreißigste Jahr,1961.0,0.1265822785
118505602,"Bachmann, Ingeborg",Der Fall Franza,1966.0,0.1265822785
118505602,"Bachmann, Ingeborg",Der gute Gott von Manhattan,1958.0,0.1265822785
118505602,"Bachmann, Ingeborg",Die gestundete Zeit,1953.0,0.1265822785
118505602,"Bachmann, Ingeborg",Die Zikaden,1955.0,0.1265822785
118505602,"Bachmann, Ingeborg",Malina,1971.0,0.1265822785
118506862,"Barthes, Roland",Mythen des Alltags,1957.0,0.1265822785
118507184,"Baudelaire, Charles",Les Fleurs du Mal,1861.0,0.1265822785
118654292,"Bechstein, Ludwig",Märchen,1831.0,0.1265822785
118829742,"Becker, Jurek",Jakob der Lügner,1969.0,0.1265822785
118508172,"Beckett, Samuel",Endspiel,1957.0,0.1265822785
118508172,"Beckett, Samuel",Warten auf Godot,1952.0,0.1265822785
118509039,"Benjamin, Walter",Berliner Kindheit um neunzehnhundert,1938.0,0.1265822785
118509039,"Benjamin, Walter",Das Kunstwerk im Zeitalter seiner technischen Reproduzierbarkeit,1936.0,0.1265822785
118509047,"Benn, Gottfried",Morgue,1912.0,0.1265822785
118509047,"Benn, Gottfried",Statische Gedichte,1948.0,0.1265822785
124742823,"Berg, Sibylle",Ein paar Leute suchen das Glück und lachen sich tot,1997.0,0.1265822785
118509861,"Bernhard, Thomas",Alte Meister,1985.0,0.1265822785
118509861,"Bernhard, Thomas",Das Kalkwerk,1970.0,0.1265822785
118509861,"Bernhard, Thomas",Der Stimmenimitator,1978.0,0.1265822785
118509861,"Bernhard, Thomas",Die Macht der Gewohnheit,1974.0,0.1265822785
118509861,"Bernhard, Thomas",Die Ursache,1976.0,0.1265822785
118509861,"Bernhard, Thomas",Ein Kind,1982.0,0.1265822785
118509861,"Bernhard, Thomas",Ereignisse,1969.0,0.1265822785
11548048X,"Beyer, Marcel",Flughunde,1995.0,0.1265822785
118510649,"Bichsel, Peter",Kindergeschichten,1969.0,0.1265822785
118510649,"Bichsel, Peter",Zu Stadt Paris,1993.0,0.1265822785
12126582X,"Biller, Maxim",Wenn ich einmal reich und tot bin,1990.0,0.1265822785
118512161,"Bobrowski, Johannes",Boehlendorff und Mäusefest,1965.0,0.1265822785
118512676,"Böll, Heinrich",Ansichten eines Clowns,1963.0,0.1265822785
118512676,"Böll, Heinrich",Die verlorene Ehre der Katharina Blum ,1974.0,0.1265822785
118512676,"Böll, Heinrich",Wanderer kommst du  nach Spa…,1950.0,0.1265822785
118513451,"Borchert, Wolfgang",Draußen vor der Tür,1947.0,0.1265822785
118513451,"Borchert, Wolfgang",Nachts schlafen die Ratten noch,1947.0,0.1265822785
11851363X,"Born, Nicolas",Die Fälschung,1979.0,0.1265822785
118514644,"Braun, Volker",Iphigenie in Freiheit,1992.0,0.1265822785
118514768,"Brecht, Bertolt",Baal,1922.0,0.1265822785
118514768,"Brecht, Bertolt",Bertolt Brechts Hauspostille,1927.0,0.1265822785
118514768,"Brecht, Bertolt",Buckower Elegien,1953.0,0.1265822785
118514768,"Brecht, Bertolt",Die Kleinbürgerhochzeit,1919.0,0.1265822785
118514768,"Brecht, Bertolt",Geschichten vom Herrn Keuner,1926.0,0.1265822785
118514768,"Brecht, Bertolt",Herr Puntila und sein Knecht Matti,1948.0,0.1265822785
118514768,"Brecht, Bertolt",Kalendergeschichten,1949.0,0.1265822785
118514768,"Brecht, Bertolt",Leben des Galilei,1939.0,0.1265822785
118514768,"Brecht, Bertolt",Svendborger Gedichte,1939.0,0.1265822785
118515055,"Brentano, Clemens",Gockel Hinkel Gakeleja,1811.0,0.1265822785
118515055,"Brentano, Clemens",Italienische Märchen,1811.0,0.1265822785
118515470,"Brinkmann, Rolf Dieter","Rom, Blicke",1979.0,0.1265822785
118515470,"Brinkmann, Rolf Dieter",Westwärts 1 & 2,1975.0,0.1265822785
118515586,"Brockes, Barthold Heinrich",Irdisches Vergnügen in Gott,1721.0,0.1265822785
119491028,"Brussig, Thomas",Helden wie wir,1995.0,0.1265822785
118516906,"Büchner, Georg",Dantons Tod,1835.0,0.1265822785
118516906,"Büchner, Georg",Lenz,1839.0,0.1265822785
118516906,"Büchner, Georg",Leonce und Lena,1836.0,0.1265822785
118516906,"Büchner, Georg",Woyzeck,1836.0,0.1265822785
118517104,"Bürger, Gottfried August",Lyrik,1771.0,0.1265822785
118517104,"Bürger, Gottfried August","Wunderbare Reisen zu Wasser und zu Lande, Feldzüge und lustige Abenteuer des Freiherrn von Münchhausen",1786.0,0.1265822785
118517880,"Busch, Wilhelm",Max und Moritz,1865.0,0.1265822785
118200283,"Büscher, Wolfgang",Berlin - Moskau: eine Reise zu Fuß,2003.0,0.1265822785
118518658,"Campe, Joachim Heinrich",Robinson der Jüngere,1779.0,0.1265822785
118518801,"Canetti, Elias",Das Augenspiel. Lebensgeschichte 1931-1937,1985.0,0.1265822785
118518801,"Canetti, Elias",Der Ohrenzeuge,1974.0,0.1265822785
118518801,"Canetti, Elias",Die Blendung,1935.0,0.1265822785
118518801,"Canetti, Elias",Die Fackel im Ohr. Lebensgeschichte 1921-1931,1980.0,0.1265822785
118518801,"Canetti, Elias",Die gerettete Zunge. Geschichte einer Jugend,1977.0,0.1265822785
118518801,"Canetti, Elias",Die Stimmen von Marrakesch,1967.0,0.1265822785
118518801,"Canetti, Elias",Hochzeit,1964.0,0.1265822785
119074087,"Canetti, Veza",Die gelbe Straße,1990.0,0.1265822785
11851928X,"Carroll, Lewis",Alice im Wunderland,1865.0,0.1265822785
118669788,"Collodi, Carlo",Pinocchios Abenteuer,1881.0,0.1265822785
132957078,"Cotten, Ann",Fremdwörterbuchsonette,2007.0,0.1265822785
129890758,"Danckwart, Gesine",Arschkarte,2000.0,0.1265822785
129428906,"Danz, Daniela",Pontus,2009.0,0.1265822785
12263621X,"Dath, Dietmar",Die Abschaffung der Arten,2008.0,0.1265822785
118524275,"Defoe, Daniel",Robinson Crusoe,1719.0,0.1265822785
118924389,"Delius, Friedrich Christian",Bildnis der Mutter als junge Frau,2001.0,0.1265822785
118677888,"Derrida, Jacques",Randgänge der Philosophie,1972.0,1.0
120246910,"Dische, Irene",Fromme Lügen,1989.0,0.1265822785
118526200,"Döblin, Alfred",Berlin Alexanderplatz,1929.0,0.1265822785
115834087,"Draesner, Ulrike",gedächtnisschleifen,1995.0,0.1265822785
118527533,"Droste-Hülshoff, Annette von",Die Judenbuche. Sittengemälde aus dem gebirgichten Westfalen,1842.0,0.1265822785
118527533,"Droste-Hülshoff, Annette von","Gedichte, Balladen",1844.0,0.1265822785
115883673,"Düffel, John von",Vom Wasser ,1998.0,0.1265822785
115883673,"Düffel, John von",Zeit des Verschwindens,2000.0,0.1265822785
118527908,"Dürrenmatt, Friedrich",Der Besuch der alten Dame,1956.0,0.1265822785
118527908,"Dürrenmatt, Friedrich",Die Physiker,1962.0,0.1265822785
115673776,"Duve, Karen",Regenroman,1999.0,0.1265822785
11852884X,"Eco, Umberto",Das offene Kunstwerk,1973.0,1.0
118529374,"Eich, Günter",Träume,1951.0,0.1265822785
118529390,"Eichendorff, Joseph von",Aus dem Leben eines Taugenichts,1826.0,0.1265822785
118529390,"Eichendorff, Joseph von",Gedichte,1823.0,0.1265822785
118530259,"Ende, Michael",Die unendliche Geschichte,1979.0,0.1265822785
118530259,"Ende, Michael",Jim Knopf,1960.0,0.1265822785
118530259,"Ende, Michael",Momo,1973.0,0.1265822785
118530534,"Enzensberger, Hans Magnus",Die Furie des Verschwindens,1980.0,0.1265822785
118530534,"Enzensberger, Hans Magnus",Einzelheiten,1962.0,0.1265822785
118928635,"Erb, Elke",Gänsesommer,2005.0,0.1265822785
123291453,"Erpenbeck, Jenny",Geschichte vom alten Kind,1999.0,0.1265822785
123291453,"Erpenbeck, Jenny",Heimsuchung ,2008.0,0.1265822785
118531395,Euripides,Iphigenie bei den Taurern,-414.0,0.1265822785
118531395,Euripides,Medea,-431.0,0.1265822785
118533886,"Fleißer, Marieluise",Pioniere in Ingolstadt,1928.0,0.1265822785
118533908,"Fleming, Paul","Gedichte (Poetische Wälder, Oden, Sonette)",1642.0,0.1265822785
118534262,"Fontane, Theodor",Effi Briest,1896.0,0.1265822785
118534262,"Fontane, Theodor","Irrungen, Wirrungen",1887.0,0.1265822785
118534262,"Fontane, Theodor",Lyrik,1859.0,0.1265822785
118534416,"Forster, Georg",Reise um die Welt,1772.0,0.1265822785
11853453X,"Foucault, Michel",Schriften zur Literatur,1988.0,0.1265822785
115651470,"Franck, Julia",Die Mittagsfrau,2007.0,0.1265822785
118535315,"Freud, Sigmund",Das Unbehagen in der Kultur,1930.0,0.1265822785
118535455,"Freytag, Gustav",Die Technik des Dramas,1863.0,0.1265822785
