GND,author,title,year,prob_to_read
116215305,"$Bode, Dietrich (Hg.)",Deutsche Gedichte. Eine Anthologie,2010.0,1.0
118501232,"Aichinger, Ilse",Die größere Hoffnung,1948.0,1.0
118505602,"Bachmann, Ingeborg",Das dreißigste Jahr,1961.0,1.0
118509861,"Bernhard, Thomas",Der Theatermacher,1984.0,1.0
118514768,"Brecht, Bertolt",Mutter Courage und ihre Kinder,1938.0,1.0
118516906,"Büchner, Georg",Woyzeck,1836.0,1.0
118527533,"Droste-Hülshoff, Annette von",Die Judenbuche. Sittengemälde aus dem gebirgichten Westfalen,1842.0,1.0
118527908,"Dürrenmatt, Friedrich",Der Besuch der alten Dame,1956.0,1.0
118533886,"Fleißer, Marieluise",Pioniere in Ingolstadt,1928.0,1.0
118534262,"Fontane, Theodor",Effi Briest,1896.0,1.0
118536109,"Frisch, Max",Homo faber,1957.0,1.0
118540238,"Goethe, Johann Wolfgang",Die Leiden des jungen Werthers ,1774.0,1.0
118540238,"Goethe, Johann Wolfgang",Die Wahlverwandtschaften,1809.0,1.0
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie erster Teil ,1808.0,1.0
118541579,"Grass, Günter",Die Blechtrommel,1959.0,1.0
118542192,"Grillparzer, Franz",König Ottokars Glück und Ende,1825.0,1.0
118545574,"Handke, Peter",Wunschloses Unglück,1972.0,1.0
118546937,"Hauptmann, Gerhart",Die Weber,1892.0,1.0
118552465,"Hoffmann, E.T.A.",Der Sandmann,1816.0,1.0
119001802,"Jelinek, Elfriede",Die Klavierspielerin,1983.0,1.0
118559230,"Kafka, Franz",Die Verwandlung,1912.0,1.0
118559206,"Kästner, Erich",Emil und die Detektive,1929.0,1.0
11856109X,"Keller, Gottfried",Kleider machen Leute,1874.0,1.0
118563076,"Kleist, Heinrich von",Der zerbrochene Krug,1806.0,1.0
118569767,"La Roche, Sophie von",Die Geschichte des Fräuleins von Sternheim,1771.0,1.0
118572121,"Lessing, Gotthold Ephraim",Emilia Galotti,1772.0,1.0
118577166,"Mann, Thomas",Der Tod in Venedig,1912.0,1.0
118585916,"Musil, Robert",Die Verwirrungen des Zöglings Törless,1906.0,1.0
118587080,"Nestroy, Johann",Freiheit in Krähwinkel,1848.0,1.0
119406586,"Özdamar, Emine Sevgi",Die Brücke vom Goldenen Horn,1998.0,1.0
118607626,"Schiller, Friedrich",Die Räuber,1782.0,1.0
118607626,"Schiller, Friedrich",Maria Stuart,1800.0,1.0
118607626,"Schiller, Friedrich",Wilhelm Tell,1804.0,1.0
118609807,"Schnitzler, Arthur",Fräulein Else,1924.0,1.0
118618156,"Stifter, Adalbert",Brigitta (184) ,1844.0,1.0
118839276,"Timm, Uwe",Am Beispiel meines Bruders,2003.0,1.0
118628852,"Walser, Martin",Ein fliehendes Pferd,1978.0,1.0
118634666,"Wolf, Christa",Kassandra,1983.0,1.0
