GND,author,title,year,prob_to_read
118501232,"Aichinger, Ilse",Die größere Hoffnung,1948.0,0.1111111111111111
118502921,"Andreas-Salome, Lou",Ruth,1895.0,0.0909090909090909
118504185,"Arnim, Bettine von",Dies Buch gehört dem König,1843.0,0.1
118829211,"Ausländer, Rose",Gedichte,1945.0,0.0416666666666666
118505602,"Bachmann, Ingeborg",Das dreißigste Jahr,1961.0,0.1111111111111111
118505602,"Bachmann, Ingeborg",Gedichte,1950.0,0.0416666666666666
118509047,"Benn, Gottfried",Gedichte,1921.0,0.0416666666666666
118509861,"Bernhard, Thomas",Amras,1964.0,0.1111111111111111
118509861,"Bernhard, Thomas",Heldenplatz,1989.0,0.1
11548048X,"Beyer, Marcel",Flughunde,1995.0,0.0833333333333333
118878484,"Böhlau, Helene",Der Rangierbahnhof,1896.0,0.0909090909090909
118512676,"Böll, Heinrich",Ansichten eines Clowns,1963.0,0.1111111111111111
118514768,"Brecht, Bertolt",Mutter Courage und ihre Kinder,1938.0,0.1
118515055,"Brentano, Clemens",Gedichte,1810.0,0.0714285714285714
118515470,"Brinkmann, Rolf Dieter",Gedichte,1958.0,0.0416666666666666
118515586,"Brockes, Barthold Heinrich",Gedichte,1714.0,0.1666666666666666
118516906,"Büchner, Georg",Leonce und Lena,1836.0,0.0909090909090909
118516906,"Büchner, Georg",Woyzeck,1836.0,0.0909090909090909
118519859,"Celan, Paul",Gedichte,1959.0,0.0416666666666666
118521098,"Claudius, Matthias",Gedichte,1778.0,0.1666666666666666
132957078,"Cotten, Ann",Gedichte,2007.0,0.1428571428571428
118526200,"Döblin, Alfred",Die beiden Freundinnen und ihr Giftmord,1924.0,0.1428571428571428
11852643X,"Dohm, Hedwig",Wie Frauen werden,1895.0,0.0909090909090909
118526634,"Domin, Hilde",Lyrik,1958.0,0.0416666666666666
118527533,"Droste-Hülshoff, Annette von",Die Judenbuche. Sittengemälde aus dem gebirgichten Westfalen,1842.0,0.1
118527533,"Droste-Hülshoff, Annette von","Gedichte, Balladen",1844.0,0.0714285714285714
118528661,"Ebner-Eschenbach, Marie v.",Krambambuli,1883.0,0.0909090909090909
118529390,"Eichendorff, Joseph von",Aus dem Leben eines Taugenichts,1826.0,0.1
118529390,"Eichendorff, Joseph von",Gedichte,1823.0,0.0714285714285714
118530534,"Enzensberger, Hans Magnus",Gedichte,1976.0,0.0416666666666666
119330768,"Falkner, Gerhard",Lyrik,1987.0,0.1428571428571428
118533886,"Fleißer, Marieluise",Pioniere in Ingolstadt,1928.0,0.1
118534262,"Fontane, Theodor",Effi Briest,1896.0,0.0909090909090909
118534262,"Fontane, Theodor",Lyrik,1859.0,0.0714285714285714
118536109,"Frisch, Max",Homo faber,1957.0,0.1111111111111111
118538322,"Gellert, Christian Fürchtegott",Die zärtlichen Schwestern,1747.0,0.1
11853856X,"George, Stefan",Gedichte,1901.0,0.0416666666666666
118540238,"Goethe, Johann Wolfgang",Die Leiden des jungen Werthers ,1774.0,0.1111111111111111
118540238,"Goethe, Johann Wolfgang",Die Wahlverwandtschaften,1809.0,0.1
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie erster Teil ,1808.0,0.0909090909090909
