GND,author,title,year,prob_to_read
120430991,"Asscher-Pinkhof, Clara",Sternkinder,1946.0,0.25
118505602,"Bachmann, Ingeborg",Das dreißigste Jahr,1961.0,0.125
118505602,"Bachmann, Ingeborg",Malina,1971.0,0.125
118507184,"Baudelaire, Charles",Les Fleurs du Mal,1861.0,0.25
118829742,"Becker, Jurek",Jakob der Lügner,1969.0,0.25
118508172,"Beckett, Samuel",Endspiel,1957.0,0.125
118508172,"Beckett, Samuel",Warten auf Godot,1952.0,0.125
118509047,"Benn, Gottfried",Destille,1953.0,0.25
118509047,"Benn, Gottfried",Einsamer nie - ,1936.0,0.25
118509047,"Benn, Gottfried",Gedichte,1921.0,0.25
118509047,"Benn, Gottfried",Kann keine Trauer sein,1956.0,0.25
118509047,"Benn, Gottfried",Kleine Aster,1912.0,0.25
118509047,"Benn, Gottfried",Leben - niederer Wahn,1937.0,0.25
118509047,"Benn, Gottfried",Mann und Frau gehn durch die Krebsbaracke,1912.0,0.25
118509047,"Benn, Gottfried",Nur zwei Dinge,1953.0,0.25
118509047,"Benn, Gottfried",Stilleben,1951.0,0.25
118509047,"Benn, Gottfried",Verlorenes Ich,1943.0,0.25
118509047,"Benn, Gottfried",Was schlimm ist,1953.0,0.25
118509861,"Bernhard, Thomas",Auslöschung,1986.0,0.125
118509861,"Bernhard, Thomas",Verstörung,1967.0,0.125
11851217X,"Boccaccio, Giovanni",Il Decamerone,1348.0,0.25
118512676,"Böll, Heinrich",Doktor Murkes gesammeltes Schweigen,1955.0,0.25
118512676,"Böll, Heinrich",Kurzgeschichten / Erzählungen,1951.0,0.25
118512676,"Böll, Heinrich",Und sagte kein einziges Wort,1953.0,0.25
118512676,"Böll, Heinrich",Wanderer kommst du  nach Spa…,1950.0,0.25
118513532,"Borges, Jorge Luis",La biblioteca de Babel (dt. Fiktionen),1941.0,0.25
118514768,"Brecht, Bertolt",Choral vom großen Baal,1927.0,0.25
118514768,"Brecht, Bertolt",Der Himmel dieses Sommers,1953.0,0.25
118514768,"Brecht, Bertolt",Der Radwechsel,1953.0,0.25
118514768,"Brecht, Bertolt",Der Rauch,1953.0,0.25
118514768,"Brecht, Bertolt",Die Dreigroschenoper,1928.0,0.0833333333333333
118514768,"Brecht, Bertolt",Die Kindermörderin Marie Farrar,1925.0,0.25
118514768,"Brecht, Bertolt",Erinnerung an die Marie A.,1927.0,0.25
118514768,"Brecht, Bertolt",Gedichte,1927.0,0.25
118514768,"Brecht, Bertolt",Großer Dankchoral,1927.0,0.25
118514768,"Brecht, Bertolt",Leben des Galilei,1939.0,0.0833333333333333
118514768,"Brecht, Bertolt",Legende vom toten Soldaten,1927.0,0.25
118514768,"Brecht, Bertolt",Mutter Courage und ihre Kinder,1938.0,0.0833333333333333
118514768,"Brecht, Bertolt","Rudern, Gespräche",1953.0,0.25
118514768,"Brecht, Bertolt",Vom Schwimmen in Seen und Flüssen,1927.0,0.25
118516906,"Büchner, Georg",Dantons Tod,1835.0,0.125
118516906,"Büchner, Georg",Lenz,1839.0,0.25
118516906,"Büchner, Georg",Woyzeck,1836.0,0.125
118517880,"Busch, Wilhelm",Max und Moritz,1865.0,0.25
