GND,author,title,year,prob_to_read
115851755,"$Conrady, Karl Otto (Hg.)",Das Buch der Gedichte,,1.0
115851755,"$Conrady, Karl Otto (Hg.)",Der Neue Conrady,2000.0,1.0
118504177 + 118515055,"Arnim, Achim von/ Brentano, Clemens (Hg.)",Des Knaben Wunderhorn. Alte deutsche Lieder,1806.0,1.0
118829742,"Becker, Jurek",Jakob der Lügner,1969.0,1.0
118512676,"Böll, Heinrich",Wanderer kommst du  nach Spa…,1950.0,1.0
118514768,"Brecht, Bertolt",Die Dreigroschenoper,1928.0,1.0
118514768,"Brecht, Bertolt",Die Heilige Johanna der Schlachthöfe,1929.0,1.0
118516906,"Büchner, Georg",Dantons Tod,1835.0,1.0
118516906,"Büchner, Georg",Lenz,1839.0,1.0
118517880,"Busch, Wilhelm",Max und Moritz,1865.0,1.0
11851928X,"Carroll, Lewis",Alice im Wunderland,1865.0,1.0
118520040,"Chamisso, Adelbert von",Peter Schlemihls wundersame Geschichte,1812.0,1.0
118669788,"Collodi, Carlo",Pinocchios Abenteuer,1881.0,1.0
118526200,"Döblin, Alfred",Berlin Alexanderplatz,1929.0,1.0
118527533,"Droste-Hülshoff, Annette von",Die Judenbuche. Sittengemälde aus dem gebirgichten Westfalen,1842.0,1.0
118527908,"Dürrenmatt, Friedrich",Der Besuch der alten Dame,1956.0,1.0
11586296X,"Edelfeldt, Inger",Jim im Spiegel,1977.0,1.0
118529390,"Eichendorff, Joseph von",Das Marmorbild,1819.0,1.0
118534262,"Fontane, Theodor",Effi Briest,1896.0,1.0
118540238,"Goethe, Johann Wolfgang",Die Leiden des jungen Werthers ,1774.0,1.0
118540238,"Goethe, Johann Wolfgang",Die Wahlverwandtschaften,1809.0,1.0
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie erster Teil ,1808.0,1.0
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie zweiter Teil ,1832.0,1.0
118542257 + 118542265,"Grimm, Jacob und Wilhelm",Kinder- und Hausmärchen,1812.0,1.0
118542273,"Grimmelshausen, Johann Jakob Christoph von",Der Abentheuerliche Simplicissimus Teutsch,1668.0,1.0
118543032,"Gryphius, Andreas",Carolus Stuardus,1657.0,1.0
118546937,"Hauptmann, Gerhart",Die Weber,1892.0,1.0
118546937,"Hauptmann, Gerhart",Vor Sonnenaufgang,1889.0,1.0
118547453,"Hebel, Johann Peter",Schatzkästlein des rheinischen Hausfreundes,1811.0,1.0
118552465,"Hoffmann, E.T.A.",Der Sandmann,1816.0,1.0
118552465,"Hoffmann, E.T.A.",Nussknacker und Mausekönig,1816.0,1.0
11855249X,"Hoffmann, Heinrich",Der Struwwelpeter oder lustige Geschichten und drollige Bilder,1845.0,1.0
11855817X,"Johnson, Uwe",Mutmaßungen über Jakob,1959.0,1.0
118559230,"Kafka, Franz",Der Prozess,1925.0,1.0
118559206,"Kästner, Erich",Emil und die Detektive,1929.0,1.0
118563076,"Kleist, Heinrich von",Michael Kohlhaas,1810.0,1.0
118563076,"Kleist, Heinrich von",Penthesilea,1808.0,1.0
118571656,"Lenz, Jakob Michael Reinhold",Der Hofmeister,1774.0,1.0
118572121,"Lessing, Gotthold Ephraim",Emilia Galotti,1772.0,1.0
118572121,"Lessing, Gotthold Ephraim",Fabeln. Drey Bücher,1759.0,1.0
118572121,"Lessing, Gotthold Ephraim",Minna von Barnhelm,1767.0,1.0
118573217,"Lindgren, Astrid",Pippi Langstrumpf,1945.0,1.0
118577166,"Mann, Thomas",Die Buddenbrooks,1901.0,1.0
118818651,"May, Karl","Winnetou, der rote Gentleman",1893.0,1.0
118584162,"Moritz, Karl Philipp",Anton Reiser,1785.0,1.0
118585916,"Musil, Robert",Die Verwirrungen des Zöglings Törless,1906.0,1.0
118587080,"Nestroy, Johann",Der Talisman,1840.0,1.0
118811738,"Nöstlinger, Christine",Wir pfeifen auf den Gurkenkönig,1972.0,1.0
118741160,"Pludra, Benno",Das Herz des Piraten,1985.0,1.0
119522667,"Pohl, Peter","Jan, mein Freund",1985.0,1.0
118596438,"Preußler, Ottfried",Krabat,1971.0,1.0
107088207,"Rhoden, Emmy von",Der Trotzkopf,1885.0,1.0
118607626,"Schiller, Friedrich",Wallenstein,1798.0,1.0
118609807,"Schnitzler, Arthur",Fräulein Else,1924.0,1.0
118612743,"Seghers, Anna",Das siebte Kreuz ,1942.0,1.0
118616455,"Spyri, Johanna",Heidis Lehr- und Wanderjahre,1880.0,1.0
118618725,"Storm, Theodor",Der Schimmelreiter,1888.0,1.0
118624822,"Twain, Mark",Tom Sawyers Abenteuer,1876.0,1.0
118630539,"Weiss, Peter",Die Verfolgung und Ermordung Jean Paul Marats,1964.0,1.0
118634666,"Wolf, Christa",Kassandra,1983.0,1.0
11932119X,"Wölfel, Ursula",Die grauen und die grünen Felder,1970.0,1.0
,,Nibelungenlied,,1.0
