GND,author,title,year,prob_to_read
129328472,"$Grubmüller, Klaus (Hg.)",Novellistik des Mittelalters,2010.0,0.5
122296885 + 121469417,"$Müller, Ullrich/Weiss, Gerlinde (Hg.)",Deutsche Gedichte des Mittelalters. Mhd./Nhd.,2009.0,1.0
118740776,"$Pfeiffer, Franz (Hg.)",Konrad von Megenburg: Das Buch der Natur,1861.0,1.0
1047953870,"$Schulz-Grobert, Jürgen (Hg.)",Kleinere mittelhochdeutsche Verserzählungen,2006.0,0.5
118500775,"Adorno, Theodor W.",Der Essay als Form,1958.0,0.045
118502786,"Andersch, Alfred",Deutsche Literatur in der Entscheidung,1948.0,0.045
118502786,"Andersch, Alfred",Sansibar oder der letzte Grund,1957.0,0.0769230769
118504177 + 118515055,"Arnim, Achim von/ Brentano, Clemens (Hg.)",Des Knaben Wunderhorn. Alte deutsche Lieder,1806.0,1.0
118504533,"Artmann, Hans Carl",Gedichte,1961.0,0.055
118505602,"Bachmann, Ingeborg",Der gute Gott von Manhattan,1958.0,0.0357142857
118505602,"Bachmann, Ingeborg",Gedichte,1950.0,0.055
118505602,"Bachmann, Ingeborg",Malina,1971.0,0.11
118505955,"Bahr, Hermann",Die Überwindung des Naturalismus,1891.0,0.045
118506234,"Ball, Hugo",Gedichte,1907.0,0.1
118509039,"Benjamin, Walter",Das Kunstwerk im Zeitalter seiner technischen Reproduzierbarkeit,1936.0,0.045
118509039,"Benjamin, Walter",Franz Kafka. Zur zehnten Wiederkehr seines Todestages,1934.0,0.045
118509047,"Benn, Gottfried",Gedichte,1921.0,0.1
118509047,"Benn, Gottfried",Probleme der Lyrik,1951.0,0.045
118509047,"Benn, Gottfried",Rönne-Novellen,1914.0,0.0769230769
118509861,"Bernhard, Thomas",Heldenplatz,1989.0,0.0357142857
118513451,"Borchert, Wolfgang",Draußen vor der Tür,1947.0,0.0357142857
118514768,"Brecht, Bertolt",Bertolt Brechts Hauspostille,1927.0,1.0
118514768,"Brecht, Bertolt",Die Dreigroschenoper,1928.0,0.0357142857
118514768,"Brecht, Bertolt",Die Maßnahme,1931.0,0.0357142857
118514768,"Brecht, Bertolt",Gedichte,1927.0,0.1
118514768,"Brecht, Bertolt",Mutter Courage und ihre Kinder,1938.0,0.0357142857
118514768,"Brecht, Bertolt",Über reimlose Lyrik,1939.0,0.045
118514768,"Brecht, Bertolt",Vergnügungstheater oder Lehrtheater,1936.0,0.045
118516906,"Büchner, Georg",Lenz,1839.0,0.066
118516906,"Büchner, Georg",Woyzeck,1836.0,1.0
118518801,"Canetti, Elias",Die Blendung,1935.0,0.11
118519859,"Celan, Paul",Der Meridian,1960.0,0.045
118519859,"Celan, Paul",Gedichte,1959.0,0.055
118676369,"Claus, Carlfriedrich",Gedichte,1964.0,0.055
132957078,"Cotten, Ann",Gedichte,2007.0,0.055
118526200,"Döblin, Alfred",Berlin Alexanderplatz,1929.0,0.11
118527533,"Droste-Hülshoff, Annette von",Die Judenbuche. Sittengemälde aus dem gebirgichten Westfalen,1842.0,0.066
118527533,"Droste-Hülshoff, Annette von","Gedichte, Balladen",1844.0,0.2
118527908,"Dürrenmatt, Friedrich",Der Besuch der alten Dame,1956.0,0.0357142857
