GND,author,title,year,prob_to_read
130674966,"$Bahr, Ehrhard (Hg.)",Was ist Aufklärung? Thesen und Definitionen,1974.0,1.0
116155086,"$Best, Otto F. (Hg.)",Deutsche Literatur. Ein Abriss in Text und Darstellung. Bd. 14,1918.0,1.0
116155086,"$Best, Otto F. (Hg.)",Deutsche Literatur. Ein Abriss in Text und Darstellung. Bd. 5,1748.0,1.0
116155086,"$Best, Otto F. (Hg.)",Theorie des Expressionismus,1986.0,1.0
116072628,"$Denkler, Horst (Hg.)","
Einakter und kleine Dramen des Expressionismus",1968.0,1.0
108418812 + 129568961,"$Doktor, Wolfgang/Sauder, Gerhard (Hg.)",Empfindsamkeit. Theoretische und kritische Texte,1992.0,1.0
116470925 + 119733937X,"$Emmerich, Wolfgang/Heil, Susanne (Hg.)",Lyrik des Exils,1985.0,1.0
172076064,"$Fischetti, Renate (Hg.)",Deutsche Literatur. Ein Abriss in Text und Darstellung. Bd. 4,1650.0,1.0
115683070,"$Frühwald, Wolfgang (Hg.)",Gedichte der Romantik,2001.0,1.0
11869636X,"$Gomringer, Eugen (Hg.)",Konkrete Poesie. Deutschsprachige Autoren,1972.0,1.0
174082770,"$Graeb-Könneker, Sebastian (Hg.)",Literatur im Dritten Reich,2001.0,1.0
119335514,"$Hermand, Jost (Hg.)",Das junge Deutschland. Texte und Dokumente,1998.0,1.0
119335514,"$Hermand, Jost (Hg.)",Deutscher Vormärz. Texte und Dokumente,1998.0,1.0
122677153,"$Kaiser, Gerhard R. (Hg.)",Deutsche Literatur. Ein Abriss in Text und Darstellung. Bd. 16,1969.0,1.0
122677153,"$Kaiser, Gerhard R. (Hg.)",Deutsche Literatur. Ein Abriss in Text und Darstellung. Bd. 17,1980.0,1.0
105968463,"$Karthaus, Ulrich (Hg.)",Deutsche Literatur. Ein Abriss in Text und Darstellung. Bd. 6,1763.0,1.0
115524428,"$Kiedaisch, Petra (Hg.)",Lyrik nach Auschwitz?,1995.0,1.0
116171650,"$Killy, Walther (Hg.)",Die Deutsche Literatur. Texte und Zeugnisse. Bd. 4: Das 18. Jahrhundert,1983.0,1.0
118832816,"$Kreuzer, Helmut (Hg.)",Deutsche Gedichte zwischen 1918 und 1933,1999.0,1.0
136013139 + 1080156755,"$Lange, Katrin/Zapf, Nora (Hg.)",Screen Shots. Literatur im Netz,2019.0,1.0
117015954,"$Lindemann, Gisela (Hg.)",Epochen der deutschen Lyrik. 1900-1960,1974.0,1.0
102183104,"$Loewenthal, Erich (Hg.)",Sturm und Drang. Kritische Schriften,1949.0,1.0
102183104 + 116829672,"$Loewenthal, Erich/Schneider, Lambert (Hg.)",Sturm und Drang. Dramatische Schriften,1958.0,1.0
172242894 + 123263018,"$Maché, Ulrich/Meid, Volker (Hg.)",Gedichte des Barock,1980.0,1.0
116679530,"$Mahal, Günther (Hg.)",Lyrik der Gründerzeit,1973.0,1.0
1288804067,"$Malsch, Gabriele (Hg.)",Gedichte des Sturm und Drang und der Klassik,1997.0,1.0
118731378,"$Martini, Fritz (Hg.)",Prosa des Expressionismus,1970.0,1.0
