GND,author,title,year,prob_to_read
121156192,"$Paefgen, Elisabeth (Hg.)",Echtermeyer: Deutsche Gedichte. Von den Anfängen bs zur Gegenwart,2010.0,0.3333333333333333
118647180,Aesop,Fabeln. Drey Bücher,-550.0,0.3333333333333333
118505602,"Bachmann, Ingeborg",Malina,1971.0,0.3333333333333333
118509039,"Benjamin, Walter",Berliner Kindheit um neunzehnhundert,1938.0,0.3333333333333333
118509861,"Bernhard, Thomas",Verstörung,1967.0,0.3333333333333333
11851217X,"Boccaccio, Giovanni",Il Decamerone,1348.0,0.3333333333333333
118513451,"Borchert, Wolfgang",An diesem Dienstag. Neunzehn Geschichten,1947.0,0.3333333333333333
118513931,"Bote, Hermann",Till Eulenspiegel,1510.0,0.3333333333333333
118514768,"Brecht, Bertolt",Die Dreigroschenoper,1928.0,0.3333333333333333
118514768,"Brecht, Bertolt",Leben des Galilei,1939.0,0.3333333333333333
118516906,"Büchner, Georg",Lenz,1839.0,0.3333333333333333
118516906,"Büchner, Georg",Woyzeck,1836.0,0.3333333333333333
118517880,"Busch, Wilhelm",Max und Moritz,1865.0,0.3333333333333333
118518658,"Campe, Joachim Heinrich",Robinson der Jüngere,1779.0,0.3333333333333333
11851993X,"Cervantes Saavedra, Miguel de",El ingenioso hidalgo Don Quixote de la Mancha,1605.0,0.3333333333333333
118520040,"Chamisso, Adelbert von",Peter Schlemihls wundersame Geschichte,1812.0,0.3333333333333333
118526200,"Döblin, Alfred",Berlin Alexanderplatz,1929.0,0.3333333333333333
118527533,"Droste-Hülshoff, Annette von",Die Judenbuche. Sittengemälde aus dem gebirgichten Westfalen,1842.0,0.3333333333333333
118527908,"Dürrenmatt, Friedrich",Der Besuch der alten Dame,1956.0,0.3333333333333333
118527908,"Dürrenmatt, Friedrich",Der Richter und sein Henker,1950.0,0.3333333333333333
118529390,"Eichendorff, Joseph von",Das Marmorbild,1819.0,0.3333333333333333
118530259,"Ende, Michael",Die unendliche Geschichte,1979.0,0.3333333333333333
118530259,"Ende, Michael",Momo,1973.0,0.3333333333333333
118534262,"Fontane, Theodor",Effi Briest,1896.0,0.3333333333333333
118536109,"Frisch, Max",Andorra,1961.0,0.3333333333333333
118536109,"Frisch, Max",Homo faber,1957.0,0.3333333333333333
118540238,"Goethe, Johann Wolfgang",Die Wahlverwandtschaften,1809.0,0.3333333333333333
