GND,author,title,year,prob_to_read
118501232,"Aichinger, Ilse",Spiegelgeschichte,1952.0,1.0
118829742,"Becker, Jurek",Jakob der Lügner,1969.0,1.0
118509861,"Bernhard, Thomas",Frost,1963.0,1.0
118514768,"Brecht, Bertolt",Mutter Courage und ihre Kinder,1938.0,1.0
118516906,"Büchner, Georg",Lenz,1839.0,1.0
118516906,"Büchner, Georg",Woyzeck,1836.0,1.0
118526200,"Döblin, Alfred",Berlin Alexanderplatz,1929.0,1.0
118527533,"Droste-Hülshoff, Annette von",Die Judenbuche. Sittengemälde aus dem gebirgichten Westfalen,1842.0,1.0
118527908,"Dürrenmatt, Friedrich",Der Besuch der alten Dame,1956.0,1.0
118529390,"Eichendorff, Joseph von",Aus dem Leben eines Taugenichts,1826.0,1.0
118534262,"Fontane, Theodor",Effi Briest,1896.0,1.0
118536109,"Frisch, Max",Homo faber,1957.0,1.0
118540238,"Goethe, Johann Wolfgang",Zum Schäkespears-Tag,1771.0,1.0
118540238,"Goethe, Johann Wolfgang",Die Leiden des jungen Werthers ,1774.0,1.0
118540238,"Goethe, Johann Wolfgang",Die Wahlverwandtschaften,1809.0,1.0
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie erster Teil ,1808.0,1.0
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie zweiter Teil ,1832.0,1.0
118540238,"Goethe, Johann Wolfgang",Götz von Berlichingen,1773.0,1.0
118540238,"Goethe, Johann Wolfgang",Iphigenie auf Tauris,1787.0,1.0
118540947,Gottfried von Straßburg,Tristan,1210.0,1.0
118541013,"Gottsched, Johann Christoph",Versuch einer Critischen Dichtkunst,1730.0,1.0
118541579,"Grass, Günter",Katz und Maus,1961.0,1.0
118542273,"Grimmelshausen, Johann Jakob Christoph von",Der Abentheuerliche Simplicissimus Teutsch,1668.0,1.0
118543032,"Gryphius, Andreas",Absurda Comica oder Herr Peter Squentz,1657.0,1.0
118545574,"Handke, Peter",Die Angst des Tormanns beim Elfmeter,1970.0,1.0
118546228,Hartmann von Aue,Iwein,,1.0
118546937,"Hauptmann, Gerhart",Bahnwärter Thiel,1888.0,1.0
118546937,"Hauptmann, Gerhart",Die Weber,1892.0,1.0
118548018,"Heine, Heinrich",Die Harzreise,1825.0,1.0
118548018,"Heine, Heinrich",Reisebilder,1826.0,1.0
128473886,"Helminger, Guy",Neubrasilien,2010.0,1.0
118552465,"Hoffmann, E.T.A.",Der goldne Topf,1814.0,1.0
