GND,author,title,year,prob_to_read
118501232,"Aichinger, Ilse",Die größere Hoffnung,1948.0,0.2
118501232,"Aichinger, Ilse",Spiegelgeschichte,1952.0,0.2
118502786,"Andersch, Alfred",Sansibar oder der letzte Grund,1957.0,0.2
118502956,"Andres, Stefan",El Greco malt den Großinquisitor ,1936.0,0.2
118503111,"Angelus, Silesius",Gedichte,1651.0,0.2
118505602,"Bachmann, Ingeborg",Der gute Gott von Manhattan,1958.0,0.2
118505602,"Bachmann, Ingeborg",Gedichte,1950.0,0.2
118505602,"Bachmann, Ingeborg",Malina,1971.0,0.2
118506617,"Barlach, Ernst",Der arme Vetter,1918.0,0.2
118653830,"Baum, Vicki",Menschen im Hotel,1929.0,0.2
118829742,"Becker, Jurek",Jakob der Lügner,1969.0,0.2
118509047,"Benn, Gottfried",Gedichte,1921.0,0.2
11850939X,"Bergengruen, Werner",Der letzte Rittmeister,1952.0,0.2
118509861,"Bernhard, Thomas",Heldenplatz,1989.0,0.2
11548048X,"Beyer, Marcel",Flughunde,1995.0,0.2
118512161,"Bobrowski, Johannes",Gedichte,1941.0,0.2
118878484,"Böhlau, Helene",Halbtier,1899.0,0.2
118512676,"Böll, Heinrich",Ansichten eines Clowns,1963.0,0.2
118512676,"Böll, Heinrich",Billard um halbzehn,1959.0,0.2
118513451,"Borchert, Wolfgang",Draußen vor der Tür,1947.0,0.2
118514644,"Braun, Volker",Gedichte,1981.0,0.2
118514768,"Brecht, Bertolt",Die Dreigroschenoper,1928.0,0.2
118514768,"Brecht, Bertolt",Gedichte,1927.0,0.2
118514768,"Brecht, Bertolt",Im Dickicht der Städte,1927.0,0.2
118514768,"Brecht, Bertolt",Leben des Galilei,1939.0,0.2
118514768,"Brecht, Bertolt",Mutter Courage und ihre Kinder,1938.0,0.2
118515055,"Brentano, Clemens",eines der Märchen,1810.0,0.2
118515055,"Brentano, Clemens",Gedichte,1810.0,0.2
118515470,"Brinkmann, Rolf Dieter",Gedichte,1958.0,0.2
118515551,"Broch, Hermann",Der Tod des Vergil,1945.0,0.2
118515551,"Broch, Hermann",Die Schlafwandler,1931.0,0.2
118515586,"Brockes, Barthold Heinrich",Gedichte,1714.0,0.2
118516906,"Büchner, Georg",Dantons Tod,1835.0,0.2
118516906,"Büchner, Georg",Lenz,1839.0,0.2
118516906,"Büchner, Georg",Leonce und Lena,1836.0,0.2
118516906,"Büchner, Georg",Woyzeck,1836.0,0.2
118517104,"Bürger, Gottfried August",Lyrik,1771.0,0.2
118517880,"Busch, Wilhelm",Die fromme Helene,1872.0,0.2
118517880,"Busch, Wilhelm",Max und Moritz,1865.0,0.2
118518801,"Canetti, Elias",Die Blendung,1935.0,0.2
118519859,"Celan, Paul",Gedichte,1959.0,0.2
118520040,"Chamisso, Adelbert von",Peter Schlemihls wundersame Geschichte,1812.0,0.2
118521098,"Claudius, Matthias",Gedichte,1778.0,0.2
11852321X,"Dach, Simon",Gedichte,1632.0,0.2
118526200,"Döblin, Alfred",Berlin Alexanderplatz,1929.0,0.2
118526200,"Döblin, Alfred",Die Ermordung einer Butterblume,1913.0,0.2
118526162,"Doderer, Heimito von",Die Merowinger,1962.0,0.2
118526634,"Domin, Hilde",Lyrik,1958.0,0.2
118526952,"Dorst, Tankred",Merlin oder das wüste Land,1981.0,0.2
118526952,"Dorst, Tankred",Toller,1968.0,0.2
118527533,"Droste-Hülshoff, Annette von",Die Judenbuche. Sittengemälde aus dem gebirgichten Westfalen,1842.0,0.2
118527533,"Droste-Hülshoff, Annette von","Gedichte, Balladen",1844.0,0.2
118527908,"Dürrenmatt, Friedrich",Der Besuch der alten Dame,1956.0,0.2
118527908,"Dürrenmatt, Friedrich",Die Physiker,1962.0,0.2
118527908,"Dürrenmatt, Friedrich",Romulus der Grosse,1949.0,0.2
115673776,"Duve, Karen",Im tiefen Schnee ein stilles Heim,1995.0,0.2
118528661,"Ebner-Eschenbach, Marie v.",Das Gemeindekind,1887.0,0.2
