GND,author,title,year,prob_to_read
118500775,"Adorno, Theodor W.",Rede über Lyrik und Gesellschaft,1957.0,0.25
118500856,Aischylos,Der gefesselte Prometheus,-470.0,0.3333333333333333
118500856,Aischylos,Die Perser,-472.0,0.3333333333333333
118500856,Aischylos,Orestie,-458.0,0.3333333333333333
118650130,Aristoteles,Poetik,-335.0,1.0
118504177,"Arnim, Achim von",Isabella von Ägypten ,1812.0,0.2
118504177 + 118515055,"Arnim, Achim von/ Brentano, Clemens (Hg.)",Des Knaben Wunderhorn. Alte deutsche Lieder,1806.0,0.2
118505602,"Bachmann, Ingeborg",Malina,1971.0,0.125
118505602,"Bachmann, Ingeborg",Undine geht,1961.0,0.1428571428571428
118505955,"Bahr, Hermann",Die Überwindung des Naturalismus,1891.0,0.2
118829742,"Becker, Jurek",Jakob der Lügner,1969.0,0.25
118509039,"Benjamin, Walter",Das Kunstwerk im Zeitalter seiner technischen Reproduzierbarkeit,1936.0,0.3333333333333333
118509039,"Benjamin, Walter",Einbahnstraße,1928.0,0.3333333333333333
118509047,"Benn, Gottfried",Aprèslude,1955.0,0.3333333333333333
118509047,"Benn, Gottfried",Gehirne,1916.0,0.2
118509047,"Benn, Gottfried",Morgue,1912.0,0.3333333333333333
118509047,"Benn, Gottfried",Probleme der Lyrik,1951.0,0.25
118509047,"Benn, Gottfried",Statische Gedichte,1948.0,0.3333333333333333
118509047,"Benn, Gottfried",Zur Problematik des Dichterischen,1930.0,0.25
118509861,"Bernhard, Thomas",Amras,1964.0,0.1428571428571428
118509861,"Bernhard, Thomas",Auslöschung,1986.0,0.125
118509861,"Bernhard, Thomas",Die Weltverbesserer,1979.0,0.1666666666666666
118509861,"Bernhard, Thomas",Heldenplatz,1989.0,0.1666666666666666
118509861,"Bernhard, Thomas",Verstörung,1967.0,0.25
118510665,"Bidermann, Jakob",Cenodoxus,1602.0,0.1666666666666666
118512161,"Bobrowski, Johannes",Schattenland Ströme,1962.0,0.1666666666666666
118512676,"Böll, Heinrich",Billard um halbzehn,1959.0,0.25
118514644,"Braun, Volker",Bodenloser Satz,1988.0,0.1428571428571428
118514644,"Braun, Volker",Hinze-Kunze-Roman,1985.0,0.25
118514768,"Brecht, Bertolt",Baal,1922.0,0.25
118514768,"Brecht, Bertolt",Bertolt Brechts Hauspostille,1927.0,0.3333333333333333
118514768,"Brecht, Bertolt",Buckower Elegien,1953.0,0.3333333333333333
