GND,author,title,year,prob_to_read
118787500,"$Arthur Quiller-Couch, Arthur",The Oxford Book of English Verse,,0.4166666666666667
1256774294,"Alighiere, Dante",La Divina Commedia,1307.0,0.4166666666666667
118505602,"Bachmann, Ingeborg",Anrufung des Großen Bären,1956.0,0.4166666666666667
118506358,"Balzac, Honoré de",Roman,1824.0,0.4166666666666667
118507184,"Baudelaire, Charles",Les Fleurs du Mal,1861.0,0.4166666666666667
118508172,"Beckett, Samuel",Warten auf Godot,1952.0,0.4166666666666667
118509861,"Bernhard, Thomas",Alte Meister,1985.0,0.4166666666666667
11851217X,"Boccaccio, Giovanni",Il Decamerone,1348.0,0.4166666666666667
118513532,"Borges, Jorge Luis",Erzählungen,1943.0,0.4166666666666667
118513532,"Borges, Jorge Luis",Essays,1943.0,0.4166666666666667
118514768,"Brecht, Bertolt",Die Dreigroschenoper,1928.0,0.4166666666666667
118514768,"Brecht, Bertolt",Die Heilige Johanna der Schlachthöfe,1929.0,0.4166666666666667
118514768,"Brecht, Bertolt",Gedichte,1927.0,0.4166666666666667
118514768,"Brecht, Bertolt",Kleines Organon für das Theater,1948.0,0.4166666666666667
118515055,"Brentano, Clemens",Gedichte,1810.0,0.4166666666666667
118515187,"Breton, André",Nadja,1928.0,0.4166666666666667
118516906,"Büchner, Georg",Gesamtwerk,1825.0,0.4166666666666667
118518399,"Calderón de la Barca, Pedro",Das Leben ein Traum,,0.4166666666666667
118518801,"Canetti, Elias",Die Blendung,1935.0,0.4166666666666667
118519859,"Celan, Paul",Der Meridian,1960.0,0.4166666666666667
118519859,"Celan, Paul",Die Niemandsrose,1963.0,0.4166666666666667
11851993X,"Cervantes Saavedra, Miguel de",El ingenioso hidalgo Don Quixote de la Mancha,1605.0,0.4166666666666667
118520040,"Chamisso, Adelbert von",Peter Schlemihls wundersame Geschichte,1812.0,0.4166666666666667
118524275,"Defoe, Daniel",Robinson Crusoe,1719.0,0.4166666666666667
118525239,"Dickens, Charles",Roman,1841.0,0.4166666666666667
118526200,"Döblin, Alfred",Berlin Alexanderplatz,1929.0,0.4166666666666667
118527053,"Dostojewski, Fjodor Michailowitsch",Verbrechen und Strafe ( = Schuld und Sühne),1866.0,0.4166666666666667
118529390,"Eichendorff, Joseph von",Aus dem Leben eines Taugenichts,1826.0,0.4166666666666667
118530534,"Enzensberger, Hans Magnus",Gedichte,1976.0,0.4166666666666667
118532081,"Faulkner, William",Licht im August,1931.0,0.4166666666666667
118533754,"Flaubert, Gustave",Erziehung des Gefühls,1869.0,0.4166666666666667
118534262,"Fontane, Theodor",Effi Briest,1896.0,0.4166666666666667
118536109,"Frisch, Max",Homo faber,1957.0,0.4166666666666667
118537601,"García Marquez, Gabriel",Hundert Jahre Einsamkeit,1967.0,0.4166666666666667
118540238,"Goethe, Johann Wolfgang",Die Leiden des jungen Werthers ,1774.0,0.4166666666666667
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie erster Teil ,1808.0,0.4166666666666667
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie zweiter Teil ,1832.0,0.4166666666666667
118540238,"Goethe, Johann Wolfgang",Gedichte (aus allen Hauptphasen),1791.0,0.4166666666666667
118540238,"Goethe, Johann Wolfgang",Torquato Tasso ,1790.0,0.4166666666666667
118540238,"Goethe, Johann Wolfgang",Wilhelm Meisters Lehrjahre,1795.0,0.4166666666666667
118540424,"Gogol, Nikolai Wassiljewitsch",Revisor,1836.0,0.4166666666666667
118540505,"Goldoni, Carlo",Komödie,,0.4166666666666667
118541579,"Grass, Günter",Die Blechtrommel,1959.0,0.4166666666666667
118542192,"Grillparzer, Franz",Ein Bruderzwist in Habsburg,1848.0,0.4166666666666667
118542257 + 118542265,"Grimm, Jacob und Wilhelm",Kinder- und Hausmärchen,1812.0,0.4166666666666667
118546937,"Hauptmann, Gerhart",Vor Sonnenaufgang,1889.0,0.4166666666666667
118548018,"Heine, Heinrich",Reisebilder,1826.0,0.4166666666666667
118549030,"Hemingway, Ernest",Fiesta,1926.0,0.4166666666666667
118555286,Henrik Ibsen,Gespenster,1881.0,0.4166666666666667
118774182,"Hernández, José",Martín Fierro,1872.0,0.4166666666666667
118552465,"Hoffmann, E.T.A.",Eine Erzählung,1816.0,0.4166666666666667
