GND,author,title,year,prob_to_read
118505602,"Bachmann, Ingeborg",Malina,1971.0,1.0
118509047,"Benn, Gottfried",Mann und Frau gehn durch die Krebsbaracke,1912.0,1.0
118509861,"Bernhard, Thomas",Heldenplatz,1989.0,1.0
118511270,"Birken, Sigmund von","Leben Tod, Tod Leben",1670.0,1.0
118512676,"Böll, Heinrich",Billard um halbzehn,1959.0,1.0
118514768,"Brecht, Bertolt",Baal,1922.0,1.0
118515055,"Brentano, Clemens",In der Fremde,1811.0,1.0
118515470,"Brinkmann, Rolf Dieter",Westwärts 1 & 2,1975.0,1.0
118515586,"Brockes, Barthold Heinrich",Das Firmament,1721.0,1.0
118515586,"Brockes, Barthold Heinrich",Die Heide,1727.0,1.0
118515586,"Brockes, Barthold Heinrich",Die kleine Fliege,1736.0,1.0
118515586,"Brockes, Barthold Heinrich",Unumstößliche Gründe,1739.0,1.0
118517104,"Bürger, Gottfried August",Des Pfarrers Tochter von Taubenhain,1782.0,1.0
118517104,"Bürger, Gottfried August",Lenore,1773.0,1.0
118517104,"Bürger, Gottfried August",Naturrecht,1789.0,1.0
118519859,"Celan, Paul",Todesfuge,1947.0,1.0
118520040,"Chamisso, Adelbert von",Peter Schlemihls wundersame Geschichte,1812.0,1.0
118527533,"Droste-Hülshoff, Annette von",Die Judenbuche. Sittengemälde aus dem gebirgichten Westfalen,1842.0,1.0
118529390,"Eichendorff, Joseph von",Abschied,1810.0,1.0
118529390,"Eichendorff, Joseph von",Aus dem Leben eines Taugenichts,1826.0,1.0
118529390,"Eichendorff, Joseph von",Die Zauberin im Walde,1831.0,1.0
118529390,"Eichendorff, Joseph von",Die zwei Gesellen,1818.0,1.0
118533908,"Fleming, Paul",An sich,1640.0,1.0
118534262,"Fontane, Theodor",Effi Briest,1896.0,1.0
118536109,"Frisch, Max",Stiller,1954.0,1.0
118538322,"Gellert, Christian Fürchtegott",Der Tanzbär,1746.0,1.0
118538322,"Gellert, Christian Fürchtegott",Die zärtlichen Schwestern,1747.0,1.0
118540238,"Goethe, Johann Wolfgang",Ballade,1813.0,1.0
118540238,"Goethe, Johann Wolfgang",Der Adler und die Taube,1774.0,1.0
118540238,"Goethe, Johann Wolfgang",Die Leiden des jungen Werthers ,1774.0,1.0
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie erster Teil ,1808.0,1.0
118540238,"Goethe, Johann Wolfgang",Ganymed,1774.0,1.0
118540238,"Goethe, Johann Wolfgang",Götz von Berlichingen,1773.0,1.0
118540238,"Goethe, Johann Wolfgang",Iphigenie auf Tauris,1787.0,1.0
118540238,"Goethe, Johann Wolfgang",Jägers Nachtlied,1776.0,1.0
118540238,"Goethe, Johann Wolfgang",Maifest,1774.0,1.0
118540238,"Goethe, Johann Wolfgang",Prometheus,1774.0,1.0
118540238,"Goethe, Johann Wolfgang",Wilhelm Meisters Lehrjahre,1795.0,1.0
118540238,"Goethe, Johann Wolfgang",Willkomm und Abschied,1771.0,1.0
118541013,"Gottsched, Johann Christoph",Der sterbende Cato,1732.0,1.0
118696734,"Gottsched, Luise Adelgunde Victorie",Die Pietisterey im Fischbein-Rocke,1736.0,1.0
118541579,"Grass, Günter",Die Blechtrommel,1959.0,1.0
118543032,"Gryphius, Andreas",Abend,1650.0,1.0
118543032,"Gryphius, Andreas",Ach Liebste lass uns eilen,1624.0,1.0
118543032,"Gryphius, Andreas",Carolus Stuardus,1657.0,1.0
118543032,"Gryphius, Andreas",Ermordete Majestät oder Carolus Stuardus,1657.0,1.0
118543032,"Gryphius, Andreas",Es ist alles eitel,1637.0,1.0
118543032,"Gryphius, Andreas",Thränen des Vaterlands,1636.0,1.0
118543032,"Gryphius, Andreas",Thränen in schwerer Kranheit,1640.0,1.0
11854327X,"Günther, Johann Christian",An Leonoren,1715.0,1.0
11854327X,"Günther, Johann Christian",Sechzehnzeiliges Sonett,1718.0,1.0
118700421,"Hagedorn, Friedrich von",Der Berg und der Poet,1738.0,1.0
118545140,"Haller, Albrecht von",Die Alpen,1732.0,1.0
118546937,"Hauptmann, Gerhart",Vor Sonnenaufgang,1889.0,1.0
118548018,"Heine, Heinrich",Deutschland. Ein Wintermärchen*,1844.0,1.0
118552465,"Hoffmann, E.T.A.",Der Sandmann,1816.0,1.0
118552465,"Hoffmann, E.T.A.",Die Bergwerke zu Falun,1819.0,1.0
118706187,"Hoffmannswaldau, Christian Hoffmann von",Die Welt,1679.0,1.0
118706187,"Hoffmannswaldau, Christian Hoffmann von",Vergänglichkeit der Schönheit,1695.0,1.0
118551981,"Hölderlin, Friedrich",An die Parzen,1798.0,1.0
118552023,"Hölty, Ludwig Christoph Heinrich",An den Mond,1774.0,1.0
118552023,"Hölty, Ludwig Christoph Heinrich",Die künftige Geliebte,1775.0,1.0
118552023,"Hölty, Ludwig Christoph Heinrich",Die Schiffende,1774.0,1.0
118552023,"Hölty, Ludwig Christoph Heinrich",Mailied,1773.0,1.0
118556894,"Jandl, Ernst",wien: heldenplatz,1966.0,1.0
119001802,"Jelinek, Elfriede",Die Klavierspielerin,1983.0,1.0
11855817X,"Johnson, Uwe",Mutmaßungen über Jakob,1959.0,1.0
118559230,"Kafka, Franz",Die Verwandlung,1912.0,1.0
11855963X,"Kaltneker, Hans",Der Mord,1925.0,1.0
11856109X,"Keller, Gottfried",Romeo und Julia auf dem Dorfe,1856.0,1.0
118561545,"Kerner, Justinus",Der Grundton der Natur,1839.0,1.0
118563076,"Kleist, Heinrich von",Die Marquise von O…,1808.0,1.0
118563076,"Kleist, Heinrich von",Penthesilea,1808.0,1.0
118563386,"Klopstock, Friedrich Gottlob","Der Hügel, und der Hain",1767.0,1.0
118563386,"Klopstock, Friedrich Gottlob",Der Zürchersee,1750.0,1.0
118563386,"Klopstock, Friedrich Gottlob",Die Verwandlung,1794.0,1.0
118563386,"Klopstock, Friedrich Gottlob",Elegie,1748.0,1.0
118563386,"Klopstock, Friedrich Gottlob",Gegenwart der Abwesenden,1753.0,1.0
118564471,"Koeppen, Wolfgang",Tauben im Gras,1951.0,1.0
120013428,"Kracht, Christian",Faserland,1995.0,1.0
118571656,"Lenz, Jakob Michael Reinhold",Die Soldaten,1776.0,1.0
118572121,"Lessing, Gotthold Ephraim",Der Tanzbär,1751.0,1.0
118572121,"Lessing, Gotthold Ephraim",Emilia Galotti,1772.0,1.0
118572121,"Lessing, Gotthold Ephraim",Miss Sara Sampson,1755.0,1.0
118572121,"Lessing, Gotthold Ephraim",Nathan der Weise,1779.0,1.0
118577166,"Mann, Thomas",Der Tod in Venedig,1912.0,1.0
118581775,"Meyer, Conrad Ferdinand",Die Versuchung des Pescara,1857.0,1.0
118581775,"Meyer, Conrad Ferdinand",Michelangelo und seine Statuen,1882.0,1.0
118581775,"Meyer, Conrad Ferdinand",Stapfen,1882.0,1.0
118582046,"Meyrink, Gustav",Der Golem,1915.0,1.0
118784013,"Miller, Johann Martin",An meine künftige Geliebte,1772.0,1.0
118587943,"Nietzsche, Friedrich",Der Freigeist,1884.0,1.0
118588893,Novalis,Heinrich von Ofterdingen,1802.0,1.0
118588893,Novalis,Wenn nicht mehr Zahlen und Figuren,1799.0,1.0
118590111,"Opitz, Martin",Absurda Comica oder Herr Peter Squentz,1630.0,1.0
118590111,"Opitz, Martin",Auf ihr klugen Pierinnen,1630.0,1.0
118740709,"Pfeffel, Gottlieb Konrad",Der Tanzbär,1789.0,1.0
118597442,"Raabe, Wilhelm",Die Akten des Vogelsangs,1896.0,1.0
118597442,"Raabe, Wilhelm",Die Tür war zu,1892.0,1.0
118956299,"Ransmayr, Christoph",Die letzte Welt,1988.0,1.0
118601024,"Rilke, Rainer Maria",Duineser Elegien,1923.0,1.0
118607626,"Schiller, Friedrich",Das verschleierte Bild zu Sais,1795.0,1.0
118607626,"Schiller, Friedrich",Der Kampf,1800.0,1.0
118607626,"Schiller, Friedrich",Die Bürgschaft,1799.0,1.0
118607626,"Schiller, Friedrich",Die Götter Griechenlands,1788.0,1.0
118607626,"Schiller, Friedrich",Die Kraniche des Ibykus,1797.0,1.0
118607626,"Schiller, Friedrich",Die Räuber,1782.0,1.0
118607626,"Schiller, Friedrich",Die seligen Augenblicke an Laura,1782.0,1.0
118607626,"Schiller, Friedrich",Fantasie an Laura,1782.0,1.0
118607626,"Schiller, Friedrich",Freygeisterei der Leidenschaft,1782.0,1.0
