GND,author,title,year,prob_to_read
118501232,"Aichinger, Ilse",Die größere Hoffnung,1948.0,1.0
118504185,"Arnim, Bettine von",Dies Buch gehört dem König,1843.0,1.0
118505602,"Bachmann, Ingeborg",Die gestundete Zeit,1953.0,1.0
118514768,"Brecht, Bertolt",Die Dreigroschenoper,1928.0,1.0
118515470,"Brinkmann, Rolf Dieter",Einen jener klassischen,1975.0,1.0
118515586,"Brockes, Barthold Heinrich",Gedichte,1714.0,1.0
118516906,"Büchner, Georg",Woyzeck,1836.0,1.0
118519859,"Celan, Paul",Fadensonnen,1968.0,1.0
118527533,"Droste-Hülshoff, Annette von",Die Judenbuche. Sittengemälde aus dem gebirgichten Westfalen,1842.0,1.0
118529390,"Eichendorff, Joseph von",Das Marmorbild,1819.0,1.0
118529390,"Eichendorff, Joseph von",Mondnacht,1837.0,1.0
118531905,"Fallada, Hans",Jeder stirbt für sich allein,1947.0,1.0
118533185,"Fischart, Johann","Flöh Hatz, Weiber Tratz",1573.0,1.0
118534262,"Fontane, Theodor",Effi Briest,1896.0,1.0
118534262,"Fontane, Theodor",Herr von Ribbeck auf Ribbeck im Havelland,1889.0,1.0
118534262,"Fontane, Theodor",John Maynard,1885.0,1.0
118540238,"Goethe, Johann Wolfgang",Wilhelm Meisters Lehrjahre,1795.0,1.0
123821762,"Gomringer, Nora",Kleine Formel,2015.0,1.0
118696734,"Gottsched, Luise Adelgunde Victorie",Die Pietisterey im Fischbein-Rocke,1736.0,1.0
118541579,"Grass, Günter",Treffen in Telgte,1979.0,1.0
130861294,"Grebe, Rainald",Brandenburg,2005.0,1.0
118542273,"Grimmelshausen, Johann Jakob Christoph von",Der Abentheuerliche Simplicissimus Teutsch,1668.0,1.0
118543032,"Gryphius, Andreas",Absurda Comica oder Herr Peter Squentz,1657.0,1.0
118543032,"Gryphius, Andreas",Catharina von Georgien,1657.0,1.0
118545574,"Handke, Peter",Publikumsbeschimpfung,1966.0,1.0
118546139,"Harsdörffer, Georg Philipp",Der grosse Schauplatz jämerlicher Mord-Geschichte,,1.0
118546937,"Hauptmann, Gerhart",Bahnwärter Thiel,1888.0,1.0
118546937,"Hauptmann, Gerhart",Die Weber,1892.0,1.0
