GND,author,title,year,prob_to_read
124718124,"$Behrens, Katja (Hg.)",Frauenbriefe der Romantik,1982.0,1.0
118508849,"$Bender, Hans (Hg.)",Deutsche Gedichte: 1930-1960,1983.0,1.0
116155086,"$Best, Otto F. (Hg.)",Deutsche Literatur. Ein Abriss in Text und Darstellung. Bd. 5,1748.0,1.0
116155086,"$Best, Otto F. (Hg.)",Theorie des Expressionismus,1986.0,1.0
107911213,"$Elm, Theo (Hg.)",Lyrik der neunziger Jahre,2000.0,1.0
115527842,"$Engels, Hans-Werner (Hg.)",Gedichte und Lieder deutscher Jakobiner,1794.0,1.0
118530534,"$Enzensberger, Hans Magnus (Hg.)",Kursbuch 15,1968.0,1.0
118530534,"$Enzensberger, Hans Magnus (Hg.)",Kursbuch 47,1977.0,1.0
1076412637,"$Frederiksen, Elke (Hg.)",Die Frauenfrage in Deutschland 1865-1915 : Texte und Dokumente,1981.0,1.0
124680755,"$Kimmich, Dorothee",Texte zur Literaturtheorie der Gegenwart,2003.0,1.0
130643300,"$Meyer, Theo (Hg.)",Theorie des Naturalismus,1986.0,1.0
144054655,"$Plumpe, Gerhard (Hg.)",Theorie des bürgerlichen Realismus,1986.0,1.0
118836757,"$Szyrocki, Marian (Hg.)",Poetik des Barock,1968.0,1.0
136927696,"$Völker, Ludwig (Hg.)",Lyriktheorie. Texte vom Barock bis zur Gegenwart,1990.0,1.0
118937197,"Améry, Jean",autobiografische Prosa,1945.0,1.0
118504177 + 118515055,"Arnim, Achim von/ Brentano, Clemens (Hg.)",Des Knaben Wunderhorn. Alte deutsche Lieder,1806.0,1.0
118504185,"Arnim, Bettine von",Briefe und Schriften,1822.0,1.0
118504533,"Artmann, Hans Carl",Gedichte,1961.0,1.0
118504533,"Artmann, Hans Carl",Prosa,1961.0,1.0
118829211,"Ausländer, Rose",Gedichte,1945.0,1.0
118505602,"Bachmann, Ingeborg","Frankfurter Vorlesungen (insb. ""Das schreibende Ich"")",1959.0,1.0
118505602,"Bachmann, Ingeborg",Gedichte,1950.0,1.0
118505602,"Bachmann, Ingeborg",Malina,1971.0,1.0
118507931,"Becher, Johannes R.",Lyrik,1925.0,1.0
118829742,"Becker, Jurek",Jakob der Lügner,1969.0,1.0
118508091,"Becker, Jürgen",Lyrik,1977.0,1.0
118508091,"Becker, Jürgen",Prosa,1977.0,1.0
118508253,"Beer, Johann",Narren-Spital,1681.0,1.0
118509039,"Benjamin, Walter",Das Kunstwerk im Zeitalter seiner technischen Reproduzierbarkeit,1936.0,1.0
118509047,"Benn, Gottfried",Gedichte,1921.0,1.0
118509861,"Bernhard, Thomas",Der Atem,1978.0,0.5
118509861,"Bernhard, Thomas",Der Theatermacher,1984.0,0.5
118509861,"Bernhard, Thomas",Heldenplatz,1989.0,0.5
118509861,"Bernhard, Thomas",Holzfällen. Eine Erregung,1984.0,0.5
118510789,"Biermann, Wolf",Gedichte,1979.0,1.0
118511742,"Bloch, Ernst",Spuren,1983.0,1.0
118512161,"Bobrowski, Johannes",Gedichte,1941.0,1.0
118512676,"Böll, Heinrich",Das Brot der frühen Jahre,1955.0,0.5
118512676,"Böll, Heinrich",Essayistik,1951.0,1.0
118512676,"Böll, Heinrich",Wanderer kommst du  nach Spa…,1950.0,0.5
118513451,"Borchert, Wolfgang",Das Brot,1946.0,1.0
118513451,"Borchert, Wolfgang",Das ist unser Manifest,1947.0,1.0
118513451,"Borchert, Wolfgang",Draußen vor der Tür,1947.0,1.0
11851363X,"Born, Nicolas",Gedichte,1951.0,1.0
118512749,"Börne, Ludwig",Briefe aus Paris,1832.0,1.0
118514210,"Bräker, Ulrich",Der arme Mann im Tockenburg,1788.0,1.0
118514644,"Braun, Volker",Gedichte,1981.0,1.0
118514644,"Braun, Volker",Iphigenie in Freiheit,1992.0,1.0
118514768,"Brecht, Bertolt",Bertolt Brechts Hauspostille,1927.0,1.0
118514768,"Brecht, Bertolt",Der gute Mensch von Sezuan,1953.0,0.25
118514768,"Brecht, Bertolt",Der Kaukasische Kreidekreis,1949.0,0.25
118514768,"Brecht, Bertolt",Kleines Organon für das Theater,1948.0,1.0
118514768,"Brecht, Bertolt",Leben des Galilei,1939.0,0.25
118514768,"Brecht, Bertolt",Mutter Courage und ihre Kinder,1938.0,0.25
118514881,"Breitinger, Johann Jakob",Critische Dichtkunst,1740.0,1.0
118515055,"Brentano, Clemens",Gedichte,1810.0,1.0
118515055,"Brentano, Clemens",Geschichte vom braven Kasperl und dem schönen Annerl,1817.0,1.0
118515470,"Brinkmann, Rolf Dieter",Gedichte,1958.0,1.0
118515586,"Brockes, Barthold Heinrich",Gedichte,1714.0,1.0
118516906,"Büchner, Georg",Dantons Tod,1835.0,1.0
118516906,"Büchner, Georg",Der Hessische Landbote,1834.0,1.0
118516906,"Büchner, Georg",Lenz,1839.0,1.0
118516906,"Büchner, Georg",Leonce und Lena,1836.0,1.0
118516906,"Büchner, Georg",Woyzeck,1836.0,1.0
118517104,"Bürger, Gottfried August",Lyrik,1771.0,1.0
118518801,"Canetti, Elias",Die Blendung,1935.0,1.0
118519859,"Celan, Paul",Gedichte,1959.0,1.0
118526200,"Döblin, Alfred",Berlin Alexanderplatz,1929.0,1.0
118527533,"Droste-Hülshoff, Annette von",Die Judenbuche. Sittengemälde aus dem gebirgichten Westfalen,1842.0,1.0
118527533,"Droste-Hülshoff, Annette von","Gedichte, Balladen",1844.0,1.0
118527908,"Dürrenmatt, Friedrich",Der Besuch der alten Dame,1956.0,0.5
118527908,"Dürrenmatt, Friedrich",Die Physiker,1962.0,0.5
128923865,"Durzak, Manfred (Hg.)",Erzählte Zeit. 50 deutsche Kurzgeschichten der Gegenwart,1980.0,1.0
118528661,"Ebner-Eschenbach, Marie v.",Das Gemeindekind,1887.0,1.0
118529374,"Eich, Günter",Die Mädchen aus Viterbo,1960.0,1.0
118529374,"Eich, Günter",Gedichte,1951.0,1.0
118529390,"Eichendorff, Joseph von",Aus dem Leben eines Taugenichts,1826.0,1.0
118529390,"Eichendorff, Joseph von",Gedichte,1823.0,1.0
118530534,"Enzensberger, Hans Magnus",Essays,1976.0,1.0
118530534,"Enzensberger, Hans Magnus",Gedichte,1976.0,1.0
118532715,"Feuchtwanger, Lion",Erfolg,1930.0,1.0
118533886,"Fleißer, Marieluise",Ein Pfund Orangen,1926.0,0.5
118533886,"Fleißer, Marieluise",Eine Zierde für den Verein,1931.0,0.5
118533886,"Fleißer, Marieluise",Fegefeuer in Ingolstadt,1929.0,0.5
118533886,"Fleißer, Marieluise",Pioniere in Ingolstadt,1928.0,0.5
118533908,"Fleming, Paul","Gedichte (Poetische Wälder, Oden, Sonette)",1642.0,0.0769230769230769
118534262,"Fontane, Theodor",Der Stechlin,1897.0,0.5
118534262,"Fontane, Theodor",Effi Briest,1896.0,1.0
118534262,"Fontane, Theodor","Irrungen, Wirrungen",1887.0,0.5
118534262,"Fontane, Theodor",Lyrik,1859.0,1.0
118534416,"Forster, Georg",Ansichten vom Niederrhein,1791.0,1.0
118535315,"Freud, Sigmund",Das Unbehagen in der Kultur,1930.0,1.0
118703145,"Fried, Erich",Lyrik,1955.0,1.0
118536109,"Frisch, Max",Andorra,1961.0,0.5
118536109,"Frisch, Max",Biedermann und die Brandstifter,1958.0,0.5
118536109,"Frisch, Max",Essayistik,1951.0,1.0
118536109,"Frisch, Max",Homo faber,1957.0,0.3333333333333333
118536109,"Frisch, Max",Mein Name sei Gantenbein,1964.0,0.3333333333333333
118536109,"Frisch, Max",Stiller,1954.0,0.3333333333333333
118536672,"Fühmann, Franz",Das Judenauto,1962.0,1.0
118538322,"Gellert, Christian Fürchtegott",Das Leben der schwedischen Gräfin von G***,1748.0,1.0
11853856X,"George, Stefan",Gedichte,1901.0,1.0
118538659,"Gerhardt, Paul",Gedichte/ Lieder,1642.0,0.0769230769230769
11884556X,"Gernhardt, Robert",Gedichte,1972.0,1.0
118717758,"Gleim, Johann Wilhelm Ludwig",Lyrik,1761.0,1.0
118540238,"Goethe, Johann Wolfgang",Über epische und dramatische Dichtung,1797.0,1.0
118540238,"Goethe, Johann Wolfgang",Die Leiden des jungen Werthers ,1774.0,1.0
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie erster Teil ,1808.0,1.0
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie zweiter Teil ,1832.0,1.0
118540238,"Goethe, Johann Wolfgang",Gedichte (aus allen Hauptphasen),1791.0,1.0
118540238,"Goethe, Johann Wolfgang",Götz von Berlichingen,1773.0,1.0
118540238,"Goethe, Johann Wolfgang",Iphigenie auf Tauris,1787.0,1.0
