GND,author,title,year,prob_to_read
118565060,(Pfaffe Konrad),Rolandslied,1172.0,1.0
116215305,"$Bode, Dietrich (Hg.)",Deutsche Gedichte. Eine Anthologie,2010.0,1.0
13792903X,"$Koch, Hans J. (Hg.)","(alles in: Die deutsche Literatur in Text und Darstellung. Mittelalter 1, RUB 9601)",,1.0
122296885,"$Müller, Ulrich (Hg.)","Minnesang und Sangspruchdichtung (nach: Deutsche Gedichte des Mittelalters, RUB 8849)",,1.0
122296885,"$Müller, Ulrich (Hg.)","Spätmittelalterliche Lyrik (nach: Deutsche Gedichte des Mittelalters, RUB 8849)",,1.0
,"$Rühm, Gerhard (Hg.)",Die Wiener Gruppe,1960.0,1.0
1050735862,"$Sonnleitner, Johann (Hg.)",Hanswurstiaden,,1.0
11889286X,"$Wuttke, Dieter (Hg.)",Fastnachtsspiele des 15. und 16. Jahrhunderts,,1.0
118501232,"Aichinger, Ilse",Die größere Hoffnung,1948.0,1.0
118500856,Aischylos,,-490.0,1.0
118937197,"Améry, Jean",Jenseits von Schuld und Sühne,1966.0,1.0
11850357X,"Anzengruber, Ludwig",Das vierte Gebot,1878.0,1.0
11850357X,"Anzengruber, Ludwig",Die Märchen des Steinklopferhanns,1880.0,1.0
118650130,Aristoteles,Poetik,-335.0,1.0
118504185,"Arnim, Bettine von",Die Günderode,1840.0,1.0
118505602,"Bachmann, Ingeborg",Anrufung des Großen Bären,1956.0,0.5
118505602,"Bachmann, Ingeborg",Das dreißigste Jahr,1961.0,1.0
118505602,"Bachmann, Ingeborg",Die gestundete Zeit,1953.0,0.5
118505602,"Bachmann, Ingeborg","Frankfurter Vorlesungen (insb. ""Das schreibende Ich"")",1959.0,1.0
118505602,"Bachmann, Ingeborg",Malina,1971.0,1.0
118507753,"Bayer, Konrad",Der Kopf des Vitus Bering,1965.0,1.0
118509047,"Benn, Gottfried",Probleme der Lyrik,1951.0,1.0
118509861,"Bernhard, Thomas",Auslöschung,1986.0,0.5
118509861,"Bernhard, Thomas",Der Atem,1978.0,0.2
118509861,"Bernhard, Thomas",Der Keller,1976.0,0.2
118509861,"Bernhard, Thomas",Der Theatermacher,1984.0,0.5
118509861,"Bernhard, Thomas",Die Kälte,1981.0,0.2
118509861,"Bernhard, Thomas",Die Ursache,1976.0,0.2
118509861,"Bernhard, Thomas",Ein Kind,1982.0,0.2
118509861,"Bernhard, Thomas",Frost,1963.0,0.5
118509861,"Bernhard, Thomas",Heldenplatz,1989.0,0.5
118510665,"Bidermann, Jakob",Cenodoxus,1602.0,1.0
118511963,"Blumauer, Aloys",Aeneis travestirt,1784.0,1.0
119501252,"Boie, Kirsten","Es gibt Dinge, die kann man nicht erzählen",2013.0,1.0
118512676,"Böll, Heinrich",Wanderer kommst du  nach Spa…,1950.0,1.0
118514644,"Braun, Volker",Böhmen am Meer,1989.0,1.0
118514768,"Brecht, Bertolt","Anmerkungen zu ""Aufstieg und Fall der Stadt Mahagonny""",1929.0,1.0
118514768,"Brecht, Bertolt",Der Dreigroschenprozess,1928.0,0.5
118514768,"Brecht, Bertolt",Der Jasager und der Neinsager,1931.0,0.3333333333333333
118514768,"Brecht, Bertolt",Der Kaukasische Kreidekreis,1949.0,0.5
