GND,author,title,year,prob_to_read
118505602,"Bachmann, Ingeborg",Gedichte,1950.0,1.0
118505602,"Bachmann, Ingeborg",Malina,1971.0,1.0
118514768,"Brecht, Bertolt",Gedichte,1927.0,1.0
118514768,"Brecht, Bertolt",zwei Dramen,1927.0,1.0
118516906,"Büchner, Georg",Dantons Tod,1835.0,1.0
118516906,"Büchner, Georg",Woyzeck,1836.0,1.0
118567756,Der Kürenberger,Minnesang,1150.0,1.0
118619284,Der Stricker,"Erzählungen, Fabeln, Reden",1225.0,1.0
11867191X,Dietmar von Aist,Minnesang,1143.0,1.0
118526200,"Döblin, Alfred",Berlin Alexanderplatz,1929.0,1.0
118527533,"Droste-Hülshoff, Annette von",Die Judenbuche. Sittengemälde aus dem gebirgichten Westfalen,1842.0,1.0
118527533,"Droste-Hülshoff, Annette von","Gedichte, Balladen",1844.0,1.0
118529390,"Eichendorff, Joseph von",Aus dem Leben eines Taugenichts,1826.0,1.0
118529390,"Eichendorff, Joseph von",Gedichte,1823.0,1.0
118534262,"Fontane, Theodor",Ein Roman,1859.0,1.0
118693549,Friedrich von Hausen,Minnesang,1173.0,1.0
118540238,"Goethe, Johann Wolfgang",Die Leiden des jungen Werthers ,1774.0,1.0
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie erster Teil ,1808.0,1.0
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie zweiter Teil ,1832.0,1.0
118540238,"Goethe, Johann Wolfgang",Gedichte (aus allen Hauptphasen),1791.0,1.0
118540238,"Goethe, Johann Wolfgang",Iphigenie auf Tauris,1787.0,1.0
118540238,"Goethe, Johann Wolfgang",Wilhelm Meisters Lehrjahre,1795.0,1.0
118540947,Gottfried von Straßburg,Tristan,1210.0,1.0
118541579,"Grass, Günter",Die Blechtrommel,1959.0,1.0
118542273,"Grimmelshausen, Johann Jakob Christoph von",Der Abentheuerliche Simplicissimus Teutsch,1668.0,1.0
118543032,"Gryphius, Andreas",Leo Armenius,1650.0,1.0
118543202,"Günderrode, Karoline von",Gedichte,1793.0,1.0
118546228,Hartmann von Aue,Erec,,1.0
118546228,Hartmann von Aue,Gregorius,,1.0
118546228,Hartmann von Aue,Iwein,,1.0
118546937,"Hauptmann, Gerhart",Ein Drama,1904.0,1.0
118548018,"Heine, Heinrich",Gedichte,1827.0,1.0
118560735,Heinrich Kaufringer,Mären,,1.0
118535102,Heinrich von Meißen,Sangspruchdichtung,,1.0
118709836,Heinrich von Morungen,Minnesang,,1.0
11854845X,Heinrich von Veldeke,Eneasroman,,1.0
118634267,Heinrich Wittenwîler,Der Ring,,1.0
118552465,"Hoffmann, E.T.A.",Eine Erzählung,1816.0,1.0
118552759,"Hofmannsthal, Hugo von",Ein Brief (Chandosbrief),1902.0,1.0
118552759,"Hofmannsthal, Hugo von",Gedichte,1902.0,1.0
118818260,Johannes von Tepl,Der Ackermann,1401.0,1.0
118559230,"Kafka, Franz",Der Prozess,1925.0,1.0
118559230,"Kafka, Franz",Erzählungen,1916.0,1.0
11856109X,"Keller, Gottfried",Die Leute von Seldwyla,1856.0,1.0
118563076,"Kleist, Heinrich von",Eine Komödie,1807.0,1.0
118563076,"Kleist, Heinrich von",Eine Tragödie,1807.0,1.0
118563076,"Kleist, Heinrich von",Erzählungen,1794.0,1.0
118565133,Konrad von Würzburg,Alexius,,1.0
118569767,"La Roche, Sophie von",Die Geschichte des Fräuleins von Sternheim,1771.0,1.0
118569880,"Lasker-Schüler, Else",Gedichte,1907.0,1.0
118572121,"Lessing, Gotthold Ephraim",Dramen,1755.0,1.0
118577131,"Mann, Heinrich",Der Untertan,1918.0,1.0
118577166,"Mann, Thomas","Ein Roman, eine Erzählung",1915.0,1.0
118579797,Mechthild von Magdeburg,Das fließende Licht der Gottheit,,1.0
118528823,Meister Eckhart,Die rede der underscheidunge,,1.0
118528823,Meister Eckhart,Von abegescheidenheit,,1.0
118583107,"Mörike, Eduard",Gedichte,1838.0,1.0
118586874,Neidhart,Lieder (RUB 6927),,1.0
118588893,Novalis,Hymnen an die Nacht,1800.0,1.0
118640305,Pfaffe Lambrecht,Straßburger Alexander,,1.0
118742647,"Pinthus, Kurt (Hg.)",Menschheitsdämmerung,1920.0,1.0
11859950X,Reinmar der Alte,Minnesang,,1.0
118601024,"Rilke, Rainer Maria",Lyrik ,1901.0,1.0
118604627,"Sachs, Nelly",Lyrik,1931.0,1.0
118607626,"Schiller, Friedrich",Balladen,1782.0,1.0
118607626,"Schiller, Friedrich",Dramen,1782.0,1.0
118609807,"Schnitzler, Arthur",Der Reigen,1903.0,1.0
118609807,"Schnitzler, Arthur",Leutnant Gustl,1901.0,1.0
118612301,"Schwitters, Kurt",Anna Blume,1919.0,1.0
118612743,"Seghers, Anna",Das siebte Kreuz ,1942.0,1.0
118757377,Thüring von Ringoltingen,Melusine,,1.0
118625306,Ulrich von Liechtenstein,Frauendienst,,1.0
118628976,Walther von der Vogelweide,Gedichte (Fischer TB 6052),,1.0
118634666,"Wolf, Christa",Ein Roman,1970.0,1.0
118634933,Wolfram von Eschenbach,Parzival,,1.0
118634933,Wolfram von Eschenbach,Willehalm,,1.0
,,Fortunatus,,1.0
,,Hildebrandslied,,1.0
,,Historia von D. Johann Fausten ,1587.0,1.0
,,Innsbrucker Osterspiel,,1.0
,,Nibelungenlied,,1.0
