GND,author,title,year,prob_to_read
12046490X + 1148601465,"$Neumeister,Andreas/Hartges Marcel (Hg.)",Poetry! Slam!,1996.0,0.0316120957645161
118500775,"Adorno, Theodor W.",Ästhetische Theorie,1970.0,0.0316120957645161
118500775,"Adorno, Theodor W.",Rede über Lyrik und Gesellschaft,1957.0,0.0316120957645161
118500775 + 118553615,"Adorno, Theodor W./Horkheimer, Max",Dialektik der Aufklärung,1944.0,0.0710126788768115
119293439,"Agamben, Giorgio",Die Idee der Prosa ,1985.0,0.0316120957645161
119293439,"Agamben, Giorgio",Homo sacer,1995.0,0.0316120957645161
118501232,"Aichinger, Ilse",Der Gefesselte,1951.0,0.0316120957645161
115674861,"Altenburg, Matthias",Die Liebe der Menschenfresser,1992.0,0.0316120957645161
118937197,"Améry, Jean","Charles Bovary, Landarzt",1978.0,0.0316120957645161
118502786,"Andersch, Alfred",Der Vater eines Mörders,1980.0,0.0316120957645161
118502786,"Andersch, Alfred",Sansibar oder der letzte Grund,1957.0,0.0316120957645161
118502786,"Andersch, Alfred",Winterspelt,1974.0,0.0316120957645161
119111365,"Anderson, Sascha",Jeder Satellit hat einen Killersatelliten,1982.0,0.0316120957645161
118502956,"Andres, Stefan",Der Knabe im Brunnen,1953.0,0.0316120957645161
118502956,"Andres, Stefan",El Greco malt den Großinquisitor ,1936.0,0.0710126788768115
118502956,"Andres, Stefan",Wir sind Utopia,1943.0,0.0710126788768115
11850357X,"Anzengruber, Ludwig",Das vierte Gebot,1878.0,0.0710126788768115
11850357X,"Anzengruber, Ludwig",Der Meineidbauer,1872.0,0.0710126788768115
118829637,"Apitz, Bruno",Nackt unter Wölfen,1958.0,0.0316120957645161
118504177,"Arnim, Achim von",Der tolle Invalide auf dem Fort Ratonneau,1818.0,0.0994898445177665
118504177,"Arnim, Achim von",Die Kronenwächter,1817.0,0.0994898445177665
118504177,"Arnim, Achim von",Isabella von Ägypten ,1812.0,0.0994898445177665
118504177,"Arnim, Achim von",Die Majoratsherren,1820.0,0.0994898445177665
118504177 + 118515055,"Arnim, Achim von/ Brentano, Clemens (Hg.)",Des Knaben Wunderhorn. Alte deutsche Lieder,1806.0,0.0994898445177665
118504185,"Arnim, Bettine von",Clemens Brentanos Frühlingskranz,1844.0,0.0710126788768115
118504185,"Arnim, Bettine von",Dies Buch gehört dem König,1843.0,0.0710126788768115
118504185,"Arnim, Bettine von",Goethes Briefwechsel mit einem Kinde,1835.0,0.0710126788768115
118504495,"Artaud, Antonin",Das Theater und sein Double,1938.0,0.0710126788768115
118504533,"Artmann, Hans Carl",med ana schwoazzn dintn,1958.0,0.0316120957645161
11805077X,"Assmann, Jan",Das kulturelle Gedächtnis,1992.0,0.0316120957645161
118650769,"Aston, Louise Franziska",Aus dem Leben einer Frau,1847.0,0.0710126788768115
118505025,"Auerbach, Erich",Mimesis,1946.0,0.0316120957645161
118505602,"Bachmann, Ingeborg",Anrufung des Großen Bären,1956.0,0.0316120957645161
118505602,"Bachmann, Ingeborg",Das dreißigste Jahr,1961.0,0.0316120957645161
118505602,"Bachmann, Ingeborg",Der gute Gott von Manhattan,1958.0,0.0316120957645161
118505602,"Bachmann, Ingeborg",Die gestundete Zeit,1953.0,0.0316120957645161
118505602,"Bachmann, Ingeborg",Malina,1971.0,0.0316120957645161
118505653,"Bachtin, Michail M.",Ästhetik des Wortes,1979.0,0.0316120957645161
118505653,"Bachtin, Michail M.",Literatur und Karneval,1965.0,0.0316120957645161
118506234,"Ball, Hugo",Sechs Laut- und Klanggedichte,1963.0,0.0316120957645161
118506617,"Barlach, Ernst",Die Sündflut,1924.0,0.0710126788768115
1095775561,"Barthel, Kurt",Gedicht vom Menschen,1948.0,0.0316120957645161
118506862,"Barthes, Roland",Die Lust am Text,1973.0,0.0316120957645161
118506862,"Barthes, Roland",Mythen des Alltags,1957.0,0.0316120957645161
118506862,"Barthes, Roland",S/Z,1970.0,0.0316120957645161
118507877,"Beauvoir, Simone de",Das andere Geschlecht ,1949.0,0.0316120957645161
