GND,author,title,year,prob_to_read
105602671,"$Bohnen, Klaus (Hg.)","Gedichte des 18. Jahrhunderts, etwa: Deutsche Gedichte des 18. Jahrhunderts. Hg. von Klaus Bohnen. Stuttgart 2987.",,1.0
115683070,"$Frühwald, Wolfgang (Hg.)","Lyrik der Romantik, etwa: Gedichte der Romantik. Hg. von Wolfgang Frühwald. Stuttgart 1984.",,1.0
123263018,"$Meid, Volker (Hg.)","Gedichte des 17. Jahrhunderts, etwa nach: Gedichte des Barocks. Hg. von Volker Meid, Stuttgart 2014",,1.0
118603957,"$Rühmkorf, Peter (Hg.)","Expressionistische Lyrik, etwa: Expressionistische Gedichte. Hg. von Peter Rühmkorf. Berlin 1993.",,1.0
118502786,"Andersch, Alfred",Die Kirschen der Freiheit,1952.0,1.0
118505602,"Bachmann, Ingeborg",Gedichte,1950.0,1.0
118509047,"Benn, Gottfried",Gedichte,1921.0,1.0
118509861,"Bernhard, Thomas",Das Kalkwerk,1970.0,1.0
118509861,"Bernhard, Thomas",Die Macht der Gewohnheit,1974.0,1.0
118512161,"Bobrowski, Johannes",Gedichte,1941.0,1.0
118512676,"Böll, Heinrich",Ansichten eines Clowns,1963.0,1.0
118512676,"Böll, Heinrich",Billard um halbzehn,1959.0,1.0
118514768,"Brecht, Bertolt",Der gute Mensch von Sezuan,1953.0,1.0
118514768,"Brecht, Bertolt",Gedichte,1927.0,1.0
118514768,"Brecht, Bertolt",Leben des Galilei,1939.0,1.0
118514768,"Brecht, Bertolt",zwei Dramen,1927.0,1.0
118515055,"Brentano, Clemens",Gedichte,1810.0,1.0
118515470,"Brinkmann, Rolf Dieter",Gedichte,1958.0,1.0
118515586,"Brockes, Barthold Heinrich",Irdisches Vergnügen in Gott,1721.0,1.0
118516906,"Büchner, Georg",Dantons Tod,1835.0,1.0
118516906,"Büchner, Georg",Lenz,1839.0,1.0
118516906,"Büchner, Georg",Woyzeck,1836.0,1.0
118518801,"Canetti, Elias",Die Blendung,1935.0,1.0
118519859,"Celan, Paul",Gedichte,1959.0,1.0
118526200,"Döblin, Alfred",Berlin Alexanderplatz,1929.0,1.0
118526200,"Döblin, Alfred",Die Ermordung einer Butterblume,1913.0,1.0
118527533,"Droste-Hülshoff, Annette von",Die Judenbuche. Sittengemälde aus dem gebirgichten Westfalen,1842.0,1.0
118527533,"Droste-Hülshoff, Annette von","Gedichte, Balladen",1844.0,1.0
118527908,"Dürrenmatt, Friedrich",Der Besuch der alten Dame,1956.0,1.0
118527908,"Dürrenmatt, Friedrich",Die Physiker,1962.0,1.0
118529374,"Eich, Günter",Gedichte,1951.0,1.0
118529390,"Eichendorff, Joseph von",Aus dem Leben eines Taugenichts,1826.0,1.0
118529390,"Eichendorff, Joseph von",Das Marmorbild,1819.0,1.0
118529390,"Eichendorff, Joseph von",Gedichte,1823.0,1.0
118530534,"Enzensberger, Hans Magnus",Gedichte,1976.0,1.0
118534262,"Fontane, Theodor",Effi Briest,1896.0,1.0
118534262,"Fontane, Theodor",Frau Jenny Treibel,1892.0,1.0
118536109,"Frisch, Max",Homo faber,1957.0,1.0
11853856X,"George, Stefan",Gedichte,1901.0,1.0
118540238,"Goethe, Johann Wolfgang",Die Leiden des jungen Werthers ,1774.0,1.0
118540238,"Goethe, Johann Wolfgang",Die Wahlverwandtschaften,1809.0,1.0
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie erster Teil ,1808.0,1.0
