GND,author,title,year,prob_to_read
118501232,"Aichinger, Ilse",Die größere Hoffnung,1948.0,0.1612903225806451
118502786,"Andersch, Alfred",Sansibar oder der letzte Grund,1957.0,0.1612903225806451
11850357X,"Anzengruber, Ludwig",Das vierte Gebot,1878.0,0.3571428571428571
118504398,"Arp, Hans",Lyrik,1926.0,0.125
118504533,"Artmann, Hans Carl",Gedichte,1961.0,0.1034482758620689
118829211,"Ausländer, Rose",Gedichte,1945.0,0.1034482758620689
118505602,"Bachmann, Ingeborg",Das dreißigste Jahr,1961.0,0.0806451612903225
118505602,"Bachmann, Ingeborg",Der gute Gott von Manhattan,1958.0,0.119047619047619
118505602,"Bachmann, Ingeborg",Die Zikaden,1955.0,0.119047619047619
118505602,"Bachmann, Ingeborg",Gedichte,1950.0,0.1034482758620689
118505602,"Bachmann, Ingeborg",Malina,1971.0,0.0806451612903225
118506234,"Ball, Hugo",Gedichte,1907.0,0.125
118507397,"Bauer, Wolfgang",Magic Afternoon,1968.0,0.238095238095238
118653830,"Baum, Vicki",Menschen im Hotel,1929.0,0.1351351351351351
118509047,"Benn, Gottfried",Gedichte,1921.0,0.125
118509861,"Bernhard, Thomas",Alte Meister,1985.0,0.053763440860215
118509861,"Bernhard, Thomas",Auslöschung,1986.0,0.053763440860215
118509861,"Bernhard, Thomas",Der Theatermacher,1984.0,0.119047619047619
118509861,"Bernhard, Thomas",Heldenplatz,1989.0,0.119047619047619
118509861,"Bernhard, Thomas",Holzfällen. Eine Erregung,1984.0,0.053763440860215
11548048X,"Beyer, Marcel",Flughunde,1995.0,0.1612903225806451
118510665,"Bidermann, Jakob",Cenodoxus,1602.0,0.3846153846153846
118510789,"Biermann, Wolf",Gedichte,1979.0,0.1034482758620689
118512676,"Böll, Heinrich",Die verlorene Ehre der Katharina Blum ,1974.0,0.0806451612903225
118512676,"Böll, Heinrich",Wanderer kommst du  nach Spa…,1950.0,0.0806451612903225
118513451,"Borchert, Wolfgang",Draußen vor der Tür,1947.0,0.238095238095238
118514644,"Braun, Volker",Gedichte,1981.0,0.1034482758620689
