GND,author,title,year,prob_to_read
115851755,"$Conrady, Karl Otto (Hg.)",Der Neue Conrady,2000.0,1.0
115683070,"$Frühwald, Wolfgang (Hg.)",Gedichte der Romantik,2001.0,1.0
121401030,"$Kling, Thomas (Hg.)","Sprachspeicher. 200 Gedichte auf deutsch vom achten bis
zum zwanzigsten Jahrhundert",2001.0,1.0
11884556X + 123741637,$Robert Gernhardt / Klaus Cäsar Zehrer (Hg.),"Hell und schnell. 555 komische
Gedichte aus fünf Jahrhunderten",2004.0,1.0
118502786,"Andersch, Alfred",Sansibar oder der letzte Grund,1957.0,1.0
118503111,"Angelus, Silesius",Der Cherubinische Wandersmann,1675.0,1.0
118504177,"Arnim, Achim von",Der tolle Invalide auf dem Fort Ratonneau,1818.0,1.0
118504177,"Arnim, Achim von",Die Majoratsherren,1820.0,1.0
11865103X,"Auerbach, Berthold",Schwarzwälder Dorfgeschichten,1843.0,1.0
118505602,"Bachmann, Ingeborg",Der gute Gott von Manhattan,1958.0,1.0
118505602,"Bachmann, Ingeborg",Malina,1971.0,1.0
118654756,"Beer-Hofmann, Richard",Der Tod Georgs,1900.0,1.0
118509047,"Benn, Gottfried",Fragmente,1951.0,1.0
118509047,"Benn, Gottfried",Gehirne,1916.0,1.0
118509047,"Benn, Gottfried",Morgue,1912.0,1.0
118509861,"Bernhard, Thomas",Alte Meister,1985.0,1.0
118509861,"Bernhard, Thomas",Vor dem Ruhestand,1979.0,1.0
118512676,"Böll, Heinrich",Ansichten eines Clowns,1963.0,1.0
118512676,"Böll, Heinrich",Gruppenbild mit Dame,1971.0,1.0
118514768,"Brecht, Bertolt",Buckower Elegien,1953.0,1.0
118514768,"Brecht, Bertolt",Der gute Mensch von Sezuan,1953.0,1.0
118514768,"Brecht, Bertolt",Der Kaukasische Kreidekreis,1949.0,1.0
118514768,"Brecht, Bertolt",Die Dreigroschenoper,1928.0,1.0
118514768,"Brecht, Bertolt",Gedichte,1927.0,1.0
118514768,"Brecht, Bertolt",Leben des Galilei,1939.0,1.0
118514768,"Brecht, Bertolt",Mutter Courage und ihre Kinder,1938.0,1.0
118515055,"Brentano, Clemens",Geschichte vom braven Kasperl und dem schönen Annerl,1817.0,1.0
118515551,"Broch, Hermann",Der Tod des Vergil,1945.0,1.0
118515551,"Broch, Hermann",Die Schlafwandler,1931.0,1.0
118515586,"Brockes, Barthold Heinrich",Irdisches Vergnügen in Gott,1721.0,1.0
118516906,"Büchner, Georg",Dantons Tod,1835.0,1.0
118516906,"Büchner, Georg",Lenz,1839.0,1.0
118516906,"Büchner, Georg",Leonce und Lena,1836.0,1.0
118516906,"Büchner, Georg",Woyzeck,1836.0,1.0
118518801,"Canetti, Elias",Die Blendung,1935.0,1.0
118520040,"Chamisso, Adelbert von",Peter Schlemihls wundersame Geschichte,1812.0,1.0
118526200,"Döblin, Alfred",Berlin Alexanderplatz,1929.0,1.0
118526200,"Döblin, Alfred",Die Ermordung einer Butterblume,1913.0,1.0
118526162,"Doderer, Heimito von",Die Strudlhofstiege,1951.0,1.0
118526162,"Doderer, Heimito von","Ein Mord, den jeder begeht",1938.0,1.0
118527533,"Droste-Hülshoff, Annette von",Die Judenbuche. Sittengemälde aus dem gebirgichten Westfalen,1842.0,1.0
118527908,"Dürrenmatt, Friedrich",Der Besuch der alten Dame,1956.0,1.0
118527908,"Dürrenmatt, Friedrich",Die Physiker,1962.0,1.0
118529390,"Eichendorff, Joseph von",Ahnung und Gegenwart,1815.0,1.0
118529390,"Eichendorff, Joseph von",Aus dem Leben eines Taugenichts,1826.0,1.0
