;Index;Kommentar;wrong_mention;GND_ID;Mention;Mention_Ort;Titel;Inhalt;ID;Semester;Art;Intervall_Start;Intervall_End;Universität;NER_Pers_Titel;NER_Pers_Inhalt;Unnamed: 0;kommentar
0;4.0;;;118607960;A. W. Schlegel;Inhalt;05.067.1130 HNDL/SFNL I-V (Master): Lyriktheorie;"Inhalt:
Das Masterseminar ist historisch angelegt. Nach allgemeinen Vorklärungen geht es vor dem Hintergrund antiker und frühneuzeitlicher Überlegungen zu unterschiedlichen Formen des Gedichts im ersten Teil um die Entstehung eines einheitlichen Gattungsbegriffs Lyrik im 18. Jahrhundert. Dabei werden theoretische Äußerungen (u.a. von Herder) behandelt, in denen Lyrik als nichtmimetische Empfindungsrede gefasst wird. Das Seminar skizziert im zweiten Teil die Verfestigung und Systematisierung dieses Begriffs um 1800 zur Lyrik als subjektiver Gattung (bei Schiller, A. W. Schlegel, Goethe und Hegel). Im dritten Teil wird es um die Differenzierung, Transformation und Trivialisierung des Lyrikbegriffs im 19. Jahrhundert gehen (u.a. bei Schopenhauer, Storm und Nietzsche). Der vierte Teil wird die form- und kulturkritische Auflösung des Lyrikbegriffs im 20. Jahrhundert (u. a. bei Brecht, Benn und Adorno) untersuchen.
Zu den leitenden Aspekten des Seminars gehört über die Frage nach der Lyrik als Gattung hinaus auch das weite Verständnis von Lyrik als Inbegriff von Poesie. Das weite Verständnis hat innerhalb der Lyriktheorie immer auch die Diskussion allgemeiner ästhetischer Fragen erlaubt und erzwungen (u. a. bei Schelling, Hegel, Schopenhauer, Nietzsche, Benjamin, Heidegger und Adorno). Das Seminar wird zudem der Frage nachgehen, inwiefern die ästhetisch-philosophische Dimension des Lyrischen mit der im engeren Sinne literarisch-philologischen verbunden ist. Es interessiert sich daher nicht zuletzt für die Möglichkeiten und Grenzen unterschiedlicher Formen des Sprechens ‚über Lyrik’.";mainz0347;sose20;;2020-04;2020-08;mainz;;['Herder', 'Schiller', 'A. W. Schlegel', 'Goethe', 'Hegel', 'Schopenhauer', 'Storm', 'Nietzsche', 'Brecht', 'Benn', 'Adorno', 'Schelling', 'Hegel', 'Schopenhauer', 'Nietzsche', 'Benjamin', 'Heidegger', 'Adorno'];;
1;5.0;;;118607960;A. W. Schlegel;Inhalt;05.067.700 VNDL I/II/III: Lyriktheorie;"Inhalt:
Im Anschluss an Hinweise auf antike und frühneuzeitliche Überlegungen zu unterschiedlichen Formen 'lyrischer‘ Versrede geht die Vorlesung zunächst der Entstehung eines einheitlichen Gattungsbegriffs Lyrik im 18. Jahrhundert nach und diskutiert dabei theoretische Äußerungen von J. A. Schlegel, Herder und Gerstenberg. In ihnen wird Lyrik als nichtmimetische Empfindungsrede gefasst. Die Vorlesung skizziert sodann die Verfestigung und Systematisierung dieses Begriffs um 1800 zur Lyrik als 'subjektiver Gattung‘ - bei Schiller, A. W. Schlegel, Goethe und Hegel. Im Anschluss daran geht sie auf die Differenzierung, Transformation und Trivialisierung des Lyrikbegriffs im 19. Jahrhundert ein (in Lexikonartikeln sowie bei Schopenhauer, Storm, Vischer und Nietzsche), bis hin zu seiner form- und kulturkritischen Auflösung im 20. Jahrhundert (u. a. bei Brecht, Benn und Adorno). Über die Frage nach der Lyrik als Gattung hinaus wird auch das weite Verständnis von Lyrik als Inbegriff der Poesie rekonstruiert, das in der Lyriktheorie – ebenfalls seit dem 18. Jahrhundert – immer auch die Diskussion allgemeiner ästhetischer Fragen erlaubt und erzwungen hat (u. a. bei Schelling, Hegel, Schopenhauer, Vischer, Nietzsche, Benjamin, Heidegger und Adorno). Die Vorlesung möchte zeigen, inwiefern die ästhetisch-philosophische Dimension des Lyrischen mit der im engeren Sinne literarisch-poetischen verbunden ist. Sie interessiert sich daher nicht zuletzt für die Möglichkeiten und Grenzen unterschiedlicher Formen des Sprechens ‚über Lyrik’.";mainz0452;sose23;;2023-04;2023-08;mainz;;['J. A. Schlegel', 'Herder', 'Gerstenberg', 'Schiller', 'A. W. Schlegel', 'Goethe', 'Hegel', 'Schopenhauer', 'Storm', 'Vischer', 'Nietzsche', 'Brecht', 'Benn', 'Adorno', 'Schelling', 'Hegel', 'Schopenhauer', 'Vischer', 'Nietzsche', 'Benjamin', 'Heidegger', 'Adorno'];;
2;8.0;;;118504177;Achim von Arnim;Inhalt;05.067.700 VNDL I/II/III: Romantik;"Inhalt:
Ausgehend von der Auseinandersetzung der Romantiker mit Positionen der Aufklärung und des Klassizismus sowie ausgehend von der philosophischen Auseinandersetzung der Frühromantiker mit der Transzendentalphilosophie Kants und Fichtes versucht die Vorlesung einen Überblick über den Beitrag der Romantik zur ästhetischen Erfindung der Moderne um 1800 zu geben. Dargelegt wird das Innovationsspektrum programmatischer Entwürfe zur romantischen Poesie sowie deren poetologische, literaturtheoretische und kulturhistorische Voraussetzungen. Einen besonderen Schwerpunkt wird das Zusammenspiel von Wahrnehmen, Wissen und Erzählen in wichtigen literarischen Texten der Epoche bilden: Dabei gilt es, die konstitutive Rolle der Einbildungskraft, grenzüberschreitende Konzepte wie die Neue Mythologie, die Ironie, die romantische Religiosität, Enzyklopädistik und Naturphilosophie oder das Wunderbare, das Phantastische und Groteske ebenso in den Blick zu nehmen wie das Verhältnis romantischer Texte zu anderen Künsten und Wissenschaften. Zu lesen sind zunächst folgende Texte: Wilhelm Heinrich Wackenroder: Herzensergießungen eines kunstliebenden Klosterbruders, Ludwig Tieck: Der blonde Eckbert, Novalis: Die Lehrlinge zu Sais, Heinrich von Kleist: Die heilige Cäcilie oder die Gewalt der Musik, Friedrich de la Motte Fouqué: Undine, E.T.A. Hoffmann: Der Sandmann, Clemens Brentano: Die Geschichte vom braven Kasperl und dem schönen Annerl, Achim von Arnim: Der tolle Invalide auf dem Fort Ratonneau, Joseph von Eichendorff: Das Marmorbild.";mainz0352;wise20-21;;2020-09;2021-03;mainz;;['Kants', 'Fichtes', 'Wilhelm Heinrich Wackenroder', 'Ludwig Tieck', 'Eckbert', 'Novalis', 'Heinrich von Kleist', 'Cäcilie', 'Friedrich de la Motte Fouqué', 'E.T.A. Hoffmann', 'Clemens Brentano', 'Kasperl', 'Annerl', 'Achim von Arnim', 'Joseph von Eichendorff'];;
3;9.0;;;118504177;Achim von Arnim;Inhalt;05.067.700 VNDL I/II/III: Romantik;"Inhalt:
Ausgehend von der Auseinandersetzung der Romantiker mit Positionen der Aufklärung und des Klassizismus sowie ausgehend von der philosophischen Auseinandersetzung der Frühromantiker mit der Transzendentalphilosophie Kants und Fichtes versucht die Vorlesung einen Überblick über den Beitrag der Romantik zur ästhetischen Erfindung der Moderne um 1800 zu geben. Dargelegt wird das Innovationsspektrum programmatischer Entwürfe zur romantischen Poesie sowie deren poetologische, literaturtheoretische und kulturhistorische Voraussetzungen. Einen besonderen Schwerpunkt wird das Zusammenspiel von Wahrnehmen, Wissen und Erzählen in wichtigen literarischen Texten der Epoche bilden: Dabei gilt es, die konstitutive Rolle der Einbildungskraft, grenzüberschreitende Konzepte wie die Neue Mythologie, die Ironie, die romantische Religiosität, Enzyklopädistik und Naturphilosophie oder das Wunderbare, das Phantastische und Groteske ebenso in den Blick zu nehmen wie das Verhältnis romantischer Texte zu anderen Künsten und Wissenschaften. Zu lesen sind zunächst folgende Texte: Wilhelm Heinrich Wackenroder: Herzensergießungen eines kunstliebenden Klosterbruders, Ludwig Tieck: Der blonde Eckbert, Novalis: Die Lehrlinge zu Sais, Heinrich von Kleist: Die heilige Cäcilie oder die Gewalt der Musik, Friedrich de la Motte Fouqué: Undine, E.T.A. Hoffmann: Der Sandmann, Clemens Brentano: Die Geschichte vom braven Kasperl und dem schönen Annerl, Achim von Arnim: Der tolle Invalide auf dem Fort Ratonneau, Joseph von Eichendorff: Das Marmorbild.";mainz0447;sose23;;2023-04;2023-08;mainz;;['Kants', 'Fichtes', 'Wilhelm Heinrich Wackenroder', 'Ludwig Tieck', 'Eckbert', 'Novalis', 'Heinrich von Kleist', 'Cäcilie', 'Friedrich de la Motte Fouqué', 'E.T.A. Hoffmann', 'Clemens Brentano', 'Kasperl', 'Annerl', 'Achim von Arnim', 'Joseph von Eichendorff'];;
4;14.0;;;118618156;Adalbert Stifter;Inhalt;05.067.1130 HNDL/SFNL I-V (Master): Spätstil;"Inhalt:
Der Begriff ›Spätstil‹, der sowohl im kunstgeschichtlichen als auch im musikwissenschaftlichen Diskurs geläufig ist, erfreut sich in der Literaturwissenschaft erst seit ungefähr fünfzehn Jahren wachsender Aufmerksamkeit, insbesondere nach der postumen Veröffentlichung von Edward Saids Studie On Late Style (2006). Ausgangspunkt der diachron strukturierten Veranstaltung ist ein Aufsatz Theodor W. Adornos aus dem Jahr 1937 zum Spätstil Beethovens, in dem eingangs folgende Überlegung des Verfassers formuliert ist: »Die Reife der Spätwerke bedeutender Künstler gleicht nicht der von Früchten. Sie sind gemeinhin nicht rund, sondern durchfurcht, gar zerrissen; sie pflegen der Süße zu entraten und weigern sich herb, stachlig dem bloßen Schmecken«. Im Rahmen unserer Veranstaltung wollen wir uns nicht nur Spätwerken literarischen Charakters widmen, sondern auch Erzählwerken, die von einem Zu-Spät-Sein gekennzeichnet sind. Demnach soll zunächst eine Begriffsbestimmung im Fokus unserer Überlegungen stehen. So werden wir uns fragen, inwiefern sich die Kategorien ›Spätstil‹ und ›Altersstil‹ unterscheiden lassen. Ferner beschäftigen wir uns textbezogen mit dem Konzept von Spätzeitlichkeit. Diese und weitere Kategorien werden wir gemeinsam anhand ausgewählter Erzähltexte von Joseph von Eichendorff, Adalbert Stifter, Franz Kafka und W. G. Sebald diskutieren. Eine genaue Lektüreliste mit bibliographischen Hinweisen finden Sie Anfang Februar 2021 im LMS.";mainz0371;sose21;;2021-04;2021-08;mainz;;['Edward Saids', 'Theodor W. Adornos', 'Beethovens', 'Joseph von Eichendorff', 'Adalbert Stifter', 'Franz Kafka', 'W. G. Sebald'];;
5;32.0;;;118500775;Adorno;Inhalt;05.067.1130 HNDL/SFNL I-V (Master): Lyriktheorie;"Inhalt:
Das Masterseminar ist historisch angelegt. Nach allgemeinen Vorklärungen geht es vor dem Hintergrund antiker und frühneuzeitlicher Überlegungen zu unterschiedlichen Formen des Gedichts im ersten Teil um die Entstehung eines einheitlichen Gattungsbegriffs Lyrik im 18. Jahrhundert. Dabei werden theoretische Äußerungen (u.a. von Herder) behandelt, in denen Lyrik als nichtmimetische Empfindungsrede gefasst wird. Das Seminar skizziert im zweiten Teil die Verfestigung und Systematisierung dieses Begriffs um 1800 zur Lyrik als subjektiver Gattung (bei Schiller, A. W. Schlegel, Goethe und Hegel). Im dritten Teil wird es um die Differenzierung, Transformation und Trivialisierung des Lyrikbegriffs im 19. Jahrhundert gehen (u.a. bei Schopenhauer, Storm und Nietzsche). Der vierte Teil wird die form- und kulturkritische Auflösung des Lyrikbegriffs im 20. Jahrhundert (u. a. bei Brecht, Benn und Adorno) untersuchen.
Zu den leitenden Aspekten des Seminars gehört über die Frage nach der Lyrik als Gattung hinaus auch das weite Verständnis von Lyrik als Inbegriff von Poesie. Das weite Verständnis hat innerhalb der Lyriktheorie immer auch die Diskussion allgemeiner ästhetischer Fragen erlaubt und erzwungen (u. a. bei Schelling, Hegel, Schopenhauer, Nietzsche, Benjamin, Heidegger und Adorno). Das Seminar wird zudem der Frage nachgehen, inwiefern die ästhetisch-philosophische Dimension des Lyrischen mit der im engeren Sinne literarisch-philologischen verbunden ist. Es interessiert sich daher nicht zuletzt für die Möglichkeiten und Grenzen unterschiedlicher Formen des Sprechens ‚über Lyrik’.";mainz0347;sose20;;2020-04;2020-08;mainz;;['Herder', 'Schiller', 'A. W. Schlegel', 'Goethe', 'Hegel', 'Schopenhauer', 'Storm', 'Nietzsche', 'Brecht', 'Benn', 'Adorno', 'Schelling', 'Hegel', 'Schopenhauer', 'Nietzsche', 'Benjamin', 'Heidegger', 'Adorno'];;
6;33.0;;;118500775;Adorno;Inhalt;05.067.1130 HNDL/SFNL I-V (Master): Lyriktheorie;"Inhalt:
Das Masterseminar ist historisch angelegt. Nach allgemeinen Vorklärungen geht es vor dem Hintergrund antiker und frühneuzeitlicher Überlegungen zu unterschiedlichen Formen des Gedichts im ersten Teil um die Entstehung eines einheitlichen Gattungsbegriffs Lyrik im 18. Jahrhundert. Dabei werden theoretische Äußerungen (u.a. von Herder) behandelt, in denen Lyrik als nichtmimetische Empfindungsrede gefasst wird. Das Seminar skizziert im zweiten Teil die Verfestigung und Systematisierung dieses Begriffs um 1800 zur Lyrik als subjektiver Gattung (bei Schiller, A. W. Schlegel, Goethe und Hegel). Im dritten Teil wird es um die Differenzierung, Transformation und Trivialisierung des Lyrikbegriffs im 19. Jahrhundert gehen (u.a. bei Schopenhauer, Storm und Nietzsche). Der vierte Teil wird die form- und kulturkritische Auflösung des Lyrikbegriffs im 20. Jahrhundert (u. a. bei Brecht, Benn und Adorno) untersuchen.
Zu den leitenden Aspekten des Seminars gehört über die Frage nach der Lyrik als Gattung hinaus auch das weite Verständnis von Lyrik als Inbegriff von Poesie. Das weite Verständnis hat innerhalb der Lyriktheorie immer auch die Diskussion allgemeiner ästhetischer Fragen erlaubt und erzwungen (u. a. bei Schelling, Hegel, Schopenhauer, Nietzsche, Benjamin, Heidegger und Adorno). Das Seminar wird zudem der Frage nachgehen, inwiefern die ästhetisch-philosophische Dimension des Lyrischen mit der im engeren Sinne literarisch-philologischen verbunden ist. Es interessiert sich daher nicht zuletzt für die Möglichkeiten und Grenzen unterschiedlicher Formen des Sprechens ‚über Lyrik’.";mainz0347;sose20;;2020-04;2020-08;mainz;;['Herder', 'Schiller', 'A. W. Schlegel', 'Goethe', 'Hegel', 'Schopenhauer', 'Storm', 'Nietzsche', 'Brecht', 'Benn', 'Adorno', 'Schelling', 'Hegel', 'Schopenhauer', 'Nietzsche', 'Benjamin', 'Heidegger', 'Adorno'];;
7;34.0;;;118500775;Adorno;Inhalt;05.067.700 VNDL I/II/III: Lyriktheorie;"Inhalt:
Im Anschluss an Hinweise auf antike und frühneuzeitliche Überlegungen zu unterschiedlichen Formen 'lyrischer‘ Versrede geht die Vorlesung zunächst der Entstehung eines einheitlichen Gattungsbegriffs Lyrik im 18. Jahrhundert nach und diskutiert dabei theoretische Äußerungen von J. A. Schlegel, Herder und Gerstenberg. In ihnen wird Lyrik als nichtmimetische Empfindungsrede gefasst. Die Vorlesung skizziert sodann die Verfestigung und Systematisierung dieses Begriffs um 1800 zur Lyrik als 'subjektiver Gattung‘ - bei Schiller, A. W. Schlegel, Goethe und Hegel. Im Anschluss daran geht sie auf die Differenzierung, Transformation und Trivialisierung des Lyrikbegriffs im 19. Jahrhundert ein (in Lexikonartikeln sowie bei Schopenhauer, Storm, Vischer und Nietzsche), bis hin zu seiner form- und kulturkritischen Auflösung im 20. Jahrhundert (u. a. bei Brecht, Benn und Adorno). Über die Frage nach der Lyrik als Gattung hinaus wird auch das weite Verständnis von Lyrik als Inbegriff der Poesie rekonstruiert, das in der Lyriktheorie – ebenfalls seit dem 18. Jahrhundert – immer auch die Diskussion allgemeiner ästhetischer Fragen erlaubt und erzwungen hat (u. a. bei Schelling, Hegel, Schopenhauer, Vischer, Nietzsche, Benjamin, Heidegger und Adorno). Die Vorlesung möchte zeigen, inwiefern die ästhetisch-philosophische Dimension des Lyrischen mit der im engeren Sinne literarisch-poetischen verbunden ist. Sie interessiert sich daher nicht zuletzt für die Möglichkeiten und Grenzen unterschiedlicher Formen des Sprechens ‚über Lyrik’.";mainz0452;sose23;;2023-04;2023-08;mainz;;['J. A. Schlegel', 'Herder', 'Gerstenberg', 'Schiller', 'A. W. Schlegel', 'Goethe', 'Hegel', 'Schopenhauer', 'Storm', 'Vischer', 'Nietzsche', 'Brecht', 'Benn', 'Adorno', 'Schelling', 'Hegel', 'Schopenhauer', 'Vischer', 'Nietzsche', 'Benjamin', 'Heidegger', 'Adorno'];;
8;35.0;;;118500775;Adorno;Inhalt;05.067.700 VNDL I/II/III: Lyriktheorie;"Inhalt:
Im Anschluss an Hinweise auf antike und frühneuzeitliche Überlegungen zu unterschiedlichen Formen 'lyrischer‘ Versrede geht die Vorlesung zunächst der Entstehung eines einheitlichen Gattungsbegriffs Lyrik im 18. Jahrhundert nach und diskutiert dabei theoretische Äußerungen von J. A. Schlegel, Herder und Gerstenberg. In ihnen wird Lyrik als nichtmimetische Empfindungsrede gefasst. Die Vorlesung skizziert sodann die Verfestigung und Systematisierung dieses Begriffs um 1800 zur Lyrik als 'subjektiver Gattung‘ - bei Schiller, A. W. Schlegel, Goethe und Hegel. Im Anschluss daran geht sie auf die Differenzierung, Transformation und Trivialisierung des Lyrikbegriffs im 19. Jahrhundert ein (in Lexikonartikeln sowie bei Schopenhauer, Storm, Vischer und Nietzsche), bis hin zu seiner form- und kulturkritischen Auflösung im 20. Jahrhundert (u. a. bei Brecht, Benn und Adorno). Über die Frage nach der Lyrik als Gattung hinaus wird auch das weite Verständnis von Lyrik als Inbegriff der Poesie rekonstruiert, das in der Lyriktheorie – ebenfalls seit dem 18. Jahrhundert – immer auch die Diskussion allgemeiner ästhetischer Fragen erlaubt und erzwungen hat (u. a. bei Schelling, Hegel, Schopenhauer, Vischer, Nietzsche, Benjamin, Heidegger und Adorno). Die Vorlesung möchte zeigen, inwiefern die ästhetisch-philosophische Dimension des Lyrischen mit der im engeren Sinne literarisch-poetischen verbunden ist. Sie interessiert sich daher nicht zuletzt für die Möglichkeiten und Grenzen unterschiedlicher Formen des Sprechens ‚über Lyrik’.";mainz0452;sose23;;2023-04;2023-08;mainz;;['J. A. Schlegel', 'Herder', 'Gerstenberg', 'Schiller', 'A. W. Schlegel', 'Goethe', 'Hegel', 'Schopenhauer', 'Storm', 'Vischer', 'Nietzsche', 'Brecht', 'Benn', 'Adorno', 'Schelling', 'Hegel', 'Schopenhauer', 'Vischer', 'Nietzsche', 'Benjamin', 'Heidegger', 'Adorno'];;
9;42.0;;;117345563;Adrienne Thomas;Inhalt;05.067.1130 HNDL/SFNL I-V (Master): Kriegsliteratur zwischen den Kriegen;"Inhalt:
Das Seminar knüpft in dreifacher Hinsicht an den Kurs „Literatur der Weimarer Republik“ aus dem vergangenen Wintersemester an (vgl. http://tcdh01.uni-trier.de/Herodot/index.php/Kriegsliteratur_zwischen_den_Kriegen):
1) in der Kernthematik: Kriegsliteratur zwischen den Kriegen (1918-1933),
2) im Ablauf: koordinierte Projektarbeit,
3) bei der technischen Basis: HERODOT, Hero-Wiki, Moodle, Moodle-Wiki, Teams.
Aufbauend auf die bisherigen Erkundungen zu und um Erich Maria Remarques „Im Westen nichts Neues“ (1928/29), Ernst Jüngers „In Stahlgewittern“ (1920ff.) und Adrienne Thomas‘ „Die Katrin wird Soldat“ (1930) können nun weitere Themen und Aspekte in den Blick genommen werden, darunter Werke von Ernst Glaeser, Edelf Köppen, Leonhard Frank, Ludwig Renn, Georg von der Vring, Arnold Zweig, Richard Dehmel, Walter Flex, Siegfried Kracauer, Henri Barbusse, John Dos Passos oder reale Kriegstagebücher („Verborgene Chronik“). Ferner wären die medialen Transfers um den Kriegsroman (Verfilmungen, Bücher zum Film, Cross-Marketing etc.) genauer in den Blick zu nehmen. Nicht zuletzt können einige konzeptionelle und technische Neuoptionen in der Arbeit mit HERODOT und der Moodle-Wiki ausprobiert werden. An-, Um- und Neubau sind so gleichermaßen möglich und ergänzen sich im besten Fall.";mainz0375;sose21;;2021-04;2021-08;mainz;;['Erich Maria Remarques', 'Ernst Jüngers', 'Adrienne Thomas', 'Katrin', 'Ernst Glaeser', 'Edelf Köppen', 'Leonhard Frank', 'Ludwig Renn', 'Georg von der Vring', 'Arnold Zweig', 'Richard Dehmel', 'Walter Flex', 'Siegfried Kracauer', 'Henri Barbusse', 'John Dos Passos'];;
