;Index;Kommentar;wrong_mention;GND_ID;Mention;Mention_Ort;Titel;Inhalt;ID;Semester;Art;Intervall_Start;Intervall_End;Universität;NER_Pers_Titel;NER_Pers_Inhalt;Unnamed: 0;kommentar
0;0.0;;ja;;A;Inhalt;Verbrechen in der Literatur von Schiller bis Mörike;"Was als Verbrechen in einer Gesellschaft gilt und sanktioniert wird, kann historisch sehr unterschiedlich sein, was davon als literarisch darstellbar gilt und letztlich dargestellt wurde, ebenso. Auch die Schwerpunkte in der Darstellung von Verbrechen können variabel gesetzt sein. So geht es um Fragen der Entstehungsbedingungen und des sozialen Milieus, in denen Verbrechen vermeintlich häufig vorkommen, um die Darstellung eines Verbrechens selbst, den Täter, seine Motive und seine Entlarvung, schließlich um Schuld, Gerichtsverhandlungen und Sanktionierungen, gar um Haft und Haftentlassung und ‚Reintegration‘. So behandelt Schiller in seinem Romanfragment 'Geisterseher' die „Geschichte eines Verbrechens“, nämlich eines Betrugs in großem Stile. Dabei wimmelt es nur so vor Verbrechensszenen, inklusive Verhaftung und Inkarkerierung unter den Bleidächern von Venedig. Goethes Drama 'Groß-Cophta' nimmt sich gar ein historisches Verbrechen zur Vorlage, die sogenannte Halsbandaffäre zu Paris, bei der es am Vorabend der Französischen Revolution um ‚staats- und monarchiegefährdende Umtriebe‘ geht. E.T:A Hoffmann, nicht nur Dichter, sonder auch Richter zu Berlin, verhandelt in seiner Erzählung 'Das Fräulein von Scuderi' eine Mordgeschichte und ihre Detektion. In Mörikes 'Lucie Gelmeroth' verlagert die Novelle die Erzählung vornehmlich auf innere Prozesse religiöser und psychologischer Dimension. Lucie hat ihren Verehrer dazu gebracht, den Tod ihrer Schwester an einem untreuen Bräutigam zu rächen. Aus Schuldgefühlen beschuldigt sie sich dann selbst der Tat.

Selbst zu besorgen sind: Schiller: Geisterseher (reclam UB 7435). Hoffmann: Das Fräulein von Scuderi (reclam UB 25)

Auf ILIAS bereitgestellt werden: Goethe: Groß-Cophta, Mörike: Lucie Gelmeroth";stuttgart0621;sose22;Seminar (SE);2021-04;2021-08;stuttgart;['Schiller', 'Mörike'];['Schiller', 'Goethes', 'A', 'Hoffmann', 'Mörikes', 'Lucie', 'Schiller', 'Hoffmann', 'Goethe', 'Mörike'];;
1;10.0;;;118504177;Achim von Arnim;Inhalt;Texte der Romantik;"Unterschiedliche Eigenschaften werden Texten aus der Epoche der Romantik zugeschrieben: verspielt oder pathetisch, komisch oder düster, harmlos oder abgründig, verinnerlicht oder expressiv, populär oder gelehrt. Ein weiteres Charakteristikum ist die Gattungsmischung: lyrische, epische und dramatische Formen können in ein und denselben Text integriert sein. Thematisierte Klanglichkeit von Text und Affinität zu Musik sind ebenfalls Aspekte, die an Literatur der Romantik zu beobachten sind.

Beispieltexte, die – in Auszügen – ausführlich behandelt werden, sind „Der gestiefelte Kater. Ein Kindermärchen in drey Akten“ (1797) von Ludwig Tieck, „Des Knaben Wunderhorn. Alte deutsche Lieder“ (3 Bände, 1806/1808) von Achim von Arnim und Clemens Brentano und die „Kinder- und Hausmärchen“ (2 Bände, 1812/1815) der Brüder Grimm. „Der gestiefelte Kater“ und Grimms „Kinder- und Hausmärchen“ sind als handliche Reclam-Bände erhältlich; für „Des Knaben Wunderhorn“ empfiehlt sich die Benutzung einer wissenschaftlichen Textedition in einer Bibliothek oder der digitalen Edition der Erstausgabe im Deutschen Textarchiv unter https://www.deutschestextarchiv.de/book/show/16523. 

Darüber hinaus werden aus der Epoche der Romantik zahlreiche Schriftstellerinnen und Literatinnen sichtbar: Karoline von Günderrode, Benedikte Naubert, Bettine von Arnim, Dorothea Schlegel, Rahel Varnhagen von Ense, Sophie Albrecht, Annette von Droste-Hülshoff, Therese von Jakob-Robinson u.v.a. Explorationen zu diesen Schriftstellerinnen runden das Seminar ab.

Merken Sie sich bitte schon jetzt den Archivtag ins Deutsche Literaturarchiv in Marbach vor: Freitag, 7. Juli 2023, 10-13 Uhr mit anschließendem Besuch des Literaturmuseums der Moderne. Alle Kurse des Moduls ""Theorien und Methoden der Neueren deutschen Literatur"" nehmen gemeinschaftlich daran teil. Die Teilnahme ist verpflichtend, die Sitzung am 6. Juli 2023 wird dafür entfallen.";stuttgart0377;sose23;Seminar (SE);2023-04;2023-08;stuttgart;;['Ludwig Tieck', 'Achim von Arnim', 'Clemens Brentano', 'Grimm', 'Grimms', 'Karoline von Günderrode', 'Benedikte Naubert', 'Bettine von Arnim', 'Dorothea Schlegel', 'Rahel Varnhagen von Ense', 'Sophie Albrecht', 'Annette von Droste-Hülshoff', 'Therese von Jakob-Robinson'];;
2;11.0;;;118500422;Achternbusch;Inhalt;Herbert Achternbusch;"Herbert Achternbusch, Jahrgang 1938, ist Schriftsteller, Filmemacher, Maler und einer der eigenwilligsten deutschen Künstler; er lebt in München. Über sein Leben sagt er:
„Ich musste 1938 auf die Welt kommen, nachdem ich mir meine Eltern schon ausgesucht hatte. Meine Mutter war eine sportliche Schönheit vom Land, die sich nur in der Stadt wohlfühlte. Mein Vater war sehr leger und trank gern, er war ein Spaßvogel. Kaum auf der Welt, suchten mich Schulen, Krankenhäuser und alles Mögliche heim. Ich leistete meine Zeit ab und bestand auf meiner Freizeit. Ich schrieb Bücher, bis mich das Sitzen schmerzte. Dann machte ich Filme, weil ich mich bewegen wollte. Die Kinder, die ich habe, fangen wieder von vorne an. Grüß Gott!“
Sein erster Roman Die Alexanderschlacht brachte ihm 1971 den literarischen Durchbruch und blieb für die avantgardistische deutsche Literatur lange Zeit vorbildhaft. Anfang der 70er begann Achternbusch damit, Filme zu drehen; bis heute sind es über 30 Stück. Sein erster Kinofilm, Das Andechser Gefühl (1974), setzt sich mit Achternbuschs Heimat auseinander. Einen Skandal löste 1982 sein Film Das Gespenst aus („Blasphemie!“), weil darin Jesus vom Kreuz herabsteigt, um mit einer Nonne ein irdisches Leben zu führen.
Achternbusch ist – über Gattungen und Kunstformen hinweg – vor allem ein Erzähler: in seinen großformatigen, ausdrucksstarken Bildern, in seinen Prosatexten und in seinen Filmen. Er verweigert sich Genres und ästhetischen Konventionen, dem Kulturbetrieb und der Kommerzialität. Seine Arbeiten sind spielerisch, dadaistisch, grotesk, provozierend; seine Themen sind der bayerische Provizialismus, katholische Bigotterie, Nazi-Denken und kleinbürgerliche Dumpfheit. 
Im Seminar werden seine wichtigsten Filme und literarischen Texte diskutiert und analysiert werden.";stuttgart0508;sose19;Seminar (SE);2019-04;2019-08;stuttgart;['Herbert Achternbusch'];['Herbert Achternbusch', 'Achternbusch', 'Achternbuschs', 'Jesus', 'Achternbusch'];;
3;12.0;;;118500422;Achternbusch;Inhalt;Herbert Achternbusch;"Herbert Achternbusch, Jahrgang 1938, ist Schriftsteller, Filmemacher, Maler und einer der eigenwilligsten deutschen Künstler; er lebt in München. Über sein Leben sagt er:
„Ich musste 1938 auf die Welt kommen, nachdem ich mir meine Eltern schon ausgesucht hatte. Meine Mutter war eine sportliche Schönheit vom Land, die sich nur in der Stadt wohlfühlte. Mein Vater war sehr leger und trank gern, er war ein Spaßvogel. Kaum auf der Welt, suchten mich Schulen, Krankenhäuser und alles Mögliche heim. Ich leistete meine Zeit ab und bestand auf meiner Freizeit. Ich schrieb Bücher, bis mich das Sitzen schmerzte. Dann machte ich Filme, weil ich mich bewegen wollte. Die Kinder, die ich habe, fangen wieder von vorne an. Grüß Gott!“
Sein erster Roman Die Alexanderschlacht brachte ihm 1971 den literarischen Durchbruch und blieb für die avantgardistische deutsche Literatur lange Zeit vorbildhaft. Anfang der 70er begann Achternbusch damit, Filme zu drehen; bis heute sind es über 30 Stück. Sein erster Kinofilm, Das Andechser Gefühl (1974), setzt sich mit Achternbuschs Heimat auseinander. Einen Skandal löste 1982 sein Film Das Gespenst aus („Blasphemie!“), weil darin Jesus vom Kreuz herabsteigt, um mit einer Nonne ein irdisches Leben zu führen.
Achternbusch ist – über Gattungen und Kunstformen hinweg – vor allem ein Erzähler: in seinen großformatigen, ausdrucksstarken Bildern, in seinen Prosatexten und in seinen Filmen. Er verweigert sich Genres und ästhetischen Konventionen, dem Kulturbetrieb und der Kommerzialität. Seine Arbeiten sind spielerisch, dadaistisch, grotesk, provozierend; seine Themen sind der bayerische Provizialismus, katholische Bigotterie, Nazi-Denken und kleinbürgerliche Dumpfheit. 
Im Seminar werden seine wichtigsten Filme und literarischen Texte diskutiert und analysiert werden.";stuttgart0508;sose19;Seminar (SE);2019-04;2019-08;stuttgart;['Herbert Achternbusch'];['Herbert Achternbusch', 'Achternbusch', 'Achternbuschs', 'Jesus', 'Achternbusch'];;
4;13.0;;;118500422;Achternbuschs;Inhalt;Herbert Achternbusch;"Herbert Achternbusch, Jahrgang 1938, ist Schriftsteller, Filmemacher, Maler und einer der eigenwilligsten deutschen Künstler; er lebt in München. Über sein Leben sagt er:
„Ich musste 1938 auf die Welt kommen, nachdem ich mir meine Eltern schon ausgesucht hatte. Meine Mutter war eine sportliche Schönheit vom Land, die sich nur in der Stadt wohlfühlte. Mein Vater war sehr leger und trank gern, er war ein Spaßvogel. Kaum auf der Welt, suchten mich Schulen, Krankenhäuser und alles Mögliche heim. Ich leistete meine Zeit ab und bestand auf meiner Freizeit. Ich schrieb Bücher, bis mich das Sitzen schmerzte. Dann machte ich Filme, weil ich mich bewegen wollte. Die Kinder, die ich habe, fangen wieder von vorne an. Grüß Gott!“
Sein erster Roman Die Alexanderschlacht brachte ihm 1971 den literarischen Durchbruch und blieb für die avantgardistische deutsche Literatur lange Zeit vorbildhaft. Anfang der 70er begann Achternbusch damit, Filme zu drehen; bis heute sind es über 30 Stück. Sein erster Kinofilm, Das Andechser Gefühl (1974), setzt sich mit Achternbuschs Heimat auseinander. Einen Skandal löste 1982 sein Film Das Gespenst aus („Blasphemie!“), weil darin Jesus vom Kreuz herabsteigt, um mit einer Nonne ein irdisches Leben zu führen.
Achternbusch ist – über Gattungen und Kunstformen hinweg – vor allem ein Erzähler: in seinen großformatigen, ausdrucksstarken Bildern, in seinen Prosatexten und in seinen Filmen. Er verweigert sich Genres und ästhetischen Konventionen, dem Kulturbetrieb und der Kommerzialität. Seine Arbeiten sind spielerisch, dadaistisch, grotesk, provozierend; seine Themen sind der bayerische Provizialismus, katholische Bigotterie, Nazi-Denken und kleinbürgerliche Dumpfheit. 
Im Seminar werden seine wichtigsten Filme und literarischen Texte diskutiert und analysiert werden.";stuttgart0508;sose19;Seminar (SE);2019-04;2019-08;stuttgart;['Herbert Achternbusch'];['Herbert Achternbusch', 'Achternbusch', 'Achternbuschs', 'Jesus', 'Achternbusch'];;
5;15.0;;;118618156;Adalbert Stifter;Inhalt;Jagd und Jagen in der deutschsprachigen Literatur;"In der Gegenwart (und damit in Zeiten des Animal Turn) geraten Jagd, Jagen und damit auch JägerInnen zunehmend unter Druck: Aus ökologischer und tierrechtlicher Sicht wird die Notwendigkeit des Abschusses von Wildtieren in Frage gestellt. Das belegt exemplarisch ein Gerichtsurteil des Europäischen Gerichtshofs für Menschenrechte aus dem Jahr 2012, das es Grundstückseigentümern erlaubt, die Jagd auf ihrem Besitz aus Gewissensgründen zu verbieten. 
Nun handelt es sich bei der Jagd um eine menschliche Praktik, die in allen Zeiten und Kulturen ausgeübt wurde; ja, die sog. „Jagd-Hypothese“ behauptete sogar, dass das Jagen einen, wenn nicht sogar den entscheidenden Faktor der Hominisation darstelle. Zudem werden mit dem Jagdrecht immer auch politische, soziale und anthropologische Fragen verhandelt. So war das adelige Jagdprivileg nicht nur Repräsentation einer bestimmten Lebensführung, sondern auch Ausdruck des Herrschaftsanspruchs über die bäuerlichen Untertanen; entsprechend konnte die Wilderei Züge einer Sozialrebellion annehmen. 
Im Seminar wollen wir die Debatte um Jagd und Jagen in der deutschsprachigen Literatur nachverfolgen. Dazu müssen zunächst einmal die grundsätzlichen politischen, rechtlichen, sozialen und anthropologischen Koordinaten des Jagens geklärt werden. Anschließend wollen wir uns mit literarischen Texten insbesondere des 19. und 20. Jahrhunderts (darunter Adalbert Stifter, Marie von Ebner-Eschenbach, Hermann Löns, Franz Kafka) auseinandersetzen und analysieren, wie sie die Jagd perspektivieren. Um sicherzustellen, dass Sie sich mit dem Thema ein Semester lang beschäftigen möchten, lesen Sie bitte bereits vor Seminarbeginn den auf ILIAS bereitgestellten Einführungsartikel von Gesine Krüger: Geschichte der Jagd. In: Tiere. Kulturwissenschaftliches Handbuch. Hg. von Roland Borgards. Stuttgart 2016, S. 111–121.";stuttgart0176;wise19-20;Seminar (SE);2019-09;2020-03;stuttgart;;['Adalbert Stifter', 'Marie von Ebner-Eschenbach', 'Hermann Löns', 'Franz Kafka', 'Gesine Krüger', 'Roland Borgards'];;
6;16.0;;;118618156;Adalbert Stifter;Inhalt;Erzählzyklen des 19. Jahrhunderts;"In einem Erzählzyklus wird eine Anzahl von selbständigen, aber dennoch in Verbindung zueinander stehenden Einzelerzählungen beziehungsreich arrangiert; der einzelne Text ist also semantisch nur relativ autonom. Darin liegt der Unterschied zwischen Erzählzyklen und bloßen Erzählsammlungen oder -anthologien, bei denen die Anordnung der einzelnen Texte in der Regel keine ästhetische und bedeutungstragende Funktion hat. Oft enthalten Erzählzyklen eine Rahmenhandlung, in welche die einzelnen Novellen, Märchen oder Erzählungen eingefügt werden. 

Der Erzählzyklus ist eine typische Gattung des 19. Jahrhunderts; er entspricht der Neigung der Epoche zur geschlossenen künstlerischen Form. Dabei reicht die Gattungstradition zurück bis in die Antike; die klassischen Texte stammen aus dem Mittelalter und der Renaissance; sie gehören zur Weltliteratur: Tausendundeine Nacht, Boccaccios Decamerone und Chaucers Canterbury Tales. Im 19. Jahrhundert orientiert man sich wieder an diesen ‚Klassikern‘ des Erzählens; deshalb wollen wir sie zu Beginn des Seminars zumindest in Auszügen lesen:

Tausendundeine Nacht (älteste Handschrift um 1450)
Giovanni Boccaccio: Il Decamerone (1349-1353)
Geoffrey Chaucer: Canterbury Tales (1386-1400)

In einem zweiten Schritt wollen wir uns mit den großen Erzählzyklen des 19. Jahrhunderts vertraut machen; sie gehören bis heute zu dem meist gelesenen Texten der Epoche:

Johann Wolfgang von Goethe: Unterhaltungen deutscher Ausgewanderten (1795)
Wilhelm Hauff: Märchenalmanache (1826-1828)
E.T. A. Hoffmann: Nachtstücke (1815/1817)
Gottfried Keller: Die Leute von Seldwyla (1853-1870)
Adalbert Stifter: Bunte Steine (1853)

Die Texte werden vor Beginn des Seminars auf ILIAS hochgeladen.";stuttgart0523;wise19-20;Seminar (SE);2019-09;2020-03;stuttgart;;['Boccaccios', 'Chaucers', 'Giovanni Boccaccio', 'Geoffrey Chaucer', 'Johann Wolfgang von Goethe', 'Wilhelm Hauff', 'E.T. A. Hoffmann', 'Gottfried Keller', 'Adalbert Stifter'];;
7;21.0;;;118618156;Adelbert Stifter;Inhalt;Realismus;Im Rahmen dieses Seminars beschäftigen wir uns mit zentralen Autoren des Realismus wie etwa Theodor Storm, Adelbert Stifter, Wilhelm Raabe, Friedrich Hebbel und Theodor Fontane. Die drei Großgattungen (Epik, Lyrik und Dramatik) werden ebenso behandelt wie auch zentrale Aspekte der Gattungsdiskussion und des Medienwandels.;stuttgart0227;sose20;Seminar (SE);2020-04;2020-08;stuttgart;;['Theodor Storm', 'Adelbert Stifter', 'Wilhelm Raabe', 'Friedrich Hebbel', 'Theodor Fontane'];;
8;22.0;;;120669013;Adelheid;Inhalt;Adelheid Duvanel;"Fern von hier. Adelheid Duvanel und ihre fremdartige Kurzprosa des Vertrauten.
Die Schweizer Schriftstellerin Adelheid Duvanel (1936-1996) hat ein Werk hinterlassen, dass lediglich aus Kurz- und Kürzesterzählungen besteht. Die Figuren und Umstände, die darin beschrieben werden, sind eigenartig, eigensinnig und skurril, obwohl oder gerade weil sie sich mit dem absolut Alltäglichen beschäftigen, das sich im sehr begrenzten Raum, oft nur in einem Zimmer, abspielt. Es kann als Merkmal dieser inneren Welt verstanden werden, wenn sie etwa schreibt: ""Im Innern der Häuser sind die Paradiese und Höllen der Menschen aufgebaut, mit Lampenlicht beleuchtet und vor Neugierde abgeschirmt."" 
2021 wurde Adelheid Duvanel, nicht zum ersten Mal, wiederentdeckt und ihre Kurzprosatexte neu ediert. Das Seminar begibt sich aus diesem Grund auf die Spuren der Besonderheit der Erzählungen dieser in kein Schema passenden Schriftstellerin und ihrer Kontexte, zu denen auch ein umfangreiches zeichnerisches Werk gehört. 
Begleitend zum Seminar findet voraussichtlich am 25. November eine wissenschaftliche Tagung an der Universität Stuttgart und im Literaturhaus statt. Sie ist Teil der Lehrveranstaltung.
Anzuschaffen ist: Duvanel, Adelheid: Fern von hier. Sämtliche Erzählungen. Hrsg. v. Dangel-Pelloquin, Elsbeth u. Kretzen, Friederike. Limnat Verlag Zürich 2021.
Vor Vorlesungsbeginn zu lesen sind die ersten drei Erzählungen aus dieser Sammlung: Der Dichter; Das Getüm; Der Flügel.";stuttgart0372;wise22-23;Seminar (SE);2022-09;2023-03;stuttgart;['Adelheid Duvanel'];['Adelheid Duvanel', 'Adelheid Duvanel', 'Adelheid Duvanel', 'Duvanel', 'Adelheid', 'Dangel-Pelloquin', 'Elsbeth', 'Kretzen', 'Friederike'];;
9;23.0;;;120669013;Adelheid Duvanel;Inhalt;Adelheid Duvanel;"Fern von hier. Adelheid Duvanel und ihre fremdartige Kurzprosa des Vertrauten.
Die Schweizer Schriftstellerin Adelheid Duvanel (1936-1996) hat ein Werk hinterlassen, dass lediglich aus Kurz- und Kürzesterzählungen besteht. Die Figuren und Umstände, die darin beschrieben werden, sind eigenartig, eigensinnig und skurril, obwohl oder gerade weil sie sich mit dem absolut Alltäglichen beschäftigen, das sich im sehr begrenzten Raum, oft nur in einem Zimmer, abspielt. Es kann als Merkmal dieser inneren Welt verstanden werden, wenn sie etwa schreibt: ""Im Innern der Häuser sind die Paradiese und Höllen der Menschen aufgebaut, mit Lampenlicht beleuchtet und vor Neugierde abgeschirmt."" 
2021 wurde Adelheid Duvanel, nicht zum ersten Mal, wiederentdeckt und ihre Kurzprosatexte neu ediert. Das Seminar begibt sich aus diesem Grund auf die Spuren der Besonderheit der Erzählungen dieser in kein Schema passenden Schriftstellerin und ihrer Kontexte, zu denen auch ein umfangreiches zeichnerisches Werk gehört. 
Begleitend zum Seminar findet voraussichtlich am 25. November eine wissenschaftliche Tagung an der Universität Stuttgart und im Literaturhaus statt. Sie ist Teil der Lehrveranstaltung.
Anzuschaffen ist: Duvanel, Adelheid: Fern von hier. Sämtliche Erzählungen. Hrsg. v. Dangel-Pelloquin, Elsbeth u. Kretzen, Friederike. Limnat Verlag Zürich 2021.
Vor Vorlesungsbeginn zu lesen sind die ersten drei Erzählungen aus dieser Sammlung: Der Dichter; Das Getüm; Der Flügel.";stuttgart0372;wise22-23;Seminar (SE);2022-09;2023-03;stuttgart;['Adelheid Duvanel'];['Adelheid Duvanel', 'Adelheid Duvanel', 'Adelheid Duvanel', 'Duvanel', 'Adelheid', 'Dangel-Pelloquin', 'Elsbeth', 'Kretzen', 'Friederike'];;
