;Index;Kommentar;wrong_mention;GND_ID;Mention;Mention_Ort;Titel;Inhalt;ID;Semester;Art;Intervall_Start;Intervall_End;Universität;NER_Pers_Titel;NER_Pers_Inhalt;Unnamed: 0;kommentar
0;1.0;;;118526200;A. Döblin;Inhalt;NdL: Zeitkrankheiten. Psychopathologische Erlebnisformen von Temporalität u. ihre liter. Darstellung;"‚Zeit‘ gehört zu den Kategorien, mit denen Literatur am intensivsten operiert. Das belegen nicht nur formale Analysen, sondern auch kulturhistorische Deutungen, die Gattungen bspw. auf ihr Verhältnis zum Tod befragen (W. Benjamin). Doch in der Moderne kommt noch eine spezielle Betrachtung des Zeitlichen hinzu: In die Darstellung subjektiven Zeiterlebens fließen zusehends wissenschaftlich-psychologische Erkenntnisse ein. Dementsprechend interessant wird die Frage, ob es auch Exzessformen dieses Erleben gibt. So können zahlreiche Psychopathologien als ‚Zeitkrankheiten‘ gedeutet werden: In der traumatischen Erinnerung kehrt das nicht bewältigte Vergangene als Gegenwärtiges zurück; Gegenwart wird im Déjà-vu zu etwas Vergangenem ent-wirklicht; das Vergehen der Zeit lähmt und entsetzt die Melancholischen – Manische dagegen sind ihm immer schon voraus. Im Seminar sollen literarische, vor allem erzählerische Inszenierungsformen solcher ‚Zeitkrankheiten‘ diskutiert werden; der Schwerpunkt liegt auf der klassischen Moderne. Neben Texten von G. de Maupassant, R. M. Rilke, G. Heym, A. Döblin, R. Musil, R. Walser u.a. kommen einige wichtige Zeit-Theorien (H. Bergson, S. Freud) zur Sprache.";wien1213;wise21-22;SE-B;2021-09;2022-03;wien;;['W. Benjamin', 'G. de Maupassant', 'R. M. Rilke', 'G. Heym', 'A. Döblin', 'R. Musil', 'R. Walser', 'H. Bergson', 'S. Freud'];;
1;2.0;;;11853808X;A. Gehlen;Inhalt;Masterseminar NdL: Totalitäre Subjekte;Die politischen Totalitarismen der Mitte des 20. Jahrhunderts sind ein historisch komplexes Phänomen. In mindestens einer Hinsicht interessieren sie auch die Literaturwissenschaft: In der Frage, welches Menschenbild sie implizieren. Man kann dabei, wie Th. W. Adorno und andere, einen sozio-psychologisch geprägten „autoritären Charakter“ annehmen, der die Verbreitung faschistischen Denkens befördert. Man kann aber auch fragen, ob bestimmte – nicht zwingend schon selbst politische – anthropologische Vorstellungen zu dieser Zeit einen Wissenshorizont abgaben, der entsprechende politische Ideen plausibel scheinen ließ. Das Seminar wird sich dieser Gemengelage anhand verschiedener literarischer Autoren widmen: G. Benns anthropologisch begründete Affirmation des NS und B. Brechts stalinistische Lehrstücke werden dabei ebenso eine Rolle spielen wie G. Batailles psychologisch-kulturtheoretische Faschismustheorie und H. Brochs antifaschistische Massenpsychologie (mit der ironischerweise die Forderung nach einer „totalen Demokratie“ einhergeht). Ebenso wird die zeitgenössische politische Anthropologie (H. Plessner, A. Gehlen) zur Sprache kommen.;wien1223;wise21-22;SE;2021-09;2022-03;wien;;['Th. W. Adorno', 'G. Benns', 'B. Brechts', 'G. Batailles', 'H. Brochs', 'H. Plessner', 'A. Gehlen'];;
2;3.0;;;11853808X;A. Gehlen;Inhalt;Masterseminar NdL: Totalitäre Subjekte;Die politischen Totalitarismen der Mitte des 20. Jahrhunderts sind ein historisch komplexes Phänomen. In mindestens einer Hinsicht interessieren sie auch die Literaturwissenschaft: In der Frage, welches Menschenbild sie implizieren. Man kann dabei, wie Th. W. Adorno und andere, einen sozio-psychologisch geprägten „autoritären Charakter“ annehmen, der die Verbreitung faschistischen Denkens befördert. Man kann aber auch fragen, ob bestimmte – nicht zwingend schon selbst politische – anthropologische Vorstellungen zu dieser Zeit einen Wissenshorizont abgaben, der entsprechende politische Ideen plausibel scheinen ließ. Das Seminar wird sich dieser Gemengelage anhand verschiedener literarischer Autoren widmen: G. Benns anthropologisch begründete Affirmation des NS und B. Brechts stalinistische Lehrstücke werden dabei ebenso eine Rolle spielen wie G. Batailles psychologisch-kulturtheoretische Faschismustheorie und H. Brochs antifaschistische Massenpsychologie (mit der ironischerweise die Forderung nach einer „totalen Demokratie“ einhergeht). Ebenso wird die zeitgenössische politische Anthropologie (H. Plessner, A. Gehlen) zur Sprache kommen.;wien1229;wise21-22;SE;2021-09;2022-03;wien;;['Th. W. Adorno', 'G. Benns', 'B. Brechts', 'G. Batailles', 'H. Brochs', 'H. Plessner', 'A. Gehlen'];;
3;6.0;;;118554700;A. v. Humboldt;Inhalt;Ndl: Literatur und Klima;Klima wird heute fast synonym mit „Klimawandel“ verstanden. Dabei gibt es eine lange kulturhistorische Tradition, die sich mit Klima als Lebensraum, als Ursache für Gesundheit und Krankheit, als kulturprägendem Faktor und als Zeitgeber für den Menschen beschäftigt. Klima gilt gerade als stabile Umwelt, die den Menschen entscheidend prägt. Die Vorlesung präsentiert eine Literatur- und Wissensgeschichte dieses älteren und sehr viel reichhaltigeren Begriffs von Klima – von der Antike bis zur Gegenwart. Es wird um die Vorstellung gehen, dass Klima unendlich viel beeinflusst: menschliche Gewohnheiten, kulturelle Bräuche, Temperament, Sexualität, Arbeitseifer – bis hin zu Börsenkursen. Es wird um die Art und Weise gehen, wie Wissenschaft und Literatur das Verhältnis von Erde und Luft gedacht haben, in Form von Luftreisen, Wolkengedichten, Luft-Lyrik, Malerei, atmosphärischen Darstellungen, aber auch in Form einer immer abstrakteren Erschließung der Atmosphäre, die schließlich zur heutigen Klimaforschung hinführt. Es wird um die Jahreszeiten gehen und die Frage, wie sie als klimatische Phänomene menschliche Zeit strukturieren. Und nicht zuletzt wird in der Vorlesung gefragt werden, wie eine neue globalisierte Vorstellung von Klima zu einer literarischen Imagination des Planeten und des „Systems Erde“ führt. Damit wird das Problem aufgeworfen, wie der Mensch sich politisch organisieren kann, um den von ihm verursachten Klimawandel unter Kontrolle zu bringen. Climate Fiction entwirft unzählige – oft dystopische – politische Fantasien über das Politische im Klimawandel. Die Vorlesung wird dabei immer wieder vorführen, wie eng literarische Darstellung mit der Entwicklung wissenschaftlichen Wissens über den Planeten verknüpft ist. Gelesen werden u.a. Texte von Hippocrates, Aristoteles, Ibn Khaldun, Verne, Goethe, Brockes, Zola, Stifter, Musil, Montesquieu, Brin, Weiss, Lovelock, Th. Mann, v. Hann, A. v. Humboldt, Khalidasa.;wien1285;sose23;VO;2023-04;2023-08;wien;['Ndl'];['Hippocrates', 'Aristoteles', 'Ibn Khaldun', 'Verne', 'Goethe', 'Brockes', 'Zola', 'Stifter', 'Musil', 'Montesquieu', 'Brin', 'Weiss', 'Lovelock', 'Th. Mann', 'v', 'Hann', 'A. v. Humboldt', 'Khalidasa'];;
4;7.0;;;118504177;Achim von Armin;Inhalt;NdL: Das Ende der Studentenzeit in der Romantik;"Das Ende der Studentenzeit hat in der Literatur der Romantik mindestens in einem doppelten Sinn seine Verhandlung gefunden. Zum einen setzt sie sich ganz allgemein mit dem Ende der Studienjahre auseinander: An der Universität hatten die jungen Männer gesellige Trinkgelage, Streiche und Liebesabenteuer, aber auch Brauchtum und Korpsgeist kultiviert. Jetzt müssen sie sich in der Enge der bürgerlichen Lebensformen, im Alltagsgrau von Ehe und Beamtentum neu erfinden. Zum anderen thematisiert die Literatur der Romantik aber auch die Zeit der nationalistischen Mobilmachung gegen Frankreich: Während der sogenannten „Freiheitskriege“ verlassen zahlreiche Studenten ihre Universitäten, um gegen Napoleon in den Krieg zu ziehen. In beiden Fällen ist es immer wieder die Poesie – und mit ihr die poetisierte Existenz –, in der die Spannungen zwischen Abenteuerlust und bürgerlicher Karriere, aber auch zwischen Studenten-, Soldaten- und Bürgertum in Einklang gebracht werden sollen.
 
Neben der Lektüre von ausgewählten Textpassagen von u.a. Friedrich Schiller, Clemens Brentano, Achim von Armin und E.T.A. Hoffmann steht das Werk von Joseph von Eichendorff im Zentrum des Seminars. In den Romanen „Ahnung und Gegenwart“ und „Dichter und Gesellen“, in zahlreichen Gedichten, aber auch in seiner autobiographischen Skizze „Halle und Heidelberg“ hat er nach einem dichterischen Ton gesucht, der die traditionellen Studenten- und Soldatenlieder in die Literatur des Bildungsbürgertums überführt.
 
Neben der spezifischen Frage nach dem Studententum um 1800, mit der nicht zuletzt auch eine bestimmte Männlichkeitsvorstellung problematisiert werden soll, versteht sich das Seminar demnach auch als eine erste Annäherung an das Werk von Joseph von Eichendorff – einem zentralen Autor der literarischen Romantik.";wien1288;sose23;PS;2023-04;2023-08;wien;;['Napoleon', 'Friedrich Schiller', 'Clemens Brentano', 'Achim von Armin', 'E.T.A. Hoffmann', 'Joseph von Eichendorff', 'Joseph von Eichendorff'];;
5;17.0;;;118618156;Adalbert Stifter;Inhalt;NdL: Kindheit und Literatur;"Das Seminar fragt nach dem Verhältnis des modernen Kindheitsdiskurses und der deutschsprachigen Literatur mit einem Fokus auf die Epochenschwellen 1800/1900. Die anthropologische Frage nach dem ‚Ursprung‘ des Menschen wird seit dem 18. Jahrhundert nicht nur in den sich neu formierenden humanwissenschaftlichen Disziplinen – Pädagogik, Psychologie, Biologie– und den Geisteswissenschaften, sondern auch in der Literatur verstärkt an der Figur des Kindes verhandelt. Am Kind gilt es den Übergang von Natur zur Kultur und die (gelingende oder scheiternde) Entwicklung zum Individuum zu beobachten, deren Gesetze in der Literatur – sei es im Roman, in der ‚Fallgeschichte’ oder der Erzählung– mit dem modernen Konzept von ‚Bildung‘ eng verbunden sind.
Das Seminar widmet sich zunächst der ‚Entdeckung’ der Kindheit im „pädagogischen“ 18. Jahrhundert, die sich maßgeblich an den Namen Rousseau knüpft, und in den literarischen Projekten bei Karl Philipp Moritz, Goethe, Schiller, der Gebrüder Grimm und E.T.A. Hoffmann eine eigene ästhetische Ausformung findet. Anschließend soll der Blick auf die Jahrhundertschwelle um 1900 gelegt werden. Im Vordergrund steht die Frage, wie sich die Konfiguration der Kindheit bei Autoren wie Adalbert Stifter, Wilhelm Raabe, Rainer Maria Rilke, Robert Walser, Robert Musil und Walter Benjamin zu einem Wissen vom Kind verhält, das sich im anbrechenden Jahrhundert des Kindes (Ellen Key) zwischen einer zunehmend experimentellen und empirischen Erforschung der „Seele des Kindes“ einerseits und den emphatischen reformpädagogischen Bewegungen andererseits entfaltet, wie die Literatur diesem Wissen ein eigenes entgegengesetzt, und den neuen Blick auf das Kind erzähltechnisch und ästhetisch wirksam werden lässt.
Das Seminar verfolgt eine kulturwissenschaftliche Perspektive, in der die historische und diskursanalytische Kontextualisierung der Literatur durch narratologische und gattungshistorischen Reflexionen ergänzt werden soll.";wien1129;wise19-20;SE-B;2019-09;2020-03;wien;;['Rousseau', 'Karl Philipp Moritz', 'Goethe', 'Schiller', 'Grimm', 'E.T.A', 'Hoffmann', 'Adalbert Stifter', 'Wilhelm Raabe', 'Rainer Maria Rilke', 'Robert Walser', 'Robert Musil', 'Walter Benjamin', 'Ellen Key'];;
6;18.0;;;118618156;Adalbert Stifter;Inhalt;NdL: Idyll und Terror. Die österreichische Dorfgeschichte;"Dorfgeschichten sind mehr als bloße Selbstbespiegelungen der Provinz. Denn nur in Ausnahmefällen artikulieren sich in ihnen die Dorfbewohner selbst; zumeist sind es Städter oder dem Land Entflohene, die mit derlei Erzählungen – sehnsüchtig oder auch blasiert – auf die Provinz blicken. Einerseits sind Dorfgeschichten, wie die heutige Komparatistik unterstreicht, ein globales narratives Phänomen. Andererseits schlagen sich in ihnen die sozial-, kultur- und literaturgeschichtlichen Eigenarten der jeweiligen Regionen nieder. In Deutschland, Österreich und der Schweiz entstand das Genre seit der ersten Hälfte des 19. Jahrhunderts als eigentümliche Reaktionsbildung gegen die Effekte gesellschaftlicher Modernisierung. Mittels älterer Formenrepertoires (wie der Idylle oder Kalendergeschichte) protokollierten diese Dorfgeschichten jene Umbrüche auf den Feldern von Gewerbe, Verwaltung und Verkehr, die auch und gerade die ländlichen Lebensräume ereilten. Zunächst emanzipatorisch oder gar utopisch motiviert (wie etwa an ihrer Nähe zur Ghettoliteratur ersichtlich ist), legte die biedermeierliche und realistische Dorfgeschichte allerdings immer wieder einen Hang zur ›Binnenexotik‹ und Nostalgie an den Tag, zum Kitsch oder ›Populismus‹.
Seit den 1920er Jahren zwischenzeitlich in der ›Blut-und-Boden‹-Dichtung aufgegangen, entstanden nach 1945 unterschiedlichste Varianten dieses Genres: der literarische Lobpreis kommunistischer Bodenreform ebenso wie die triviale Heimatpoesie, zudem etliche Formen eines experimentellen oder bekenntnishaften Erzählens. Was aber zeichnet, unter diesen Vorzeichen, die Dorfgeschichte Österreichs aus? Zum einen waren die habsburgischen Provinzen des 19. Jahrhunderts, verglichen mit denen Deutschlands oder der Schweiz, vielfältiger und zugleich zentrumsferner, was ihre Homogenisierung und Modernisierung nicht erleichterte. Zum anderen stehen in Österreich »Land und Stadt«, wie Gerhard Roth sagt, bis heute »einander fremd gegenüber. Wer Österreich kennen will, muß beide Teile kennen«.
Vor diesem Hintergrund hat sich in Österreich das Genre (oder die ›Genre-Maske‹) der Dorfgeschichte als besonders zählebig erwiesen – und seit der Nachkriegszeit als umso produktiver, je intensiver es an seiner Selbstkritik und Selbstauflösung arbeitete. Denn wo man vormals – in vermeintlich zeitlosen Formen – idyllische Zustände behauptet hatte, stieß das Erzählen nun – im Gestus ikonoklastischer Selbstentzauberung – auf einen provinziellen Bodensatz von Borniertheit und Verdrängung, von Zwang und Terror. Aufgabe des Seminars wird es sein, ausgehend von einer allgemeinen Gattungs- und Funktionstheorie der Dorfgeschichte ihren österreichischen Werdegang an prägnanten Einzelfällen nachzuzeichnen (von Adalbert Stifter und Marie von Ebner-Eschenbach über Hans Lebert, Thomas Bernhard und Elfriede Jelinek bis hin zu Maja Haderlap). An seinem Ende mag die Frage stehen, welche Mittel und Möglichkeiten diesem Genre im Zeitalter der ›Anti-Heimatliteratur‹ noch offenstehen, welche erzählerischen und ästhetischen Wege es noch geben kann zwischen dem, was Karl Markus Gauß den alten »Kitsch der Verklärung« und den neuen »Kitsch der Denunziation« genannt hat.";wien1193;sose21;PS;2021-04;2021-08;wien;;['Gerhard Roth', 'Adalbert Stifter', 'Marie von Ebner-Eschenbach', 'Hans Lebert', 'Thomas Bernhard', 'Elfriede Jelinek', 'Maja Haderlap', 'Karl Markus Gauß'];;
7;19.0;;;118618156;Adalbert Stifter;Inhalt;NdL: Kinder(um)welten seit dem 19. Jahrhundert;"In der zweiten Hälfte des 19. Jahrhunderts treten zwei neue Perspektiven der Umweltbetrachtung und des Schreibens über die Umwelt sowohl in der Allgemeinliteratur, als auch in der Literatur für Kinder und Jugendliche auf. Durch die Industrialisierung und Urbanisierung Europas war das Leben in einer ländlichen Umgebung nicht mehr selbstverständlich, umso mehr haben sich Fibel und Erzählungen für Kinder Naturliebe und Naturverbundenheit als Themen und Ziele der Erziehung verschrieben. Gleichzeitig entstanden hier erste Sachtexte für Kinder, die Einblicke in und Erklärungen für das Alltagsgeschehen in der Stadt und Großstadt gaben. Kinder- und Jugendliteratur steckte zwischen Technikbegeisterung und Fortschrittgläubigkeit und der Beschreibung und Ästhetisierung einer immer mehr abhandenkommenden „unberührten Natur“.
Umwelt wird seit dem späten 19. Jahrhundert aber auch als soziale Umgebung verstanden. Der Milieu-Begriff schafft dabei eine Verbindung zwischen Biologie und Soziologie und verdeutlicht, dass nicht nur die „äußere Natur“ (Hippolyte Taine) den Menschen bestimmt, sondern auch die ihn umgebenden gesellschaftlichen Verhältnisse.
Gleichzeitig wurde Umwelt (ob urban, ländlich oder sozial) als Faktor in der Erziehung von Kindern stets hervorgehoben. Denn Kindheit galt für die Pädagogik lang als die Phase des menschlichen Lebens, in der sich der Mensch noch am nächsten zu einem unverdorbenen Naturzustand befindet. Ob Naturlandschaften und Großstädte als Sicherheitsorte oder aber Orte der Rohheit und Gefahr dargestellt werden – sie sind eng mit den Konzepten von Kindheit und Jugend verzahnt und werden als physische und soziale Räume für gesellschaftliche Entwicklungen verantwortlich gemacht.
Über das Verhältnis von Subjekt und Umwelt, Subjekt und Milieu in der Literatur für und über Kinder und Jugendliche wird im Seminar anhand intensiver Lektüren von Primär- und Forschungsliteratur diskutiert. Als Teilleistung werden drei 1,5-seitige Essays zu vorgegebenen Fragen verfasst. Gelesen werden Werke von u.a. Johanna Spyri, Adalbert Stifter, Erich Kästner, Marlen Haushofer, Mira Lobe.";wien1291;sose23;PS;2023-04;2023-08;wien;;['Hippolyte Taine', 'Johanna Spyri', 'Adalbert Stifter', 'Erich Kästner', 'Marlen Haushofer', 'Mira Lobe'];;
8;20.0;;;118618156;Adalbert Stifter;Inhalt;NdL: Wiener Stadtbeschreibungen im 18. und 19. Jahrhundert;"Wien ist bis zur Mitte des 19. Jahrhunderts, nach Paris und London, die drittgrößte Stadt Europas. Neben den zahlreichen Sprachen, Kulturen, Theaterbühnen, Handwerkern, Beamten und Prostituierten, die das offizielle Stadtbild prägen, ist in vielen Beschreibungen und Reiseberichten auch von der ""Trinkfreudigkeit"" und ""Ausgelassenheit"" der Wiener:innen die Rede. Die meisten europäischen Städte wurde bis ins 17. Jahrhundert durch eine solche lokale ""Mentalität"" beschrieben. Was in Wien die ""Gemütlichkeit"" war, war in Paris die ""Raffinesse"" - besonders in Krisenzeiten. Mit dem Aufkommen aufklärerischen Gedankenguts unter Maria Theresia und vor allem unter Joseph II verändern sich die Ansprüche an das, was man von einem Ort in Erfahrung bringen kann. Verschiedene Formen der Topographien kommen auf (de Luca), die Anforderung an die Informationsdichte der Prosa erhöht sich und es wird zusehends versucht, die Stadt auch quantitativ zu erfassen. Durch die Rezeption aufklärerischer Schriften werden internationale Vorbilder von Stadtbeschreibungen (Tableau de Paris) auf Wien übertragen (Pezzl). Zusätzlich kommt es unter Joseph II und der von ihm erlassenen ""erweiterten Preßfreiheit"" zu einem enormen Antstieg der Druckerzeugnisse (""Broschürenflut""). Unter diesen Broschüren finden sich einige zu einzelnen Berufsständen Wiens (Bäcker, Kaufmannsdiener, Grabennymphen, ...) aber auch neue großstädtische Typologien, in denen die tradierten Figuren lokaler Komödien (Hanswurstiaden) in ein Panorama von urbanen Charakteren verwandelt werden (Richter). Schließlich sind lesenswerte Reiseberichte von Besuchern aus Deutschland erhalten (Nicolai), in denen sich Selbstgewissheit und Befremden auf erhellende Weise abwechseln. Der Großteil des Seminars behandelt Texte der 1780er Jahre und versucht unterschiedliche Beschreibungsformen und -motive zu diskutieren. Abschließend werden Auszüge aus der Autobiographie von Karoline Pichler und ""Wien und die Wiener"" von Adalbert Stifter gelesen, um zu sehen, wie sich das josephinische Jahrzehnt aus der Retrospektive des 19. Jahrhunderts ausnahm.";wien1292;sose23;PS;2023-04;2023-08;wien;;['Maria Theresia', 'Joseph II', 'de Luca', 'Pezzl', 'Joseph II', 'Richter', 'Nicolai', 'Karoline Pichler', 'Adalbert Stifter'];;
9;27.0;;;118595792;Adelheid Popp;Inhalt;NdL: Emanzipation und Friedensbewegung um 1918;"Thema dieser Lehrveranstaltung ist österreichische Literatur, die sich im Kontext emanzipatorischer und pazifistischer Strömungen um 1918 verorten lässt. Neben kanonisierter Literatur u.a. von Joseph Roth oder Karl Kraus werden unbekanntere österreichische Antikriegsromane z.B. von Andreas Latzko (Menschen im Krieg, 1917 / Friedensgericht, 1918 / Frauen im Krieg, 1918), Rudolf Jeremias Kreutz (Die große Phrase, 1917) oder Marie Eugenie delle Grazie (Homo … Der Roman einer Zeit, 1918), wichtige literarische Beiträge aus dem Kontext der Frauenemanzipation (u.a. von Adelheid Popp oder Gina Kaus) sowie zahlreiche weitere Texte (Feuilletons, Essays, Lyrik) aus Zeitschriften behandelt.
Um österreichische Literatur aus transnationaler Perspektive zu erfassen, bezieht die Lehrveranstaltung Texte aus den nach 1918 neu entstandenen Nachbarländern (Ungarn / Tschechoslowakei) mit ein. Gearbeitet wird vor allem mit digitalisierten Quellen, die aus verschiedenen österreichischen, ungarischen und slowakischen Bibliotheken oder Archiven sowie digitalisierten Zeitschriftenbeständen kommen und z.B. über das Portal ANNO der Österreichischen Nationalbibliothek zugänglich sind. Auch einzelne digitalisierte Zeitschriften (u.a. Die Fackel, Simplicissimus, Der Friede) werden einbezogen.
In diesem Proseminar wird die Recherche von literaturgeschichtlichen Quellen, der Umgang mit Datenbanken, digitalisierten Materialien und Quellenkritik geübt. Begleitend zur Lektüre von Primärliteratur, Recherchen und Arbeitsaufträgen lesen wir wissenschaftliche Sekundärtexte und setzen uns mit verschiedenen methodischen Ansätze der Literaturwissenschaft (z.B. Diskursanalyse, Rezeptionsforschung, Digital Humanities) sowie den unterschiedlichen literarischen Gattungen auseinander.
Die Lehrveranstaltung ist Teil des Erasmus-Plus-Projektes „Praxisorientierte Weiterentwicklung der Curricula im Fach Deutsche Philologie“, das am Institut für Germanistik der Universität Wien in Kooperation mit den Germanistik-Instituten der Universität Bratislava und der Universität Szeged durchgeführt wird.";wien1167;wise20-21;PS;2020-09;2021-03;wien;;['Joseph Roth', 'Karl Kraus', 'Andreas Latzko', 'Rudolf Jeremias Kreutz', 'Marie Eugenie delle Grazie', 'Adelheid Popp', 'Gina Kaus'];;
