;ID;Titel;Inhalt;Semester;Art;Intervall_Start;Intervall_End;Universität;NER_Pers_Inhalt;NER_Pers_Titel
0;wien1089;Theorien und Methoden der Literatur- und Kulturwissenschaften;Der literarische Kanon besteht zum Teil aus hochartifziellen Texten, die in ihrer Genese und Bedeutung eine lange Tradition aufweisen können. Zugleich sind Narrative nicht nur in literarischen Texten zu finden, sondern auch in vielen anderen sprachlichen Äußerungen zugegen, wie in der Alltagssprache und im Film. Um den Aufbau, die Struktur, den Inhalt sowie Ort und Zeit im Sinne einer Literarizität von Texten besser zu erfassen, stellt die Übung eine Reihe von theoretischen Modellen vor und diskutiert ihre Möglichkeiten und Grenzen. Fokussiert werden etwa die großen Strömungen der Interpretation: die Hermeneutik, der Strukturalismus und der Poststrukturalismus. Angestrebt wird durch die wechselseitige Lektüre theoretischer und literarischer Texte eine Sensibilisierung für die Grundfragen der Literatur und Kultur. Zudem rücken einige neuere Ansätze aus der Erzählforschung in den Blick.;sose19;UE;2019-04;2019-08;wien;;
1;wien1090;Österreichische Kulturgeschichte;"7. 3. Einführung
14. 3. Mittelalter – Gastvorlesung
21. 3. Renaissance und Humanismus: Paracelsus (Medizin, Astronomie)
28. 3. Barock: Architektur, bildende Kunst, Theater, Fest
4. 4. Experiment Aufklärung: Wolfgang Amadeus Mozart
2. 5. Romantik: Park und Garten (Schlosspark Laxenburg)
9. 5. Biedermeier und Vormärz: Das Wiener Volkstheater
16. 5. Aufschwung der Naturwissenschaften: Gregor Mendel (Botanik, Biologie, Genetik)
23. 5. Wiener Moderne 1900-1930: Wittgensteins Wien (Philosophie, Literatur, Kunst, Architektur, Musik)
6. 6. Mythos Heldenplatz: Umbrüche eines Gedächtnisortes vom 19. bis zum 21. Jahrhundert
13. 6. Gegenwartskunst seit 1968: Steirischer Herbst (Musik, Bildende Kunst, Architektur, Theater, Tanz, Literatur, Neue Medien)
27. 6. Prüfung";sose19;VO;2019-04;2019-08;wien;['Paracelsus', 'Wolfgang Amadeus Mozart', 'Gregor Mendel', 'Wittgensteins'];
2;wien1091;NdL: >>keine Gedichte mehr<<. Ingeborg Bachmanns lyrische Texte aus dem Nachlass;"»Ich habe aufgehört, Gedichte zu schreiben, als mir der Verdacht kam, ich ‚könne‘ jetzt Gedichte schreiben, auch wenn der Zwang, welche zu schreiben, ausbliebe. Und es wird eben keine Gedichte mehr geben, eh’ ich mich nicht überzeuge, daß es wieder Gedichte sein müssen und nur Gedichte, so neu, daß sie allem seither Erfahrenen wirklich entsprechen.«
Diese Sätze äußert Ingeborg Bachmann in einem Gespräch im Januar 1963. Zu dem Zeitpunkt war die Autorin schon längst mit ihren beiden ersten Gedichtbänden »Die gestundete Zeit« (1953) sowie »Anrufung des großen Bären« (1956) weit über die deutschsprachige literarische Szene hinaus berühmt geworden. Aber es ist gerade der Erfolg dieser beiden Bücher, der Bachmann gründlich irritert: in der Vereinnahmung durch die zeitgenössische Öffentlichkeit werden Unwägbarkeiten, Implikationen, Ge-genläufigkeiten und offensive Mißverständnisse kenntlich, die sich gegen Bachmanns dichterisches Unternehmen insgesamt richten und die Autorin im Sinn eines funda-mentalen poetologischen Umdenkens beschäftigen werden. Nur vereinzelte Gedichte werden von Bachmann in den folgenden Jahren zur Veröffentlichung freigegeben, bis im Jahr 2000 (also ein Verteljahrhundert nach ihrem Tod) unter dem Titel »Ich weiß keine bessere Welt« Texte aus dem Nachlass erscheinen, die als lyrische Sensation gehandelt werden und in medialer Verspannung von Skandal und Kanon bis heute den »Mythos Bachmann« befeuern.
Die Vorlesung wird sich mit den vielfältigen Problematiken dieser Texte beschäftigen: den Umständen ihrer Veröffentlichung; dem Faktum, dass man mit diesen Texten nicht mehr nicht umgehen kann; den unterschiedlichen Aggregatzuständen ihrer Form; dem Dialog mit Paul Celan; den Themenkomplexen von Schmerz, Verzweiflung und Tod, die diese Texte ins Licht der Sprache alttestamentarischer Klagelieder rücken; den Zurichtungen durch wohlmeinende und ablehnende Kritik; der Situierung der Texte im Kontext der deutsch- österreichischen Nachkriegs- und Nachholocaust-Zeit, den Verwerfungen zwischen Schreiben und literarischer Tradition.";sose19;VO;2019-04;2019-08;wien;['Ingeborg Bachmann', 'Bachmann', 'Bachmanns', 'Bachmann', 'Bachmann', 'Paul Celan'];['Ingeborg Bachmanns']
3;wien1092;DaF/Z: Sprachenpolitische Grundfragen;"Vorbemerkung:
Sprachenpolitik ist nicht nur in fester Bestandteil jeder Bildungspolitik, des öffentlichen Lebens und der Innen- und Außenpolitik, sondern auch eine Grundlage um die Herausforderungen der (europäischen) Integration zu bewältigen. Die Verbreitung des Deutschen als Fremdsprache sowie die methodischen Konzepte der Vermittlung von Sprache, Landeskunde und Literatur waren bereits von politischem Interesse, noch ehe das Fach sich überhaupt als wissenschaftliches Fach etablieren konnte. Heute ist der sprachenpolitische Aspekt untrennbar mit der Selbstdefinition des Faches verbunden, zahlreiche Instrumente und Institutionen setzen die politischen Richtlinien um und beeinflussen damit nicht nur Forschung, Materialerstellung und Unterrichtspraxis, sondern definieren auch neue Bezugswissenschaften und Anwendungsgebiete für Deutsch als Fremd- und Zweitsprache.
Ziel der Lehrveranstaltung:
Die Studierenden sollen für die wichtige politische Dimension des Faches Deutsch als Fremd- und Zweitsprache sensibilisiert werden und die wichtigsten Parameter kennen lernen, durch welche sich diese in Vergangenheit und Gegenwart manifestierte. Die gesellschaftliche Bedeutung einzelner Konzepte und Konsequenzen sowie der eigenen sprachenpolitischen Aktivitäten sollen erklärt und reflektiert werden; die Basisliteratur soll den Studierenden vertraut werden.
Schwerpunkte / Themen (Detaillierte Angaben finden sich für jede Stunde auf Moodle):
- Einführung ins Thema Sprachenpolitik,
- Sprachenpolitik nach innen (Sprache und Integrationspolitik, Migranten- und Minderheitensprachen)
- Sprachenpolitik nach außen (die Lage des Detuschen weltweit - früher und heute, staatliche Konzepte, Institutionen, Verbände, Landeskunde und Sprachenpolitik)
- Sprachenpolitische Positionspapiere (offizielle Positionspapiere, Internationale Erhebungen und Beschreibungsinstrumente, Grundsatzerklärungen, Resolutionen, Thesen)
- Sprachenpolitik der Europäischen Union und des Europarates
- Deutsch im Kontext der Mehrsprachigkeit
- Methodisch-didaktische Konsequenzen (DACH, Plurizentrik, CLIL, Projekte, neue Konzepte)";sose19;VO;2019-04;2019-08;wien;;
4;wien1093;FD: Texte und Medien im Deutschunterricht;"Die Lehrveranstaltung stellt theoretische Grundlagen und aktuelle didaktische Konzepte der Lese-, Literatur- und Mediendidaktik vor. Ausgangspunkt ist ein erweiteter Textbegriff, durch den medienspezifische Eigenheiten von Texten in besonderer Weise in den Blick geraten.
Die Lehrveranstaltung baut auf literatur- und medienwissenschaftlichen Inhalten und Methoden auf, die im Studium bereits vermittelt wurden. Die unterschiedliche Sicht aus deutschdidaktischen und fachlichen Lehrveranstaltungen stellt für beide Seiten eine fruchtbare Ergänzung und Vertiefung dar.
Folgende deutschdidaktischen Themenbereiche werden in integrativer Weise bearbeitet:
- Lesen: u.a. Basiskompetenz Lesen; Lesesozialisation; Lesetests als Diagnoseinstrument und Möglichkeiten der Förderung; Lesetechniken und -strategien
- Literatur: u.a. literarische Bildung, literarisches Lernen, literarische Kompetenzen; Textauswahl und Kanonfragen; Literaturgeschichte und Gattungspoetik
- Medien: u.a. Medienbildung und -kompetenzen; Medienverbund; visual literacy am Beispiel Film; Umgang mit Nachrichtenmedien; Neue Medien und Digitalisierung
Folgende Konzepte und Verfahren sollen erarbeitet werden:
- Identitätsorientierter Deutschunterricht
- Transkultureller Literatur- und Medienunterricht
- Analytisch-diskursive sowie handlungs- und produktionsorientierte Zugänge
- Literarisches Gespräch und Szenische Interpretation
- Analysieren/Interpretieren von pragmatischen, literarischen und multimodalen Texten
Die Lehrveranstaltung ist als Übung so angelegt, dass
- zentrale Konzepte der Lese-, Literatur und Mediendidaktik vorgestellt und erarbeitet werden
- sich die Studierenden ausgehend von diesen Konzepten mit entsprechenden Kompetenzmodellen auseinandersetzen
- sie exemplarisch situationsrelevante Inhalte und Methoden erarbeiten/diskutieren
- sie ihre eigene Lesebiografie und/oder Mediennutzung reflektieren
- sie Möglichkeiten der Diagnose und der gezielten Förderung kennen lernen";sose19;UE;2019-04;2019-08;wien;;
5;wien1094;Theorien und Methoden der Literatur- und Kulturwissenschaften;"Alltagsleben
Sowohl Theorie als auch moderne Literatur setzen sich mit dem Alltagsleben auseinander. Man spricht von einer „Entdeckung“ oder „Erfindung des Alltagslebens“ (Rita Felski) in den Theorien und der Literatur des 20. Jahrhunderts. Das Alltagsleben ist Ort einer Ambivalenz: Einerseits wird es mit Verdacht behandelt, wegen seiner vermeintlichen Tendenzen soziale, politische und existentielle Wirklichkeit oder Wahrheit mythologisch oder ideologisch zu verdecken. „Das Licht der Öffentlichkeit verdunkelt alles“, schreibt Martin Heidegger. Anderseits stellt die Kehre zum Alltagsleben den Versuch dar, heroische, patriarchalische und schließlich metaphysische „große Erzählungen” zu verlassen und neue Formen der Aufmerksamkeit zu entwickeln, die die Immanenz des Lebensalltags feiern. Der Lebensalltag wird dadurch als Ort eines überraschenden Reichtums des Ungewöhnlichen, des Perversen und sogar der „profanen Erleuchtung“ (Walter Benjamin) entlarvt. Die Arbeitsthese des Kurses ist es, dass bedeutende Strömungen der Theorie und der modernen Literatur aus dieser Ambivalenz des Alltagslebens entstehen.
Die Unheimlichkeit des Alltäglichen wird in dieser Übung anhand exemplarischer Texte untersucht, die für die wichtigsten Tendenzen und Figuren der zeitgenössischen Theorie stehen. Wir lesen kurze Texte oder Auszüge von Arendt, Barthes, Butler, Fanon, Freud, Foucault, Haraway, Latour, Rancière, Simmel, und Wittgenstein.";sose19;UE;2019-04;2019-08;wien;['Rita Felski', 'Martin Heidegger', 'Walter Benjamin', 'Arendt', 'Barthes', 'Butler', 'Fanon', 'Freud', 'Foucault', 'Haraway', 'Latour', 'Rancière', 'Simmel', 'Wittgenstein'];
6;wien1095;NdL: Antiheimatliteratur;"Zur Diskussion steht eine wichtige Strömung in der österreichischen Literatur nach 1945, die sich, in einer Zeit der zunehmenden Industrialisierung, kritisch mit Heimat und Provinz, mit gesellschaftlichen bzw. kirchlich geprägten Machtverhältnissen, Unterdrückungsmechanismen und Alltagsfaschismen im ländlichen Bereich auseinandersetzt sowie Ausbruchsversuche aus Enge und Dumpfheit gestaltet. Die AutorInnen befragen dabei oft auch tradierte Formen des Erzählens und erproben neue narrative Ästhetiken.
Um folgende AutorInnen und ihre Werke aus dem Bereich der Erzählliteratur wird es gehen: Thomas Bernhard, Peter Handke, Elfriede Jelinek, Franz Innerhofer, Josef Winkler, Barbara Frischmuth
Zentrales Augenmerkt wird auf die Erarbeitung der Proseminar-Arbeiten gelegt. In Gruppendiskussionen und Einzelpräsentationen werden diese Arbeiten gemeinsam Schritt für Schritt entwickelt.";sose19;PS;2019-04;2019-08;wien;['Thomas Bernhard', 'Peter Handke', 'Elfriede Jelinek', 'Franz Innerhofer', 'Josef Winkler', 'Barbara Frischmuth'];
7;wien1096;NdL: Literarische Neuerscheinungen (mit Exkursion zu den Rauriser Literaturtagen);"Die Rauriser Literaturtage sind eines der bedeutendsten und originellsten Literaturfestivals im deutschsprachigen Raum. Seit 1971 kommen jedes Jahr zahlreiche Autorinnen und Autoren in das abgelegene Salzburger Bergdorf, um in Wirtshäusern und Bauernstuben aus ihren neuen Texten zu lesen und mit dem Publikum zu diskutieren. Die Abgeschiedenheit des Ortes und das ganztägige Programm ermöglichen einen äußerst konzentrierten und sehr sinnlichen Zugang zur Gegenwartsliteratur. Jedes Jahr wird dort auch der renommierte Rauriser Literaturpreis für das beste deutschsprachige Prosadebüt vergeben. Unter den bisherigen PreisträgerInnen waren Franz Innerhofer, Michael Köhlmeier, Herta Müller, Norbert Gstrein, Ruth Klüger, Raoul Schrott und Juli Zeh.
Inhalte und Vermittlungsform:
Dieses PS wird sich anlässlich der Rauriser Literaturtage 2019 mit aktuellen Strömungen der Gegenwartsliteratur auseinandersetzen, aber ebenso mit Fragen des Literaturbetriebs, des Buchmarkts und der Literaturrezeption. In seiner didaktischen Form ist es ungewöhnlich, denn es besteht aus einer 5-tägigen Exkursion sowie deren Vor- und Nachbereitung. Wir werden an sämtlichen Lesungen und Diskussionen in Rauris teilnehmen und einen öffentlichen Arbeitskreis mit der deutschen Autorin Susanne Fritz selbst gestalten.
Zeitplan:
Die erste Phase des PS wird aus einer intensiven Lektüre und Diskussion ausgewählter Werke der in Rauris anwesenden Autorinnen und Autoren sowie der Vorbereitung des Arbeitskreises bestehen. Die Exkursion selbst findet dann vom 27.3.2019. bis zum 31.3.2019 statt, die Teilnahme daran über den gesamten Zeitraum ist verpflichtend. Stellen Sie sich bitte auf eine intensive Arbeitsphase im März und April ein, dafür werden ab Ende April keine PS-Sitzungen mehr stattfinden.
Kosten:
Für Reise und Unterkunft haben Sie verbilligte Tarife, die Eintritte zu den Veranstaltungen sind frei, so dass Sie mit ca. 200.- Euro Kosten pro Person (gemeinsame An- und Rückreise mit Bahn und Bus ab Wien, Shuttle-Bus, 4 Übernachtungen mit Frühstück im DZ) rechnen müssen.
Teilnahmevoraussetzungen und Anmeldung:
Die Anmeldung zu dieser LV erfolgt über u:space. Aufgrund der besonderen Form des PS sind maximal 20 TeilnehmerInnen möglich. Bitte klären Sie vor Ihrer Anmeldung zu diesem PS verbindlich ab, ob Sie sicher an der Exkursion teilnehmen können! Die Teilnahme an der ersten Sitzung am 4.3. ist ebenso verpflichtend wie die fristgerechte Lektüre der zu besprechenden Bücher. In der ersten Sitzung wird die endgültige TeilnehmerInnenliste festgelegt.
Nähere Informationen zum Programm der Rauriser Literaturtage: http://www.rauriser-literaturtage.at/";sose19;PS;2019-04;2019-08;wien;['Franz Innerhofer', 'Michael Köhlmeier', 'Herta Müller', 'Norbert Gstrein', 'Ruth Klüger', 'Raoul Schrott', 'Juli Zeh', 'Susanne Fritz'];
8;wien1097;NdL: Ekphrasis - Bilder in literarischen Texten;"Ekphrasis ist ein Sammelbegriff, unter dem sehr unterschiedliche und dennoch miteinander verbundene Phänomene zusammengefasst werden.
In einer sehr allgemeinen Form wird darunter die sprachliche Bezugnahme auf ein nicht-sprachliches Artefakt verstanden. Damit hängt die engere Bestimmung von Ekphrasis als Bildbeschreibung zusammen. Werke der bildenden Kunst werden in literarischen Texten beschrieben, ihr Auftauchen hat eine weiter zu erklärende Funktion innerhalb des literarischen Texts. Bildbeschreibung und Bildzitat (von realen oder erfundenen Kunstwerken) steht im Mittelpunkt dieser Begriffsbedeutung.
In einem weiteren Sinn versteht man in der Rhetorik unter Ekphrasis die anschauliche Beschreibung von Lebewesen, Ereignissen, Orten und Zeiten. Wie mit den Mitteln der Sprache und der Literatur visuelle Erlebnisse dargestellt und erzeugt werden, ist im Fokus dieser weiteren Fassung von Ekphrasis.
Das Phänomen, dass in literarischen Texten Werke der bildenden Kunst eine Rolle spielen und auf sie Bezug genommen wird, ist seit Anbeginn der Literatur verbreitet und bedeutsam. In den letzten Jahrzehnten ist der Begriff auch für die Literaturwissenschaft neu belebt worden. Zum einen soll in der Semestervorlesung zu Ekphrasis den unterschiedlichen zeichentheoretischen Grundlagen von Literatur und Malerei nachgegangen werden und damit die bekannte Unterscheidung, die auf Lessing zurückgeht, kritisch rekonstruiert werden: in seinem ""Laokoon"" führt er aus, dass die nebeneinander geordneten Zeichen der Malerei als Figuren und Farben im Raum nur nebeneinander geordnete Gegenstände ausdrücken können und die aufeinander folgenden Zeichen der Poesie als artikulierte Töne in der Zeit nur auf einander folgende Gegenstände. Lessing exemplifiziert dies vor allem anhand der Epen von Homer und Vergil. Die kritische Rekonstruktion wird sowohl die zeitgenössische Kritik (Herder in den ""Kritischen Wäldern"") als auch die aktuelle Reformulierung im Lichte von Semiotik und analytischer Symboltheorie (Nelson Goodman) nachzeichnen.
Zum anderen wird die Semestervorlesung der Frage nach den Erlebnissen beim Lesen von literarischen Texten und dem damit zusammenhängenden Konzept der ""experientiality"", also den konkreten Erfahrungsprozessen beim Produzieren und Rezipieren von Literatur aus der Perspektive der kognitiven Poetik und der empirischen Literaturforschung nachgehen. Denn es ist keineswegs gewiss, dass nur die Beschreibung von Werken der bildenden Kunst Bilderlebnisse in den Lesenden hervorrufen kann. Der – kritisch zu befragenden – Forschungsliteratur zufolge ist das Verstehen und Rezipieren fast aller beschreibenden Passagen in literarischen Texten an solche Bilderlebnisse gebunden. Welche Unterschiede es dennoch zwischen Ekphrasis sensu stricto und Beschreibungen, die bildliche Vorstellungen auslösen, geben kann, soll in der Vorlesung ebenso diskutiert werden wie deren unterschiedliche ästhetische Funktion in literarischen Texten.
Als Textcorpus kommen vor allem literarische Werke in den Blick, die auf Ekphrasis setzen (Peter Weiss, Friederike Mayröcker, Ernst Jandl, Michael Lentz, Dieter Roth…)
Michael Lentz, Schriftsteller und Professor für Literarisches Schreiben am Deutschen Literaturinstitut Leipzig, wird im Rahmen der Semestervorlesung zwei Poetikvorlesungen zu Ekphrasis (siehe Anmerkungen zum Termin) halten.";sose19;VO;2019-04;2019-08;wien;['Lessing', 'Lessing', 'Homer', 'Vergil', 'Nelson Goodman', 'Peter Weiss', 'Friederike Mayröcker', 'Ernst Jandl', 'Michael Lentz', 'Dieter Roth', 'Michael Lentz'];
9;wien1098;Einführung in die Literaturwissenschaft: Literarische Familienaufstellungen;Die Einführung in die Literaturwissenschaft vermittelt exemplarisch am Thema der Familiennarration sowohl theoretische als auch praktische Fertigkeiten auf dem Gebiet der Literaturwissenschaft. Wesentliche literaturwissenschaftliche Schlüsselqualifikationen wie Text- und Erzählanalyse sowie die Grundlagen des wissenschaftlichen Arbeitens (Recherche, Bibliographieren, Zitieren, Wissenschaftsethik) ebenso wie Basiskenntnisse der Editionswissenschaft werden anhand zahlreicher Beispiele aus den Primärtexten sowie vertiefend mit Hilfe von Arbeitsaufgaben erarbeitet. Das Seminar behandelt Texte von Lessing, Kleist, Hauptmann, Kafka, Borchert und Vanderbeke. Bei sämtlichen der Texte handelt es sich um raffinierte und höchst konflikthafte Familiennarrationen, die sich ideal dazu eignen, ein literarisches Begriffsinventar zu erarbeiten und auszutesten. Ein detaillierter Stundenplan wird in der ersten Sitzung ausgegeben und besprochen.;sose19;EU;2019-04;2019-08;wien;['Lessing', 'Kleist', 'Hauptmann', 'Kafka', 'Borchert', 'Vanderbeke'];
