,page_found,page_url,page_title,item_id,length_in_words,number_of_sitelinks,number_of_pageviews_last_5_years,number_of_in_links,GND
0,True,https://de.wikipedia.org/wiki/Johann_Altenstaig,Johann Altenstaig,Q21544072,692.0,1.0,641.0,15.0,100010350
1,True,https://de.wikipedia.org/wiki/Andreas_Althamer,Andreas Althamer,Q96832,796.0,7.0,2129.0,38.0,100010423
2,True,https://de.wikipedia.org/wiki/Anna_Sophia_von_Hessen-Darmstadt,Anna Sophia von Hessen-Darmstadt,Q290123,782.0,14.0,2682.0,59.0,100011780
3,True,https://de.wikipedia.org/wiki/Paul_Bachmann_%28Abt%29,Paul Bachmann (Abt),Q2058772,441.0,1.0,643.0,22.0,100013945
4,True,https://de.wikipedia.org/wiki/Ignaz_Ferdinand_Arnold,Ignaz Ferdinand Arnold,Q999874,672.0,3.0,1482.0,24.0,100017045
5,True,https://de.wikipedia.org/wiki/Johann_Habermann,Johann Habermann,Q90836,777.0,8.0,2180.0,35.0,100018335
6,False,,,,,,,,100018858
7,True,https://de.wikipedia.org/wiki/Nicolaus_von_Avancini,Nicolaus von Avancini,Q3340050,459.0,12.0,1689.0,32.0,100019382
8,True,https://de.wikipedia.org/wiki/Johann_Aurpach,Johann Aurpach,Q23062997,709.0,1.0,316.0,14.0,100019668
9,False,,,,,,,,100020666
10,True,https://de.wikipedia.org/wiki/Georg_Ludwig_von_Bar,Georg Ludwig von Bar,Q1505257,378.0,4.0,789.0,21.0,100020739
11,True,https://de.wikipedia.org/wiki/Johann_Bauhin,Johann Bauhin,Q123660,922.0,22.0,3441.0,70.0,100027385
12,True,https://de.wikipedia.org/wiki/Burkhard_Gotthelf_Struve,Burkhard Gotthelf Struve,Q1016438,498.0,6.0,1931.0,64.0,100029973
13,True,https://de.wikipedia.org/wiki/Franz_Xaver_Amand_Berghofer,Franz Xaver Amand Berghofer,Q1449557,1059.0,1.0,552.0,14.0,10003392X
14,True,https://de.wikipedia.org/wiki/Ludwig_Benedict_Franz_von_Bilderbeck,Ludwig Benedict Franz von Bilderbeck,Q107695217,1885.0,2.0,1407.0,11.0,100041213
15,True,https://de.wikipedia.org/wiki/Johann_Heinrich_Bisterfeld,Johann Heinrich Bisterfeld,Q324149,1272.0,4.0,1463.0,28.0,100043119
16,False,,,,,,,,100051960
17,False,,,,,,,,100053904
18,False,,,,,,,,100053912
19,True,https://de.wikipedia.org/wiki/Johann_Gottfried_Dyck,Johann Gottfried Dyck,Q1694090,701.0,2.0,1011.0,21.0,100054315
20,True,https://de.wikipedia.org/wiki/Christian_Wilhelm_Kindleben,Christian Wilhelm Kindleben,Q70937,727.0,10.0,4028.0,30.0,100056660
21,True,https://de.wikipedia.org/wiki/Johann_David_Hartmann,Johann David Hartmann,Q23661885,932.0,1.0,768.0,16.0,100057136
22,False,,,,,,,,100057233
23,True,https://de.wikipedia.org/wiki/Johann_Gabriel_Bernhard_B%C3%BCschel,Johann Gabriel Bernhard Büschel,Q23531388,637.0,2.0,388.0,8.0,100062067
24,True,https://de.wikipedia.org/wiki/Nikolaus_von_Reusner,Nikolaus von Reusner,Q1632312,1355.0,5.0,2466.0,57.0,100069983
